,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,Hispanic,White,Two or more races,African American,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/colfax-county-nm/,B minus,C+,B,B minus,A minus,C+,B minus,B minus,B minus,A minus,A minus,"Colfax County is located in New Mexico with a population of 12,168. In Colfax County, most residents own their homes. Many young professionals and retirees live in Colfax County and residents tend to lean conservative.",,,,,,,,0.29,0.71,,,,,,,,,,,,,,,0.11,0.07,0.06,0.1,0.1,0.11,0.17,0.27,0.09,-0.25,0.12,-0.4,0.37,0.27586206896551735,0.29,0.07407407407407396,0.12,0.0,,,,,,,,0.033,0.19699999999999998,0.013000000000000001,0.49,0.47,0.02,0.01,0.0,0.0,0.0,0.0,0.51,0.49,0.35,0.23,0.21,0.19,0.03,0.32,0.37,0.21,0.1
0,https://www.niche.com/places-to-live/c/henry-county-in/,B,B+,B+,B minus,C+,B minus,C+,A minus,B+,B,C+,"Henry County is located in Indiana with a population of 48,255. In Henry County, most residents own their homes. Many retirees live in Henry County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.11,0.1,0.08,0.12,0.12,0.14,0.14,0.19,0.06,-0.5,0.11,-0.45000000000000007,0.29,0.0,0.44,0.6296296296296295,0.11,-0.08333333333333326,,,0,0,1,0,1,0.032,0.15,0.003,0.02,0.93,0.01,0.02,0.0,0.0,0.0,0.0,0.53,0.47,0.22,0.23,0.28,0.23,0.05,0.31,0.32,0.27,0.1
0,https://www.niche.com/places-to-live/c/washington-county-oh/,B minus,B,B+,B minus,C,B,B,A minus,B,B,B,"Washington County is located in Ohio with a population of 60,426. In Washington County, most residents own their homes. Many retirees live in Washington County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.1,0.1,0.09,0.11,0.11,0.13,0.16,0.2,0.07,-0.41666666666666663,0.12,-0.4,0.32,0.10344827586206917,0.4,0.4814814814814814,0.09,-0.25,,,,,,,,0.023,0.139,0.008,0.01,0.95,0.01,0.01,0.01,0.0,0.0,0.0,0.49,0.51,0.24,0.22,0.23,0.25,0.06,0.31,0.31,0.24,0.14
0,https://www.niche.com/places-to-live/c/little-river-county-ar/,B minus,A minus,C minus,B minus,B+,C+,B,A,C minus,C,C+,"Little River County is located in Arkansas with a population of 12,347. In Little River County, most residents own their homes. Many retirees live in Little River County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.11,0.11,0.07,0.11,0.13,0.13,0.14,0.21,0.04,-0.6666666666666666,0.08,-0.6000000000000001,0.32,0.10344827586206917,0.45,0.6666666666666665,0.11,-0.08333333333333326,,,,,,,,0.055999999999999994,0.163,0.001,0.02,0.73,0.02,0.22,0.0,0.01,0.0,0.0,0.48,0.52,0.31,0.19,0.23,0.23,0.04,0.29,0.35,0.23,0.12
0,https://www.niche.com/places-to-live/c/lincoln-county-nm/,B,C,B minus,B minus,B+,C+,A minus,C,A minus,A minus,B+,"Lincoln County is located in New Mexico with a population of 19,461. In Lincoln County, most residents own their homes. Many retirees live in Lincoln County and residents tend to be conservative.",,,,,,,,0.19,0.81,,,,,,,,,,,,,,,0.1,0.09,0.06,0.09,0.1,0.11,0.17,0.28,0.08,-0.33333333333333326,0.18,-0.10000000000000009,0.34,0.1724137931034484,0.3,0.11111111111111094,0.11,-0.08333333333333326,,,,,,,,0.022000000000000002,0.107,0.042,0.33,0.65,0.01,0.01,0.0,0.01,0.0,0.0,0.49,0.51,0.24,0.25,0.21,0.23,0.06,0.28,0.39,0.21,0.12
0,https://www.niche.com/places-to-live/c/lawrence-county-pa/,B,B,A minus,B,C+,B minus,C minus,B+,B,B,B,"Lawrence County is located in Pennsylvania with a population of 86,727. In Lawrence County, most residents own their homes. Many retirees live in Lawrence County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.1,0.09,0.08,0.11,0.11,0.13,0.16,0.22,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.25,-0.13793103448275856,0.43,0.5925925925925926,0.09,-0.25,,,,,,,,0.038,0.13699999999999998,0.005,0.01,0.92,0.02,0.04,0.0,0.0,0.0,0.0,0.48,0.52,0.25,0.21,0.22,0.24,0.07,0.3,0.33,0.23,0.15
0,https://www.niche.com/places-to-live/c/turner-county-sd/,B minus,A minus,B,B minus,C,B+,C,A minus,B minus,C minus,B minus,"Turner County is located in South Dakota with a population of 8,300. In Turner County, most residents own their homes. Many retirees live in Turner County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.13,0.11,0.06,0.1,0.12,0.12,0.15,0.21,0.07,-0.41666666666666663,0.17,-0.15000000000000002,0.35,0.2068965517241379,0.34,0.2592592592592593,0.08,-0.33333333333333326,,,,,,,,0.013999999999999999,0.109,0.008,0.02,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.21,0.17,0.24,0.32,0.06,0.25,0.29,0.32,0.14
0,https://www.niche.com/places-to-live/c/emanuel-county-ga/,C+,B minus,C+,B minus,A minus,B minus,A minus,A minus,B minus,B,B minus,"Emanuel County is located in Georgia with a population of 22,533. In Emanuel County, most residents own their homes. Many families live in Emanuel County and residents tend to be conservative.",,,,,,,,0.36,0.64,,,,,,,,,,,,,,,0.13,0.12,0.09,0.14,0.12,0.12,0.13,0.16,0.07,-0.41666666666666663,0.06,-0.7,0.25,-0.13793103448275856,0.41,0.5185185185185184,0.21,0.75,,,,,,,,0.038,0.21600000000000003,0.02,0.05,0.59,0.02,0.34,0.0,0.0,0.0,0.0,0.49,0.51,0.34,0.26,0.18,0.19,0.03,0.37,0.34,0.21,0.08
0,https://www.niche.com/places-to-live/c/clay-county-tx/,B+,A,D,B,C+,B,B,A minus,C,C minus,C,"Clay County is located in Texas with a population of 10,403. In Clay County, most residents own their homes. Many retirees live in Clay County and residents tend to be conservative.",,,,,,,,0.16,0.84,,,,,,,,,,,,,,,0.1,0.1,0.07,0.1,0.11,0.13,0.16,0.23,0.06,-0.5,0.15,-0.2500000000000001,0.32,0.10344827586206917,0.37,0.37037037037037024,0.09,-0.25,,,1,0,0,0,0,0.03,0.12,0.027999999999999997,0.06,0.9,0.01,0.0,0.01,0.01,0.0,0.0,0.5,0.5,0.21,0.2,0.21,0.29,0.09,0.29,0.31,0.24,0.17
0,https://www.niche.com/places-to-live/c/delaware-county-ia/,A minus,B+,B,B,C,B+,C,A minus,C+,B minus,B,"Delaware County is located in Iowa with a population of 17,183. In Delaware County, most residents own their homes. Many retirees live in Delaware County and residents tend to be conservative.",,,,,,,,0.16,0.84,,,,,,,,,,,,,,,0.13,0.11,0.07,0.09,0.11,0.13,0.16,0.19,0.05,-0.5833333333333333,0.12,-0.4,0.32,0.10344827586206917,0.43,0.5925925925925926,0.08,-0.33333333333333326,,,1,0,0,0,0,0.013999999999999999,0.092,0.004,0.02,0.97,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.16,0.18,0.26,0.33,0.07,0.26,0.29,0.31,0.15
