,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,Asian,Other race,African American,Hawaiian or other Pacific Islander,American Indian or Alaska native,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/madison-county-id/,B+,C minus,B,B+,C+,B,C+,C minus,A,A minus,A+,"Madison County is located in Idaho with a population of 39,100. In Madison County, most residents rent their homes. Many families and young professionals live in Madison County and residents tend to be conservative.",,,,,,,,0.55,0.45,,,,,,,,,,,,,,,0.16,0.11,0.31,0.15,0.08,0.06,0.06,0.07,0.11,-0.08333333333333326,0.25,0.25,0.44,0.517241379310345,0.15,-0.44444444444444453,0.04,-0.6666666666666666,,,1,1,0,0,0,0.045,0.304,0.03,0.88,0.08,0.02,0.02,0.0,0.0,0.0,0.0,0.51,0.49,0.36,0.2,0.2,0.21,0.03,0.54,0.23,0.16,0.08
0,https://www.niche.com/places-to-live/c/evans-county-ga/,C+,B minus,C,B minus,A,B,B+,A minus,C+,C+,C+,"Evans County is located in Georgia with a population of 10,687. In Evans County, most residents own their homes. Many families live in Evans County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.14,0.12,0.06,0.15,0.11,0.12,0.12,0.16,0.07,-0.41666666666666663,0.09,-0.55,0.22,-0.2413793103448275,0.39,0.4444444444444444,0.24,1.0,,,2,1,0,0,0,0.04,0.266,0.035,0.56,0.12,0.01,0.01,0.0,0.3,0.0,0.0,0.49,0.51,0.32,0.2,0.2,0.24,0.03,0.35,0.34,0.19,0.12
0,https://www.niche.com/places-to-live/c/steuben-county-ny/,B,B minus,B+,B,C+,B minus,C minus,B,B,A minus,B+,"Steuben County is located in New York with a population of 96,422. In Steuben County, most residents own their homes. Many young professionals live in Steuben County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.12,0.1,0.08,0.12,0.11,0.13,0.15,0.19,0.11,-0.08333333333333326,0.12,-0.4,0.3,0.034482758620689724,0.37,0.37037037037037024,0.1,-0.16666666666666663,,,1,0,0,0,0,0.038,0.136,0.018000000000000002,0.94,0.02,0.01,0.02,0.0,0.02,0.0,0.0,0.5,0.5,0.22,0.21,0.23,0.27,0.07,0.27,0.31,0.25,0.16
0,https://www.niche.com/places-to-live/c/effingham-county-ga/,B+,B,C,B+,B+,B+,B+,B,C minus,C+,D,"Effingham County is located in Georgia with a population of 60,477. In Effingham County, most residents own their homes. Many families live in Effingham County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.15,0.12,0.08,0.14,0.14,0.14,0.12,0.11,0.07,-0.41666666666666663,0.13,-0.35,0.31,0.06896551724137945,0.37,0.37037037037037024,0.12,0.0,,,3,4,0,1,0,0.024,0.085,0.017,0.78,0.04,0.02,0.01,0.01,0.13,0.0,0.0,0.5,0.5,0.16,0.16,0.23,0.34,0.11,0.24,0.28,0.27,0.21
0,https://www.niche.com/places-to-live/c/colquitt-county-ga/,B minus,C+,C+,B,A,C+,A minus,A minus,C+,B,B,"Colquitt County is located in Georgia with a population of 45,486. In Colquitt County, most residents own their homes. Many families live in Colquitt County and residents tend to be conservative.",,,,,,,,0.37,0.63,,,,,,,,,,,,,,,0.14,0.12,0.09,0.13,0.13,0.13,0.12,0.15,0.06,-0.5,0.07,-0.6499999999999999,0.23,-0.2068965517241378,0.39,0.4444444444444444,0.25,1.0833333333333335,,,1,0,1,0,0,0.046,0.24600000000000002,0.078,0.56,0.19,0.0,0.01,0.0,0.23,0.0,0.0,0.49,0.51,0.34,0.26,0.17,0.19,0.05,0.33,0.4,0.17,0.1
0,https://www.niche.com/places-to-live/c/toole-county-mt/,B,B minus,B+,C,B minus,B+,C+,B minus,B,C+,A minus,"Toole County is located in Montana with a population of 4,892. In Toole County, most residents own their homes. Residents of Toole County tend to be conservative.",,,,,,,,0.41,0.59,,,,,,,,,,,,,,,0.11,0.08,0.08,0.12,0.13,0.13,0.19,0.17,0.03,-0.75,0.12,-0.4,0.34,0.1724137931034484,0.4,0.4814814814814814,0.11,-0.08333333333333326,,,,,,,,0.013000000000000001,0.12300000000000001,0.006,0.87,0.04,0.02,0.0,0.0,0.0,0.0,0.06,0.56,0.44,0.23,0.21,0.29,0.21,0.06,0.33,0.31,0.22,0.13
0,https://www.niche.com/places-to-live/c/custer-county-co/,C+,C+,B minus,C minus,C+,B,B,C,B minus,B,C,"Custer County is located in Colorado with a population of 4,776. In Custer County, most residents own their homes. Many retirees live in Custer County and residents tend to be conservative.",,,,,,,,0.13,0.87,,,,,,,,,,,,,,,0.05,0.1,0.05,0.06,0.06,0.09,0.24,0.36,0.11,-0.08333333333333326,0.22,0.09999999999999987,0.4,0.3793103448275863,0.21,-0.22222222222222232,0.06,-0.5,,,,,,,,0.025,0.127,0.005,0.85,0.09,0.02,0.0,0.0,0.03,0.0,0.01,0.51,0.49,0.21,0.24,0.27,0.21,0.07,0.27,0.32,0.28,0.12
0,https://www.niche.com/places-to-live/c/phillips-county-co/,C+,C+,C,C+,B+,B+,B minus,C+,B minus,C,B,"Phillips County is located in Colorado with a population of 4,290. In Phillips County, most residents own their homes. Many families, young professionals, and retirees live in Phillips County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.15,0.11,0.08,0.13,0.12,0.1,0.13,0.17,0.07,-0.41666666666666663,0.17,-0.15000000000000002,0.32,0.10344827586206917,0.33,0.2222222222222221,0.12,0.0,,,,,,,,0.009000000000000001,0.061,0.10400000000000001,0.74,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.52,0.48,0.17,0.22,0.28,0.29,0.05,0.28,0.26,0.32,0.14
0,https://www.niche.com/places-to-live/c/daniels-county-mt/,B minus,B,B minus,C,C,A,B minus,B,C,D+,A,"Daniels County is located in Montana with a population of 1,730. In Daniels County, most residents own their homes. Many retirees live in Daniels County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.1,0.13,0.03,0.06,0.14,0.11,0.18,0.24,0.05,-0.5833333333333333,0.19,-0.050000000000000044,0.34,0.1724137931034484,0.37,0.37037037037037024,0.05,-0.5833333333333333,,,,,,,,0.012,0.046,0.004,0.93,0.03,0.0,0.01,0.0,0.0,0.0,0.03,0.53,0.47,0.23,0.15,0.26,0.3,0.07,0.19,0.36,0.24,0.22
0,https://www.niche.com/places-to-live/c/loup-county-ne/,B minus,B minus,D minus,C,C minus,A,unavailable,A minus,C,C,C,"Loup County is located in Nebraska with a population of 605. In Loup County, most residents own their homes. Many retirees live in Loup County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.1,0.05,0.08,0.15,0.04,0.1,0.23,0.24,0.05,-0.5833333333333333,0.2,0.0,0.43,0.48275862068965525,0.29,0.07407407407407396,0.02,-0.8333333333333333,,,,,,,,0.004,0.087,0.0,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.48,0.24,0.2,0.26,0.26,0.03,0.31,0.32,0.24,0.13
0,https://www.niche.com/places-to-live/c/treasure-county-mt/,B+,B+,B minus,C minus,C,B,B minus,B minus,C,C,B minus,"Treasure County is located in Montana with a population of 668. In Treasure County, most residents own their homes. Many retirees live in Treasure County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.09,0.07,0.06,0.08,0.06,0.12,0.24,0.29,0.04,-0.6666666666666666,0.21,0.04999999999999982,0.33,0.13793103448275867,0.32,0.18518518518518512,0.1,-0.16666666666666663,,,,,,,,0.0,0.175,0.0,0.94,0.01,0.01,0.04,0.0,0.0,0.0,0.0,0.49,0.51,0.26,0.28,0.25,0.15,0.07,0.31,0.31,0.26,0.13
0,https://www.niche.com/places-to-live/c/trujillo-alto-municipio-pr/,unavailable,C+,D,C,C minus,C+,A+,B minus,unavailable,C,C minus,"Trujillo Alto Municipio is a County in Puerto Rico with a population of 66,338. In Trujillo Alto Municipio, most residents own their homes. Many young professionals live in Trujillo Alto Municipio.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.09,0.11,0.1,0.13,0.13,0.14,0.13,0.18,0.1,-0.16666666666666663,0.26,0.30000000000000004,0.24,-0.1724137931034483,0.25,-0.07407407407407418,0.16,0.3333333333333335,,,1,3,1,0,0,0.027999999999999997,,,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.53,0.41,0.23,0.21,0.13,0.03,,,,
0,https://www.niche.com/places-to-live/c/putnam-county-mo/,C+,B+,C minus,C,C,A minus,C+,A,C+,C minus,C+,"Putnam County is located in Missouri with a population of 4,781. In Putnam County, most residents own their homes. Many retirees live in Putnam County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.13,0.1,0.07,0.1,0.09,0.12,0.15,0.24,0.08,-0.33333333333333326,0.12,-0.4,0.28,-0.0344827586206895,0.43,0.5925925925925926,0.1,-0.16666666666666663,,,,,,,,0.013999999999999999,0.168,0.002,0.96,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.28,0.27,0.23,0.18,0.05,0.3,0.37,0.22,0.1
0,https://www.niche.com/places-to-live/c/ziebach-county-sd/,C minus,C+,C+,C+,B,B minus,unavailable,A,C minus,C minus,C+,"Ziebach County is located in South Dakota with a population of 2,791. In Ziebach County, most residents own their homes. Many families live in Ziebach County and residents tend to have moderate political views.",,,,,,,,0.43,0.57,,,,,,,,,,,,,,,0.15,0.15,0.11,0.11,0.15,0.12,0.12,0.09,0.02,-0.8333333333333333,0.14,-0.29999999999999993,0.26,-0.10344827586206884,0.41,0.5185185185185184,0.16,0.3333333333333335,,,,,,,,0.156,0.424,0.006,0.24,0.0,0.01,0.01,0.0,0.0,0.0,0.75,0.49,0.51,0.34,0.23,0.18,0.19,0.05,0.42,0.26,0.23,0.09
0,https://www.niche.com/places-to-live/c/banner-county-ne/,C+,B minus,C minus,C,C+,A,unavailable,A minus,C+,C minus,C minus,"Banner County is located in Nebraska with a population of 722. In Banner County, most residents own their homes. Residents of Banner County tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,,,,,,,,0.15,0.08,0.04,0.08,0.13,0.1,0.21,0.21,0.07,-0.41666666666666663,0.17,-0.15000000000000002,0.48,0.6551724137931034,0.26,-0.03703703703703709,0.03,-0.75,,,1,0,0,0,0,0.003,0.059000000000000004,0.015,0.9,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.48,0.52,0.23,0.19,0.31,0.22,0.05,0.3,0.27,0.29,0.14
