,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Murder,Rape,Robbery,Burglary,Theft,Motor Vehicle Theft,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,African American,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+,Assault vs. National,Murder vs. National,Rape vs. National,Robbery vs. National,Burglary vs. National,Theft vs. National,Motor Vehicle Theft vs. National
0,https://www.niche.com/places-to-live/c/golden-valley-county-mt/,B+,B+,B minus,C,C,B minus,B minus,B minus,C+,C+,B minus,"Golden Valley County is located in Montana with a population of 728. In Golden Valley County, most residents own their homes. Many retirees live in Golden Valley County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,0.07,0.07,0.05,0.06,0.06,0.13,0.3,0.25,0.07,-0.41666666666666663,0.16,-0.20000000000000007,0.29,0.0,0.41,0.5185185185185184,0.08,-0.33333333333333326,,,,,,,,0.019,0.16699999999999998,0.0,0.9,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.3,0.22,0.24,0.18,0.07,0.33,0.32,0.23,0.11,,,,,,,
0,https://www.niche.com/places-to-live/c/adams-county-ia/,B,B+,B minus,C,C minus,A minus,B minus,A,B minus,D+,B,"Adams County is located in Iowa with a population of 3,670. In Adams County, most residents own their homes. Many retirees live in Adams County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,0.13,0.08,0.07,0.11,0.1,0.12,0.17,0.23,0.04,-0.6666666666666666,0.12,-0.4,0.39,0.3448275862068968,0.39,0.4444444444444444,0.06,-0.5,,,,,,,,0.023,0.14,0.003,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.25,0.27,0.21,0.07,0.27,0.34,0.27,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/hamilton-county-ks/,C minus,C+,B minus,C,B+,A minus,B minus,A minus,C minus,D,B+,"Hamilton County is located in Kansas with a population of 2,591. In Hamilton County, most residents own their homes. Many families live in Hamilton County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.17,0.1,0.08,0.12,0.16,0.09,0.14,0.14,0.03,-0.75,0.16,-0.20000000000000007,0.22,-0.2413793103448275,0.4,0.4814814814814814,0.19,0.5833333333333335,,,1,0,0,0,0,0.005,0.106,0.124,0.64,0.33,0.01,0.02,0.0,0.0,0.0,0.0,0.55,0.45,0.17,0.32,0.29,0.2,0.02,0.26,0.31,0.34,0.09,,,,,,,
0,https://www.niche.com/places-to-live/c/mccone-county-mt/,B+,B minus,C+,C+,C+,B,B minus,B minus,C+,B minus,A minus,"McCone County is located in Montana with a population of 1,790. In McCone County, most residents own their homes. Many retirees live in McCone County and residents tend to be conservative.",,,,,,,,0.19,0.81,,,,,,,,0.16,0.07,0.08,0.11,0.07,0.11,0.15,0.25,0.03,-0.75,0.14,-0.29999999999999993,0.36,0.24137931034482762,0.39,0.4444444444444444,0.07,-0.41666666666666663,,,,,,,,0.005,0.063,0.006,0.89,0.04,0.0,0.0,0.06,0.02,0.0,0.0,0.5,0.5,0.18,0.26,0.24,0.26,0.06,0.31,0.29,0.25,0.15,,,,,,,
0,https://www.niche.com/places-to-live/c/sherman-county-tx/,B,B minus,D,B minus,A minus,B minus,B,B+,C,D,B minus,"Sherman County is located in Texas with a population of 3,059. In Sherman County, most residents own their homes. Many families and young professionals live in Sherman County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,0.1,0.12,0.1,0.1,0.14,0.15,0.15,0.13,0.03,-0.75,0.12,-0.4,0.33,0.13793103448275867,0.31,0.14814814814814814,0.21,0.75,,,,,,,,0.006,0.147,0.129,0.53,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.52,0.48,0.18,0.25,0.22,0.28,0.07,0.3,0.29,0.27,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/morrill-county-ne/,B minus,B minus,B minus,C+,B,C,unavailable,A minus,C minus,D+,B,"Morrill County is located in Nebraska with a population of 4,781. In Morrill County, most residents own their homes. Many retirees live in Morrill County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.14,0.1,0.06,0.12,0.11,0.12,0.15,0.2,0.05,-0.5833333333333333,0.14,-0.29999999999999993,0.36,0.24137931034482762,0.32,0.18518518518518512,0.13,0.08333333333333348,,,0,0,2,0,0,0.047,0.08800000000000001,0.035,0.82,0.15,0.01,0.01,0.01,0.0,0.0,0.0,0.51,0.49,0.19,0.3,0.23,0.22,0.06,0.28,0.33,0.27,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/worth-county-mo/,C minus,B+,C minus,C minus,C,A minus,B minus,A+,B minus,C minus,C+,"Worth County is located in Missouri with a population of 2,027. In Worth County, most residents own their homes. Many retirees live in Worth County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,0.12,0.09,0.07,0.1,0.1,0.12,0.16,0.25,0.07,-0.41666666666666663,0.13,-0.35,0.26,-0.10344827586206884,0.44,0.6296296296296295,0.1,-0.16666666666666663,,,,,,,,0.022000000000000002,0.134,0.0,0.96,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.48,0.52,0.25,0.18,0.29,0.25,0.03,0.29,0.36,0.23,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/sheridan-county-mt/,B minus,B minus,B+,C,C+,B minus,B minus,B minus,C minus,C,A,"Sheridan County is located in Montana with a population of 3,483. In Sheridan County, most residents own their homes. Many young professionals and retirees live in Sheridan County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,0.14,0.06,0.07,0.12,0.09,0.12,0.16,0.23,0.07,-0.41666666666666663,0.17,-0.15000000000000002,0.36,0.24137931034482762,0.32,0.18518518518518512,0.08,-0.33333333333333326,,,,,,,,0.013999999999999999,0.10099999999999999,0.013000000000000001,0.91,0.04,0.04,0.0,0.01,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.23,0.29,0.08,0.23,0.32,0.25,0.19,,,,,,,
0,https://www.niche.com/places-to-live/c/wayne-county-ut/,B,B minus,C,C+,C+,C+,B,C+,B+,B minus,A minus,"Wayne County is located in Utah with a population of 2,689. In Wayne County, most residents own their homes. Many retirees live in Wayne County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,0.12,0.15,0.06,0.09,0.11,0.11,0.15,0.21,0.04,-0.6666666666666666,0.19,-0.050000000000000044,0.4,0.3793103448275863,0.25,-0.07407407407407418,0.12,0.0,,,,,,,,0.013000000000000001,0.09699999999999999,0.018000000000000002,0.91,0.06,0.01,0.0,0.0,0.0,0.02,0.0,0.52,0.48,0.26,0.25,0.2,0.27,0.01,0.32,0.33,0.23,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/boyd-county-ne/,C+,A minus,C minus,C,C,B,C,A,C,C,B+,"Boyd County is located in Nebraska with a population of 1,937. In Boyd County, most residents own their homes. Many retirees live in Boyd County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,0.08,0.12,0.05,0.06,0.1,0.1,0.19,0.3,0.03,-0.75,0.13,-0.35,0.35,0.2068965517241379,0.44,0.6296296296296295,0.04,-0.6666666666666666,,,,,,,,0.009000000000000001,0.091,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.5,0.5,0.25,0.24,0.22,0.23,0.06,0.29,0.35,0.24,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/florence-county-wi/,C+,B,B+,C,C minus,B+,C minus,A minus,C,B+,B minus,"Florence County is located in Wisconsin with a population of 4,314. In Florence County, most residents own their homes. Many retirees live in Florence County and residents tend to be conservative.",,,,,,,,0.14,0.86,,,,,,,,0.09,0.07,0.05,0.09,0.09,0.15,0.21,0.26,0.06,-0.5,0.14,-0.29999999999999993,0.36,0.24137931034482762,0.38,0.40740740740740744,0.07,-0.41666666666666663,,,1,1,0,0,0,0.031,0.102,0.004,0.97,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.52,0.48,0.23,0.21,0.27,0.23,0.06,0.28,0.33,0.26,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/gurabo-municipio-pr/,unavailable,B minus,D,C+,C,D,A+,B,unavailable,C,C minus,"Gurabo Municipio is a County in Puerto Rico with a population of 46,910. In Gurabo Municipio, most residents own their homes. Many young professionals live in Gurabo Municipio.",,,,,,,,0.18,0.82,,,,,,,,0.09,0.11,0.1,0.13,0.15,0.14,0.12,0.15,0.11,-0.08333333333333326,0.22,0.09999999999999987,0.23,-0.2068965517241378,0.23,-0.14814814814814814,0.2,0.6666666666666667,,,3,2,0,0,0,0.096,,,0.02,0.97,0.0,0.01,0.0,0.0,0.0,0.01,0.47,0.53,0.39,0.22,0.18,0.15,0.06,,,,,,,,,,,
0,https://www.niche.com/places-to-live/c/madison-county-ga/,A,A,C,A,B,B minus,B,A minus,C+,B+,C,"Madison County is located in Georgia with a population of 29,218. In Madison County, most residents own their homes. Many families live in Madison County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,0.13,0.1,0.08,0.12,0.13,0.14,0.14,0.17,0.08,-0.33333333333333326,0.11,-0.45000000000000007,0.25,-0.13793103448275856,0.4,0.4814814814814814,0.17,0.41666666666666674,,,,,,,,0.044000000000000004,0.172,0.02,0.82,0.05,0.01,0.11,0.0,0.0,0.0,0.0,0.49,0.51,0.22,0.22,0.23,0.27,0.05,0.31,0.31,0.26,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/mcpherson-county-ks/,B,B+,B,B+,C+,B,B,B+,A minus,B,A,"McPherson County is located in Kansas with a population of 28,567. In McPherson County, most residents own their homes. Many young professionals and retirees live in McPherson County and residents tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,0.12,0.11,0.09,0.12,0.11,0.11,0.15,0.2,0.08,-0.33333333333333326,0.2,0.0,0.35,0.2068965517241379,0.28,0.03703703703703698,0.09,-0.25,,,1,1,0,0,0,0.013000000000000001,0.08800000000000001,0.008,0.92,0.04,0.02,0.01,0.0,0.01,0.0,0.0,0.49,0.51,0.16,0.23,0.25,0.29,0.08,0.26,0.3,0.28,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/morgan-county-al/,B,A minus,B,B+,B+,B minus,B minus,A minus,A minus,C+,B minus,"Morgan County is located in Alabama with a population of 119,213. In Morgan County, most residents own their homes. Many families and young professionals live in Morgan County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,0.13,0.1,0.08,0.12,0.12,0.14,0.14,0.17,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.31,0.06896551724137945,0.3,0.11111111111111094,0.16,0.3333333333333335,,,3,0,0,0,0,0.03,0.145,0.033,0.76,0.08,0.02,0.13,0.0,0.01,0.0,0.0,0.49,0.51,0.23,0.21,0.23,0.25,0.07,0.29,0.32,0.24,0.15,,,,,,,
0,https://www.niche.com/places-to-live/c/washington-county-ne/,A minus,A minus,B+,A minus,C,A minus,B minus,B+,B,B minus,B,"Washington County is located in Nebraska with a population of 20,361. In Washington County, most residents own their homes. Many young professionals live in Washington County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,0.13,0.12,0.08,0.1,0.12,0.14,0.15,0.18,0.09,-0.25,0.21,0.04999999999999982,0.34,0.1724137931034484,0.32,0.18518518518518512,0.04,-0.6666666666666666,,,,,,,,0.016,0.078,0.006999999999999999,0.94,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.49,0.51,0.14,0.17,0.22,0.35,0.13,0.23,0.23,0.31,0.23,,,,,,,
0,https://www.niche.com/places-to-live/c/black-hawk-county-ia/,B,B minus,A,B,B,B,C,B,B+,C+,A,"Black Hawk County is located in Iowa with a population of 132,393. In Black Hawk County, most residents own their homes. Many families and young professionals live in Black Hawk County and residents tend to lean liberal.",,,,,,,,0.35,0.65,,,,,,,,0.12,0.09,0.15,0.13,0.11,0.11,0.12,0.16,0.1,-0.16666666666666663,0.19,-0.050000000000000044,0.32,0.10344827586206917,0.3,0.11111111111111094,0.09,-0.25,,,,,,,,0.027999999999999997,0.157,0.037000000000000005,0.81,0.04,0.02,0.09,0.0,0.02,0.0,0.0,0.49,0.51,0.21,0.21,0.23,0.26,0.08,0.3,0.3,0.25,0.15,,,,,,,
0,https://www.niche.com/places-to-live/c/queen-annes-county-md/,A minus,C+,B,A minus,B minus,B+,B minus,C,A minus,A,C minus,"Queen Anne's County is located in Maryland with a population of 49,632. In Queen Anne's County, most residents own their homes. Many families live in Queen Anne's County and residents tend to be conservative.",,,,,,,,0.19,0.81,,,,,,,,0.11,0.11,0.08,0.1,0.11,0.15,0.16,0.18,0.15,0.25,0.22,0.09999999999999987,0.28,-0.0344827586206895,0.29,0.07407407407407396,0.07,-0.41666666666666663,,,8,11,11,1,0,0.017,0.057999999999999996,0.022000000000000002,0.87,0.04,0.02,0.07,0.0,0.01,0.0,0.0,0.5,0.5,0.09,0.12,0.18,0.35,0.26,0.19,0.24,0.26,0.31,,,,,,,
0,https://www.niche.com/places-to-live/c/putnam-county-oh/,A,A,B,A minus,C+,B+,C+,A minus,B,B,B,"Putnam County is located in Ohio with a population of 33,911. In Putnam County, most residents own their homes. Many young professionals live in Putnam County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,0.14,0.11,0.08,0.11,0.11,0.13,0.15,0.17,0.08,-0.33333333333333326,0.13,-0.35,0.31,0.06896551724137945,0.41,0.5185185185185184,0.07,-0.41666666666666663,,,,,,,,0.021,0.075,0.008,0.92,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.14,0.18,0.24,0.35,0.09,0.2,0.3,0.32,0.17,,,,,,,
