,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,African American,Hispanic,Asian,Two or more races,Other race,American Indian or Alaska native,Hawaiian or other Pacific Islander,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/mercer-county-nj/,A+,C,A,A+,A+,B,C+,C minus,A,A,B+,"Mercer County is located in New Jersey with a population of 367,922. In Mercer County, most residents own their homes. Many young professionals live in Mercer County and residents tend to be liberal.",,,,,,,,0.37,0.63,,,,,,,,,,,,,,,0.11,0.1,0.11,0.12,0.13,0.14,0.13,0.15,0.21,0.75,0.22,0.09999999999999987,0.21,-0.27586206896551724,0.25,-0.07407407407407418,0.11,-0.08333333333333326,,,4,3,1,0,0,0.04,0.11599999999999999,0.11900000000000001,0.5,0.2,0.18,0.11,0.02,0.0,0.0,0.0,0.51,0.49,0.17,0.13,0.17,0.29,0.25,0.25,0.24,0.22,0.29
0,https://www.niche.com/places-to-live/c/champaign-county-il/,B+,B minus,A,A,A minus,B,B minus,B minus,A minus,B+,A+,"Champaign County is located in Illinois with a population of 209,922. In Champaign County, most residents own their homes. Many young professionals live in Champaign County and residents tend to lean liberal.",,,,,,,,0.47,0.53,,,,,,,,,,,,,,,0.11,0.08,0.23,0.15,0.11,0.1,0.11,0.12,0.24,1.0,0.21,0.04999999999999982,0.28,-0.0344827586206895,0.22,-0.18518518518518523,0.05,-0.5833333333333333,,,12,24,15,4,0,0.032,0.2,0.083,0.67,0.13,0.06,0.11,0.02,0.0,0.0,0.0,0.5,0.5,0.26,0.17,0.2,0.25,0.11,0.3,0.27,0.24,0.19
0,https://www.niche.com/places-to-live/c/tippecanoe-county-in/,A minus,B+,A,A,B+,B+,B minus,B+,A minus,B,A+,"Tippecanoe County is located in Indiana with a population of 191,553. In Tippecanoe County, most residents own their homes. Many families and young professionals live in Tippecanoe County and residents tend to lean conservative.",,,,,,,,0.45,0.55,,,,,,,,,,,,,,,0.12,0.09,0.24,0.14,0.11,0.1,0.1,0.11,0.17,0.41666666666666674,0.21,0.04999999999999982,0.27,-0.06896551724137923,0.25,-0.07407407407407418,0.08,-0.33333333333333326,,,0,3,1,1,0,0.027000000000000003,0.187,0.092,0.76,0.05,0.08,0.08,0.02,0.0,0.0,0.0,0.49,0.51,0.24,0.19,0.23,0.25,0.09,0.34,0.28,0.22,0.15
0,https://www.niche.com/places-to-live/c/carver-county-mn/,A,A minus,A minus,A+,C+,A,C,B minus,A,B,B minus,"Carver County is located in Minnesota with a population of 101,949. In Carver County, most residents own their homes. Many families and young professionals live in Carver County and residents tend to lean conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.14,0.13,0.08,0.11,0.14,0.15,0.13,0.11,0.15,0.25,0.34,0.7,0.29,0.0,0.18,-0.33333333333333337,0.04,-0.6666666666666666,,,1,1,0,0,0,0.016,0.040999999999999995,0.019,0.89,0.02,0.04,0.03,0.02,0.0,0.0,0.0,0.5,0.5,0.09,0.09,0.17,0.35,0.3,0.2,0.19,0.27,0.34
0,https://www.niche.com/places-to-live/c/tompkins-county-ny/,A,C+,A+,A,B+,B+,C minus,C minus,A+,A,A+,"Tompkins County is located in New York with a population of 102,642. In Tompkins County, most residents own their homes. Many young professionals live in Tompkins County and residents tend to be liberal.",,,,,,,,0.45,0.55,,,,,,,,,,,,,,,0.08,0.07,0.27,0.13,0.1,0.1,0.11,0.14,0.31,1.5833333333333335,0.23,0.1499999999999999,0.22,-0.2413793103448275,0.19,-0.2962962962962963,0.06,-0.5,,,2,1,3,1,0,0.023,0.188,0.076,0.77,0.03,0.05,0.1,0.04,0.0,0.0,0.0,0.51,0.49,0.22,0.16,0.22,0.25,0.14,0.33,0.25,0.22,0.2
0,https://www.niche.com/places-to-live/c/fairfield-county-ct/,A,C,A,A+,A,B minus,C+,C minus,A+,A+,B,"Fairfield County is located in Connecticut with a population of 943,926. In Fairfield County, most residents own their homes. Many families and young professionals live in Fairfield County and residents tend to lean liberal.",,,,,,,,0.33,0.67,,,,,,,,,,,,,,,0.12,0.11,0.09,0.11,0.12,0.15,0.14,0.16,0.21,0.75,0.27,0.3500000000000001,0.21,-0.27586206896551724,0.21,-0.22222222222222232,0.1,-0.16666666666666663,,,21,24,6,0,0,0.045,0.08900000000000001,0.114,0.62,0.11,0.2,0.05,0.02,0.01,0.0,0.0,0.51,0.49,0.13,0.12,0.16,0.27,0.32,0.23,0.23,0.21,0.34
0,https://www.niche.com/places-to-live/c/delaware-county-pa/,A+,B minus,A+,A+,A minus,B,B minus,C,A+,A,B minus,"Delaware County is located in Pennsylvania with a population of 564,554. In Delaware County, most residents own their homes. Many families and young professionals live in Delaware County and residents tend to be liberal.",,,,,,,,0.31,0.69,,,,,,,,,,,,,,,0.12,0.1,0.1,0.13,0.12,0.13,0.14,0.16,0.17,0.41666666666666674,0.22,0.09999999999999987,0.24,-0.1724137931034483,0.3,0.11111111111111094,0.07,-0.41666666666666663,,,9,18,11,0,2,0.037000000000000005,0.1,0.045,0.67,0.21,0.04,0.06,0.02,0.0,0.0,0.0,0.52,0.48,0.15,0.16,0.19,0.29,0.21,0.25,0.25,0.24,0.26
0,https://www.niche.com/places-to-live/c/bristol-county-ri/,A+,B minus,A,A+,C+,A minus,C+,C,A+,A,B,"Bristol County is located in Rhode Island with a population of 48,764. In Bristol County, most residents own their homes. Many young professionals and retirees live in Bristol County and residents tend to be liberal.",,,,,,,,0.29,0.71,,,,,,,,,,,,,,,0.09,0.1,0.11,0.1,0.1,0.14,0.16,0.19,0.24,1.0,0.25,0.25,0.22,-0.2413793103448275,0.19,-0.2962962962962963,0.09,-0.25,,,6,4,1,0,0,0.023,0.07400000000000001,0.024,0.91,0.01,0.03,0.02,0.02,0.0,0.0,0.0,0.52,0.48,0.16,0.12,0.18,0.3,0.23,0.26,0.22,0.24,0.29
0,https://www.niche.com/places-to-live/c/rockwall-county-tx/,A+,A minus,B+,A+,B+,A+,B,C+,A minus,B,C minus,"Rockwall County is located in Texas with a population of 97,175. In Rockwall County, most residents own their homes. Many families and young professionals live in Rockwall County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.13,0.14,0.08,0.11,0.15,0.14,0.12,0.12,0.15,0.25,0.26,0.30000000000000004,0.33,0.13793103448275867,0.19,-0.2962962962962963,0.07,-0.41666666666666663,,,31,27,3,1,0,0.026000000000000002,0.048,0.047,0.71,0.06,0.18,0.03,0.02,0.0,0.0,0.0,0.51,0.49,0.07,0.1,0.18,0.37,0.27,0.2,0.2,0.26,0.34
0,https://www.niche.com/places-to-live/c/middlesex-county-nj/,A+,C+,A,A+,A+,B,C+,C minus,A,A,B minus,"Middlesex County is located in New Jersey with a population of 825,920. In Middlesex County, most residents own their homes. Many families and young professionals live in Middlesex County and residents tend to be liberal.",,,,,,,,0.37,0.64,,,,,,,,,,,,,,,0.12,0.1,0.09,0.13,0.14,0.14,0.13,0.15,0.18,0.5,0.26,0.30000000000000004,0.21,-0.27586206896551724,0.25,-0.07407407407407418,0.1,-0.16666666666666663,,,1,5,0,0,0,0.035,0.084,0.142,0.43,0.1,0.21,0.24,0.02,0.0,0.0,0.0,0.51,0.49,0.12,0.12,0.18,0.33,0.25,0.21,0.23,0.24,0.32
