,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,African American,Hispanic,Two or more races,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/thomas-county-ga/,B+,B,C+,B,B+,A,C+,A minus,B,A minus,B,B+,"Thomas County is located in Georgia with a population of 44,630. In Thomas County, most residents own their homes. Many families live in Thomas County and residents tend to be conservative.",44630,146800,861,43740,-0.325057471264368,-0.189265536723164,-0.303979759082157,0.39,0.61,67,-0.762999646268129,0,-1,10.3,-0.746928746928747,77.3,-0.429520295202952,1113.7,1.22695460907818,3892.8,0.905619737615038,108.3,-0.618661971830986,0.12,0.12,0.08,0.12,0.12,0.13,0.14,0.18,0.11,-0.083333333333333,0.14,-0.3,0.29,0,0.32,0.185185185185185,0.15,0.25,4.11,9,2,6,1,0,0,0.045,0.189,0.019,0.58,0.36,0.04,0.02,0,0,0,0,0.52,0.48,0.28,0.24,0.19,0.22,0.09,0.32,0.32,0.22,0.14
0,https://www.niche.com/places-to-live/c/polk-county-nc/,B+,A+,B,B+,A minus,B minus,B minus,B,B minus,B,B+,C+,"Polk County is located in North Carolina with a population of 20,557. In Polk County, most residents own their homes. Many retirees live in Polk County and residents tend to be conservative.",20557,225700,851,48787,0.037701149425288,-0.198681732580038,-0.223668507232309,0.26,0.74,38.5,-0.863813229571984,0,-1,0,-1,0,-1,577.6,0.15496900619876,1617.3,-0.208292539651459,154,-0.457746478873239,0.08,0.08,0.06,0.08,0.09,0.13,0.17,0.3,0.1,-0.166666666666667,0.19,-0.05,0.37,0.275862068965517,0.25,-0.074074074074074,0.09,-0.25,4.6,5,3,2,0,0,0,0.026,0.099,0.023,0.86,0.05,0.06,0.01,0,0.01,0,0.02,0.53,0.47,0.2,0.26,0.26,0.21,0.08,0.29,0.34,0.24,0.13
0,https://www.niche.com/places-to-live/c/barnstable-county-ma/,B+,A minus,C minus,A,B+,C+,B minus,B,C minus,A+,A,B+,"Barnstable County is located in Massachusetts with a population of 213,496. In Barnstable County, most residents own their homes. Many retirees live in Barnstable County and residents tend to lean liberal.",213496,393500,1311,74336,0.809195402298851,0.234463276836158,0.18288433079261,0.2,0.8,293.2,0.037141846480368,1.4,-0.770491803278688,42.5,0.044226044226044,18.2,-0.865682656826568,341.3,-0.31753649270146,970.2,-0.525063638143724,56.5,-0.801056338028169,0.08,0.08,0.07,0.09,0.09,0.13,0.18,0.3,0.19,0.583333333333334,0.25,0.25,0.28,-0.03448275862069,0.24,-0.111111111111111,0.05,-0.583333333333333,4.1,20,7,8,5,0,0,0.025,0.064,0.035,0.89,0.03,0.03,0.02,0.01,0.01,0,0.01,0.52,0.48,0.14,0.16,0.21,0.32,0.17,0.21,0.28,0.25,0.26
0,https://www.niche.com/places-to-live/c/rockdale-county-ga/,B+,C+,C+,A minus,A minus,A,B,B,B,B,B+,C,"Rockdale County is located in Georgia with a population of 89,717. In Rockdale County, most residents own their homes. Many families and young professionals live in Rockdale County and residents tend to be liberal.",89717,163900,1056,60189,-0.246436781609195,-0.005649717514124,-0.04223222952437,0.34,0.66,405.4,0.434029006013442,6.2,0.016393442622951,87.3,1.14496314496314,187.1,0.380811808118081,654.9,0.309538092381524,3898,0.90816526336401,380.4,0.33943661971831,0.13,0.12,0.09,0.11,0.13,0.14,0.14,0.14,0.09,-0.25,0.17,-0.15,0.31,0.06896551724138,0.31,0.148148148148148,0.11,-0.083333333333333,4.42,19,10,7,2,0,0,0.042,0.13,0.037,0.32,0.54,0.1,0.02,0,0.02,0,0,0.53,0.47,0.17,0.18,0.25,0.31,0.09,0.25,0.29,0.29,0.17
0,https://www.niche.com/places-to-live/c/murray-county-ok/,B+,B+,A minus,B,B+,B+,A minus,B+,A minus,B minus,B minus,B minus,"Murray County is located in Oklahoma with a population of 13,946. In Murray County, most residents own their homes. Many families, young professionals, and retirees live in Murray County and residents tend to be conservative.",13946,127000,698,52478,-0.416091954022988,-0.342749529190207,-0.16493483761119,0.3,0.7,264.9,-0.062964273081005,0,-1,37.8,-0.071253071253071,63.1,-0.534317343173432,895.7,0.791041791641672,2195,0.074505580575681,138.8,-0.511267605633803,0.12,0.11,0.07,0.12,0.12,0.13,0.14,0.19,0.05,-0.583333333333333,0.13,-0.35,0.29,0,0.38,0.407407407407407,0.16,0.333333333333333,,,,,,,,0.022,0.155,0.018,0.72,0.02,0.07,0.09,0.1,0.01,0,0,0.5,0.5,0.21,0.21,0.27,0.25,0.06,0.29,0.33,0.26,0.12
0,https://www.niche.com/places-to-live/c/grundy-county-ia/,B+,B+,A,B+,B+,C,A minus,C,A,B+,C+,B,"Grundy County is located in Iowa with a population of 12,299. In Grundy County, most residents own their homes. Many retirees live in Grundy County and residents tend to be conservative.",12299,130200,633,68038,-0.401379310344828,-0.403954802259887,0.082666327196346,0.18,0.82,186.4,-0.34064379200566,0,-1,74.5,0.83046683046683,0,-1,74.5,-0.851029794041192,223.6,-0.890542392794204,186.4,-0.343661971830986,0.12,0.11,0.07,0.11,0.12,0.12,0.14,0.2,0.06,-0.5,0.22,0.1,0.35,0.206896551724138,0.32,0.185185185185185,0.05,-0.583333333333333,,,,,,,,0.015,0.055,0.002,0.97,0.01,0.01,0.01,0,0,0,0,0.51,0.49,0.14,0.17,0.25,0.33,0.12,0.2,0.28,0.32,0.2
0,https://www.niche.com/places-to-live/c/autauga-county-al/,B+,B+,A minus,B,B+,B+,B+,B,B+,B minus,C+,C+,"Autauga County is located in Alabama with a population of 55,380. In Autauga County, most residents own their homes. Many families and young professionals live in Autauga County and residents tend to be conservative.",55380,154500,986,58731,-0.289655172413793,-0.071563088512241,-0.065432904221632,0.27,0.73,103.2,-0.63494870887867,11.2,0.836065573770492,33.5,-0.176904176904177,89.2,-0.34169741697417,368.1,-0.263947210557888,2858.5,0.399304875660858,343,0.207746478873239,0.13,0.11,0.09,0.13,0.13,0.14,0.13,0.15,0.1,-0.166666666666667,0.16,-0.2,0.28,-0.03448275862069,0.34,0.259259259259259,0.11,-0.083333333333333,4.5,2,1,1,0,0,0,0.022,0.151,0.01,0.75,0.19,0.03,0.02,0,0.01,0,0,0.51,0.49,0.22,0.17,0.21,0.3,0.09,0.27,0.29,0.26,0.19
0,https://www.niche.com/places-to-live/c/erie-county-pa/,B+,A minus,B minus,A,A minus,B,B minus,C minus,B,A minus,A minus,A minus,"Erie County is located in Pennsylvania with a population of 273,835. In Erie County, most residents own their homes. Many families and young professionals live in Erie County and residents tend to have moderate political views.",273835,134100,753,51529,-0.383448275862069,-0.290960451977401,-0.180035962637048,0.34,0.66,183.3,-0.351609480014149,3.2,-0.475409836065574,23.7,-0.417690417690418,55.9,-0.587453874538745,386.6,-0.226954609078184,1481.2,-0.274916780888976,76.3,-0.731338028169014,0.12,0.1,0.1,0.13,0.11,0.13,0.14,0.17,0.1,-0.166666666666667,0.18,-0.1,0.25,-0.137931034482759,0.39,0.444444444444444,0.09,-0.25,3.79,53,10,26,14,2,1,0.034,0.159,0.023,0.84,0.07,0.04,0.03,0,0.02,0,0,0.51,0.49,0.24,0.2,0.23,0.25,0.08,0.3,0.31,0.24,0.15
0,https://www.niche.com/places-to-live/c/kosciusko-county-in/,B+,B,A minus,A minus,B+,B minus,A minus,B minus,A minus,B,B+,B+,"Kosciusko County is located in Indiana with a population of 79,035. In Kosciusko County, most residents own their homes. Many families and young professionals live in Kosciusko County and residents tend to be conservative.",79035,150000,788,61366,-0.310344827586207,-0.258003766478343,-0.023503015451204,0.25,0.75,437.7,0.548284400424478,13.5,1.21311475409836,13.8,-0.660933660933661,47.1,-0.65239852398524,437.7,-0.124775044991002,3548.8,0.737223418836891,141.4,-0.502112676056338,0.13,0.11,0.09,0.13,0.11,0.12,0.14,0.16,0.08,-0.333333333333333,0.15,-0.25,0.28,-0.03448275862069,0.35,0.296296296296296,0.14,0.166666666666667,3,1,0,0,1,0,0,0.025,0.098,0.032,0.88,0.01,0.08,0.02,0,0.01,0,0,0.5,0.5,0.15,0.2,0.26,0.31,0.07,0.24,0.33,0.28,0.16
0,https://www.niche.com/places-to-live/c/putnam-county-ny/,B+,A+,C+,A minus,A,B,B,C,C minus,A,A,C,"Putnam County is located in New York with a population of 98,787. In Putnam County, most residents own their homes. Many young professionals live in Putnam County and residents tend to lean conservative.",98787,358500,1453,104486,0.648275862068966,0.368173258003766,0.662651369285362,0.18,0.82,10,-0.96462681287584,2,-0.672131147540984,2,-0.950859950859951,8,-0.940959409594096,66.2,-0.867626474705059,333.2,-0.836890542392794,8,-0.971830985915493,0.09,0.11,0.08,0.11,0.12,0.16,0.16,0.17,0.17,0.416666666666667,0.23,0.15,0.26,-0.103448275862069,0.27,0,0.07,-0.416666666666667,3.25,4,1,1,1,0,1,0.03,0.05,0.049,0.79,0.03,0.15,0.01,0,0.02,0,0,0.5,0.5,0.08,0.1,0.16,0.35,0.3,0.2,0.23,0.23,0.34
0,https://www.niche.com/places-to-live/c/pender-county-nc/,B+,B,B+,B,B+,B+,B+,B+,B,B+,B+,C,"Pender County is located in North Carolina with a population of 60,399. In Pender County, most residents own their homes. Many families and young professionals live in Pender County and residents tend to be conservative.",60399,198700,919,57240,-0.086436781609196,-0.134651600753296,-0.089158697070477,0.19,0.81,139,-0.508312698974178,0,-1,63.6,0.562653562653563,61.8,-0.543911439114391,694.8,0.389322135572885,4662.7,1.28250440571764,108.1,-0.619366197183099,0.12,0.11,0.07,0.11,0.13,0.14,0.15,0.18,0.1,-0.166666666666667,0.18,-0.1,0.32,0.103448275862069,0.28,0.037037037037037,0.12,0,3.5,4,1,1,1,1,0,0.047,0.14,0.025,0.75,0.14,0.07,0.03,0,0,0,0,0.5,0.5,0.21,0.19,0.21,0.27,0.11,0.31,0.28,0.24,0.16
0,https://www.niche.com/places-to-live/c/rock-island-county-il/,B+,B,B minus,A,B+,A minus,B minus,C+,B+,A minus,B+,A minus,"Rock Island County is located in Illinois with a population of 143,873. In Rock Island County, most residents own their homes. Many families and young professionals live in Rock Island County and residents tend to lean liberal.",143873,119400,748,54858,-0.451034482758621,-0.295668549905838,-0.127062680012094,0.32,0.68,326.2,0.153873363990096,3.3,-0.459016393442623,55.9,0.373464373464373,37.5,-0.723247232472325,558.1,0.115976804639072,2132.2,0.043763461915019,169.3,-0.40387323943662,0.12,0.1,0.09,0.12,0.12,0.12,0.14,0.19,0.08,-0.333333333333333,0.15,-0.25,0.36,0.241379310344828,0.29,0.074074074074074,0.11,-0.083333333333333,3.11,9,0,2,6,1,0,0.037,0.137,0.048,0.72,0.1,0.13,0.03,0,0.03,0,0,0.51,0.49,0.21,0.19,0.24,0.29,0.07,0.26,0.29,0.27,0.17
0,https://www.niche.com/places-to-live/c/kitsap-county-wa/,B+,B+,C,A,A minus,B+,B,A+,D+,A+,A+,B+,"Kitsap County is located in Washington with a population of 265,882. In Kitsap County, most residents own their homes. Many young professionals live in Kitsap County and residents tend to lean liberal.",265882,329900,1249,75411,0.516781609195402,0.17608286252354,0.199990452397244,0.32,0.68,236,-0.165192783869827,3.3,-0.459016393442623,51.8,0.272727272727272,41.9,-0.690774907749077,486.4,-0.027394521095781,2493.9,0.220824358723321,330.9,0.165140845070422,0.11,0.09,0.1,0.14,0.12,0.12,0.14,0.17,0.12,0,0.22,0.1,0.39,0.344827586206897,0.22,-0.185185185185185,0.05,-0.583333333333333,3.89,9,2,4,3,0,0,0.028,0.086,0.022,0.77,0.03,0.08,0.07,0.01,0.05,0.01,0,0.49,0.51,0.14,0.14,0.22,0.35,0.15,0.22,0.27,0.26,0.26
0,https://www.niche.com/places-to-live/c/bryan-county-ga/,B+,B+,B,B+,A minus,B+,B+,B+,B minus,B,C+,D,"Bryan County is located in Georgia with a population of 37,063. In Bryan County, most residents own their homes. Many families and young professionals live in Bryan County and residents tend to be conservative.",37063,223900,1242,72624,0.029425287356322,0.169491525423729,0.155641837595277,0.3,0.7,157.5,-0.442872302794482,0,-1,0,-1,0,-1,787.7,0.575084983003399,2008.7,-0.016692774623066,0,-1,0.16,0.14,0.08,0.13,0.16,0.12,0.1,0.11,0.13,0.083333333333334,0.21,0.05,0.34,0.172413793103448,0.24,-0.111111111111111,0.08,-0.333333333333333,3,3,1,0,1,0,1,0.046,0.124,0.019,0.73,0.14,0.07,0.04,0,0.01,0,0,0.5,0.5,0.17,0.16,0.19,0.34,0.15,0.26,0.24,0.25,0.25
