,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,African American,Two or more races,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/carroll-county-in/,B minus,B,B+,B,B minus,C+,B,C+,A minus,C+,B minus,C,"Carroll County is located in Indiana with a population of 20,074. In Carroll County, most residents own their homes. Many families live in Carroll County and residents tend to be conservative.",20074,131700,691,54806,-0.3944827586206896,-0.3493408662900188,-0.12789013891762013,0.19,0.81,69.9,-0.7527414220021224,0.0,-1.0,34.9,-0.14250614250614257,34.9,-0.7424354243542435,209.6,-0.580883823235353,1956.7,-0.04214803211278628,34.9,-0.877112676056338,0.11,0.11,0.08,0.11,0.12,0.13,0.15,0.19,0.04,-0.6666666666666666,0.12,-0.4,0.31,0.06896551724137945,0.41,0.5185185185185184,0.12,0.0,,,,,,,,0.019,0.096,0.012,0.94,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.17,0.23,0.26,0.27,0.08,0.25,0.33,0.27,0.15
0,https://www.niche.com/places-to-live/c/carroll-county-il/,B minus,B minus,B,B+,C+,C,B,C,A minus,B minus,B,B minus,"Carroll County is located in Illinois with a population of 14,466. In Carroll County, most residents own their homes. Many retirees live in Carroll County and residents tend to be conservative.",14466,106100,631,52410,-0.512183908045977,-0.4058380414312618,-0.16601689925687824,0.23,0.77,26.5,-0.9062610541209764,0.0,-1.0,52.9,0.2997542997542997,0.0,-1.0,238.2,-0.5236952609478105,423.5,-0.7926865087135304,26.5,-0.9066901408450704,0.1,0.09,0.07,0.1,0.1,0.12,0.16,0.25,0.07,-0.41666666666666663,0.13,-0.35,0.34,0.1724137931034484,0.38,0.40740740740740744,0.09,-0.25,,,,,,,,0.033,0.107,0.006999999999999999,0.93,0.04,0.01,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.2,0.24,0.24,0.26,0.06,0.26,0.32,0.27,0.15
0,https://www.niche.com/places-to-live/c/cambria-county-pa/,B minus,B minus,B minus,A minus,B minus,C+,C+,D,B+,A minus,B,B,"Cambria County is located in Pennsylvania with a population of 133,009. In Cambria County, most residents own their homes. Many retirees live in Cambria County and residents tend to be conservative.",133009,91900,634,46659,-0.5774712643678162,-0.4030131826741996,-0.2575306716738539,0.26,0.74,159.1,-0.4372125928546162,10.4,0.7049180327868854,19.8,-0.5135135135135136,36.4,-0.7313653136531366,276.7,-0.44671065786842634,1227.3,-0.39920697082435874,36.4,-0.8718309859154929,0.1,0.09,0.09,0.1,0.11,0.13,0.16,0.22,0.08,-0.33333333333333326,0.13,-0.35,0.25,-0.13793103448275856,0.45,0.6666666666666665,0.08,-0.33333333333333326,4,4,1,2,1,0,0,0.033,0.153,0.004,0.93,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.49,0.51,0.26,0.22,0.22,0.24,0.05,0.31,0.33,0.24,0.12
0,https://www.niche.com/places-to-live/c/boyd-county-ky/,B minus,B minus,B,B minus,B minus,C+,C+,B,A minus,B,B,B,"Boyd County is located in Kentucky with a population of 47,682. In Boyd County, most residents own their homes. Many families and retirees live in Boyd County and residents tend to be conservative.",47682,111200,699,48308,-0.48873563218390803,-0.3418079096045198,-0.23129067676590864,0.31,0.69,114.4,-0.5953307392996108,0.0,-1.0,48.4,0.18918918918918903,26.4,-0.8051660516605166,559.0,0.11777644471105764,3265.7,0.5986391227726648,259.7,-0.0855633802816902,0.12,0.09,0.07,0.12,0.13,0.14,0.14,0.19,0.09,-0.25,0.11,-0.45000000000000007,0.35,0.2068965517241379,0.34,0.2592592592592593,0.12,0.0,,,,,,,,0.042,0.18899999999999997,0.006,0.93,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.5,0.5,0.26,0.22,0.22,0.24,0.06,0.33,0.33,0.22,0.13
0,https://www.niche.com/places-to-live/c/washington-county-ia/,B minus,C+,B minus,A minus,B minus,C+,B,C+,B+,B,C+,B,"Washington County is located in Iowa with a population of 22,100. In Washington County, most residents own their homes. Many young professionals and retirees live in Washington County and residents tend to lean conservative.",22100,151600,754,62556,-0.30298850574712644,-0.2900188323917138,-0.004566936651655751,0.29,0.71,738.2,1.6112486735054832,0.0,-1.0,93.9,1.307125307125307,0.0,-1.0,201.3,-0.5974805038992201,1462.9,-0.2838750734286273,53.7,-0.8109154929577465,0.13,0.12,0.08,0.11,0.11,0.12,0.14,0.19,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.3,0.034482758620689724,0.39,0.4444444444444444,0.09,-0.25,3.75,4,1,1,2,0,0,0.022000000000000002,0.09699999999999999,0.022000000000000002,0.91,0.06,0.01,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.15,0.19,0.26,0.32,0.08,0.22,0.31,0.31,0.15
0,https://www.niche.com/places-to-live/c/howell-county-mo/,B minus,B,B,B minus,B minus,C,B,B minus,A minus,C+,B,B+,"Howell County is located in Missouri with a population of 40,104. In Howell County, most residents own their homes. Many families and retirees live in Howell County and residents tend to be conservative.",40104,112200,598,38357,-0.48413793103448277,-0.4369114877589454,-0.38963766847540693,0.32,0.68,203.7,-0.2794481782808631,5.8,-0.0491803278688524,64.0,0.5724815724815724,40.7,-0.6996309963099631,686.8,0.37332533493301323,2572.5,0.2593009594673976,273.5,-0.0369718309859155,0.13,0.11,0.08,0.12,0.11,0.12,0.13,0.2,0.08,-0.33333333333333326,0.1,-0.5,0.3,0.034482758620689724,0.39,0.4444444444444444,0.13,0.08333333333333348,5,2,2,0,0,0,0,0.023,0.223,0.006,0.94,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.49,0.51,0.32,0.26,0.21,0.18,0.04,0.37,0.34,0.19,0.1
0,https://www.niche.com/places-to-live/c/fremont-county-id/,B minus,B minus,B,B minus,B,B minus,B+,C minus,C+,B+,A minus,B,"Fremont County is located in Idaho with a population of 13,020. In Fremont County, most residents own their homes. Many families and young professionals live in Fremont County and residents tend to be conservative.",13020,169900,798,58065,-0.2188505747126437,-0.24858757062146897,-0.07603074328087456,0.19,0.81,143.1,-0.493809692253272,0.0,-1.0,0.0,-1.0,0.0,-1.0,114.5,-0.7710457908418317,715.7,-0.6496475425886039,57.3,-0.7982394366197183,0.13,0.13,0.09,0.11,0.13,0.11,0.13,0.17,0.06,-0.5,0.16,-0.20000000000000007,0.35,0.2068965517241379,0.3,0.11111111111111094,0.13,0.08333333333333348,,,,,,,,0.034,0.129,0.047,0.85,0.13,0.0,0.01,0.0,0.0,0.0,0.01,0.52,0.48,0.17,0.23,0.25,0.3,0.05,0.32,0.33,0.24,0.11
0,https://www.niche.com/places-to-live/c/gilmer-county-wv/,B minus,D+,B+,B,C,B,B minus,unavailable,A,C,B,C+,"Gilmer County is located in West Virginia with a population of 8,041. In Gilmer County, most residents own their homes. Residents of Gilmer County tend to be conservative.",8041,93300,584,42636,-0.5710344827586207,-0.4500941619585688,-0.3215473481533345,0.31,0.69,,,,,,,,,,,,,,,0.1,0.06,0.16,0.13,0.14,0.12,0.13,0.17,0.07,-0.41666666666666663,0.1,-0.5,0.23,-0.2068965517241378,0.45,0.6666666666666665,0.15,0.25,2.21,14,0,0,5,7,2,0.055999999999999994,0.165,0.022000000000000002,0.81,0.04,0.12,0.01,0.01,0.0,0.0,0.0,0.59,0.41,0.32,0.21,0.22,0.22,0.02,0.45,0.28,0.19,0.09
0,https://www.niche.com/places-to-live/c/conway-county-ar/,B minus,B,B,B minus,B minus,B,C+,B,A minus,C,C+,C,"Conway County is located in Arkansas with a population of 20,858. In Conway County, most residents own their homes. Many families and retirees live in Conway County and residents tend to be conservative.",20858,107600,647,42802,-0.5052873563218391,-0.3907721280602636,-0.31890584472415384,0.33,0.67,127.8,-0.5479306685532366,12.8,1.098360655737705,51.1,0.2555282555282554,12.8,-0.9055350553505535,651.9,0.3035392921415716,4307.8,1.1087722733503038,153.4,-0.4598591549295774,0.12,0.11,0.07,0.12,0.11,0.13,0.14,0.19,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.28,-0.0344827586206895,0.44,0.6296296296296295,0.13,0.08333333333333348,3,1,0,0,1,0,0,0.039,0.17,0.015,0.82,0.04,0.1,0.04,0.0,0.0,0.0,0.0,0.49,0.51,0.3,0.22,0.22,0.19,0.06,0.33,0.35,0.2,0.12
0,https://www.niche.com/places-to-live/c/mason-county-mi/,B minus,C,B minus,B+,B minus,C+,B,D+,B+,B,A minus,B+,"Mason County is located in Michigan with a population of 28,954. In Mason County, most residents own their homes. Many young professionals and retirees live in Mason County and residents tend to lean conservative.",28954,141400,698,51725,-0.3498850574712644,-0.3427495291902072,-0.1769170790700635,0.23,0.77,161.5,-0.42872302794481776,0,-1.0,215.3,4.2899262899262895,10.8,-0.9202952029520295,236.8,-0.526494701059788,2163.6,0.05913452124534957,32.3,-0.8862676056338028,0.11,0.1,0.07,0.1,0.1,0.12,0.16,0.23,0.1,-0.16666666666666663,0.13,-0.35,0.35,0.2068965517241379,0.34,0.2592592592592593,0.08,-0.33333333333333326,4.5,2,1,1,0,0,0,0.025,0.15,0.009000000000000001,0.91,0.05,0.01,0.02,0.01,0.01,0.0,0.0,0.5,0.5,0.23,0.21,0.25,0.25,0.06,0.28,0.35,0.24,0.13
