,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,African American,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/clay-county-ar/,C+,C+,B,C,C+,C,C+,B,A,C+,B,B minus,"Clay County is located in Arkansas with a population of 14,889. In Clay County, most residents own their homes. Many retirees live in Clay County and residents tend to be conservative.",14889,77400,618,37233,-0.6441379310344828,-0.4180790960451978,-0.40752351097178685,0.33,0.67,195.4,-0.30880792359391573,0.0,-1.0,0.0,-1.0,0.0,-1.0,466.0,-0.0681863627274546,1022.2,-0.49960838065400426,45.1,-0.8411971830985916,0.11,0.11,0.08,0.11,0.12,0.13,0.14,0.21,0.05,-0.5833333333333333,0.07,-0.6499999999999999,0.28,-0.0344827586206895,0.42,0.5555555555555554,0.18,0.5,,,,,,,,0.028999999999999998,0.209,0.003,0.95,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.51,0.49,0.35,0.22,0.24,0.16,0.03,0.37,0.35,0.2,0.08
0,https://www.niche.com/places-to-live/c/greene-county-pa/,C+,C,B,B,C+,C+,B,C minus,B+,B minus,B+,C,"Greene County is located in Pennsylvania with a population of 36,870. In Greene County, most residents own their homes. Residents of Greene County tend to be conservative.",36870,122900,672,54776,-0.4349425287356322,-0.36723163841807904,-0.12836751905542387,0.25,0.75,174.8,-0.3816766890696851,9.7,0.5901639344262295,48.6,0.1941031941031941,29.1,-0.785239852398524,271.9,-0.45630873825234963,1408.0,-0.31074995104758174,116.5,-0.5897887323943662,0.1,0.09,0.1,0.12,0.12,0.14,0.15,0.19,0.06,-0.5,0.12,-0.4,0.24,-0.1724137931034483,0.46,0.7037037037037037,0.12,0.0,4,2,0,2,0,0,0,0.023,0.131,0.004,0.93,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.48,0.52,0.23,0.19,0.21,0.28,0.08,0.31,0.3,0.23,0.17
0,https://www.niche.com/places-to-live/c/carbon-county-pa/,C+,B minus,C,B+,B minus,C+,B minus,C,B minus,B+,A minus,C,"Carbon County is located in Pennsylvania with a population of 63,887. In Carbon County, most residents own their homes. Many retirees live in Carbon County and residents tend to be conservative.",63887,146400,830,57006,-0.3268965517241379,-0.21845574387947264,-0.09288226214534634,0.24,0.76,333.5,0.17969579059073237,0.0,-1.0,33.7,-0.17199017199017197,15.3,-0.8870848708487085,354.9,-0.2903419316136774,1955.3,-0.0428333659682788,97.9,-0.655281690140845,0.1,0.1,0.07,0.11,0.11,0.15,0.16,0.21,0.07,-0.41666666666666663,0.11,-0.45000000000000007,0.26,-0.10344827586206884,0.45,0.6666666666666665,0.11,-0.08333333333333326,,,,,,,,0.039,0.115,0.008,0.92,0.05,0.01,0.02,0.0,0.01,0.0,0.0,0.5,0.5,0.2,0.2,0.23,0.29,0.07,0.26,0.32,0.27,0.15
0,https://www.niche.com/places-to-live/c/gates-county-nc/,C+,B,C+,C,B,A minus,C minus,B,B+,D+,B+,D minus,"Gates County is located in North Carolina with a population of 11,548. In Gates County, most residents own their homes. Residents of Gates County tend to lean conservative.",11548,147700,860,50750,-0.320919540229885,-0.1902071563088512,-0.19243193354868482,0.22,0.78,,,,,,,,,,,,,,,0.1,0.1,0.07,0.1,0.1,0.16,0.17,0.2,0.06,-0.5,0.08,-0.6000000000000001,0.37,0.27586206896551735,0.38,0.40740740740740744,0.11,-0.08333333333333326,4.5,4,2,2,0,0,0,0.038,0.134,0.003,0.63,0.0,0.02,0.33,0.01,0.01,0.0,0.0,0.51,0.49,0.2,0.26,0.23,0.25,0.05,0.29,0.29,0.29,0.13
0,https://www.niche.com/places-to-live/c/grady-county-ga/,C+,C minus,C minus,C,C+,A,B minus,B+,B+,C+,B,C,"Grady County is located in Georgia with a population of 24,828. In Grady County, most residents own their homes. Many families live in Grady County and residents tend to be conservative.",24828,119800,778,43531,-0.4491954022988506,-0.2674199623352166,-0.3073055073755231,0.36,0.64,261.6,-0.07463742483197722,10.5,0.7213114754098362,10.5,-0.742014742014742,62.8,-0.5365313653136532,596.4,0.1925614877024595,2950.4,0.4442921480321129,73.2,-0.7422535211267606,0.12,0.13,0.07,0.12,0.11,0.13,0.13,0.18,0.06,-0.5,0.08,-0.6000000000000001,0.27,-0.06896551724137923,0.39,0.4444444444444444,0.2,0.6666666666666667,5,1,1,0,0,0,0,0.027999999999999997,0.225,0.047,0.58,0.11,0.01,0.29,0.01,0.01,0.0,0.0,0.51,0.49,0.29,0.22,0.23,0.22,0.05,0.32,0.34,0.23,0.11
0,https://www.niche.com/places-to-live/c/saguache-county-co/,C+,B minus,C,C minus,C+,A minus,B,B minus,C+,C+,C+,A minus,"Saguache County is located in Colorado with a population of 6,592. In Saguache County, most residents own their homes. Residents of Saguache County tend to lean liberal.",6592,152700,631,38571,-0.2979310344827586,-0.4058380414312618,-0.3862323568257403,0.28,0.72,89.6,-0.6830562433675273,0,-1.0,0,-1.0,0,-1.0,1030.5,1.060587882423515,1209.7,-0.40782259643626395,134.4,-0.5267605633802817,0.12,0.1,0.05,0.09,0.1,0.13,0.19,0.22,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.3,0.034482758620689724,0.31,0.14814814814814814,0.17,0.41666666666666674,,,,,,,,0.034,0.17300000000000001,0.061,0.59,0.36,0.03,0.01,0.02,0.0,0.0,0.0,0.5,0.5,0.32,0.24,0.22,0.17,0.05,0.33,0.36,0.22,0.09
0,https://www.niche.com/places-to-live/c/chenango-county-ny/,C+,C+,C+,B+,C+,C,B,D+,B,B,B,B,"Chenango County is located in New York with a population of 47,909. In Chenango County, most residents own their homes. Many retirees live in Chenango County and residents tend to be conservative.",47909,98400,678,52002,-0.5475862068965518,-0.3615819209039548,-0.17250926913100906,0.26,0.74,90.6,-0.6795189246551114,0,-1.0,113.2,1.781326781326781,0,-1.0,234,-0.5320935812837433,1502.3,-0.2645878206383395,22.6,-0.9204225352112676,0.11,0.1,0.08,0.11,0.11,0.14,0.16,0.2,0.08,-0.33333333333333326,0.1,-0.5,0.3,0.034482758620689724,0.39,0.4444444444444444,0.12,0.0,4,5,2,1,2,0,0,0.036000000000000004,0.134,0.006999999999999999,0.95,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.24,0.19,0.24,0.26,0.06,0.28,0.32,0.26,0.14
0,https://www.niche.com/places-to-live/c/mcnairy-county-tn/,C,B minus,B,C,C+,C+,C,B,A minus,C+,B,C,"McNairy County is located in Tennessee with a population of 25,844. In McNairy County, most residents own their homes. Many retirees live in McNairy County and residents tend to be conservative.",25844,98100,624,39161,-0.5489655172413793,-0.4124293785310734,-0.37684388078226694,0.27,0.73,583.6,1.0643792005659711,0,-1.0,59.9,0.47174447174447165,15,-0.8892988929889298,568.6,0.13697260547890422,2454,0.20129234384178574,194.5,-0.3151408450704225,0.11,0.1,0.08,0.11,0.11,0.14,0.14,0.21,0.05,-0.5833333333333333,0.08,-0.6000000000000001,0.25,-0.13793103448275856,0.45,0.6666666666666665,0.17,0.41666666666666674,2.5,4,0,0,2,2,0,0.057,0.18600000000000003,0.004,0.9,0.02,0.02,0.06,0.0,0.0,0.0,0.0,0.51,0.49,0.33,0.24,0.22,0.17,0.04,0.35,0.34,0.24,0.08
0,https://www.niche.com/places-to-live/c/lewis-county-ny/,C,B,B minus,B+,B,C,B minus,D,B,C+,B+,B,"Lewis County is located in New York with a population of 26,572. In Lewis County, most residents own their homes. Many families live in Lewis County and residents tend to be conservative.",26572,120200,768,54524,-0.4473563218390805,-0.2768361581920904,-0.13237751221297522,0.19,0.81,88.3,-0.6876547576936682,0,-1.0,29.4,-0.2776412776412778,0,-1.0,117.7,-0.7646470705858828,971.2,-0.5245741139612297,0,-1.0,0.12,0.11,0.08,0.11,0.11,0.13,0.16,0.18,0.08,-0.33333333333333326,0.1,-0.5,0.27,-0.06896551724137923,0.45,0.6666666666666665,0.1,-0.16666666666666663,,,,,,,,0.028999999999999998,0.135,0.012,0.96,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.18,0.23,0.26,0.27,0.07,0.26,0.31,0.29,0.13
0,https://www.niche.com/places-to-live/c/clallam-county-wa/,C,C,D+,B,C,B minus,C,A,C minus,A,A,A minus,"Clallam County is located in Washington with a population of 75,392. In Clallam County, most residents own their homes. Many retirees live in Clallam County and residents tend to have moderate political views.",75392,253800,952,52192,0.16689655172413786,-0.10357815442561202,-0.1694858615915854,0.3,0.7,295.3,0.0445702157764416,3.2,-0.47540983606557374,126.6,2.11056511056511,61.7,-0.5446494464944649,577.7,0.1551689662067588,3037.9,0.4871255140003916,220.7,-0.22288732394366206,0.09,0.08,0.06,0.11,0.1,0.11,0.17,0.29,0.11,-0.08333333333333326,0.16,-0.20000000000000007,0.39,0.3448275862068968,0.26,-0.03703703703703709,0.08,-0.33333333333333326,,,,,,,,0.038,0.145,0.022000000000000002,0.83,0.06,0.04,0.01,0.05,0.02,0.0,0.0,0.51,0.49,0.23,0.21,0.22,0.27,0.08,0.27,0.32,0.24,0.17
0,https://www.niche.com/places-to-live/c/barbour-county-al/,C,C minus,C minus,C,C+,A minus,C minus,B+,A minus,C+,B+,B,"Barbour County is located in Alabama with a population of 25,361. In Barbour County, most residents own their homes. Many families live in Barbour County and residents tend to have moderate political views.",25361,90700,576,32525,-0.5829885057471265,-0.4576271186440678,-0.4824403672644527,0.39,0.61,349.1,0.23487796250442172,0,-1.0,32.9,-0.1916461916461918,131.7,-0.028044280442804492,704.7,0.40911817636472714,2601.6,0.27354611317799105,151.5,-0.4665492957746479,0.12,0.09,0.08,0.14,0.12,0.13,0.13,0.19,0.04,-0.6666666666666666,0.08,-0.6000000000000001,0.26,-0.10344827586206884,0.36,0.33333333333333326,0.27,1.2500000000000004,2,1,0,0,0,1,0,0.048,0.3,0.013999999999999999,0.46,0.04,0.01,0.47,0.0,0.0,0.0,0.0,0.47,0.53,0.41,0.23,0.17,0.16,0.04,0.43,0.31,0.16,0.09
0,https://www.niche.com/places-to-live/c/braxton-county-wv/,C,C minus,B minus,B,C,C,B minus,unavailable,A,B minus,B,C,"Braxton County is located in West Virginia with a population of 14,190. In Braxton County, most residents own their homes. Many retirees live in Braxton County and residents tend to be conservative.",14190,86400,593,41466,-0.6027586206896551,-0.44161958568738224,-0.34016517352768005,0.19,0.81,,,,,,,,,,,,,,,0.11,0.09,0.07,0.12,0.11,0.13,0.15,0.22,0.04,-0.6666666666666666,0.11,-0.45000000000000007,0.19,-0.34482758620689646,0.46,0.7037037037037037,0.2,0.6666666666666667,3.23,13,1,3,7,2,0,0.077,0.21899999999999997,0.001,0.97,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.24,0.21,0.21,0.04,0.35,0.34,0.21,0.1
