,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Asian,Two or more races,African American,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/ripley-county-in/,B minus,A minus,B+,B,B+,C,C+,C+,A minus,B minus,B minus,C+,"Ripley County is located in Indiana with a population of 28,391. In Ripley County, most residents own their homes. Many families live in Ripley County and residents tend to be conservative.",28391,152100,693,56332,-0.30068965517241375,-0.34745762711864403,-0.10360740257467016,0.24,0.76,193.9,-0.3141139016625397,0.0,-1.0,29.8,-0.26781326781326786,14.9,-0.8900369003690036,208.8,-0.5824835032993401,1148.4,-0.4378304288231838,89.5,-0.6848591549295775,0.12,0.11,0.08,0.11,0.12,0.14,0.14,0.17,0.07,-0.41666666666666663,0.11,-0.45000000000000007,0.28,-0.0344827586206895,0.44,0.6296296296296295,0.11,-0.08333333333333326,,,,,,,,0.035,0.11699999999999999,0.009000000000000001,0.96,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.51,0.49,0.19,0.22,0.23,0.29,0.07,0.26,0.32,0.28,0.14
0,https://www.niche.com/places-to-live/c/llano-county-tx/,B minus,B,B minus,B,C,C+,B+,A minus,B,B,C+,C minus,"Llano County is located in Texas with a population of 21,047. In Llano County, most residents own their homes. Many retirees live in Llano County and residents tend to be conservative.",21047,194800,885,53411,-0.104367816091954,-0.16666666666666663,-0.15008831532549372,0.22,0.78,289.0,0.02228510788822069,0.0,-1.0,22.2,-0.4545454545454546,0.0,-1.0,266.7,-0.46670665866826644,933.5,-0.5430291756412766,44.5,-0.8433098591549295,0.08,0.07,0.05,0.09,0.07,0.11,0.17,0.36,0.07,-0.41666666666666663,0.18,-0.10000000000000009,0.34,0.1724137931034484,0.26,-0.03703703703703709,0.14,0.16666666666666674,3.5,8,2,2,3,0,1,0.034,0.106,0.028999999999999998,0.86,0.1,0.0,0.02,0.01,0.01,0.0,0.0,0.51,0.49,0.2,0.23,0.2,0.25,0.11,0.32,0.31,0.19,0.18
0,https://www.niche.com/places-to-live/c/cecil-county-md/,B minus,B,C+,B+,B,B minus,C+,B minus,B minus,B+,A minus,C+,"Cecil County is located in Maryland with a population of 102,552. In Cecil County, most residents own their homes. Many families and young professionals live in Cecil County and residents tend to be conservative.",102552,242700,1126,76887,0.1158620689655172,0.06026365348399243,0.2234775551771877,0.27,0.73,554.6,0.9617969579059076,3.7,-0.39344262295081955,26.2,-0.3562653562653564,183.6,0.354981549815498,801.9,0.603479304139172,3376.2,0.65273154493832,228.6,-0.19507042253521134,0.12,0.11,0.08,0.12,0.12,0.15,0.15,0.15,0.09,-0.25,0.15,-0.2500000000000001,0.29,0.0,0.36,0.33333333333333326,0.11,-0.08333333333333326,3.14,79,3,20,41,15,0,0.034,0.09699999999999999,0.017,0.85,0.04,0.01,0.03,0.06,0.0,0.0,0.0,0.5,0.5,0.14,0.15,0.19,0.36,0.16,0.22,0.27,0.26,0.25
0,https://www.niche.com/places-to-live/c/madison-county-ny/,B minus,B,B minus,A minus,B,C+,B,D+,B minus,B+,A minus,B,"Madison County is located in New York with a population of 71,205. In Madison County, most residents own their homes. Many young professionals live in Madison County and residents tend to lean conservative.",71205,136800,783,61633,-0.3710344827586207,-0.2627118644067796,-0.019254332224750592,0.23,0.77,69.2,-0.7552175451008136,3.6,-0.4098360655737704,29.1,-0.28501228501228504,32.8,-0.7579335793357934,262.2,-0.47570485902819437,1577.1,-0.22797141178774238,25.5,-0.9102112676056338,0.11,0.09,0.13,0.1,0.1,0.14,0.15,0.18,0.11,-0.08333333333333326,0.15,-0.2500000000000001,0.31,0.06896551724137945,0.35,0.29629629629629606,0.08,-0.33333333333333326,,,,,,,,0.026000000000000002,0.09699999999999999,0.012,0.93,0.02,0.01,0.01,0.02,0.0,0.0,0.0,0.51,0.49,0.19,0.17,0.24,0.31,0.09,0.27,0.29,0.27,0.17
0,https://www.niche.com/places-to-live/c/bennington-county-vt/,B minus,C+,C minus,B+,B minus,C,B,C minus,C+,A,A minus,A minus,"Bennington County is located in Vermont with a population of 35,746. In Bennington County, most residents own their homes. Many young professionals and retirees live in Bennington County and residents tend to be liberal.",35746,207600,812,56183,-0.04551724137931035,-0.2354048964218456,-0.10597839059242875,0.26,0.74,144.6,-0.488503714184648,0.0,-1.0,13.1,-0.6781326781326782,6.6,-0.9512915129151291,414.1,-0.17196560687862428,1702.3,-0.1666829841394165,118.3,-0.5834507042253521,0.1,0.09,0.1,0.1,0.1,0.13,0.16,0.23,0.14,0.16666666666666674,0.22,0.09999999999999987,0.26,-0.10344827586206884,0.29,0.07407407407407396,0.09,-0.25,3,5,1,0,2,2,0,0.023,0.109,0.012,0.94,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.51,0.49,0.2,0.19,0.23,0.27,0.11,0.28,0.31,0.25,0.16
0,https://www.niche.com/places-to-live/c/independence-county-ar/,B minus,B minus,B minus,B,B minus,B minus,B minus,B minus,A minus,B,B minus,B+,"Independence County is located in Arkansas with a population of 37,427. In Independence County, most residents own their homes. Many families live in Independence County and residents tend to be conservative.",37427,98900,631,44319,-0.545287356321839,-0.4058380414312618,-0.2947663224225451,0.28,0.72,138.8,-0.5090201627166607,0.0,-1.0,129.6,2.184275184275184,9.3,-0.9313653136531366,222.1,-0.5558888222355529,1628.7,-0.2027119639710201,138.8,-0.5112676056338028,0.13,0.11,0.09,0.12,0.12,0.13,0.13,0.17,0.06,-0.5,0.12,-0.4,0.31,0.06896551724137945,0.38,0.40740740740740744,0.14,0.16666666666666674,,,,,,,,0.026000000000000002,0.165,0.02,0.89,0.06,0.01,0.02,0.02,0.0,0.0,0.0,0.51,0.49,0.27,0.24,0.24,0.2,0.05,0.34,0.37,0.2,0.1
0,https://www.niche.com/places-to-live/c/taylor-county-ia/,B,B+,A minus,C,B,C+,A minus,C+,A,B minus,B minus,B,"Taylor County is located in Iowa with a population of 6,167. In Taylor County, most residents own their homes. Many retirees live in Taylor County and residents tend to be conservative.",6167,80600,568,50431,-0.6294252873563219,-0.4651600753295668,-0.19750807568066453,0.22,0.78,,,,,,,,,,,,,,,0.13,0.11,0.08,0.11,0.11,0.11,0.14,0.22,0.03,-0.75,0.11,-0.45000000000000007,0.37,0.27586206896551735,0.38,0.40740740740740744,0.1,-0.16666666666666663,,,,,,,,0.023,0.1,0.028999999999999998,0.9,0.08,0.01,0.01,0.0,0.0,0.0,0.0,0.49,0.51,0.21,0.24,0.24,0.24,0.07,0.26,0.33,0.28,0.13
0,https://www.niche.com/places-to-live/c/richmond-county-va/,B,A minus,B minus,C+,B minus,A minus,C+,B,B,B minus,B minus,B minus,"Richmond County is located in Virginia with a population of 8,884. In Richmond County, most residents own their homes. Many retirees live in Richmond County and residents tend to be conservative.",8884,180300,797,49517,-0.17103448275862065,-0.24952919020715636,-0.21205225721241827,0.3,0.7,0,-1.0,0,-1.0,0,-1.0,0,-1.0,134.9,-0.730253949210158,741.7,-0.6369199138437438,67.4,-0.7626760563380282,0.08,0.08,0.05,0.14,0.12,0.16,0.16,0.21,0.06,-0.5,0.11,-0.45000000000000007,0.28,-0.0344827586206895,0.35,0.29629629629629606,0.19,0.5833333333333335,,,,,,,,0.012,0.16899999999999998,0.024,0.61,0.07,0.0,0.05,0.27,0.0,0.0,0.0,0.45,0.55,0.25,0.18,0.3,0.2,0.07,0.32,0.34,0.24,0.11
0,https://www.niche.com/places-to-live/c/teton-county-mt/,B,A minus,B,B,B,C,A,B,C+,B minus,B,A,"Teton County is located in Montana with a population of 6,086. In Teton County, most residents own their homes. Many retirees live in Teton County and residents tend to be conservative.",6086,172700,777,55000,-0.20597701149425285,-0.268361581920904,-0.12480308069315593,0.3,0.7,,,,,,,,,,,,,,,0.14,0.11,0.07,0.09,0.1,0.12,0.14,0.23,0.08,-0.33333333333333326,0.17,-0.15000000000000002,0.35,0.2068965517241379,0.32,0.18518518518518512,0.08,-0.33333333333333326,3.67,3,0,2,1,0,0,0.01,0.132,0.004,0.94,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.51,0.49,0.19,0.23,0.28,0.22,0.08,0.28,0.34,0.23,0.15
0,https://www.niche.com/places-to-live/c/fillmore-county-mn/,B,B+,B+,B+,B+,C,B,C minus,A minus,C+,B,B,"Fillmore County is located in Minnesota with a population of 20,949. In Fillmore County, most residents own their homes. Many retirees live in Fillmore County and residents tend to lean conservative.",20949,153800,659,61207,-0.29287356321839075,-0.37947269303201503,-0.026033130181563613,0.19,0.81,0,-1.0,0,-1.0,0,-1.0,0,-1.0,66.3,-0.8674265146970606,397.7,-0.8053162326218916,66.3,-0.7665492957746479,0.14,0.11,0.07,0.1,0.11,0.12,0.15,0.21,0.07,-0.41666666666666663,0.16,-0.20000000000000007,0.35,0.2068965517241379,0.34,0.2592592592592593,0.09,-0.25,3,1,0,0,1,0,0,0.017,0.106,0.011000000000000001,0.96,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.17,0.2,0.23,0.32,0.08,0.24,0.28,0.31,0.16
