,Specialty,Program,Link suffix,City,State
0,Child Neurology,University of Alabama Medical Center Program,/Program/GetById/2359,Birmingham,AL
1,Child Neurology,Cleveland Clinic Foundation Program,/Program/GetById/2413,Cleveland,OH
2,Child Neurology,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/2412,Cleveland,OH
3,Child Neurology,Duke University Hospital Program,/Program/GetById/2411,Durham,NC
4,Child Neurology,Wake Forest University School of Medicine Program,/Program/GetById/2410,Winston-Salem,NC
5,Child Neurology,University of North Carolina Hospitals Program,/Program/GetById/2409,Chapel Hill,NC
6,Child Neurology,Stony Brook Medicine/University Hospital Program,/Program/GetById/2408,Stony Brook,NY
7,Child Neurology,New York Presbyterian Hospital (Columbia Campus) Program,/Program/GetById/2407,New York,NY
8,Child Neurology,NYU Grossman School of Medicine Program,/Program/GetById/2406,New York,NY
9,Child Neurology,Zucker School of Medicine at Hofstra/Northwell at Cohen Children's Medical Center Program,/Program/GetById/2405,Lake Success,NY
10,Child Neurology,SUNY Downstate Health Sciences University Program,/Program/GetById/2404,Brooklyn,NY
11,Child Neurology,University at Buffalo Program,/Program/GetById/2403,Buffalo,NY
12,Child Neurology,New York Presbyterian Hospital (Cornell Campus) Program,/Program/GetById/2402,New York,NY
13,Child Neurology,Montefiore Medical Center/Albert Einstein College of Medicine Program,/Program/GetById/2401,Bronx,NY
14,Child Neurology,University of Rochester Program,/Program/GetById/2400,Rochester,NY
15,Child Neurology,University of New Mexico School of Medicine Program,/Program/GetById/2399,Albuquerque,NM
16,Child Neurology,Cincinnati Children's Hospital Medical Center Program,/Program/GetById/2414,Cincinnati,OH
17,Child Neurology,Rutgers Health/New Jersey Medical School Program,/Program/GetById/2398,Newark,NJ
18,Child Neurology,Nationwide Children's Hospital/Ohio State University Program,/Program/GetById/2415,Columbus,OH
19,Child Neurology,Sidney Kimmel Medical College at Thomas Jefferson University/DuPont Hospital for Children Program,/Program/GetById/2417,Wilmington,DE
20,Child Neurology,University of Washington Program,/Program/GetById/2432,Seattle,WA
21,Child Neurology,University of Virginia Medical Center Program,/Program/GetById/2431,Charlottesville,VA
22,Child Neurology,Virginia Commonwealth University Health System Program,/Program/GetById/2430,Richmond,VA
23,Child Neurology,University of Utah Health Program,/Program/GetById/2429,Salt Lake City,UT
24,Child Neurology,University of Texas Health Science Center at Houston Program,/Program/GetById/2428,Houston,TX
25,Child Neurology,University of Texas Southwestern Medical Center Program,/Program/GetById/2427,Dallas,TX
26,Child Neurology,Baylor College of Medicine Program,/Program/GetById/2426,Houston,TX
27,Child Neurology,University of Texas at Austin Dell Medical School Program,/Program/GetById/2425,Austin,TX
28,Child Neurology,Vanderbilt University Medical Center Program,/Program/GetById/2424,Nashville,TN
29,Child Neurology,University of Tennessee Program,/Program/GetById/2423,Memphis,TN
30,Child Neurology,Medical University of South Carolina Program,/Program/GetById/2422,Charleston,SC
31,Child Neurology,University of Puerto Rico Program,/Program/GetById/2421,San Juan,PR
32,Child Neurology,Children's Hospital of Philadelphia Program,/Program/GetById/2420,Philadelphia,PA
33,Child Neurology,Tower Health Program,/Program/GetById/2419,Philadelphia,PA
34,Child Neurology,UPMC Medical Education Program,/Program/GetById/2418,Pittsburgh,PA
35,Child Neurology,Oregon Health & Science University Program,/Program/GetById/2416,Portland,OR
36,Child Neurology,Jersey Shore University Medical Center Program,/Program/GetById/2397,Neptune,NJ
37,Child Neurology,Washington University/B-JH/SLCH Consortium Program,/Program/GetById/2396,St. Louis,MO
38,Child Neurology,St Louis University School of Medicine Program,/Program/GetById/2395,St. Louis,MO
39,Child Neurology,University of Florida College of Medicine Program,/Program/GetById/2374,Gainesville,FL
40,Child Neurology,Mayo Clinic College of Medicine and Science (Jacksonville) Program,/Program/GetById/2373,Jacksonville,FL
41,Child Neurology,Children's National Medical Center/George Washington University Program,/Program/GetById/2372,Washington,DC
42,Child Neurology,National Capital Consortium Program,/Program/GetById/2371,Bethesda,MD
43,Child Neurology,Yale-New Haven Hospital Program,/Program/GetById/2370,New Haven,CT
44,Child Neurology,University of Colorado Program,/Program/GetById/2369,Aurora,CO
45,Child Neurology,Loma Linda University Health Education Consortium Program,/Program/GetById/2368,Loma Linda,CA
46,Child Neurology,University of California (San Francisco) Program,/Program/GetById/2367,San Francisco,CA
47,Child Neurology,Children's Hospital of Los Angeles Program,/Program/GetById/2366,Los Angeles,CA
48,Child Neurology,UCLA David Geffen School of Medicine/UCLA Medical Center Program,/Program/GetById/2365,Los Angeles,CA
49,Child Neurology,Stanford Health Care-Sponsored Stanford University Program,/Program/GetById/2364,Palo Alto,CA
50,Child Neurology,University of California (San Diego) Medical Center Program,/Program/GetById/2363,La Jolla,CA
51,Child Neurology,University of California (Irvine) Program,/Program/GetById/2362,Orange,CA
52,Child Neurology,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,/Program/GetById/2361,Little Rock,AR
53,Child Neurology,Phoenix Children's Hospital Program,/Program/GetById/2360,Phoenix,AZ
54,Child Neurology,Emory University School of Medicine Program,/Program/GetById/2375,Atlanta,GA
55,Child Neurology,Medical College of Georgia Program,/Program/GetById/2376,Augusta,GA
56,Child Neurology,University of Chicago Program,/Program/GetById/2377,Chicago,IL
57,Child Neurology,McGaw Medical Center of Northwestern University Program,/Program/GetById/2378,Chicago,IL
58,Child Neurology,University of Mississippi Medical Center Program,/Program/GetById/2394,Jackson,MS
