,Specialty,Program,Link suffix,City,State
0,Emergency Medicine,USA Health Program,/Program/GetById/304,Mobile,AL
1,Emergency Medicine,Maimonides Medical Center Program,/Program/GetById/476,Brooklyn,NY
2,Emergency Medicine,University at Buffalo Program,/Program/GetById/477,Buffalo,NY
3,Emergency Medicine,SUNY Downstate Health Sciences University Program,/Program/GetById/478,Brooklyn,NY
4,Emergency Medicine,New York-Presbyterian/Queens Program,/Program/GetById/479,Flushing,NY
5,Emergency Medicine,Campbell University/Southeastern Regional Medical Center Program,/Program/GetById/480,Lumberton,NC
6,Emergency Medicine,Campbell University/Cape Fear Valley Medical Center Program,/Program/GetById/481,Fayetteville,NC
7,Emergency Medicine,Carolinas Medical Center Program,/Program/GetById/482,Charlotte,NC
8,Emergency Medicine,Wake Forest University School of Medicine Program,/Program/GetById/483,Winston-Salem,NC
9,Emergency Medicine,Vidant Medical Center/East Carolina University Program,/Program/GetById/484,Greenville,NC
10,Emergency Medicine,Duke University Hospital Program,/Program/GetById/485,Durham,NC
11,Emergency Medicine,University of North Carolina Hospitals Program,/Program/GetById/486,Chapel Hill,NC
12,Emergency Medicine,OhioHealth/Doctors Hospital Program,/Program/GetById/487,Columbus,OH
13,Emergency Medicine,Adena Regional Medical Center Program,/Program/GetById/488,Chillicothe,OH
14,Emergency Medicine,Memorial Health System Program,/Program/GetById/489,Marietta,OH
15,Emergency Medicine,New York-Presbyterian Brooklyn Methodist Hospital Program,/Program/GetById/475,Brooklyn,NY
16,Emergency Medicine,Kettering Health Network Program,/Program/GetById/490,Dayton,OH
17,Emergency Medicine,University Hospitals Osteopathic Consortium (UHOC) Program,/Program/GetById/492,Westlake,OH
18,Emergency Medicine,Summa Health System Program,/Program/GetById/493,Akron,OH
19,Emergency Medicine,Aultman Hospital/NEOMED Program,/Program/GetById/494,Canton,OH
20,Emergency Medicine,Mercy Health-St Rita's Medical Center Program,/Program/GetById/495,Lima,OH
21,Emergency Medicine,Mountain State Osteopathic Postdoctoral Training Institutions (MSOPTI)/Trinity Health System West Program,/Program/GetById/496,Steubenville,OH
22,Emergency Medicine,Akron General Medical Center/NEOMED Program,/Program/GetById/497,Akron,OH
23,Emergency Medicine,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/498,Cincinnati,OH
24,Emergency Medicine,Ohio State University Hospital Program,/Program/GetById/499,Columbus,OH
25,Emergency Medicine,Wright State University Program,/Program/GetById/500,Kettering,OH
26,Emergency Medicine,Mercy St Vincent Medical Center/Mercy Health Partners Program,/Program/GetById/501,Toledo,OH
27,Emergency Medicine,University of Toledo Program,/Program/GetById/502,Toledo,OH
28,Emergency Medicine,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/503,Cleveland,OH
29,Emergency Medicine,The MetroHealth System/Case Western Reserve University Program,/Program/GetById/504,Cleveland,OH
