,Specialty,Program,Link suffix,City,State
0,Family Medicine,Cahaba Medical Care/University of Alabama Medical Center Program,/Program/GetById/577,Centreville,AL
1,Family Medicine,McLaren Health Care/St. Luke's Program,/Program/GetById/1035,Perrysburg,OH
2,Family Medicine,University Hospitals Osteopathic Consortium (UHOC/Richmond Heights) Program,/Program/GetById/1036,Richmond Heights,OH
3,Family Medicine,Fairfield Medical Center Program,/Program/GetById/1037,Lancaster,OH
4,Family Medicine,Memorial Health System Program,/Program/GetById/1038,Marietta,OH
5,Family Medicine,East Liverpool City Hospital Program,/Program/GetById/1039,East Liverpool,OH
6,Family Medicine,Mercy Health-St Rita's Medical Center Program,/Program/GetById/1040,Lima,OH
7,Family Medicine,Aultman Hospital/NEOMED Program,/Program/GetById/1041,Canton,OH
8,Family Medicine,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/1042,Cleveland,OH
9,Family Medicine,The MetroHealth System/Case Western Reserve University Program,/Program/GetById/1043,Cleveland,OH
10,Family Medicine,Cleveland Clinic Foundation Program,/Program/GetById/1044,Lakewood,OH
11,Family Medicine,St Elizabeth Youngstown Hospital/NEOMED Program,/Program/GetById/1045,Youngstown,OH
12,Family Medicine,Western Reserve Health Education/NEOMED Program,/Program/GetById/1046,Warren,OH
13,Family Medicine,University of Toledo Program,/Program/GetById/1047,Toledo,OH
14,Family Medicine,Summa Health System/NEOMED Program,/Program/GetById/1048,Akron,OH
15,Family Medicine,Christ Hospital/University of Cincinnati College of Medicine Program,/Program/GetById/1049,Cincinnati,OH
16,Family Medicine,Ohio State University Hospital Program,/Program/GetById/1050,Columbus,OH
17,Family Medicine,OhioHealth/Riverside Methodist Hospital Program,/Program/GetById/1051,Columbus,OH
18,Family Medicine,University Hospitals Osteopathic Consortium (UHOC/Westlake) Program,/Program/GetById/1034,Westlake,OH
19,Family Medicine,OhioHealth/O'Bleness Hospital Program,/Program/GetById/1033,Athens,OH
20,Family Medicine,OhioHealth/Dublin Methodist Hospital Program,/Program/GetById/1032,Dublin,OH
21,Family Medicine,Kettering Health Network/Indu and Raj Soin Medical Center Program,/Program/GetById/1031,Beavercreek,OH
22,Family Medicine,Atrium Health Cabarrus Program,/Program/GetById/1013,Concord,NC
23,Family Medicine,New Hanover Regional Medical Center Program,/Program/GetById/1014,Wilmington,NC
24,Family Medicine,University of North Carolina Hospitals Program,/Program/GetById/1015,Chapel Hill,NC
25,Family Medicine,Southern Regional Area Health Education Center/Duke University Hospital Program,/Program/GetById/1016,Fayetteville,NC
26,Family Medicine,Wake Forest University School of Medicine Program,/Program/GetById/1017,Winston-Salem,NC
27,Family Medicine,University of North Dakota School of Medicine and Health Sciences (Hettinger) Program,/Program/GetById/1018,Bismark,ND
28,Family Medicine,Univ of North Dakota School of Medicine and Health Sciences Rural Program,/Program/GetById/1019,Minot,ND
29,Family Medicine,Univ of North Dakota School of Medicine and Health Sciences Program,/Program/GetById/1020,Fargo,ND
30,Family Medicine,Summa Health System/Barberton Campus Program,/Program/GetById/1052,Barberton,OH
31,Family Medicine,University of North Dakota (Bismarck) Program,/Program/GetById/1021,Bismarck,ND
32,Family Medicine,University of North Dakota (Minot) Program,/Program/GetById/1023,Minot,ND
33,Family Medicine,St Elizabeth Boardman Hospital Program,/Program/GetById/1024,Boardman,OH
34,Family Medicine,Kettering Health Network/Grandview Medical Center Program,/Program/GetById/1025,Dayton,OH
35,Family Medicine,OhioHealth/Doctors Hospital Program,/Program/GetById/1026,Grove City,OH
36,Family Medicine,Marshall Community Health Consortium Program,/Program/GetById/1027,Gallipolis,OH
37,Family Medicine,Adena Regional Medical Center Program,/Program/GetById/1028,Chillicothe,OH
38,Family Medicine,Western Reserve Hospital Program,/Program/GetById/1029,Cuyahoga Falls,OH
39,Family Medicine,Firelands Regional Medical Center Program,/Program/GetById/1030,Sandusky,OH
40,Family Medicine,Altru Health System (Grand Forks) Program,/Program/GetById/1022,Grand Forks,ND
41,Family Medicine,TriHealth (Bethesda North Hospital) Program,/Program/GetById/1053,Cincinnati,OH
42,Family Medicine,Akron General Medical Center/NEOMED Program,/Program/GetById/1054,Akron,OH
43,Family Medicine,OhioHealth/Grant Medical Center Program,/Program/GetById/1055,Columbus,OH
