,Specialty,Program,Link suffix,City,State
0,Internal Medicine - Categorical Track,University of Alabama Hospital Program,/Program/GetById/1272,Huntsville,AL
1,Internal Medicine - Categorical Track,Carolinas HealthCare System Blue Ridge Program,/Program/GetById/1829,Morganton,NC
2,Internal Medicine - Categorical Track,Rochester Regional Health/Unity Hospital (Rochester) Program,/Program/GetById/1827,Rochester,NY
3,Internal Medicine - Categorical Track,Jacobi Medical Center/Albert Einstein College of Medicine Program,/Program/GetById/1825,Bronx,NY
4,Internal Medicine - Categorical Track,Icahn School of Medicine at Mount Sinai (Bronx) Program,/Program/GetById/1823,Bronx,NY
5,Internal Medicine - Categorical Track,Rochester General Hospital Program,/Program/GetById/1822,Rochester,NY
6,Internal Medicine - Categorical Track,New York Medical College (Metropolitan) Program,/Program/GetById/1820,New York,NY
7,Internal Medicine - Categorical Track,Icahn School of Medicine at Mount Sinai (Mount Sinai Hospital) Program,/Program/GetById/1818,New York,NY
8,Internal Medicine - Categorical Track,University at Buffalo Program,/Program/GetById/1815,Buffalo,NY
9,Internal Medicine - Categorical Track,Albany Medical Center Program,/Program/GetById/1813,Albany,NY
10,Internal Medicine - Categorical Track,Wyckoff Heights Medical Center Program,/Program/GetById/1812,Brooklyn,NY
11,Internal Medicine - Categorical Track,Icahn School of Medicine at Mount Sinai (NYC Health and Hospitals: Queens) Program,/Program/GetById/1810,Jamaica,NY
12,Internal Medicine - Categorical Track,Lincoln Medical and Mental Health Center Program,/Program/GetById/1807,Bronx,NY
13,Internal Medicine - Categorical Track,Zucker School of Medicine at Hofstra/Northwell at Forest Hills Hospital Program,/Program/GetById/1805,Forest Hills,NY
14,Internal Medicine - Categorical Track,SUNY Upstate Medical University Program,/Program/GetById/1803,Syracuse,NY
15,Internal Medicine - Categorical Track,Stony Brook Medicine/University Hospital Program,/Program/GetById/1801,Stony Brook,NY
16,Internal Medicine - Categorical Track,SUNY Downstate Health Sciences University Program,/Program/GetById/1799,Brooklyn,NY
17,Internal Medicine - Categorical Track,Icahn School of Medicine at Mount Sinai (Morningside/West) Program,/Program/GetById/1797,New York,NY
18,Internal Medicine - Categorical Track,NYU Grossman School of Medicine Program,/Program/GetById/1795,New York,NY
19,Internal Medicine - Categorical Track,Montefiore Medical Center/Albert Einstein College of Medicine (Moses and Weiler Campuses) Program,/Program/GetById/1793,Bronx,NY
20,Internal Medicine - Categorical Track,Montefiore Medical Center/Albert Einstein College of Medicine (Wakefield Campus) Program,/Program/GetById/1791,Bronx,NY
21,Internal Medicine - Categorical Track,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/1789,New Hyde Park,NY
