,Specialty,Program,Link suffix,City,State
0,Interventional Radiology - Integrated,University of Alabama Hospital Program,/Program/GetById/3989,Birmingham,AL
1,Interventional Radiology - Integrated,Wake Forest University Baptist Medical Center Program,/Program/GetById/4052,Winston-Salem,NC
2,Interventional Radiology - Integrated,Duke University Hospital Program,/Program/GetById/4051,Durham,NC
3,Interventional Radiology - Integrated,University of North Carolina Hospitals Program,/Program/GetById/4050,Chapel Hill,NC
4,Interventional Radiology - Integrated,Stony Brook Medicine/Mather Hospital Program,/Program/GetById/4049,Port Jefferson,NY
5,Interventional Radiology - Integrated,Albany Medical Center Program,/Program/GetById/4048,Albany,NY
6,Interventional Radiology - Integrated,New York Presbyterian Hospital (Columbia Campus) Program,/Program/GetById/4047,New York,NY
7,Interventional Radiology - Integrated,Montefiore Medical Center/Albert Einstein College of Medicine  Program,/Program/GetById/4046,Bronx,NY
8,Interventional Radiology - Integrated,Strong Memorial Hospital of the University of Rochester Program,/Program/GetById/4045,Rochester,NY
9,Interventional Radiology - Integrated,Ohio State University Hospital Program,/Program/GetById/4053,Columbus,OH
10,Interventional Radiology - Integrated,New York Presbyterian Hospital (Cornell Campus) Program,/Program/GetById/4044,New York,NY
11,Interventional Radiology - Integrated,Icahn School of Medicine at Mount Sinai Program,/Program/GetById/4042,New York,NY
12,Interventional Radiology - Integrated,NYU Grossman School of Medicine Program,/Program/GetById/4041,New York,NY
13,Interventional Radiology - Integrated,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/4040,New Hyde Park,NY
14,Interventional Radiology - Integrated,Rutgers Health/Robert Wood Johnson Medical School Program,/Program/GetById/4039,New Brunswick,NJ
15,Interventional Radiology - Integrated,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,/Program/GetById/4038,Lebanon,NH
16,Interventional Radiology - Integrated,University of Nebraska Medical Center College of Medicine Program,/Program/GetById/4037,Omaha,NE
17,Interventional Radiology - Integrated,St Louis University School of Medicine Program,/Program/GetById/4036,Saint Louis,MO
18,Interventional Radiology - Integrated,Washington University/B-JH/SLCH Consortium Program,/Program/GetById/4035,Saint Louis,MO
19,Interventional Radiology - Integrated,Rochester General Hospital Program,/Program/GetById/4043,Rochester,NY
20,Interventional Radiology - Integrated,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/4054,Cleveland,OH
21,Interventional Radiology - Integrated,Cleveland Clinic Foundation Program,/Program/GetById/4055,Cleveland,OH
22,Interventional Radiology - Integrated,Oregon Health & Science University Hospital Program,/Program/GetById/4056,Portland,OR
23,Interventional Radiology - Integrated,Medical College of Wisconsin Affiliated Hospitals Program,/Program/GetById/4075,Milwaukee,WI
24,Interventional Radiology - Integrated,University of Washington School of Medicine Program,/Program/GetById/4074,Seattle,WA
25,Interventional Radiology - Integrated,Virginia Commonwealth University Health System Program,/Program/GetById/4073,Richmond,VA
26,Interventional Radiology - Integrated,University of Virginia Medical Center Program,/Program/GetById/4072,Charlottesville,VA
27,Interventional Radiology - Integrated,University of Utah Health Program,/Program/GetById/4071,Salt Lake City,UT
28,Interventional Radiology - Integrated,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,/Program/GetById/4070,San Antonio,TX
29,Interventional Radiology - Integrated,University of Texas Medical Branch Hospitals Program,/Program/GetById/4069,Galveston,TX
30,Interventional Radiology - Integrated,University of Texas Health Science Center at Houston/MD Anderson Cancer Center Program,/Program/GetById/4068,Houston,TX
31,Interventional Radiology - Integrated,University of Texas Southwestern Medical Center Program,/Program/GetById/4067,Dallas,TX
32,Interventional Radiology - Integrated,Vanderbilt University Medical Center Program,/Program/GetById/4066,Nashville,TN
33,Interventional Radiology - Integrated,Medical University of South Carolina College of Medicine Program,/Program/GetById/4065,Charleston,SC
