,Specialty,Program,Link suffix,City,State
0,Neurological Surgery,University of Alabama Medical Center Program,/Program/GetById/2080,Birmingham,AL
1,Neurological Surgery,University of Oklahoma Health Sciences Center Program,/Program/GetById/2164,Oklahoma City,OK
2,Neurological Surgery,Cleveland Clinic Foundation Program,/Program/GetById/2163,Cleveland,OH
3,Neurological Surgery,Ohio State University Hospital Program,/Program/GetById/2162,Columbus,OH
4,Neurological Surgery,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/2161,Cleveland,OH
5,Neurological Surgery,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/2160,Cincinnati,OH
6,Neurological Surgery,Duke University Hospital Program,/Program/GetById/2159,Durham,NC
7,Neurological Surgery,Wake Forest University School of Medicine Program,/Program/GetById/2158,Winston-Salem,NC
8,Neurological Surgery,University of North Carolina Hospitals Program,/Program/GetById/2157,Chapel Hill,NC
9,Neurological Surgery,Carolinas Medical Center Program,/Program/GetById/2156,Charlotte,NC
10,Neurological Surgery,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/2155,Manhasset,NY
11,Neurological Surgery,Westchester Medical Center Program,/Program/GetById/2154,Valhalla,NY
12,Neurological Surgery,SUNY Upstate Medical University Program,/Program/GetById/2153,Syracuse,NY
13,Neurological Surgery,NYU Grossman School of Medicine Program,/Program/GetById/2152,New York,NY
14,Neurological Surgery,Icahn School of Medicine at Mount Sinai Program,/Program/GetById/2151,New York,NY
15,Neurological Surgery,New York Presbyterian Hospital (Cornell Campus) Program,/Program/GetById/2150,New York,NY
16,Neurological Surgery,Montefiore Medical Center/Albert Einstein College of Medicine Program,/Program/GetById/2149,Bronx,NY
17,Neurological Surgery,University at Buffalo Program,/Program/GetById/2148,Buffalo,NY
18,Neurological Surgery,Albany Medical Center Program,/Program/GetById/2147,Albany,NY
19,Neurological Surgery,University of Rochester Program,/Program/GetById/2146,Rochester,NY
20,Neurological Surgery,New York Presbyterian Hospital (Columbia Campus) Program,/Program/GetById/2145,New York,NY
21,Neurological Surgery,Stony Brook Medicine Program,/Program/GetById/2144,Stony Brook,NY
