,Specialty,Program,Link suffix,City,State
0,Neurology,USA Health Program,/Program/GetById/2196,Mobile,AL
1,Neurology,Stony Brook Medicine/University Hospital Program,/Program/GetById/2300,Stony Brook,NY
2,Neurology,SUNY Upstate Medical University Program,/Program/GetById/2301,Syracuse,NY
3,Neurology,New York Presbyterian Hospital (Columbia Campus) Program,/Program/GetById/2302,New York,NY
4,Neurology,University of Rochester Program,/Program/GetById/2303,Rochester,NY
5,Neurology,University of North Carolina Hospitals Program,/Program/GetById/2304,Chapel Hill,NC
6,Neurology,Duke University Hospital Program,/Program/GetById/2305,Durham,NC
7,Neurology,Wake Forest University School of Medicine Program,/Program/GetById/2306,Winston-Salem,NC
8,Neurology,SUNY Downstate Health Sciences University Program,/Program/GetById/2299,Brooklyn,NY
9,Neurology,Univ of North Dakota School of Medicine and Health Sciences Program,/Program/GetById/2307,Fargo,ND
10,Neurology,Kettering Health Network Program,/Program/GetById/2309,Dayton,OH
11,Neurology,Mercy St Vincent Medical Center Program,/Program/GetById/2310,Toledo,OH
12,Neurology,Cleveland Clinic Foundation Program,/Program/GetById/2311,Cleveland,OH
13,Neurology,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/2312,Cincinnati,OH
14,Neurology,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/2313,Cleveland,OH
15,Neurology,Ohio State University Hospital Program,/Program/GetById/2314,Columbus,OH
16,Neurology,University of Toledo Program,/Program/GetById/2315,Toledo,OH
17,Neurology,Wright State University Boonshoft School of Medicine Program,/Program/GetById/2308,Dayton,OH
18,Neurology,NYU Grossman School of Medicine Program,/Program/GetById/2298,New York,NY
19,Neurology,Westchester Medical Center Program,/Program/GetById/2297,Valhalla,NY
20,Neurology,Icahn School of Medicine at Mount Sinai (Mount Sinai Hospital) Program,/Program/GetById/2296,New York,NY
21,Neurology,University of Nebraska Medical Center College of Medicine Program,/Program/GetById/2279,Omaha,NE
22,Neurology,OPTI West/Valley Hospital Medical Center Program,/Program/GetById/2280,Las Vegas,NV
23,Neurology,HCA Healthcare Sunrise Health Graduate Medical Education Program,/Program/GetById/2281,Las Vegas,NV
24,Neurology,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,/Program/GetById/2282,Lebanon,NH
25,Neurology,Cooper Medical School of Rowan University/Cooper University Hospital Program,/Program/GetById/2283,Camden,NJ
26,Neurology,Rutgers Health/New Jersey Medical School Program,/Program/GetById/2284,Newark,NJ
27,Neurology,JFK Medical Center Program,/Program/GetById/2285,Edison,NJ
28,Neurology,Rutgers Health/Robert Wood Johnson Medical School Program,/Program/GetById/2286,New Brunswick,NJ
29,Neurology,University of New Mexico School of Medicine Program,/Program/GetById/2287,Albuquerque,NM
30,Neurology,Nuvance Health Program,/Program/GetById/2288,Poughkeepsie,NY
31,Neurology,Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,/Program/GetById/2289,Staten Island,NY
32,Neurology,Icahn School of Medicine at Mount Sinai (Beth Israel/West) Program,/Program/GetById/2290,New York,NY
33,Neurology,Albany Medical Center Program,/Program/GetById/2291,Albany,NY
34,Neurology,University at Buffalo Program,/Program/GetById/2292,Buffalo,NY
35,Neurology,Montefiore Medical Center/Albert Einstein College of Medicine Program,/Program/GetById/2293,Bronx,NY
36,Neurology,New York Presbyterian Hospital (Cornell Campus) Program,/Program/GetById/2294,New York,NY
37,Neurology,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/2295,Manhasset,NY
38,Neurology,University of Oklahoma Health Sciences Center Program,/Program/GetById/2316,Oklahoma City,OK
39,Neurology,Creighton University School of Medicine (Omaha) Program,/Program/GetById/2278,Omaha,NE
40,Neurology,Oregon Health & Science University Program,/Program/GetById/2317,Portland,OR
41,Neurology,Geisinger Health System Program,/Program/GetById/2319,Danville,PA
42,Neurology,Methodist Hospital (Houston) Program,/Program/GetById/2341,Houston,TX
43,Neurology,Texas Tech University Health Sciences Center at Lubbock Program,/Program/GetById/2342,Lubbock,TX
44,Neurology,University of Texas Southwestern Medical Center Program,/Program/GetById/2343,Dallas,TX
45,Neurology,Baylor College of Medicine Program,/Program/GetById/2344,Houston,TX
46,Neurology,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,/Program/GetById/2345,San Antonio,TX
47,Neurology,San Antonio Uniformed Services Health Education Consortium Program,/Program/GetById/2346,JBSA-Fort Sam Houston,TX
48,Neurology,University of Texas Health Science Center at Houston Program,/Program/GetById/2347,Houston,TX
49,Neurology,University of Texas at Austin Dell Medical School Program,/Program/GetById/2340,Austin,TX
50,Neurology,University of Utah Health Program,/Program/GetById/2348,Salt Lake City,UT
51,Neurology,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,/Program/GetById/2350,Roanoke,VA
52,Neurology,University of Virginia Medical Center Program,/Program/GetById/2351,Charlottesville,VA
53,Neurology,Virginia Commonwealth University Health System Program,/Program/GetById/2352,Richmond,VA
54,Neurology,University of Washington Program,/Program/GetById/2353,Seattle,WA
