,Specialty,Program,Link suffix,City,State
0,Otolaryngology - Head and Neck Surgery,University of Alabama Medical Center Program,/Program/GetById/2990,Birmingham,AL
1,Otolaryngology - Head and Neck Surgery,Oklahoma State University Center for Health Sciences Program,/Program/GetById/3080,Tulsa,OK
2,Otolaryngology - Head and Neck Surgery,Ohio State University Hospital Program,/Program/GetById/3079,Columbus,OH
3,Otolaryngology - Head and Neck Surgery,Cleveland Clinic Foundation Program,/Program/GetById/3078,Cleveland,OH
4,Otolaryngology - Head and Neck Surgery,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/3077,Cleveland,OH
5,Otolaryngology - Head and Neck Surgery,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/3076,Cincinnati,OH
6,Otolaryngology - Head and Neck Surgery,St Elizabeth Boardman Hospital Program,/Program/GetById/3075,Boardman,OH
7,Otolaryngology - Head and Neck Surgery,Kettering Health Network Program,/Program/GetById/3074,Dayton,OH
8,Otolaryngology - Head and Neck Surgery,Western Reserve Hospital  Program,/Program/GetById/3073,Cuyahoga Falls,OH
9,Otolaryngology - Head and Neck Surgery,OhioHealth/Doctors Hospital Program,/Program/GetById/3072,Columbus,OH
10,Otolaryngology - Head and Neck Surgery,Duke University Hospital Program,/Program/GetById/3071,Durham,NC
11,Otolaryngology - Head and Neck Surgery,University of North Carolina Hospitals Program,/Program/GetById/3070,Chapel Hill,NC
12,Otolaryngology - Head and Neck Surgery,Wake Forest University School of Medicine Program,/Program/GetById/3069,Winston-Salem,NC
13,Otolaryngology - Head and Neck Surgery,Montefiore Medical Center/Albert Einstein College of Medicine Program,/Program/GetById/3068,Bronx,NY
14,Otolaryngology - Head and Neck Surgery,SUNY Downstate Health Sciences University Program,/Program/GetById/3067,Brooklyn,NY
15,Otolaryngology - Head and Neck Surgery,SUNY Upstate Medical University Program,/Program/GetById/3066,Syracuse,NY
16,Otolaryngology - Head and Neck Surgery,University of Rochester Program,/Program/GetById/3065,Rochester,NY
17,Otolaryngology - Head and Neck Surgery,NYU Grossman School of Medicine Program,/Program/GetById/3064,New York,NY
18,Otolaryngology - Head and Neck Surgery,Albany Medical Center Program,/Program/GetById/3063,Albany,NY
19,Otolaryngology - Head and Neck Surgery,University at Buffalo Program,/Program/GetById/3062,Buffalo,NY
20,Otolaryngology - Head and Neck Surgery,New York Presbyterian Hospital (Columbia and Cornell Campus) Program,/Program/GetById/3061,New York,NY
21,Otolaryngology - Head and Neck Surgery,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/3060,New Hyde Park,NY
22,Otolaryngology - Head and Neck Surgery,Icahn School of Medicine at Mount Sinai (New York Eye and Ear Infirmary/Mount Sinai) Program,/Program/GetById/3059,New York,NY
23,Otolaryngology - Head and Neck Surgery,Stony Brook Medicine Program,/Program/GetById/3058,Stony Brook,NY
24,Otolaryngology - Head and Neck Surgery,University of New Mexico School of Medicine Program,/Program/GetById/3057,Albuquerque,NM
25,Otolaryngology - Head and Neck Surgery,Rutgers Health/New Jersey Medical School Program,/Program/GetById/3056,Newark,NJ
26,Otolaryngology - Head and Neck Surgery,Cooper Hospital-University Medical Center Program,/Program/GetById/3055,Camden,NJ
27,Otolaryngology - Head and Neck Surgery,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,/Program/GetById/3054,Lebanon,NH
28,Otolaryngology - Head and Neck Surgery,University of Oklahoma Health Sciences Center Program,/Program/GetById/3081,Oklahoma City,OK
29,Otolaryngology - Head and Neck Surgery,University of Nevada Las Vegas (UNLV) School of Medicine Program,/Program/GetById/3053,Las Vegas,NV
30,Otolaryngology - Head and Neck Surgery,Oregon Health & Science University Program,/Program/GetById/3082,Portland,OR
31,Otolaryngology - Head and Neck Surgery,UPMC Medical Education (Erie) Program,/Program/GetById/3084,Erie,PA
32,Otolaryngology - Head and Neck Surgery,West Virginia University Program,/Program/GetById/3111,Morgantown,WV
33,Otolaryngology - Head and Neck Surgery,Madigan Army Medical Center Program,/Program/GetById/3110,Tacoma,WA
34,Otolaryngology - Head and Neck Surgery,University of Washington Program,/Program/GetById/3109,Seattle,WA
35,Otolaryngology - Head and Neck Surgery,Naval Medical Center (Portsmouth) Program,/Program/GetById/3108,Portsmouth,VA
36,Otolaryngology - Head and Neck Surgery,Virginia Commonwealth University Health System Program,/Program/GetById/3107,Richmond,VA
37,Otolaryngology - Head and Neck Surgery,Eastern Virginia Medical School Program,/Program/GetById/3106,Norfolk,VA
38,Otolaryngology - Head and Neck Surgery,University of Virginia Medical Center Program,/Program/GetById/3105,Charlottesville,VA
39,Otolaryngology - Head and Neck Surgery,University of Vermont Medical Center Program,/Program/GetById/3104,Burlington,VT
40,Otolaryngology - Head and Neck Surgery,University of Utah Health Program,/Program/GetById/3103,Salt Lake City,UT
41,Otolaryngology - Head and Neck Surgery,Baylor College of Medicine Program,/Program/GetById/3102,Houston,TX
42,Otolaryngology - Head and Neck Surgery,San Antonio Uniformed Services Health Education Consortium Program,/Program/GetById/3101,JBSA-Fort Sam Houston,TX
43,Otolaryngology - Head and Neck Surgery,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,/Program/GetById/3100,San Antonio,TX
44,Otolaryngology - Head and Neck Surgery,University of Texas Health Science Center at Houston Program,/Program/GetById/3099,Houston,TX
45,Otolaryngology - Head and Neck Surgery,University of Texas Southwestern Medical Center Program,/Program/GetById/3098,Dallas,TX
46,Otolaryngology - Head and Neck Surgery,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,/Program/GetById/3097,Temple,TX
47,Otolaryngology - Head and Neck Surgery,University of Texas Medical Branch Hospitals Program,/Program/GetById/3096,Galveston,TX
48,Otolaryngology - Head and Neck Surgery,Texas Tech University Health Sciences Center at Lubbock Program,/Program/GetById/3095,Lubbock,TX
49,Otolaryngology - Head and Neck Surgery,Vanderbilt University Medical Center Program,/Program/GetById/3094,Nashville,TN
50,Otolaryngology - Head and Neck Surgery,University of Tennessee Program,/Program/GetById/3093,Memphis,TN
51,Otolaryngology - Head and Neck Surgery,Medical University of South Carolina Program,/Program/GetById/3092,Charleston,SC
52,Otolaryngology - Head and Neck Surgery,University of Puerto Rico Program,/Program/GetById/3091,San Juan,PR
53,Otolaryngology - Head and Neck Surgery,UPMC Medical Education (Pittsburgh) Program,/Program/GetById/3090,Pittsburgh,PA
54,Otolaryngology - Head and Neck Surgery,University of Pennsylvania Health System Program,/Program/GetById/3089,Philadelphia,PA
55,Otolaryngology - Head and Neck Surgery,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,/Program/GetById/3088,Philadelphia,PA
56,Otolaryngology - Head and Neck Surgery,Temple University Hospital Program,/Program/GetById/3087,Philadelphia,PA
57,Otolaryngology - Head and Neck Surgery,Geisinger Health System Program,/Program/GetById/3086,Danville,PA
58,Otolaryngology - Head and Neck Surgery,Penn State Milton S Hershey Medical Center Program,/Program/GetById/3085,Hershey,PA
59,Otolaryngology - Head and Neck Surgery,Philadelphia College of Osteopathic Medicine Program,/Program/GetById/3083,Philadelphia,PA
60,Otolaryngology - Head and Neck Surgery,University of Nebraska Medical Center College of Medicine Program,/Program/GetById/3052,Omaha,NE
61,Otolaryngology - Head and Neck Surgery,Washington University/B-JH/SLCH Consortium Program,/Program/GetById/3051,St Louis,MO
62,Otolaryngology - Head and Neck Surgery,St Louis University School of Medicine Program,/Program/GetById/3050,St Louis,MO
63,Otolaryngology - Head and Neck Surgery,McGaw Medical Center of Northwestern University Program,/Program/GetById/3017,Chicago,IL
64,Otolaryngology - Head and Neck Surgery,Tripler Army Medical Center Program,/Program/GetById/3016,Tripler AMC,HI
65,Otolaryngology - Head and Neck Surgery,Medical College of Georgia Program,/Program/GetById/3015,Augusta,GA
66,Otolaryngology - Head and Neck Surgery,Emory University School of Medicine Program,/Program/GetById/3014,Atlanta,GA
67,Otolaryngology - Head and Neck Surgery,University of South Florida Morsani Program,/Program/GetById/3013,Tampa,FL
68,Otolaryngology - Head and Neck Surgery,University of Miami/Jackson Health System Program,/Program/GetById/3012,Miami,FL
69,Otolaryngology - Head and Neck Surgery,University of Florida Program,/Program/GetById/3011,Gainesville,FL
70,Otolaryngology - Head and Neck Surgery,MedStar Health/Georgetown University Hospital Program,/Program/GetById/3010,Washington,DC
71,Otolaryngology - Head and Neck Surgery,National Capital Consortium Program,/Program/GetById/3009,Bethesda,MD
72,Otolaryngology - Head and Neck Surgery,George Washington University Program,/Program/GetById/3008,Washington,DC
73,Otolaryngology - Head and Neck Surgery,Yale-New Haven Medical Center Program,/Program/GetById/3007,New Haven,CT
74,Otolaryngology - Head and Neck Surgery,University of Connecticut Program,/Program/GetById/3006,Farmington,CT
75,Otolaryngology - Head and Neck Surgery,University of Colorado Program,/Program/GetById/3005,Aurora,CO
76,Otolaryngology - Head and Neck Surgery,Kaiser Permanente Northern California Program,/Program/GetById/3004,Oakland,CA
77,Otolaryngology - Head and Neck Surgery,Loma Linda University Health Education Consortium Program,/Program/GetById/3003,Loma Linda,CA
78,Otolaryngology - Head and Neck Surgery,Stanford Health Care-Sponsored Stanford University Program,/Program/GetById/3002,Stanford,CA
79,Otolaryngology - Head and Neck Surgery,University of California (San Francisco) Program,/Program/GetById/3001,San Francisco,CA
80,Otolaryngology - Head and Neck Surgery,University of California (San Diego) Medical Center Program,/Program/GetById/3000,San Diego,CA
81,Otolaryngology - Head and Neck Surgery,UCLA David Geffen School of Medicine/UCLA Medical Center Program,/Program/GetById/2999,Los Angeles,CA
82,Otolaryngology - Head and Neck Surgery,University of Southern California/LAC+USC Medical Center Program,/Program/GetById/2998,Los Angeles,CA
83,Otolaryngology - Head and Neck Surgery,University of California (Irvine) Program,/Program/GetById/2997,Orange,CA
84,Otolaryngology - Head and Neck Surgery,University of California Davis Health Program,/Program/GetById/2996,Sacramento,CA
85,Otolaryngology - Head and Neck Surgery,Naval Medical Center (San Diego) Program,/Program/GetById/2995,San Diego,CA
86,Otolaryngology - Head and Neck Surgery,Cedars-Sinai Medical Center Program,/Program/GetById/2994,Los Angeles,CA
87,Otolaryngology - Head and Neck Surgery,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,/Program/GetById/2993,Little Rock,AR
88,Otolaryngology - Head and Neck Surgery,Mayo Clinic College of Medicine and Science (Arizona) Program,/Program/GetById/2992,Phoenix,AZ
89,Otolaryngology - Head and Neck Surgery,University of Arizona College of Medicine-Tucson Program,/Program/GetById/2991,Tucson,AZ
90,Otolaryngology - Head and Neck Surgery,Rush University Medical Center Program,/Program/GetById/3018,Chicago,IL
91,Otolaryngology - Head and Neck Surgery,University of Chicago Program,/Program/GetById/3019,Chicago,IL
92,Otolaryngology - Head and Neck Surgery,University of Illinois College of Medicine at Chicago Program,/Program/GetById/3020,Chicago,IL
93,Otolaryngology - Head and Neck Surgery,Southern Illinois University Program,/Program/GetById/3021,Springfield,IL
94,Otolaryngology - Head and Neck Surgery,University of Missouri-Columbia Program,/Program/GetById/3049,Columbia,MO
