,Specialty,Program,Link suffix,City,State
0,Plastic Surgery - Integrated,University of Alabama Hospital Program,/Program/GetById/3561,Birmingham,AL
1,Plastic Surgery - Integrated,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/3621,Cincinnati,OH
2,Plastic Surgery - Integrated,Ohio State University Hospital Program,/Program/GetById/3620,Columbus,OH
3,Plastic Surgery - Integrated,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/3619,Cleveland,OH
4,Plastic Surgery - Integrated,Cleveland Clinic Foundation Program,/Program/GetById/3618,Cleveland,OH
5,Plastic Surgery - Integrated,Wright State University Program,/Program/GetById/3617,Dayton,OH
6,Plastic Surgery - Integrated,Wake Forest University School of Medicine Program,/Program/GetById/3616,Winston-Salem,NC
7,Plastic Surgery - Integrated,University of North Carolina Hospitals Program,/Program/GetById/3615,Chapel Hill,NC
8,Plastic Surgery - Integrated,Duke University Hospital Program,/Program/GetById/3614,Durham,NC
9,Plastic Surgery - Integrated,Albany Medical Center Program,/Program/GetById/3613,Albany,NY
10,Plastic Surgery - Integrated,Nassau University Medical Center/Stony Brook University Program,/Program/GetById/3612,Garden City,NY
11,Plastic Surgery - Integrated,Montefiore Medical Center/Albert Einstein College of Medicine of Yeshiva University Program,/Program/GetById/3611,Bronx,NY
12,Plastic Surgery - Integrated,NYU Grossman School of Medicine Program,/Program/GetById/3610,New York,NY
13,Plastic Surgery - Integrated,Icahn School of Medicine at Mount Sinai Program,/Program/GetById/3609,New York,NY
14,Plastic Surgery - Integrated,New York Presbyterian Hospital (Columbia and Cornell Campus) Program,/Program/GetById/3608,New York,NY
15,Plastic Surgery - Integrated,University of Rochester Program,/Program/GetById/3607,Rochester,NY
16,Plastic Surgery - Integrated,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/3606,New Hyde Park,NY
17,Plastic Surgery - Integrated,University of New Mexico School of Medicine Program,/Program/GetById/3605,Albuquerque,NM
18,Plastic Surgery - Integrated,Oregon Health & Science University Program,/Program/GetById/3622,Portland,OR
19,Plastic Surgery - Integrated,Cooper Hospital-University Medical Center Program,/Program/GetById/3604,Camden,NJ
20,Plastic Surgery - Integrated,University of Pennsylvania Health System Program,/Program/GetById/3623,Philadelphia,PA
21,Plastic Surgery - Integrated,Geisinger Health System Program,/Program/GetById/3625,Danville,PA
22,Plastic Surgery - Integrated,West Virginia University School of Medicine Program,/Program/GetById/3642,Morgantown,WV
23,Plastic Surgery - Integrated,University of Washington Program,/Program/GetById/3641,Seattle,WA
24,Plastic Surgery - Integrated,University of Virginia Medical Center Program,/Program/GetById/3640,Charlottesville,VA
25,Plastic Surgery - Integrated,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,/Program/GetById/3639,Roanoke,VA
26,Plastic Surgery - Integrated,Virginia Commonwealth University Health System Program,/Program/GetById/3638,Richmond,VA
27,Plastic Surgery - Integrated,University of Utah Health Program,/Program/GetById/3637,Salt Lake City,UT
28,Plastic Surgery - Integrated,Baylor College of Medicine Program,/Program/GetById/3636,Houston,TX
29,Plastic Surgery - Integrated,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,/Program/GetById/3635,Temple,TX
30,Plastic Surgery - Integrated,University of Texas Southwestern Medical Center Program,/Program/GetById/3634,Dallas,TX
31,Plastic Surgery - Integrated,University of Texas Medical Branch Hospitals Program,/Program/GetById/3633,Galveston,TX
32,Plastic Surgery - Integrated,Vanderbilt University Medical Center Program,/Program/GetById/3632,Nashville,TN
33,Plastic Surgery - Integrated,University of Tennessee College of Medicine Program,/Program/GetById/3631,Memphis,TN
34,Plastic Surgery - Integrated,Prisma Health/University of South Carolina SOM Columbia (Columbia) Program,/Program/GetById/3630,Columbia,SC
35,Plastic Surgery - Integrated,Medical University of South Carolina College of Medicine Program,/Program/GetById/3629,Charleston,SC
36,Plastic Surgery - Integrated,Brown University Program,/Program/GetById/3628,Providence,RI
37,Plastic Surgery - Integrated,UPMC Medical Education Program,/Program/GetById/3627,Pittsburgh,PA
38,Plastic Surgery - Integrated,Penn State Milton S Hershey Medical Center Program,/Program/GetById/3626,Hershey,PA
39,Plastic Surgery - Integrated,Lehigh Valley Health Network/University of South Florida College of Medicine Program,/Program/GetById/3624,Allentown,PA
40,Plastic Surgery - Integrated,Rutgers Health/New Jersey Medical School Program,/Program/GetById/3603,Newark,NJ
41,Plastic Surgery - Integrated,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,/Program/GetById/3602,Lebanon,NH
42,Plastic Surgery - Integrated,University of Nevada Las Vegas (UNLV) School of Medicine Program,/Program/GetById/3601,Las Vegas,NV
43,Plastic Surgery - Integrated,Loyola University Medical Center Program,/Program/GetById/3578,Maywood,IL
44,Plastic Surgery - Integrated,University of Chicago Program,/Program/GetById/3577,Chicago,IL
45,Plastic Surgery - Integrated,Emory University School of Medicine Program,/Program/GetById/3576,Atlanta,GA
46,Plastic Surgery - Integrated,University of South Florida Morsani Program,/Program/GetById/3575,Tampa,FL
47,Plastic Surgery - Integrated,University of Miami/Jackson Health System Program,/Program/GetById/3574,Miami,FL
48,Plastic Surgery - Integrated,University of Florida Program,/Program/GetById/3573,Gainesville,FL
49,Plastic Surgery - Integrated,MedStar Health/Georgetown University Hospital Program,/Program/GetById/3572,Washington,DC
50,Plastic Surgery - Integrated,Yale-New Haven Medical Center Program,/Program/GetById/3571,New Haven,CT
51,Plastic Surgery - Integrated,University of Colorado School of Medicine Program,/Program/GetById/3570,Aurora,CO
52,Plastic Surgery - Integrated,Stanford Health Care-Sponsored Stanford University Program,/Program/GetById/3569,Palo Alto,CA
53,Plastic Surgery - Integrated,Loma Linda University Health Education Consortium Program,/Program/GetById/3568,Loma Linda,CA
54,Plastic Surgery - Integrated,University of Southern California/LAC+USC Medical Center Program,/Program/GetById/3567,Los Angeles,CA
55,Plastic Surgery - Integrated,University of California (Irvine) Program,/Program/GetById/3566,Orange,CA
56,Plastic Surgery - Integrated,University of California (San Diego) Medical Center Program,/Program/GetById/3565,San Diego,CA
57,Plastic Surgery - Integrated,University of California Davis Health Program,/Program/GetById/3564,Sacramento,CA
58,Plastic Surgery - Integrated,UCLA David Geffen School of Medicine/UCLA Medical Center Program,/Program/GetById/3563,Los Angeles,CA
59,Plastic Surgery - Integrated,University of California (San Francisco) Program,/Program/GetById/3562,San Francisco,CA
60,Plastic Surgery - Integrated,Rush University Medical Center Program,/Program/GetById/3579,Chicago,IL
