,Specialty,Program,Link suffix,City,State
0,Psychiatry,University of Alabama Medical Center Program,/Program/GetById/3716,Birmingham,AL
1,Psychiatry,St. John's Episcopal Hospital-South Shore Program,/Program/GetById/3888,Far Rockaway,NY
2,Psychiatry,Jamaica Hospital Medical Center Program,/Program/GetById/3889,Jamaica,NY
3,Psychiatry,University at Buffalo Program,/Program/GetById/3890,Buffalo,NY
4,Psychiatry,BronxCare Health System Program,/Program/GetById/3891,Bronx,NY
5,Psychiatry,New York Presbyterian Hospital (Columbia Campus)/New York State Psychiatric Institute Program,/Program/GetById/3892,New York,NY
6,Psychiatry,Zucker School of Medicine at Hofstra/Northwell at Zucker Hillside Hospital Program,/Program/GetById/3893,Glen Oaks,NY
7,Psychiatry,Maimonides Medical Center Program,/Program/GetById/3894,Brooklyn,NY
8,Psychiatry,NYU Grossman School of Medicine Program,/Program/GetById/3895,New York,NY
9,Psychiatry,SUNY Downstate Health Sciences University Program,/Program/GetById/3896,Brooklyn,NY
10,Psychiatry,Stony Brook Medicine/University Hospital Program,/Program/GetById/3897,Stony Brook,NY
11,Psychiatry,SUNY Upstate Medical University Program,/Program/GetById/3898,Syracuse,NY
12,Psychiatry,Westchester Medical Center Program,/Program/GetById/3899,Valhalla,NY
13,Psychiatry,Icahn School of Medicine at Mount Sinai (Morningside/West) Program,/Program/GetById/3900,New York,NY
14,Psychiatry,Albany Medical Center Program,/Program/GetById/3901,Albany,NY
15,Psychiatry,Richmond University Medical Center Program,/Program/GetById/3887,Staten Island,NY
16,Psychiatry,Carolinas Medical Center Program,/Program/GetById/3902,Charlotte,NC
17,Psychiatry,Campbell University Program,/Program/GetById/3904,Fayetteville,NC
18,Psychiatry,Cone Health Program,/Program/GetById/3905,Greensboro,NC
19,Psychiatry,University of North Carolina Hospitals Program,/Program/GetById/3906,Chapel Hill,NC
20,Psychiatry,Duke University Hospital Program,/Program/GetById/3907,Durham,NC
21,Psychiatry,Vidant Medical Center/East Carolina University Program,/Program/GetById/3908,Greenville,NC
22,Psychiatry,Wake Forest University School of Medicine Program,/Program/GetById/3909,Winston-Salem,NC
23,Psychiatry,University of North Dakota Program,/Program/GetById/3910,Fargo,ND
24,Psychiatry,Adena Regional Medical Center Program,/Program/GetById/3911,Chillicothe,OH
25,Psychiatry,OhioHealth/Riverside Methodist Hospital Program,/Program/GetById/3912,Columbus,OH
26,Psychiatry,Akron General Medical Center Program,/Program/GetById/3913,Akron,OH
27,Psychiatry,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/3914,Cincinnati,OH
28,Psychiatry,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/3915,Cleveland,OH
29,Psychiatry,Wright State University Program,/Program/GetById/3916,Fairborn,OH
30,Psychiatry,Summa Health System/NEOMED Program,/Program/GetById/3917,Akron,OH
31,Psychiatry,Mountain Area Health Education Center Program,/Program/GetById/3903,Asheville,NC
32,Psychiatry,University of Toledo Program,/Program/GetById/3918,Toledo,OH
33,Psychiatry,Creedmoor Psychiatric Center Program,/Program/GetById/3886,Queens Village,NY
34,Psychiatry,University of Rochester Program,/Program/GetById/3884,Rochester,NY
35,Psychiatry,University of Nevada Las Vegas (UNLV) School of Medicine Program,/Program/GetById/3854,Las Vegas,NV
36,Psychiatry,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,/Program/GetById/3855,Lebanon,NH
37,Psychiatry,RowanSOM/Jefferson Health/Virtua Our Lady of Lourdes Hospital Program,/Program/GetById/3856,Mount Laurel,NJ
38,Psychiatry,Ocean Medical Center Program,/Program/GetById/3857,Brick,NJ
39,Psychiatry,Jersey Shore University Medical Center Program,/Program/GetById/3858,Neptune,NJ
40,Psychiatry,AtlantiCare Regional Medical Center Program,/Program/GetById/3859,Pomona,NJ
41,Psychiatry,New Bridge Medical Center Program,/Program/GetById/3860,Paramus,NJ
42,Psychiatry,Rutgers Health/Trinitas Regional Medical Center Program,/Program/GetById/3861,Elizabeth,NJ
43,Psychiatry,Rutgers Health/New Jersey Medical School Program,/Program/GetById/3862,Newark,NJ
44,Psychiatry,Rutgers Health/Robert Wood Johnson Medical School Program,/Program/GetById/3863,Piscataway,NJ
