,Specialty,Program,Link suffix,City,State
0,Radiation Oncology,University of Alabama Medical Center Program,/Program/GetById/4273,Birmingham,AL
1,Radiation Oncology,Ohio State University Hospital Program,/Program/GetById/4337,Columbus,OH
2,Radiation Oncology,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/4336,Cleveland,OH
3,Radiation Oncology,Duke University Hospital Program,/Program/GetById/4335,Durham,NC
4,Radiation Oncology,Wake Forest University School of Medicine Program,/Program/GetById/4334,Winston-Salem,NC
5,Radiation Oncology,University of North Carolina Hospitals Program,/Program/GetById/4333,Chapel Hill,NC
6,Radiation Oncology,New York-Presbyterian Brooklyn Methodist Hospital Program,/Program/GetById/4332,Brooklyn,NY
7,Radiation Oncology,University at Buffalo Program,/Program/GetById/4331,Buffalo,NY
8,Radiation Oncology,Icahn School of Medicine at Mount Sinai Program,/Program/GetById/4330,New York,NY
9,Radiation Oncology,Cleveland Clinic Foundation Program,/Program/GetById/4338,Cleveland,OH
10,Radiation Oncology,SUNY Downstate Health Sciences University Program,/Program/GetById/4329,Brooklyn,NY
11,Radiation Oncology,Memorial Sloan Kettering Cancer Center Program,/Program/GetById/4327,New York,NY
12,Radiation Oncology,Montefiore Medical Center/Albert Einstein College of Medicine Program,/Program/GetById/4326,Bronx,NY
13,Radiation Oncology,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/4325,New Hyde Park,NY
14,Radiation Oncology,SUNY Upstate Medical University Program,/Program/GetById/4324,Syracuse,NY
15,Radiation Oncology,University of Rochester Program,/Program/GetById/4323,Rochester,NY
16,Radiation Oncology,New York Presbyterian Hospital (Columbia Campus) Program,/Program/GetById/4322,New York,NY
17,Radiation Oncology,Stony Brook Medicine Program,/Program/GetById/4321,Stony Brook,NY
18,Radiation Oncology,Rutgers Health/Robert Wood Johnson Medical School Program,/Program/GetById/4320,New Brunswick,NJ
19,Radiation Oncology,NYU Grossman School of Medicine Program,/Program/GetById/4328,New York,NY
20,Radiation Oncology,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/4339,Cincinnati,OH
21,Radiation Oncology,University of Oklahoma Health Sciences Center Program,/Program/GetById/4340,Oklahoma City,OK
22,Radiation Oncology,Oregon Health & Science University Program,/Program/GetById/4341,Portland,OR
23,Radiation Oncology,West Virginia University School of Medicine Program,/Program/GetById/4360,Morgantown,WV
24,Radiation Oncology,University of Washington Program,/Program/GetById/4359,Seattle,WA
25,Radiation Oncology,Virginia Commonwealth University Health System Program,/Program/GetById/4358,Richmond,VA
26,Radiation Oncology,University of Virginia Medical Center Program,/Program/GetById/4357,Charlottesville,VA
27,Radiation Oncology,University of Utah Health Program,/Program/GetById/4356,Salt Lake City,UT
28,Radiation Oncology,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,/Program/GetById/4355,Temple,TX
29,Radiation Oncology,University of Texas M D Anderson Cancer Center Program,/Program/GetById/4354,Houston,TX
30,Radiation Oncology,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,/Program/GetById/4353,San Antonio,TX
31,Radiation Oncology,Baylor College of Medicine Program,/Program/GetById/4352,Houston,TX
32,Radiation Oncology,University of Texas Southwestern Medical Center Program,/Program/GetById/4351,Dallas,TX
33,Radiation Oncology,University of Texas Medical Branch Hospitals Program,/Program/GetById/4350,Galveston,TX
34,Radiation Oncology,Vanderbilt University Medical Center Program,/Program/GetById/4349,Nashville,TN
35,Radiation Oncology,University of Tennessee College of Medicine Program,/Program/GetById/4348,Memphis,TN
36,Radiation Oncology,Medical University of South Carolina Program,/Program/GetById/4347,Charleston,SC
37,Radiation Oncology,Allegheny Health Network Medical Education Consortium (AGH) Program,/Program/GetById/4346,Pittsburgh,PA
38,Radiation Oncology,UPMC Medical Education Program,/Program/GetById/4345,Pittsburgh,PA
39,Radiation Oncology,Temple University Hospital/Fox Chase Cancer Center Program,/Program/GetById/4344,Philadelphia,PA
40,Radiation Oncology,University of Pennsylvania Health System Program,/Program/GetById/4343,Philadelphia,PA
41,Radiation Oncology,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,/Program/GetById/4342,Philadelphia,PA
42,Radiation Oncology,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,/Program/GetById/4319,Lebanon,NH
43,Radiation Oncology,University of Nebraska Medical Center College of Medicine Program,/Program/GetById/4318,Omaha,NE
44,Radiation Oncology,Washington University/B-JH/SLCH Consortium Program,/Program/GetById/4317,St Louis,MO
45,Radiation Oncology,University of Mississippi Medical Center Program,/Program/GetById/4316,Jackson,MS
46,Radiation Oncology,University of Florida Program,/Program/GetById/4292,Gainesville,FL
47,Radiation Oncology,National Capital Consortium Program,/Program/GetById/4291,Bethesda,MD
48,Radiation Oncology,MedStar Health/Georgetown University Hospital Program,/Program/GetById/4290,Washington,DC
49,Radiation Oncology,Yale-New Haven Medical Center Program,/Program/GetById/4289,New Haven,CT
50,Radiation Oncology,University of Colorado Program,/Program/GetById/4288,Aurora,CO
51,Radiation Oncology,University of California Davis Health Program,/Program/GetById/4287,Sacramento,CA
52,Radiation Oncology,Kaiser Permanente Southern California (Los Angeles) Program,/Program/GetById/4286,Los Angeles,CA
53,Radiation Oncology,University of California (San Francisco) Program,/Program/GetById/4285,San Francisco,CA
54,Radiation Oncology,UCLA David Geffen School of Medicine/UCLA Medical Center Program,/Program/GetById/4284,Los Angeles,CA
55,Radiation Oncology,Loma Linda University Health Education Consortium Program,/Program/GetById/4283,Loma Linda,CA
56,Radiation Oncology,University of California (Irvine) Program,/Program/GetById/4282,Orange,CA
57,Radiation Oncology,University of California (San Diego) Medical Center Program,/Program/GetById/4281,San Diego,CA
58,Radiation Oncology,City of Hope National Medical Center Program,/Program/GetById/4280,Duarte,CA
59,Radiation Oncology,Stanford Health Care-Sponsored Stanford University Program,/Program/GetById/4279,Stanford,CA
60,Radiation Oncology,University of Southern California/LAC+USC Medical Center Program,/Program/GetById/4278,Los Angeles,CA
61,Radiation Oncology,Cedars-Sinai Medical Center Program,/Program/GetById/4277,Los Angeles,CA
62,Radiation Oncology,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,/Program/GetById/4276,Little Rock,AR
63,Radiation Oncology,University of Arizona College of Medicine-Tucson Program,/Program/GetById/4275,Tucson,AZ
64,Radiation Oncology,Mayo Clinic College of Medicine and Science (Arizona) Program,/Program/GetById/4274,Phoenix,AZ
65,Radiation Oncology,University of Miami/Jackson Health System Program,/Program/GetById/4293,Miami,FL
66,Radiation Oncology,University of Wisconsin Hospitals and Clinics Program,/Program/GetById/4361,Madison,WI
67,Radiation Oncology,Mayo Clinic College of Medicine and Science (Jacksonville) Program,/Program/GetById/4294,Jacksonville,FL
68,Radiation Oncology,Emory University School of Medicine Program,/Program/GetById/4296,Atlanta,GA
69,Radiation Oncology,Mayo Clinic College of Medicine and Science (Rochester) Program,/Program/GetById/4315,Rochester,MN
70,Radiation Oncology,University of Minnesota Program,/Program/GetById/4314,Minneapolis,MN
71,Radiation Oncology,Detroit Medical Center/Wayne State University Program,/Program/GetById/4313,Detroit,MI
72,Radiation Oncology,Beaumont Health (Royal Oak) Program,/Program/GetById/4312,Royal Oak,MI
73,Radiation Oncology,Henry Ford Hospital/Wayne State University Program,/Program/GetById/4311,Detroit,MI
74,Radiation Oncology,University of Michigan Health System Program,/Program/GetById/4310,Ann Arbor,MI
75,Radiation Oncology,Tufts Medical Center Program,/Program/GetById/4309,Boston,MA
76,Radiation Oncology,Brigham and Women's Hospital/Massachusetts General Hospital/Harvard Medical School Program,/Program/GetById/4308,Boston,MA
77,Radiation Oncology,University of Maryland Program,/Program/GetById/4307,Baltimore,MD
78,Radiation Oncology,Johns Hopkins University Program,/Program/GetById/4306,Baltimore,MD
79,Radiation Oncology,University of Louisville School of Medicine Program,/Program/GetById/4305,Louisville,KY
80,Radiation Oncology,University of Kentucky College of Medicine Program,/Program/GetById/4304,Lexington,KY
81,Radiation Oncology,University of Kansas School of Medicine Program,/Program/GetById/4303,Kansas City,KS
82,Radiation Oncology,University of Iowa Hospitals and Clinics Program,/Program/GetById/4302,Iowa City,IA
83,Radiation Oncology,Indiana University School of Medicine Program,/Program/GetById/4301,Indianapolis,IN
84,Radiation Oncology,Loyola University Medical Center Program,/Program/GetById/4300,Maywood,IL
85,Radiation Oncology,McGaw Medical Center of Northwestern University Program,/Program/GetById/4299,Chicago,IL
86,Radiation Oncology,University of Chicago/University of Illinois College of Medicine at Chicago Program,/Program/GetById/4298,Chicago,IL
87,Radiation Oncology,Rush University Medical Center Program,/Program/GetById/4297,Chicago,IL
88,Radiation Oncology,University of South Florida Morsani Program,/Program/GetById/4295,Tampa,FL
89,Radiation Oncology,Medical College of Wisconsin Affiliated Hospitals Program,/Program/GetById/4362,Milwaukee,WI
