,Specialty,Program,Link suffix,City,State
0,Surgery-General - Preliminary Track,USA Health Program,/Program/GetById/4364,Mobile,AL
1,Surgery-General - Preliminary Track,SUNY Upstate Medical University Program,/Program/GetById/4716,Syracuse,NY
2,Surgery-General - Preliminary Track,Icahn School of Medicine at Mount Sinai (Morningside/West) Program,/Program/GetById/4718,New York,NY
3,Surgery-General - Preliminary Track,University at Buffalo Program,/Program/GetById/4720,Buffalo,NY
4,Surgery-General - Preliminary Track,NYU Grossman School of Medicine Program,/Program/GetById/4722,New York,NY
5,Surgery-General - Preliminary Track,Bassett Medical Center Program,/Program/GetById/4724,Cooperstown,NY
6,Surgery-General - Preliminary Track,Brooklyn Hospital Center Program,/Program/GetById/4726,Brooklyn,NY
7,Surgery-General - Preliminary Track,Vidant Medical Center/East Carolina University Program,/Program/GetById/4730,Greenville,NC
8,Surgery-General - Preliminary Track,Carolinas Medical Center Program,/Program/GetById/4732,Charlotte,NC
9,Surgery-General - Preliminary Track,University of North Carolina Hospitals Program,/Program/GetById/4734,Chapel Hill,NC
10,Surgery-General - Preliminary Track,Duke University Hospital Program,/Program/GetById/4736,Durham,NC
11,Surgery-General - Preliminary Track,New Hanover Regional Medical Center Program,/Program/GetById/4738,Wilmington,NC
12,Surgery-General - Preliminary Track,Stony Brook Medicine/University Hospital Program,/Program/GetById/4714,Stony Brook,NY
13,Surgery-General - Preliminary Track,Wake Forest University School of Medicine Program,/Program/GetById/4740,Winston-Salem,NC
14,Surgery-General - Preliminary Track,Akron General Medical Center/NEOMED Program,/Program/GetById/4749,Akron,OH
15,Surgery-General - Preliminary Track,Summa Health System/NEOMED Program,/Program/GetById/4753,Akron,OH
16,Surgery-General - Preliminary Track,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/4755,Cincinnati,OH
17,Surgery-General - Preliminary Track,Ohio State University Hospital Program,/Program/GetById/4757,Columbus,OH
18,Surgery-General - Preliminary Track,University of Toledo Program,/Program/GetById/4760,Toledo,OH
19,Surgery-General - Preliminary Track,Western Reserve Health Education/NEOMED Program,/Program/GetById/4762,Warren,OH
20,Surgery-General - Preliminary Track,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,/Program/GetById/4764,Cleveland,OH
21,Surgery-General - Preliminary Track,Cleveland Clinic Foundation Program,/Program/GetById/4766,Cleveland,OH
22,Surgery-General - Preliminary Track,TriHealth (Good Samaritan Hospital) Program,/Program/GetById/4768,Cincinnati,OH
