,Specialty,Program,Link suffix,City,State
0,Thoracic Surgery - Integrated,Cedars-Sinai Medical Center Program,/Program/GetById/4979,Los Angeles,CA
1,Thoracic Surgery - Integrated,University of Utah Health Program,/Program/GetById/5009,Salt Lake City,UT
2,Thoracic Surgery - Integrated,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,/Program/GetById/5008,San Antonio,TX
3,Thoracic Surgery - Integrated,Baylor College of Medicine Program,/Program/GetById/5007,Houston,TX
4,Thoracic Surgery - Integrated,Medical University of South Carolina Program,/Program/GetById/5006,Charleston,SC
5,Thoracic Surgery - Integrated,UPMC Medical Education Program,/Program/GetById/5005,Pittsburgh,PA
6,Thoracic Surgery - Integrated,University of Pennsylvania Health System Program,/Program/GetById/5004,Philadelphia,PA
7,Thoracic Surgery - Integrated,Ohio State University Hospital Program,/Program/GetById/5003,Columbus,OH
8,Thoracic Surgery - Integrated,Cleveland Clinic Foundation Program,/Program/GetById/5002,Cleveland,OH
9,Thoracic Surgery - Integrated,University of Cincinnati Medical Center/College of Medicine Program,/Program/GetById/5001,Cincinnati,OH
10,Thoracic Surgery - Integrated,University of North Carolina Hospitals Program,/Program/GetById/5000,Chapel Hill,NC
11,Thoracic Surgery - Integrated,Duke University Hospital Program,/Program/GetById/4999,Durham,NC
12,Thoracic Surgery - Integrated,University of Rochester Program,/Program/GetById/4998,Rochester,NY
13,Thoracic Surgery - Integrated,New York Presbyterian Hospital (Columbia Campus) Program,/Program/GetById/4997,New York,NY
14,Thoracic Surgery - Integrated,Icahn School of Medicine at Mount Sinai Program,/Program/GetById/4996,New York,NY
15,Thoracic Surgery - Integrated,University of Virginia Medical Center Program,/Program/GetById/5010,Charlottesville,VA
16,Thoracic Surgery - Integrated,Montefiore Medical Center/Albert Einstein College of Medicine  Program,/Program/GetById/4995,Bronx,NY
17,Thoracic Surgery - Integrated,Zucker School of Medicine at Hofstra/Northwell Program,/Program/GetById/4993,New Hyde Park,NY
18,Thoracic Surgery - Integrated,University of Michigan Health System Program,/Program/GetById/4992,Ann Arbor,MI
19,Thoracic Surgery - Integrated,Brigham and Women's Hospital Program,/Program/GetById/4991,Boston,MA
20,Thoracic Surgery - Integrated,University of Maryland Program,/Program/GetById/4990,Baltimore,MD
21,Thoracic Surgery - Integrated,University of Kentucky College of Medicine Program,/Program/GetById/4989,Lexington,KY
22,Thoracic Surgery - Integrated,University of Iowa Hospitals and Clinics Program,/Program/GetById/4988,Iowa City,IA
23,Thoracic Surgery - Integrated,Indiana University School of Medicine Program,/Program/GetById/4987,Indianapolis,IN
24,Thoracic Surgery - Integrated,McGaw Medical Center of Northwestern University Program,/Program/GetById/4986,Chicago,IL
25,Thoracic Surgery - Integrated,Emory University School of Medicine Program,/Program/GetById/4985,Atlanta,GA
26,Thoracic Surgery - Integrated,University of Florida College of Medicine Program,/Program/GetById/4984,Gainesville,FL
27,Thoracic Surgery - Integrated,Yale-New Haven Medical Center Program,/Program/GetById/4983,New Haven,CT
28,Thoracic Surgery - Integrated,University of California Davis Health Program,/Program/GetById/4982,Sacramento,CA
29,Thoracic Surgery - Integrated,Stanford Health Care-Sponsored Stanford University Program,/Program/GetById/4981,Stanford,CA
30,Thoracic Surgery - Integrated,University of Southern California/LAC+USC Medical Center Program,/Program/GetById/4980,Los Angeles,CA
31,Thoracic Surgery - Integrated,NYU Grossman School of Medicine Program,/Program/GetById/4994,New York,NY
32,Thoracic Surgery - Integrated,University of Washington Program,/Program/GetById/5011,Seattle,WA
