,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,0400121010,Participating,https://www.uab.edu/medicine/anesthesiology/
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,0400421013,Participating,https://medicine.uams.edu/anesthesiology/residency/
2,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,0400331197,Participating,http://www.mayo.edu/msgme/residencies-fellowships/anesthesiology/anesthesiology-residency-arizona
3,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,0400321012,Not Participating,
4,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,0400521016,Participating,http://www.lluanesthesia.com
5,CA,Los Angeles,,Cedars-Sinai Medical Center Program,0400521019,Participating,
6,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,0400521020,Participating,https://www.uclahealth.org/anes
7,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,0400521018,Participating,http://keck.usc.edu/anesthesiology
8,CA,Moreno Valley,,Riverside University Health System Program,0400500027,Participating,https://www.ruhealth.org/medical-center/medical-training/anesthesiology-residency
9,CA,Orange,,University of California (Irvine) Program,0400521015,Participating,http://www.anesthesiology.uci.edu/
10,CA,Riverside,,Riverside Community Hospital Program,0400500031,Participating,http://gme.riversidecommunityhospital.com
11,CA,Sacramento,,University of California Davis Health Program,0400521014,Participating,http://www.ucdmc.ucdavis.edu/anesthesiology/education/residency
12,CA,San Diego,,University of California (San Diego) Medical Center Program,0400521022,Participating,http://anes-som.ucsd.edu/
13,CA,San Francisco,,University of California (San Francisco) Program,0400521023,Participating,http://www.anesthesia.ucsf.edu/
14,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,0400521025,Participating,http://www.med.stanford.edu/anesthesia/
15,CA,Stockton,,St Joseph's Medical Center Program,0400500030,Not Participating,
16,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,0400511026,Participating,http://www.harbor-ucla.org/anesthesiology/
17,CA,Visalia,,Kaweah Delta Health Care District (KDHCD) Program,0400500028,Participating,https://www.kaweahdelta.org/GME-Residency-Programs/Anesthesiology.aspx
18,CO,Aurora,,University of Colorado Program,0400721028,Participating,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/Anesthesiology/Education/residency/Pages/Residency.aspx
19,CT,Farmington,,University of Connecticut Program,0400821172,Participating,https://health.uconn.edu/graduate-medical-education/anesthesiology-residency-program/
20,CT,New Haven,,Yale-New Haven Medical Center Program,0400821030,Participating,http://medicine.yale.edu/anesthesiology
21,DC,Washington,,George Washington University Program,0401021033,Not Participating,
22,DC,Washington,,MedStar Health/Georgetown University Hospital Program,0401021032,Participating,http://anesthesiology.georgetown.edu/
23,FL,Brooksville,,HCA Healthcare/USF Morsani College of Medicine GME: Oak Hill Hospital Program,0401100211,Participating,
24,FL,Gainesville,,University of Florida Program,0401121035,Participating,https://anest.ufl.edu/education/residency/
25,FL,Jacksonville,,Mayo Clinic College of Medicine and Science (Jacksonville) Program,0401113194,Participating,http://www.mayo.edu/msgme
26,FL,Jacksonville,,University of Florida College of Medicine Jacksonville Program,0401112204,Participating,http://www.hscj.ufl.edu/anesthesiology/residency/
27,FL,Miami,,HCA Healthcare: East Florida Division GME: Kendall Regional Medical Center Program,0401100206,Participating,http://kendallmed.com/professionals/graduate-medical-education/
28,FL,Miami,,University of Miami/Jackson Health System Program,0401121036,Participating,http://anesthesiology.med.miami.edu
29,FL,Miami Beach,,"Mount Sinai Medical Center of Florida, Inc Program",0401100205,Participating,http://www.msmc.com
30,FL,Ocala,,University of Central Florida/HCA Healthcare GME (Ocala) Program,0401100212,Participating,https://ocalahealthsystem.com/physicians/graduate-medical-education/anesthesiology/
31,FL,Pembroke Pines,,"Memorial Healthcare System, Hollywood, Florida Program",0401100215,Participating,https://www.mhs.net/medical-professionals/education/residency-programs/
32,FL,Plantation,,HCA Healthcare: East Florida Division GME Program,0401100001,Participating,https://westsideregional.com/physicians/graduate-medical-education/
33,FL,South Miami,,Larkin Community Hospital Program,0401100213,Participating,http://www.graduatemedicaleducation.org/anesthesiology-residency-program/
34,FL,Weston,,Cleveland Clinic Florida Program,0401100209,Participating,
