,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,1850121008,Participating,https://www.uab.edu/medicine/peds/child-neurology-residency
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1850421085,Participating,http://www.arpediatrics.org/
2,AZ,Phoenix,,Phoenix Children's Hospital Program,1850321024,Not Participating,
3,CA,La Jolla,,University of California (San Diego) Medical Center Program,1850521020,Participating,https://medschool.ucsd.edu/som/neurosciences/education/child-neurology-residency/Pages/default.aspx
4,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,1850521075,Participating,https://lluh.org/health-professionals/gme/resident-fellow/pediatric-neurology-residency?rsource=medical-center.lomalindahealth.o
5,CA,Los Angeles,,Children's Hospital Los Angeles Program,1850521065,Participating,http://www.chla.org/fellowship/child-neurology-training-program
6,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,1850521062,Participating,http://www.uclahealth.org/body.cfm?id=453&action=detail&limit_department=22&limit_division=1080
7,CA,Orange,,University of California (Irvine) Program,1850521006,Participating,https://www.choc.org/careers/residency-training-programs/child-neurology-residency/
8,CA,San Francisco,,University of California (San Francisco) Program,1850521069,Participating,http://neuroresidency.ucsf.edu/
9,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,1850521061,Participating,http://neurology.stanford.edu/education
10,CO,Aurora,,University of Colorado Program,1850721023,Participating,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/pediatrics/subs/neuro/educat/fellows/Pages/fellows.aspx
11,CT,New Haven,,Yale-New Haven Hospital Program,1850800078,Not Participating,
12,DC,Washington,,Children's National Medical Center/George Washington University Program,1851021048,Participating,http://childrensnational.org/education-training/fellowship-programs/acgme-fellowships/neurology
13,DE,Wilmington,,Sidney Kimmel Medical College at Thomas Jefferson University/DuPont Hospital for Children Program,1854118042,Participating,https://www.nemours.org/education/gme/specialtymedical/neurology.html
14,FL,Gainesville,,University of Florida College of Medicine Program,1851118101,Participating,http://neurology.pediatrics.med.ufl.edu/child-neurology-education/child-neuro-residency-program/
15,FL,Jacksonville,,Mayo Clinic College of Medicine and Science (Jacksonville) Program,1851113100,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/child-and-adolescent-neurology-residency-florida/
16,GA,Atlanta,,Emory University School of Medicine Program,1851218108,Participating,http://www.choa.org/neurologyresidency
17,GA,Augusta,,Medical College of Georgia Program,1851221019,Participating,http://www.augusta.edu/neurology/residency/pedresidency.html
18,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,1851831106,Participating,https://gme.medicine.uiowa.edu/child-neurology-residency
19,IL,Chicago,,McGaw Medical Center of Northwestern University Program,1851621021,Participating,http://www.pediatrics.northwestern.edu/education/fellowships/neurology/index.html
20,IL,Chicago,,University of Chicago Program,1851621001,Participating,https://pediatrics.uchicago.edu/education/cneuro-residencylanding-page
21,IN,Indianapolis,,Indiana University School of Medicine Program,1851721050,Participating,http://neurology.medicine.iu.edu
22,KY,Lexington,,University of Kentucky College of Medicine Program,1852021099,Participating,https://neurology.med.uky.edu/neurology-child-residency
23,KY,Louisville,,University of Louisville School of Medicine Program,1852021103,Participating,https://uofl.me/2Cirldu
24,LA,New Orleans,,Louisiana State University Program,1852121022,Participating,http://residents.lsuhsc.edu/no/child_neurology/
25,MA,Boston,,Boston University Medical Center Program,1852413102,Participating,https://www.bmc.org/pediatrics-neurology/residency-program
26,MA,Boston,,Children's Hospital/Beth Israel Deaconess Medical Center/Harvard Medical School Program,1852421051,Participating,http://www.childrenshospital.org/centers-and-services/child-neurology-residency-training-program
27,MA,Boston,,Massachusetts General Hospital Program,1852431067,Participating,http://www. MGHBWHNEUROLOGY.org
28,MA,Boston,,Tufts Medical Center Program,1852421028,Participating,http://www.floatinghospital.org/ourservices/NeurologyandNeurosurgery/Neurology
29,MD,Baltimore,,Johns Hopkins University Program,1852321027,Participating,http://www.hopkinsmedicine.org/neurology_neurosurgery/education/residencies/pediatric_neurology/
30,MI,Ann Arbor,,University of Michigan Health System Program,1852521030,Participating,https://medicine.umich.edu/dept/pediatrics/divisions/pediatric-neurology
31,MI,Detroit,,Detroit Medical Center/Wayne State University Program,1852521052,Not Participating,
32,MI,Grand Rapids,,Spectrum Health/Michigan State University Program,1852500053,Participating,https://www.spectrumhealth.org/medicaleducation
33,MN,Rochester,,Mayo Clinic College of Medicine and Science (Rochester) Program,1852621053,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/child-and-adolescent-neurology-residency-minnesota/
34,MO,Kansas City,,Children's Mercy Hospital/University of Kansas Medical Center Program,1851922096,Participating,https://www.childrensmercy.org/professional-education/residencies/
35,MO,St Louis,,St Louis University School of Medicine Program,1852821033,Participating,http://neurology.slu.edu/index.php?page=child-neurology-residency-program
36,MO,St Louis,,Washington University/B-JH/SLCH Consortium Program,1852821034,Participating,https://neuro.wustl.edu/Residencies/Pediatric-Neurology-Residency
37,MS,Jackson,,University of Mississippi Medical Center Program,1852712095,Participating,https://www.umc.edu
38,NC,Chapel Hill,,University of North Carolina Hospitals Program,1853621003,Participating,http://med.unc.edu/neurology
39,NC,Durham,,Duke University Hospital Program,1853621080,Participating,http://bit.ly/29CHQgD
40,NC,Winston-Salem,,Wake Forest University School of Medicine Program,1853621037,Participating,http://www.wakehealth.edu/school/
41,NJ,Neptune,,Jersey Shore University Medical Center Program,1853300012,Participating,https://www.jerseyshoreuniversitymedicalcenter.com/health-professionals/education/graduate-medical-program
42,NJ,Newark,,Rutgers Health/New Jersey Medical School Program,1853321011,Not Participating,
43,NM,Albuquerque,,University of New Mexico School of Medicine Program,1853413105,Participating,https://hsc.unm.edu/medicine/departments/neurology/education/child-residency/
44,NY,Bronx,,Montefiore Medical Center/Albert Einstein College of Medicine Program,1853521002,Participating,https://www.einstein.yu.edu/departments/neurology/divisions/Child-Neuro/
45,NY,Brooklyn,,SUNY Downstate Health Sciences University Program,1853521054,Participating,http://downstate.edu/neurology/
46,NY,Buffalo,,University at Buffalo Program,1853521035,Participating,http://medicine.buffalo.edu/departments/neurology.html
47,NY,Lake Success,,Zucker School of Medicine at Hofstra/Northwell at Cohen Children's Medical Center Program,1853521055,Participating,https://professionals.northwell.edu/graduate-medical-education/fellowship-child-neurology-cohen-childrens-medical-center
48,NY,New York,,Icahn School of Medicine at Mount Sinai Program,1853500095,Participating,https://icahn.mssm.edu/education/residencies-fellowships/list/msh-pediatric-neurology-residency
49,NY,New York,,NYU Grossman School of Medicine Program,1853521057,Participating,https://med.nyu.edu/departments-institutes/neurology/education/child-neurology-residency-training
50,NY,New York,,New York Presbyterian Hospital (Columbia Campus) Program,1853521059,Not Participating,
51,NY,New York,,New York Presbyterian Hospital (Cornell Campus) Program,1853521015,Not Participating,
52,NY,Rochester,,University of Rochester Program,1853512094,Participating,http://www.urmc.rochester.edu/smd/gme/prospective/peds_neurology/
53,NY,Stony Brook,,Stony Brook Medicine/University Hospital Program,1853521081,Participating,http://www.renaissance.stonybrookmedicine.edu/neurology
54,OH,Cincinnati,,Cincinnati Children's Hospital Medical Center Program,1853821038,Participating,https://www.cincinnatichildrens.org/education/clinical/specialty/neurology
55,OH,Cleveland,,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,1853813091,Participating,http://www.rainbowbabies.org/
56,OH,Cleveland,,Cleveland Clinic Foundation Program,1853821004,Participating,https://my.clevelandclinic.org/departments/neurological/medical-professionals/residencies
57,OH,Columbus,,Nationwide Children's Hospital/Ohio State University Program,1853821092,Participating,http://www.nationwidechildrens.org
58,OR,Portland,,Oregon Health & Science University Program,1854023048,Participating,https://www.ohsu.edu/doernbecher/pediatric-neurology-residency-program
59,PA,Philadelphia,,Children's Hospital of Philadelphia Program,1854121041,Participating,http://www.chop.edu/service/neurology/education-fellowship/
60,PA,Philadelphia,,Tower Health Program,1854121040,Participating,http://www.stchristophershospital.org
61,PA,Pittsburgh,,UPMC Medical Education Program,1854121012,Participating,http://www.chp.edu/health-care-professionals/education/residencies/pediatrics/programs/training/neurology
62,PR,San Juan,,University of Puerto Rico Program,1854212101,Participating,https://md.rcm.upr.edu/pediatrics/pediatric-neurology/
63,SC,Charleston,,Medical University of South Carolina Program,1854518107,Participating,https://medicine.musc.edu/departments/pediatrics/residency/child-neurology-residency
64,TN,Memphis,,University of Tennessee Program,1854712104,Participating,https://www.uthsc.edu/pediatrics/neurology/fellowship/index.php
65,TN,Nashville,,Vanderbilt University Medical Center Program,1854721042,Participating,https://pediatrics.vumc.org/child-neurology-residency
66,TX,Austin,,University of Texas at Austin Dell Medical School Program,1854818079,Participating,https://dellmed.utexas.edu/education/academics/graduate-medical-education/child-neurology-residency
67,TX,Dallas,,University of Texas Southwestern Medical Center Program,1854821043,Participating,https://www.utsouthwestern.edu/education/medical-school/departments/neurology/education-and-training/residency/pediatric/
68,TX,Houston,,Baylor College of Medicine Program,1854821018,Participating,http://www.bcm.edu/pediatrics/neurology
69,TX,Houston,,University of Texas Health Science Center at Houston Program,1854831078,Participating,https://med.uth.edu/pediatrics/neurology/pediatric-neurology-residency-program/
70,UT,Salt Lake City,,University of Utah Health Program,1854921044,Participating,http://medicine.utah.edu/pediatrics/neurology/education/index.php
71,VA,Charlottesville,,University of Virginia Medical Center Program,1855131097,Participating,https://med.virginia.edu/neurology/education/child-neurology-residency-training-program/
72,VA,Richmond,,Virginia Commonwealth University Health System Program,1855121060,Not Participating,
73,WA,Seattle,,University of Washington Program,1855421047,Participating,https://depts.washington.edu/neurolog/clinical-care/pediatric-neurology/
74,WI,Madison,,University of Wisconsin Hospitals and Clinics Program,1855618109,Participating,https://www.neurology.wisc.edu/child-neuro-residency
75,WI,Milwaukee,,Medical College of Wisconsin Affiliated Hospitals Program,1855621070,Participating,http://www.mcw.edu/Neurology/Child-Neurology-Fellowship.htm
