,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,BIRMINGHAM,,University of Alabama Medical Center Program,0800121010,Participating,http://www.uab.edu/medicine/dermatology/education
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,0800421013,Not Participating,
2,AZ,Glendale,,Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,0800300146,Not Participating,
3,AZ,Scottsdale,,HonorHealth Program,0800300148,Participating,https://www.honorhealth.com/academic-affairs/dermatology-residency-program
4,AZ,Scottsdale,,Mayo Clinic College of Medicine and Science (Arizona) Program,0800321127,Participating,http://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education/residencies-fellowships/dermatology/dermatology-residency
5,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,0800321145,Participating,http://deptmedicine.arizona.edu/education/residency-programs/advanced-dermatology-residency-program
6,CA,Irvine,,University of California (Irvine) Program,0800521014,Participating,http://www.dermatology.uci.edu/
7,CA,La Jolla,,University of California (San Diego) Medical Center Program,0800521018,Participating,https://dermatology.ucsd.edu/education-training/residency/apply.html
8,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,0800521111,Participating,http://lluh.org/dermatology-residency
9,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,0800512144,Participating,https://residency-scal-kaiserpermanente.org/residency/dermatology/
10,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,0800521017,Participating,http://www.derm.med.ucla.edu/
11,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,0800511015,Participating,https://keck.usc.edu/dermatology/
12,CA,Newport Beach,,Prime West Consortium/Newport Beach Program,0800500145,Participating,http://westernderm.com
13,CA,Redwood City,,Stanford Health Care-Sponsored Stanford University Program,0800521020,Participating,http://med.stanford.edu/dermatology/education.html
14,CA,Sacramento,,University of California Davis Health Program,0800521101,Not Participating,
15,CA,San Francisco,,University of California (San Francisco) Program,0800521019,Participating,http://dermatology.medschool.ucsf.edu
16,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,0800512137,Participating,http://www.harbor-ucla.org/dermatology/
17,CO,Aurora,,University of Colorado Program,0800721022,Participating,http://medschool.ucdenver.edu/derm
18,CT,Farmington,,University of Connecticut Program,0800831138,Participating,http://www.uchc.edu/md/derm/index.htm
19,CT,New Haven,,Yale-New Haven Medical Center Program,0800821023,Participating,https://medicine.yale.edu/dermatology/education/program/
20,DC,Washington,,George Washington University School of Medicine Program,0801000127,Participating,https://smhs.gwu.edu/dermatology/
21,DC,Washington,,Howard University Program,0801021025,Participating,
22,FL,Fort Lauderdale,,Broward Health Program,0801100138,Participating,https://gme.browardhealth.org/
23,FL,Gainesville,,University of Florida Program,0801121115,Participating,http://dermatology.med.ufl.edu/
24,FL,Hialeah,,Larkin Community Hospital Palm Springs Campus Program,0801100144,Participating,http://www.graduatemedicaleducation.org/
25,FL,Jacksonville,,Mayo Clinic College of Medicine and Science (Jacksonville) Program,0801131125,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/dermatology-residency-florida/
26,FL,Largo,,HCA Healthcare/USF Morsani College of Medicine GME: Largo Medical Center Program,0801100139,Participating,https://largomedical.com/gme/residencies/dermatology/
27,FL,Maitland,,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,0801100141,Participating,http://orlandodermresidency.com
28,FL,Miami,,University of Miami/Jackson Health System Program,0801121026,Participating,http://www.dermatology.med.miami.edu
29,FL,Orange Park,,HCA Healthcare/Mercer University School of Medicine/Orange Park Medical Center Program,0801100140,Participating,https://orangeparkmedical.com/gme/residencies/dermatology/
30,FL,South Miami,,Larkin Community Hospital Program,0801100143,Participating,http://www.graduatemedicaleducation.org/
31,FL,Tallahassee,,Florida State University College of Medicine Program,0801100137,Not Participating,
32,FL,Tampa,,University of South Florida Morsani Program,0801121096,Not Participating,
33,GA,Atlanta,,Emory University School of Medicine Program,0801221028,Participating,http://www.dermatology.emory.edu
34,GA,Augusta,,Medical College of Georgia Program,0801211029,Participating,https://www.augusta.edu/mcg/dermatology/residency/
35,GA,Roswell,,Philadelphia College of Osteopathic Medicine Program,0801200030,Participating,http://www.georgiadermresidency.com
36,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,0801821036,Participating,http://www.medicine.uiowa.edu/dermatology/
37,IL,Chicago,,Cook County Health and Hospitals System Program,0801612030,Not Participating,
38,IL,Chicago,,McGaw Medical Center of Northwestern University Program,0801621031,Participating,http://www.feinberg.northwestern.edu/sites/dermatology/education/index.html
39,IL,Chicago,,Rush University Medical Center Program,0801611032,Participating,https://www.rush.edu/
40,IL,Chicago,,University of Chicago Program,0801611033,Participating,http://medicine.uchicago.edu/derm/res_overview.html
41,IL,Chicago,,University of Illinois College of Medicine at Chicago Program,0801621034,Participating,https://chicago.medicine.uic.edu/departments/academic-departments/dermatology/
42,IL,Maywood,,Loyola University Medical Center Program,0801612135,Participating,https://www.loyolamedicine.org/gme/dermatology-residency-program
43,IL,Springfield,,Southern Illinois University Program,0801621118,Participating,https://www.siumed.edu/im/dermatology
44,IN,Indianapolis,,Indiana University School of Medicine Program,0801721035,Not Participating,
45,KS,Kansas City,,University of Kansas School of Medicine Program,0801911037,Participating,http://www2.kumc.edu/kuderm
46,KY,Louisville,,University of Louisville School of Medicine Program,0802021038,Participating,http://www.louisville.edu/medschool/dermatology/
47,LA,New Orleans,,Louisiana State University Program,0802121109,Participating,https://residents.lsuhsc.edu/no/dermatology/
48,LA,New Orleans,,Tulane University Program,0802121108,Participating,https://medicine.tulane.edu/departments/dermatology/academic-programs/residency
49,MA,Boston,,Boston University Medical Center Program,0802421044,Participating,http://www.bumc.bu.edu/derm
50,MA,Boston,,Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp Program,0802431043,Participating,http://www.hms.harvard.edu/dermatology/
51,MA,Boston,,Tufts Medical Center Program,0802421141,Participating,https://www.tuftsmedicalcenter.org/patient-care-services/Departments-and-Services/Dermatology/Training-Education.aspx
52,MA,Worcester,,University of Massachusetts Program,0802421114,Participating,http://www.umassmed.edu/derm/
53,MD,Baltimore,,Johns Hopkins University Program,0802321040,Participating,http://www.hopkinsmedicine.org/dermatology
54,MD,Baltimore,,University of Maryland Program,0802321041,Participating,https://www.medschool.umaryland.edu/dermatology/Residency-Program/
55,MD,Chevy Chase,,MedStar Health/Washington Hospital Center Program,0801021106,Participating,https://www.medstarhealth.org/education/affiliated-hospitals-2/medstar-washington-hospital-center/dermatology-residency/
56,MI,Ann Arbor,,University of Michigan Health System Program,0802531045,Participating,https://medicine.umich.edu/dept/dermatology
57,MI,Commerce Twp,,"Beaumont Health (Farmington Hills) Program
 Osteopathic Recognized!",0802500142,Participating,https://www.beaumont.edu/graduate-medical-education
58,MI,Dearborn,,Wayne State University School of Medicine Program,0802513139,Participating,http://dermatology.med.wayne.edu/
59,MI,Detroit,,Henry Ford Hospital Program,0802512046,Participating,http://www.henryford.com/body_program.cfm?id=49992
60,MI,Trenton,,Beaumont Health (Trenton) Program,0802500145,Participating,http://beaumont.edu
61,MI,Ypsilanti,,St Joseph Mercy Livingston Program,0802500143,Participating,http://www.stjoeshealth.org/gme-dermatology
62,MN,Minneapolis,,University of Minnesota Program,0802631048,Participating,http://www.dermatology.umn.edu
63,MN,Rochester,,Mayo Clinic College of Medicine and Science (Rochester) Program,0802621049,Participating,https://college.mayo.edu/dermatology-residency-minnesota
64,MN,St. Louis Park,,HealthPartners Institute Program,0802600050,Participating,https://healthpartnersdermatologyresidency.com/
65,MO,Columbia,,University of Missouri-Columbia Program,0802821050,Participating,https://medicine.missouri.edu/departments/dermatology/residency
66,MO,Kirksville,,"Still OPTI Program
 Osteopathic Recognized!",0802800117,Participating,https://www.nermc.com
67,MO,St Louis,,St Louis University School of Medicine Program,0802821116,Participating,https://www.slu.edu/medicine/dermatology/residency.php
68,MO,St Louis,,Washington University/B-JH/SLCH Consortium Program,0802821051,Participating,http://dermatology.wustl.edu
69,MS,Jackson,,University of Mississippi School of Medicine Program,0802700001,Participating,http://www.umc.edu
70,NC,Chapel Hill,,University of North Carolina Hospitals Program,0803611066,Participating,http://www.med.unc.edu/derm
71,NC,Clinton,,Campbell University Program,0803600133,Participating,https://www.sampsonrmc.org/join-our-team/graduate-medical-education
72,NC,Durham,,Duke University Hospital Program,0803621067,Participating,https://dermatology.duke.edu/
