,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,1100131165,Participating,https://www.uab.edu/medicine/em/education/residency
1,AL,Mobile,,USA Health Program,1100100167,Participating,https://www.southalabama.edu/colleges/com/departments/emergency-medicine/residency.html
2,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1100421071,Participating,http://emergencymedicine.uams.edu
3,AR,Searcy,,Unity Health-White County Medical Center Program,1100400072,Participating,
4,AZ,Goodyear,,Abrazo Health Network Program,1100300205,Participating,http://wvem.org
5,AZ,Kingman,,Midwestern University GME Consortium / Kingman Program,1100300204,Participating,https://azkrmc.com
6,AZ,Phoenix,,Creighton University School of Medicine (Phoenix) Program,1100321082,Participating,http://www.maricopaemergencymedicine.com
7,AZ,Tucson,,University of Arizona College of Medicine-Tucson (South Campus) Program,1100321203,Participating,http://emergencymed.arizona.edu/residencies/ua-south-campus
8,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,1100312056,Participating,http://emergencymed.arizona.edu/residencies/ua-university-campus
9,CA,Bakersfield,,Kern Medical Center Program,1100512001,Participating,http://www.kernmedical.com
10,CA,Colton,,Arrowhead Regional Medical Center Program,1100500216,Participating,http://www.armcemergency.org
11,CA,Fresno,,St. Agnes Medical Center (Fresno) Program,1100500223,Participating,
12,CA,Fresno,,University of California (San Francisco)/Fresno Program,1100512002,Participating,http://www.fresno.ucsf.edu/em
13,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,1100512068,Participating,http://www.lluem.org/
14,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center/Olive View Program,1100512003,Participating,http://www.emergencymedicine.ucla.edu
15,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,1100512005,Not Participating,
16,CA,Modesto,,Kaiser Permanente Northern California Program,1100500222,Participating,https://residency-ncal.kaiserpermanente.org/programs/em-central-valley/
17,CA,Moreno Valley,,Riverside University Health System Program,1100500001,Participating,
18,CA,Oakland,,Alameda Health System-Highland Hospital Program,1100512006,Participating,http://www.highlandemergency.org/
19,CA,Orange,,University of California (Irvine) Program,1100521078,Participating,http://www.emergencymed.uci.edu/index.asp
20,CA,Palm Springs,,Desert Regional Medical Center Program,1100500217,Participating,http://desertemergency.com
21,CA,Palo Alto,,Stanford Health Care-Sponsored Stanford University Program,1100521098,Participating,http://emed.stanford.edu/residency.html
22,CA,Rancho Mirage,,Eisenhower Medical Center Program,1100500219,Participating,https://www.eisenhowerhealth.org/gme/
23,CA,Riverside,,Riverside Community Hospital/University of California Riverside School of Medicine Program,1100500218,Participating,http://gme.riversidecommunityhospital.com/Residency-Programs/Emergency-Medicine
24,CA,Sacramento,,University of California Davis Health Program,1100521097,Participating,http://www.ucdmc.ucdavis.edu/emergency
25,CA,San Diego,,Kaiser Permanente Southern California Program,1100500214,Participating,https://residency-scal-kaiserpermanente.org/residency/emergencymedicine/
26,CA,San Diego,,University of California (San Diego) Medical Center Program,1100521080,Participating,http://emergencymed.ucsd.edu
27,CA,San Francisco,,University of California (San Francisco)/San Francisco General Hospital Program,1100513192,Participating,http://emergency.ucsf.edu/
28,CA,Stockton,,St Joseph's Medical Center Program,1100500220,Participating,https://tinyurl.com/yxuny6gd
29,CA,Temecula,,UHS Southern California Medical Education Consortium Program,1100500221,Participating,https://socalresidency.com/
30,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,1100512008,Participating,https://emedharbor.edu/
31,CA,Visalia,,Kaweah Delta Health Care District (KDHCD) Program,1100500213,Participating,http://www.kaweahdelta.org
32,CO,Denver,,Denver Health Medical Center Program,1100712009,Participating,http://www.DenverEM.org/
33,CT,Farmington,,University of Connecticut Program,1100821120,Participating,https://health.uconn.edu/graduate-medical-education/emergency-medicine-residency-program/
34,CT,New Haven,,Yale-New Haven Medical Center Program,1100821139,Participating,http://medicine.yale.edu/emergencymed
35,DC,Washington,,George Washington University Program,1101012011,Participating,http://smhs.gwu.edu/emed/
36,DC,Washington,,MedStar Health/Georgetown-Washington Hospital Center Program,1101012181,Participating,http://georgetownemergencymedicine.org
37,DE,Newark,,Christiana Care Health Services Program,1100912057,Participating,http://residency.christianacare.org/em
38,FL,Aventura,,HCA Healthcare: East Florida Division GME: Aventura Hospital and Medical Center Program,1101100196,Participating,http://www.aventuraem.com
39,FL,Boynton Beach,,Florida Atlantic University Charles E. Schmidt College of Medicine Program,1101100192,Participating,http://med.fau.edu/residencies/emergencymedicine
40,FL,Brandon,,HCA Healthcare/USF Morsani College of Medicine GME: Brandon Regional Hospital Program,1101100204,Participating,https://brandonhospital.com/gme/emergency-medicine-residency/
41,FL,Brooksville,,HCA Healthcare/USF Morsani College of Medicine GME: Oak Hill Hospital Program,1101100205,Participating,
42,FL,Gainesville,,University of Central Florida/HCA Healthcare GME (Gainesville) Program,1101100201,Participating,http://northfloridagme.com/emergency-medicine/
43,FL,Gainesville,,University of Florida Program,1101131186,Participating,http://emergency.med.ufl.edu
44,FL,Jacksonville,,University of Florida College of Medicine Jacksonville Program,1101112058,Participating,http://www.hscj.ufl.edu/emergency-medicine/residency/
45,FL,Miami,,HCA Healthcare: East Florida Division GME: Kendall Regional Medical Center Program,1101100195,Participating,http://kendallmed.com/
46,FL,Miami,,University of Miami/Jackson Health System Program,1101100193,Participating,https://miamiemresidency.org/
47,FL,Miami Beach,,"Mount Sinai Medical Center of Florida, Inc Program",1101100197,Participating,http://www.msmc.com/education/emergency-medicine
48,FL,Ocala,,University of Central Florida/HCA Healthcare GME (Ocala) Program,1101100200,Participating,http://ocalaem.com
49,FL,Orange Park,,HCA Healthcare/Mercer University School of Medicine/Orange Park Medical Center Program,1101100202,Participating,https://orangeparkmedical.com
50,FL,Orlando,,AdventHealth Florida Program,1101112190,Participating,https://www.adventhealth.com/adventhealth-graduate-medical-education
51,FL,Orlando,,Orlando Health Program,1101121072,Participating,https://www.orlandohealth.com/medical-professionals/graduate-medical-education/residency-programs/emergency-medicine-residency
52,FL,Orlando,,University of Central Florida/HCA Healthcare GME (Greater Orlando) Program,1101100194,Participating,http://ucfemergencymedicineresidency.org/
53,FL,Pembroke Pines,,"Memorial Healthcare System, Hollywood, Florida Program",1101100207,Participating,
54,FL,Pompano Beach,,Broward Health Program,1101100206,Participating,https://www.browardhealth.org/sitecore/content/gme/home
55,FL,Port St. Lucie,,HCA Healthcare: East Florida Division GME: St. Lucie Medical Center Program,1101100199,Participating,https://stluciemed.com/gme/emergency-medicine/
