,State,City,Blank,Program name,ID,Status,ERAS link
0,AK,Anchorage,,"Providence Hospital/Alaska Family Medicine Program
 Osteopathic Recognized!",1200221596,Participating,http://www.akfmr.org
1,AL,Birmingham,,St Vincent's East Program,1200131020,Participating,https://christhealthcenter.org/svefmr
2,AL,Centreville,,"Cahaba Medical Care/University of Alabama Medical Center Program
 Osteopathic Recognized!",1200100727,Participating,http://www.cahabafamilymedicine.com/
3,AL,Foley,,Foley Hospital Corporation/South Baldwin Regional Medical Center Program,1200100728,Participating,http://www.southbaldwinrmc.com
4,AL,Gadsden,,Gadsden Regional Medical Center Program,1200100001,Participating,https://www.gadsdenfmr.com
5,AL,Huntsville,,University of Alabama Medical Center (Huntsville) Program,1200111023,Participating,https://www.uab.edu/medicine/home/huntsville-family-medicine/
6,AL,Mobile,,USA Health Program,1200111024,Participating,http://www.fammed.usouthal.edu/
7,AL,Montgomery,,Baptist Outreach Services (Montgomery) Program,1200121624,Participating,http://www.montgomeryfmrp.com
8,AL,Selma,,University of Alabama Medical Center (Selma Dallas County) Program,1200121026,Participating,http://www.uab.edu/selma
9,AL,Tuscaloosa,,University of Alabama-Tuscaloosa Program,1200121027,Participating,http://fmr.ua.edu/apply
10,AR,Batesville,,University of Arkansas for Medical Sciences Regional Centers (North Central) Program,1200400727,Participating,https://arkansasahecresidencies.com/residencies/north-central/
11,AR,Conway,,Conway Regional Health System Program,1200400729,Participating,http://www.conwayregionalgme.org
12,AR,Fayetteville,,University of Arkansas for Medical Sciences Regional Centers (Northwest) Program,1200421033,Participating,https://arkansasahecresidencies.com/residencies/northwest
13,AR,Fort Smith,,Arkansas College of Osteopathic Medicine/Mercy Program,1200400001,Participating,https://www.mercy.net/healthcare-education/graduate/fsm/family-medicine/
14,AR,Fort Smith,,University of Arkansas for Medical Sciences Regional Centers (West) Program,1200421034,Participating,http://uams.edu/west
15,AR,Jonesboro,,University of Arkansas for Medical Sciences Regional Centers (Northeast) Program,1200421406,Participating,http://arkansasahecresidencies.com/residencies/northeast/
16,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1200421035,Participating,http://familymedicine.uams.edu
17,AR,Magnolia,,University of Arkansas for Medical Sciences Regional Centers (Magnolia) Rural Program,1200400725,Participating,http://arkansasahecresidencies.com/residencies/south/
18,AR,North Little Rock,,Baptist Health - UAMS Program,1200400728,Participating,http://baptisthealth-uams-gme.org
19,AR,Pine Bluff,,University of Arkansas for Medical Sciences Regional Centers (South Central) Program,1200411037,Participating,https://regionalcampuses.uams.edu/regional-residencies/residencies/south-central/
20,AR,Searcy,,Unity Health-White County Medical Center Program,1200400726,Participating,http://www.unity-health.org/node/613
21,AR,Texarkana,,University of Arkansas for Medical Sciences Regional Centers (Southwest) Program,1200421527,Participating,http://www.arkansasahecresidencies.com/uams-southwest
22,AZ,Flagstaff,,North Country HealthCare Program,1200300721,Participating,https://residency.northcountryhealthcare.org
23,AZ,Kingman,,"Midwestern University GME Consortium / Kingman Program
 Osteopathic Recognized!",1200300722,Participating,http://www.mwuresidencies.com/krmc-fm
24,AZ,Mesa,,Midwestern University GME Consortium / Mountain Vista Program,1200300720,Participating,https://www.mwuresidencies.com/programs/mountain-vista-medical-center-family-medicine-residency
25,AZ,Phoenix,,Abrazo Health Network Program,1200321029,Participating,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs/abrazo-health-network-family-medicine-residen
26,AZ,Phoenix,,Creighton University School of Medicine (Phoenix) Program,1200312030,Participating,https://alliance.creighton.edu/residencies-fellowships/residency-programs/family-medicine
27,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,1200312028,Participating,http://phoenixmed.arizona.edu/family-medicine-residency
28,AZ,Scottsdale,,HonorHealth Program,1200332031,Participating,https://www.honorhealth.com/academic-affairs/family-medicine-residency-program
29,AZ,Sierra Vista,,"Midwestern University GME Consortium / Canyon Vista Program
 Osteopathic Recognized!",1200300719,Participating,http://www.mwuresidencies.com/cvmc-fm
30,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,1200312032,Participating,https://www.fcm.arizona.edu/academics/residency-programs
31,AZ,Yuma,,Yuma Regional Medical Center Program,1200300718,Participating,https://www.yumaregional.org/Careers/Residency-and-Training/Family-Community-Medicine-Residency
32,CA,Bakersfield,,Clinica Sierra Vista - Bakersfield Program,1200500738,Participating,http://www.clinicasierravista.org/departments/category-list/Family-Medicine-Residency-Program_1.html
33,CA,Chino,,Prime West Consortium/Chino Valley Medical Center Program,1200500744,Participating,
34,CA,Chula Vista,,Scripps Mercy Hospital Program,1200521632,Participating,http://www.scripps.org/chulafm
35,CA,Colton,,Arrowhead Regional Medical Center Program,1200511057,Participating,http://www.armcfamilymed.com
36,CA,Downey,,OPTI West/PIH Health Hospital Downey Program,1200500742,Participating,
37,CA,Eureka,,St Joseph Hospital-Eureka Program,1200500755,Participating,https://gme.providence.org/northern-california/family-medicine-residency-program/
38,CA,Fontana,,Kaiser Permanente Southern California (Fontana) Program,1200512040,Participating,https://residency-scal-kaiserpermanente.org/residency/familymedicine-fontana/
39,CA,French Camp,,San Joaquin General Hospital Program,1200531066,Participating,http://www.sanjoaquinfm.com
40,CA,Fresno,,St. Agnes Medical Center (Fresno) Program,1200500754,Participating,http://www.samcfm.org
41,CA,Fresno,,University of California (San Francisco)/Fresno Program,1200521041,Participating,http://www.fresno.ucsf.edu/family
42,CA,Fresno,,"Valley Health Team, Inc. Program",1200500750,Participating,http://www.vhtfmrp.org
43,CA,Glendale,,Adventist Health Glendale Program,1200521372,Participating,https://www.adventisthealth.org/glendale/family-medicine-residency-program/
44,CA,Hanford,,Adventist Health Hanford Program,1200513685,Participating,https://www.adventisthealth.org/about-central-valley/residency-programs/hanford-family-medicine-residency-program/faculty-and-ad
45,CA,Harbor City,,Los Angeles County-Harbor-UCLA Medical Center Program,1200521478,Participating,http://www.harbor-ucla.org/family-medicine/
46,CA,Jackson,,Sutter Health Rural Program,1200500767,Not Participating,
47,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,1200500734,Participating,https://lluh.org/fmresidency
48,CA,Long Beach,,Long Beach Memorial Medical Center Program,1200521044,Not Participating,
49,CA,Los Angeles,,Adventist Health White Memorial Program,1200521480,Participating,https://www.adventisthealth.org/white-memorial/pages/medical-education/graduate-medical-education/family-medicine.aspx
50,CA,Los Angeles,,California Hospital Medical Center (Dignity Health) Program,1200521458,Participating,https://www.dignityhealth.org/socal/locations/californiahospital/about-us/family-medicine-residency
51,CA,Los Angeles,,"Charles R Drew University of Medicine and Science, College of Medicine Program",1200500752,Participating,https://www.cdrewu.edu/com/GME/FMRP
52,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,1200511047,Participating,https://residency-scal-kaiserpermanente.org/residency/familymedicine-losangeles/
53,CA,Los Angeles,,Keck Medicine Program,1200500769,Participating,https://keck.usc.edu/family-medicine/training-education/residency-program/
54,CA,Martinez,,Contra Costa Regional Medical Center Program,1200531050,Participating,http://www.cchealth.org/groups/residency
55,CA,Merced,,Mercy Medical Center (Merced) Program,1200521459,Participating,http://fpnetwork.ucdavis.edu
56,CA,Modesto,,Valley Consortium for Medical Education Family Medicine Program,1200513703,Participating,http://valleymeded.org/familymed
57,CA,Moreno Valley,,Riverside University Health System/University of California Riverside Program,1200521421,Participating,http://rcrmc-fmr.org
58,CA,Murrieta,,Loma Linda University Medical Center - Murrieta Program,1200500760,Participating,https://murrieta.lluh.org/family-medicine-residency
59,CA,Northridge,,Dignity Health Northridge Hospital Medical Center Program,1200511053,Participating,http://www.northridgefp.org
60,CA,Orange,,University of California (Irvine) Program,1200521042,Participating,https://www.familymed.uci.edu/residency/index.asp
61,CA,Palm Springs,,Desert Regional Medical Center Program,1200500768,Participating,
62,CA,Pomona,,Pomona Valley Hospital Medical Center Program,1200521610,Participating,http://www.pvhmc.org/fmrp
63,CA,Rancho Mirage,,"Eisenhower Medical Center Program
 Osteopathic Recognized!",1200512708,Participating,https://gme.eisenhowerhealth.org/residency-programs/family-medicine/
64,CA,Redding,,Mercy Medical Center (Redding) Program,1200531054,Participating,https://www.dignityhealth.org/north-state/locations/mercy-redding/about-us/physicians-and-residents/family-practice-residency
65,CA,Redding,,Shasta Community Health Center Program,1200500733,Participating,https://www.shastahealth.org/family-medicine-residency-center
66,CA,Richmond,,LifeLong Medical Care Program,1200500762,Participating,https://www.lifelongmedical.org/opportunities/fmrp.html
67,CA,Riverside,,Kaiser Permanente Southern California (Riverside) Program,1200521509,Participating,https://residency-scal-kaiserpermanente.org/residency/familymedicine-riverside/
68,CA,Riverside,,Riverside Community Hospital/University of California Riverside School of Medicine Program,1200500747,Participating,http://gme.riversidecommunityhospital.com/Residency-Programs/Family-Medicine.aspx
69,CA,Sacramento,,Dignity Health Methodist Hospital of Sacramento Program,1200521564,Participating,http://hospitals.dignityhealth.org/familyresidency
70,CA,Sacramento,,Kaiser Permanente Northern California (Greater Sacramento Valley) Program,1200500765,Participating,https://residency-ncal.kaiserpermanente.org/programs/fm/sacramento/
71,CA,Sacramento,,Sutter Health Program,1200531556,Participating,http://checksutterfirst.org/residency
72,CA,Sacramento,,University of California Davis Health Program,1200511039,Participating,https://health.ucdavis.edu/famcommed/residency/
73,CA,Salinas,,Natividad Medical Center Program,1200521056,Participating,http://www.natividad.com/family-medicine-residency/welcome/
74,CA,San Bernarndino,,University of California Riverside School of Medicine/St. Bernardine Medical Center – Dignity Health Program,1200500737,Participating,http://www.gme.ucr.edu
75,CA,San Diego,,Family Health Centers of San Diego Program,1200500736,Participating,http://www.fhcsd.org/fmresidency/
76,CA,San Diego,,Kaiser Permanente Southern California (San Diego) Program,1200512705,Participating,https://residency-scal-kaiserpermanente.org/residency/familymedicine-sandiego/
77,CA,San Diego,,University of California (San Diego) Medical Center Program,1200521058,Participating,http://familymedresidency.ucsd.edu
78,CA,San Francisco,,University of California (San Francisco) Program,1200511059,Participating,https://fcm.ucsf.edu/education/sfghfcm-residency-program
79,CA,San Jacinto,,KPC Health Program,1200500759,Not Participating,
80,CA,San Jose,,Kaiser Permanente Northern California (San Jose) Program,1200500746,Participating,https://residency-ncal.kaiserpermanente.org/programs/fm/san-jose/
81,CA,San Jose,,Stanford Health Care-Sponsored Stanford University Program,1200512684,Participating,http://www.oconnorfamilymedicine.com
82,CA,Santa Ana,,Kaiser Permanente Southern California (Anaheim) Program,1200531515,Participating,https://residency-scal-kaiserpermanente.org/residency/familymedicine-oc/
83,CA,Santa Maria,,"Marian Regional Medical Center Program
 Osteopathic Recognized!",1200500735,Participating,https://www.dignityhealth.org/central-coast/locations/marianregional/about-us/physician-resident-services/family-medicine-reside
84,CA,Santa Monica,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,1200511049,Participating,http://www.gouclafamilymed.org
85,CA,Santa Rosa,,Kaiser Permanente Northern California (Santa Rosa) Program,1200500745,Participating,https://residency-ncal.kaiserpermanente.org/programs/fm/santa-rosa/
86,CA,Santa Rosa,,Sutter Santa Rosa Regional Hospital/University of California (San Francisco) Program,1200511065,Participating,http://www.srfmr.org/
87,CA,South Gate,,AltaMed Health Services Program,1200500764,Participating,https://www.altamed.org/residency
88,CA,Stockton,,St Joseph's Medical Center Program,1200500753,Participating,https://tinyurl.com/yxqyx8rr
89,CA,Temecula,,UHS Southern California Medical Education Consortium Program,1200500761,Participating,https://www.socalresidency.com/programs/family-medicine
90,CA,Tulare,,Adventist Health Tulare Program,1200500001,Participating,https://www.adventisthealth.org/about-central-valley/residency-programs/tulare-family-medicine-residency-program/
91,CA,Ukiah,,Adventist Health Ukiah Valley Program,1200500748,Participating,https://www.adventisthealth.org/ukiah/famresidency
92,CA,Vallejo,,Kaiser Permanente Northern California (Napa-Solano) Program,1200500731,Participating,http://residency-ncal.kaiserpermanente.org/programs/fm/napa-solano/
93,CA,Ventura,,Community Memorial Health System Program,1200500740,Participating,http://gme.cmhshealth.org/residencies/family-medicine/
94,CA,Ventura,,Ventura County Medical Center Program,1200511068,Participating,http://www.venturafamilymed.org
95,CA,Visalia,,Kaweah Delta Health Care District (KDHCD) Program,1200500714,Participating,https://www.kaweahhealth.org/gme-residency-programs/
96,CA,Walnut Creek,,John Muir Health Program,1200500739,Participating,https://www.johnmuirhealth.com/residency
97,CA,West Covina,,Emanate Health Program,1200500743,Participating,http://www.emanatehealth.org
98,CA,Whittier,,PIH Health Hospital - Whittier Program,1200521352,Participating,http://www.pihhealth.org/medical-students-residents/family-medicine-residency-program-whittier/
99,CA,Woodland Hills,,Kaiser Permanente Southern California (Woodland Hills) Program,1200521514,Participating,https://residency-scal-kaiserpermanente.org/residency/familymedicine-woodlandhills/
100,CO,Aurora,,"HCA HealthONE Program
					
					 Osteopathic Recognized!",1200700625,Not Participating,
101,CO,Aurora,,University of Colorado (Rural Training Track) Program,1200700624,Participating,https://medschool.cuanschutz.edu/family-medicine
102,CO,Colorado Springs,,Still OPTI/Peak Vista Program,1200700626,Participating,http://www.peakvista.org/residency
103,CO,Denver,,Saint Joseph Hospital Program,1200712070,Participating,http://www.saintjosephfamilymed.org
104,CO,Denver,,University of Colorado (University Hospital) Program,1200721619,Participating,http://ucdenver.edu/familymedicine/uhresidency
105,CO,Fort Collins,,"Poudre Valley Hospital/Fort Collins Family Medicine Program
 Osteopathic Recognized!",1200731072,Participating,http://www.uchealth.org/fort-collins-residency
106,CO,Grand Junction,,St Mary's Hospital and Medical Center Program,1200731073,Participating,https://www.sclhealth.org/locations/st-marys-medical-center-family-medicine-residency/
107,CO,Greeley,,North Colorado Medical Center Program,1200711074,Participating,http://www.BannerHealth.com/NCFM
108,CO,Greeley,,North Colorado Medical Center Sterling Rural Program,1200700622,Not Participating,
109,CO,Greeley,,North Colorado Medical Center Wray Rural Program,1200731524,Not Participating,
110,CO,Littleton,,University of Colorado (HealthONE Swedish Medical Center) Program,1200721544,Participating,http://www.sfmr.com
111,CO,Pueblo,,St Mary-Corwin Medical Center Program,1200700623,Participating,http://www.scfmresidency.org
112,CO,Pueblo,,"St Mary-Corwin Medical Center/Southern Colorado Family Medicine Program
 Osteopathic Recognized!",1200721075,Participating,http://www.scfmresidency.org
113,CO,Westminster,,"St Anthony Hospital Program
 Osteopathic Recognized!",1200712069,Participating,http://www.StAnthonyFamilyMed.org
114,CT,Hartford,,University of Connecticut Program,1200821076,Participating,https://health.uconn.edu/graduate-medical-education/family-medicine-residency-program/
115,CT,Manchester,,"Eastern Connecticut Health Network Program
 Osteopathic Recognized!",1200800723,Participating,https://academicaffairs.echn.org/programs/family-medicine-residency/
116,CT,Middletown,,Middlesex Hospital Program,1200821077,Participating,http://www.middlesexfmrp.com
117,CT,Stamford,,Stamford Hospital/Columbia University College of Physicians and Surgeons Program,1200811078,Participating,https://www.stamfordhealth.org/fmrp
118,DC,Washington,,Howard University Program,1201021081,Participating,
119,DE,Dover,,Bayhealth Medical Center Program,1200900416,Participating,https://bayhealthgme.org/graduate-medical-education/family-medicine-program/
120,DE,Wilmington,,"Christiana Care Health Services Program
 Osteopathic Recognized!",1200911079,Participating,http://residency.christianacare.org/fm
121,DE,Wilmington,,St Francis Hospital Program,1200921415,Participating,https://www.trinityhealthma.org/healthcare-professionals/gme/saint-francis/
122,FL,Belle Glade,,Lakeside Medical Center Program,1201100733,Participating,http://www.lakesidefm.org
123,FL,Bradenton,,Manatee Memorial Hospital Program,1201100735,Participating,https://www.manateememorial.com/graduate-medical-education/family-medicine-residency-program
124,FL,Brooksville,,HCA Healthcare/USF Morsani College of Medicine GME: Oak Hill Hospital Program,1201100737,Participating,https://oakhillhospital.com/physicians/graduate-medical-education/family-medicine/program-overview.dot
125,FL,Clearwater,,University of South Florida Morsani (Morton Plant Mease Health Care) Program,1201121625,Participating,http://www.fmres.org
126,FL,Daytona Beach,,Halifax Medical Center Program,1201111083,Participating,http://www.halifaxhealth.org/residencyprogram
127,FL,"Fort Lauderdale,",,"Broward Health Program
 Osteopathic Recognized!",1201100732,Participating,https://gme.browardhealth.org
