,State,City,Blank,Program name,ID,Status,ERAS link
0,DE,Newark,,Christiana Care Health Services Program,7050944010,Participating,http://www.christianacare.org
1,IL,Chicago,,University of Illinois College of Medicine at Chicago Program,7051644012,Participating,https://chicago.medicine.uic.edu/departments/academic-departments/emergency-medicine/residency-programs/im-em-residency/
2,LA,New Orleans,,Louisiana State University Program,7052144015,Participating,http://residents.lsuhsc.edu/no/em_im/
3,MD,Baltimore,,University of Maryland Program,7052344014,Participating,https://www.umem.org
4,MI,Detroit,,Henry Ford Hospital Program,7052544003,Participating,http://www.henryfordem.com
5,MN,Minneapolis,,Hennepin Healthcare Program,7052644020,Participating,https://www.hennepinhealthcare.org/medical-education-training/residency-programs/emergency-medicine-internal-medicine-residency/
6,NC,Greenville,,Vidant Medical Center/East Carolina University Program,7053644019,Participating,http://www.ecu.edu/ecuem
7,NY,Brooklyn,,SUNY Health Science Center at Brooklyn Program,7053544018,Participating,http://www.clinicalmonster.com
8,NY,New Hyde Park,,Zucker School of Medicine at Hofstra/Northwell Program,7053544011,Participating,http://www.theempulse.org
9,OH,Columbus,,Ohio State University Hospital Program,7053844022,Participating,https://em.osumc.edu
10,PA,PHILADELPHIA,,Jefferson Health Northeast Program,7054100007,Participating,http://www.jeffnortheastem.com ; http://https://northeast.jeffersonhealth.org/
11,VA,Richmond,,Virginia Commonwealth University Health System Program,7055144021,Participating,https://emergencymedicine.vcu.edu/residency_fellowships/IM-EM.html
