,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,7000132115,Participating,https://www.uab.edu/medicine/peds/combined-med-peds-prog
1,AL,Mobile,,USA Health Program,7000132085,Participating,http://medpedsres.southalabama.edu/
2,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,7000414002,Participating,https://intmedicine.uams.edu/residency/mp/
3,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,7000314001,Participating,https://phoenixmed.arizona.edu/medpeds-residency
4,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,7000532003,Participating,https://lluh.org/health-professionals/gme/resident-fellow/internal-medicine-pediatrics-residency
5,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,7000532130,Participating,http://medpeds.med.ucla.edu
6,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,7000532005,Participating,http://www.uscmedpeds.com
7,CA,San Diego,,University of California (San Diego) Medical Center Program,7000514099,Participating,http://medpeds.ucsd.edu/
8,CO,Aurora,,University of Colorado School of Medicine Program,7000700001,Participating,http://medschool.ucdenver.edu/medpeds
9,CT,New Haven,,Yale-New Haven Medical Center Program,7000814127,Participating,http://residency.med.yale.edu/
10,DC,Washington,,MedStar Health/Georgetown University Hospital Program,7001014129,Not Participating,
11,DE,Newark,,Sidney Kimmel Medical College at Thomas Jefferson University/Christiana Care Health Services Program,7000914009,Participating,http://www.christianacareresident.org
12,FL,Miami,,University of Miami/Jackson Health System Program,7001114086,Participating,http://www.jmhmedpeds.org/
13,FL,Tampa,,University of South Florida Morsani Program,7001132125,Participating,https://health.usf.edu/medicine/pediatrics/im_peds_residency
14,IL,Chicago,,Rush University Medical Center Program,7001632103,Participating,http://www.rushu.rush.edu/med-peds
15,IL,Chicago,,University of Chicago Program,7001614012,Participating,http://medpeds.uchicago.edu/
16,IL,Chicago,,University of Illinois College of Medicine at Chicago Program,7001614013,Participating,https://chicago.medicine.uic.edu/departments/academic-departments/combined-medicinepediatrics/
17,IL,Maywood,,Loyola University Medical Center Program,7001614014,Participating,https://www.loyolamedicine.org/gme/combined-med-peds
18,IL,Peoria,,University of Illinois College of Medicine at Peoria Program,7001632015,Participating,https://peoria.medicine.uic.edu/med-peds/
19,IN,Indianapolis,,Indiana University School of Medicine Program,7001714018,Participating,https://medicine.iu.edu/departments/pediatrics/education-programs/residency/internal-medicine-pediatrics/
20,KS,Wichita,,University of Kansas (Wichita) Program,7001932124,Participating,http://wichita.kumc.edu/medpeds/
21,KY,Lexington,,University of Kentucky College of Medicine Program,7002014019,Participating,http://www.mc.uky.edu/medpeds
22,KY,Louisville,,University of Louisville School of Medicine Program,7002032020,Participating,http://louisville.edu/medicine/residency/med-peds
23,LA,New Orleans,,Louisiana State University Program,7002114022,Participating,http://www.medschool.lsuhsc.edu/med_peds/
24,LA,New Orleans,,Tulane University Program,7002132023,Participating,http://tulane.edu/som/departments/pediatrics/medped/index.cfm
25,LA,Shreveport,,Louisiana State University (Shreveport) Program,7002132101,Participating,http://www.lsuhscshreveport.edu/MedicinePediatrics/MedicinePediatrics.aspx
26,MA,Boston,,Brigham and Women's Hospital/Children's Hospital/Harvard Medical School Program,7002414084,Participating,https://imacademics.brighamandwomens.org/med-peds/
27,MA,Boston,,Massachusetts General Hospital/Harvard Medical School Program,7002414097,Participating,https://medpeds.hms.harvard.edu/
28,MA,Springfield,,UMMS-Baystate Program,7002432024,Participating,https://www.baystatehealth.org/education-research/education/residencies/medicine-pediatrics
29,MA,Worcester,,University of Massachusetts Program,7002432111,Participating,http://www.umassmed.edu/med_peds/
30,MD,Baltimore,,Johns Hopkins University Program,7002314143,Participating,http://www.hopkinsmedicine.org/medpeds
31,MD,Baltimore,,University of Maryland Program,7002332095,Participating,https://www.umms.org/ummc/pros/gme/residency/internal-medicine-pediatrics
32,ME,Portland,,Maine Medical Center Program,7002232128,Participating,http://www.mmc.org/medpeds
33,MI,Ann Arbor,,University of Michigan Health System Program,7002514025,Participating,http://www.med.umich.edu/intmed/med-peds/index.html
34,MI,Detroit,,Detroit Medical Center/Wayne State University Program,7002514029,Participating,http://www.intmed.med.wayne.edu/medpeds
35,MI,Flint,,Hurley Medical Center/Michigan State University Program,7002532030,Participating,http://education.hurleymc.com/gme/
36,MI,Grand Rapids,,Spectrum Health/Michigan State University Program,7002514098,Participating,https://www.spectrumhealth.org/medicaleducation
37,MI,Kalamazoo,,"Western Michigan University Homer Stryker MD School of Medicine Program
 Osteopathic Recognized!",7002514089,Participating,http://www.med.wmich.edu
38,MI,Royal Oak,,Beaumont Health (Royal Oak) Program,7002532033,Participating,https://www.beaumont.edu/graduate-medical-education/residency-programs/internal-medicine-pediatrics
39,MN,Minneapolis,,University of Minnesota Program,7002614034,Participating,https://www.dom.umn.edu/education/medicine-pediatric-residency-program
40,MO,Columbia,,University of Missouri-Columbia Program,7002832126,Participating,http://www.ch.missouri.edu
41,MO,Kansas City,,University of Missouri-Kansas City School of Medicine Program,7002832036,Participating,http://med.umkc.edu/medpeds/
42,MS,Jackson,,University of Mississippi Medical Center Program,7002714035,Participating,http://medpeds.umc.edu
43,NC,Chapel Hill,,University of North Carolina Hospitals Program,7003632055,Participating,http://uncmedpeds.med.unc.edu
44,NC,Durham,,Duke University Hospital Program,7003614056,Participating,https://medicine.duke.edu/medicine-pediatrics
45,NC,Greenville,,Vidant Medical Center/East Carolina University Program,7003632057,Participating,https://medpedsres.ecu.edu/
46,NE,Omaha,,University of Nebraska Medical Center College of Medicine Program,7003014136,Participating,http://unmc.edu/intmed/residencies-fellowships/peds-residency/index.html
47,NJ,Newark,,Rutgers Health/New Jersey Medical School Program,7003332040,Participating,http://njms.rutgers.edu/departments/medicine/med_peds_residency/index.cfm
48,NJ,Newark,,Rutgers Health/Newark Beth Israel Medical Center Program,7003332041,Not Participating,
49,NY,Buffalo,,University at Buffalo Program,7003532049,Participating,http://medicine.buffalo.edu/departments/medicine/education/med-peds.html
50,NY,Cohoes,,Albany Medical Center Program,7003514044,Participating,https://amcmedpeds.com/medpeds/
51,NY,New York,,Icahn School of Medicine at Mount Sinai Program,7003500106,Participating,
52,NY,Rochester,,University of Rochester Program,7003532054,Participating,http://med-peds-residency.urmc.edu/
53,NY,Stony Brook,,Stony Brook Medicine/University Hospital Program,7003532093,Participating,https://medicine.stonybrookmedicine.edu/medpeds
54,OH,Cincinnati,,University of Cincinnati Medical Center/College of Medicine Program,7003814082,Participating,http://intmed.uc.edu/education/medpeds.aspx
55,OH,Cleveland,,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,7003832121,Participating,https://www.uhhospitals.org/medical-education/medicine-medical-education/internal-medicine-pediatrics-residency
56,OH,Cleveland,,The MetroHealth System/Case Western Reserve University Program,7003832061,Participating,https://gme.metrohealth.org/internal-medicine-pediatrics-residency
57,OH,Columbus,,Ohio State University Hospital Program,7003814063,Participating,http://internalmedicine.osu.edu/education/welcome/med_peds/
58,OK,Oklahoma City,,University of Oklahoma Health Sciences Center Program,7003932090,Participating,https://www.oumedicine.com/department-of-pediatrics/education-and-research/med-peds-residency
59,OK,Tulsa,,University of Oklahoma School of Community Medicine (Tulsa) Program,7003932067,Not Participating,
60,PA,Danville,,Geisinger Health System Program,7004114068,Participating,https://www.geisinger.edu/education/residencies-fellowships/residencies/internal-medicine-pediatrics-residency
61,PA,Hershey,,Penn State Milton S Hershey Medical Center Program,7004132081,Participating,https://residency.med.psu.edu/programs/medicine-pediatrics-residency/
62,PA,Philadelphia,,University of Pennsylvania Health System Program,7004114129,Participating,http://imresidency.med.upenn.edu/tracks/medicine-pediatrics/
63,PA,Pittsburgh,,UPMC Medical Education Program,7004114128,Participating,http://www.residency.dom.pitt.edu/MedPeds/index.asp
64,PR,Rio Piedras,,University of Puerto Rico School of Medicine Program,7004232145,Participating,
65,RI,Providence,,Brown University Program,7004314108,Participating,http://www.brownmedicine.org
66,SC,Charleston,,Medical University of South Carolina Program,7004532127,Participating,https://education.musc.edu/colleges/medicine/departments/pediatrics/residency/med-peds-residency
67,SC,Greenville,,Prisma Health/University of South Carolina SOM Greenville (Greenville) Program,7004514135,Participating,https://schealthsciencescenter.org/med-peds-residency-greenville/
68,TN,Memphis,,University of Tennessee Program,7004732071,Participating,http://www.uthsc.edu/medpeds
69,TN,Nashville,,Vanderbilt University Medical Center Program,7004714070,Participating,https://medicine.vumc.org/internal-medicine-and-pediatrics-residency-program
70,TX,Dallas,,University of Texas Southwestern Medical Center Program,7004800114,Participating,https://www.utsouthwestern.edu/education/medical-school/departments/internal-medicine/education-training/med-peds/
71,TX,Houston,,Baylor College of Medicine Program,7004814074,Participating,http://www.bcm.tmc.edu/medpeds
72,TX,Houston,,University of Texas Health Science Center at Houston Program,7004814075,Participating,http://medped.uth.tmc.edu/
73,UT,Salt Lake City,,University of Utah Health Program,7004914091,Participating,https://medicine.utah.edu/internalmedicine/med-peds/
74,VA,Richmond,,Virginia Commonwealth University Health System Program,7005132077,Participating,http://medpeds.vcu.edu
75,WI,Marshfield,,Marshfield Clinic Program,7005614109,Participating,https://www.marshfieldclinic.org/education/residents-and-fellows
76,WI,Milwaukee,,Medical College of Wisconsin Affiliated Hospitals Program,7005632096,Participating,http://www.mcw.edu/medpeds
77,WV,Huntington,,Marshall University School of Medicine Program,7005532079,Not Participating,
78,WV,Morgantown,,West Virginia University Program,7005532080,Participating,https://medicine.hsc.wvu.edu/pediatrics/residents/medicine-pediatrics/
