,State,City,Blank,Program name,ID,Status,ERAS link
0,CA,Orange,,University of California (Irvine) Medical Center Program,7150500033,Not Participating,
1,CA,Sacramento,,University of California Davis Health Program,7150544032,Participating,https://health.ucdavis.edu/internalmedicine/education_programs/IMPSYCH/impsych_welcome.html
2,GA,Atlanta,,Emory University School of Medicine Program,7151244034,Participating,http://psychiatry.emory.edu/education/combined_residency/index.html
3,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,7151844003,Participating,https://gme.medicine.uiowa.edu/internal-medicine-psychiatry-residency
4,IL,Springfield,,Southern Illinois University Program,7151644009,Participating,http://www.siumed.edu/medpsy/
5,KS,Kansas City,,University of Kansas School of Medicine Program,7151944008,Participating,http://www.kumc.edu/psychiatry
6,KY,Lexington,,University of Kentucky College of Medicine Program,7152000001,Participating,https://psychiatry.med.uky.edu/psychiatry-internal-medicine-psychiatry
7,LA,New Orleans,,Tulane University Program,7152144010,Not Participating,
8,NC,Durham,,Duke University Hospital Program,7153644012,Participating,https://medicine.duke.edu/medicine-psychiatry
9,NC,Greenville,,Vidant Medical Center/East Carolina University Program,7153644005,Participating,http://www.ecu.edu/cs-dhs/psychiatry/combinedRes.cfm
10,SC,Charleston,,Medical University of South Carolina Program,7154544025,Participating,http://academicdepartments.musc.edu/psychiatry/education/res_fell/res_main.htm
11,TX,Dallas,,University of Texas Southwestern Medical Center Program,7154800002,Participating,http://www.utsouthwestern.edu/education/medical-school/departments/internal-medicine/education-training/med-psych/index.html
12,TX,El Paso,,Texas Tech University HSC El Paso Program,7154800001,Not Participating,
13,WV,Charleston,,Charleston Area Medical Center/West Virginia University (Charleston Division) Program,7155544014,Participating,http://www.camc.wvu.edu
