,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Hospital Program,4160100001,Participating,https://www.uab.edu/medicine/radiology/education/residency/ir-res-program
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4160400001,Participating,http://www.uams.edu/radiology
2,AZ,Phoenix,,Creighton University School of Medicine (Phoenix) Program,4160300002,Not Participating,
3,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4160300001,Not Participating,
4,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,4160500009,Participating,http://www.lomalindaradiology.com
5,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4160500007,Participating,http://radiology.ucla.edu/residency-program
6,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4160500008,Participating,http://keck.usc.edu/radiology/training-education/
7,CA,Orange,,University of California (Irvine) Medical Center Program,4160500004,Participating,http://www.radiology.uci.edu/interventional-radiology-integrated-residency.asp
8,CA,Pasadena,,Kaiser Permanente Southern California Program,4160500010,Participating,https://residency-scal-kaiserpermanente.org/residency/interventional-radiology/
9,CA,Sacramento,,University of California Davis Health Program,4160500011,Participating,
10,CA,San Diego,,University of California (San Diego) Medical Center Program,4160500001,Participating,https://medschool.ucsd.edu/som/radiology/education/residency/about/Pages/Integrated-Interventional-Radiology-Residency.aspx
11,CA,San Francisco,,University of California (San Francisco) School of Medicine Program,4160500006,Not Participating,
12,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,4160500003,Participating,http://med.stanford.edu/ir/education/ir-residency.html
13,CO,Aurora,,University of Colorado School of Medicine Program,4160700001,Participating,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/Radiology/Education/residency/Pages/Welcome.aspx
14,CT,New Haven,,Yale-New Haven Medical Center Program,4160800001,Participating,https://medicine.yale.edu/diagnosticradiology/education/residency/vascIR/viradiology/
15,DC,Washington,,George Washington University School of Medicine Program,4161000002,Participating,https://smhs.gwu.edu/radiology/interventional-radiology-residency
16,DC,Washington,,MedStar Health/Georgetown University Hospital Program,4161000001,Participating,
17,DE,Newark,,Christiana Care Health Services Inc Program,4160900001,Not Participating,
18,FL,Jacksonville,,Mayo Clinic College of Medicine and Science (Jacksonville) Program,4161100001,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/interventional-radiology-integrated-residency-florida/
19,FL,Jacksonville,,University of Florida College of Medicine Jacksonville Program,4161100002,Participating,https://radiology.med.jax.ufl.edu/interventional-radiology-integrated-residency/
20,FL,Miami,,University of Miami/Jackson Health System Program,4161100004,Participating,
21,FL,Tampa,,University of South Florida Morsani College of Medicine Program,4161100003,Participating,https://health.usf.edu/medicine/radiology/residency_program/interventional-radiology-residency-program
