,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,1600121003,Participating,https://www.uab.edu/medicine/neurosurgery/
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1600421005,Participating,http://neurosurgery.uams.edu/residents/
2,AZ,Phoenix,,Barrow Neurological Institute at St Joseph's Hospital and Medical Center Program,1600312004,Participating,https://www.barrowneuro.org
3,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,1600300113,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/?_ga=2.34698601.979466860.1568162365-1754109931.1554743817
4,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,1600321112,Participating,https://neurosurgery.arizona.edu/residency
5,CA,La Jolla,,University of California (San Diego) Medical Center Program,1600521100,Participating,http://neurosurgery.ucsd.edu
6,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,1600511008,Participating,http://www.llu.edu/lluhc/neurosurgery
7,CA,Los Angeles,,Cedars-Sinai Medical Center Program,1600513124,Participating,http://www.cedars-sinai.edu/neurosurgery
8,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,1600521010,Participating,http://www.neurosurgery.ucla.edu/
9,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,1600521009,Participating,https://keck.usc.edu/neurological-surgery/training-education/
10,CA,Moreno Valley,,"Riverside University Health System Program
 Osteopathic Recognized!",1600500129,Participating,https://www.ruhealth.org
11,CA,Orange,,University of California (Irvine) Program,1600512127,Participating,http://neurosurgery.uci.edu/
12,CA,Palo Alto,,Stanford Health Care-Sponsored Stanford University Program,1600521012,Participating,http://neurosurgery.stanford.edu/
13,CA,Sacramento,,University of California Davis Health Program,1600511006,Not Participating,
14,CA,San Francisco,,University of California (San Francisco) Program,1600521011,Participating,http://neurosurgery.ucsf.edu/
15,CO,Aurora,,University of Colorado Program,1600721102,Not Participating,
16,CT,Farmington,,University of Connecticut School of Medicine Program,1600800016,Participating,https://health.uconn.edu/graduate-medical-education/neurological-surgery-residency-program/
