,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,1800131004,Participating,http://www.uab.edu/medicine/neurology/education
1,AL,Mobile,,USA Health Program,1800121123,Participating,http://www.usahealthsystem.com/neuroresidency
2,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1800421007,Not Participating,
3,AZ,Phoenix,,Barrow Neurological Institute at St Joseph's Hospital and Medical Center Program,1800312005,Participating,http://www.thebarrow.org/index.htm
4,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,1800300160,Participating,http://phoenixmed.arizona.edu/
5,AZ,Scottsdale,,Mayo Clinic College of Medicine and Science (Arizona) Program,1800311150,Participating,http://www.mayo.edu
6,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,1800321006,Participating,http://www.neurology.arizona.edu/
7,CA,Colton,,Arrowhead Regional Medical Center Program,1800500002,Participating,
8,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,1800521124,Participating,https://lluh.org/health-professionals/gme/resident-fellow/neurology-residency
9,CA,Los Angeles,,Cedars-Sinai Medical Center Program,1800521165,Participating,http://www.cedars-sinai.edu/neurologyresidency
10,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,1800512010,Participating,https://residency-scal-kaiserpermanente.org/residency/neurology/
11,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,1800521012,Participating,http://www.neurology.ucla.edu/index.jsp?m=3&s=3_1
12,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,1800521011,Participating,https://keck.usc.edu/neurology/training-education/residency-program/
13,CA,Moreno Valley,,Riverside University Health System Program,1800500001,Participating,
14,CA,Orange,,University of California (Irvine) Program,1800521009,Participating,http://www.neurology.uci.edu/residency.asp
15,CA,Palm Springs,,Desert Regional Medical Center Program,1800500166,Participating,
16,CA,Riverside,,Riverside Community Hospital/University of California Riverside School of Medicine Program,1800500167,Participating,http://gme.riversidecommunityhospital.com/Residency-Programs/Neurology/Program-Director-Welcome.aspx
17,CA,Sacramento,,University of California Davis Health Program,1800512008,Participating,https://health.ucdavis.edu/neurology/education/res_index.html
18,CA,San Diego,,University of California (San Diego) Medical Center Program,1800521014,Participating,https://medschool.ucsd.edu/som/neurosciences/education/residency-training/Pages/default.aspx
19,CA,San Francisco,,University of California (San Francisco) Program,1800521016,Participating,http://neuroresidency.ucsf.edu/
20,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,1800521017,Participating,http://neurology.stanford.edu/education/
21,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,1800511018,Participating,https://harbor-ucla.org
22,CO,Aurora,,University of Colorado Program,1800721019,Participating,http://medschool.ucdenver.edu/neurology
23,CO,Lone Tree,,HCA HealthONE Program,1800700020,Participating,https://skyridgemedcenter.com/for-professionals/gme/neurology-residency-program/
24,CT,Hartford,,University of Connecticut Program,1800821139,Participating,https://health.uconn.edu/graduate-medical-education/neurology-residency-program/
25,CT,New Haven,,Yale-New Haven Medical Center Program,1800821021,Participating,http://medicine.yale.edu/neurology/
26,DC,Washington,,George Washington University Program,1801021023,Participating,https://smhs.gwu.edu/neurology/residency
27,DC,Washington,,Howard University Program,1801021024,Participating,
28,DC,Washington,,MedStar Health/Georgetown University Hospital Program,1801021022,Not Participating,
29,FL,Boca Raton,,Florida Atlantic University Charles E. Schmidt College of Medicine Program,1801100157,Participating,http://med.fau.edu/residencies/neurology/index.php
30,FL,Gainesville,,University of Florida Program,1801121025,Participating,http://www.neurology.ufl.edu
31,FL,Hialeah,,Larkin Community Hospital Palm Springs Campus Program,1801100158,Participating,
32,FL,Hialeah,,Palmetto General Hospital Program,1801100160,Participating,https://pghgme.com/
33,FL,Jacksonville,,Mayo Clinic College of Medicine and Science (Jacksonville) Program,1801113148,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/adult-neurology-residency-florida/
34,FL,Jacksonville,,University of Florida College of Medicine Jacksonville Program,1801112154,Participating,http://hscj.ufl.edu/neurology/residency/
35,FL,Kissimmee,,University of Central Florida/HCA Healthcare GME (Greater Orlando) Program,1801100155,Participating,https://osceolaregional.com/gme/neurology/
36,FL,Miami,,University of Miami/Jackson Health System Program,1801121026,Participating,https://med.miami.edu/departments/neurology
37,FL,Orlando,,Orlando Health Program,1801100003,Participating,https://www.orlandohealth.com/medical-pww.orlandohealth.com/medical-professionals/graduate-medical-education/residency-programs
38,FL,Pembroke Pines,,"Memorial Healthcare System, Hollywood, Florida Program",1801100159,Participating,http://gme.mhs.net
39,FL,South Miami,,Larkin Community Hospital Program,1801100156,Participating,
40,FL,Tampa,,University of South Florida Morsani Program,1801121027,Participating,https://health.usf.edu/medicine/neurology/residency
41,FL,Weston,,Cleveland Clinic (Florida) Program,1801122152,Participating,http://www.clevelandclinicflorida.org
42,GA,Atlanta,,Emory University School of Medicine Program,1801221028,Participating,http://neurology.emory.edu/education/residency/
43,GA,Augusta,,Medical College of Georgia Program,1801221029,Participating,
44,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,1801821039,Participating,http://www.medicine.uiowa.edu/neurology/education/
45,IL,Chicago,,McGaw Medical Center of Northwestern University Program,1801621032,Participating,https://www.neurology.northwestern.edu/education/residents/index.html
46,IL,Chicago,,Rush University Medical Center Program,1801611033,Participating,https://www.rushu.rush.edu/neurologyresidency
47,IL,Chicago,,University of Chicago Program,1801621034,Participating,https://neurology.uchicago.edu/education/residency-program-overview
48,IL,Chicago,,University of Illinois College of Medicine at Chicago Program,1801621035,Participating,https://chicago.medicine.uic.edu/departments/academic-departments/neurology-rehabilitation/
49,IL,Maywood,,Loyola University Medical Center Program,1801621036,Not Participating,
50,IL,Normal,,Carle Foundation Hospital Program,1801600568,Not Participating,
51,IL,Peoria,,University of Illinois College of Medicine at Peoria Program,1801621147,Participating,http://peoria.medicine.uic.edu/departments___programs/neurology
52,IL,Springfield,,Southern Illinois University Program,1801621134,Participating,http://www.siumed.edu/neuro/neurology-residency-program.html
53,IN,Indianapolis,,Indiana University School of Medicine Program,1801721038,Participating,http://neurology.medicine.iu.edu
54,KS,Kansas City,,University of Kansas School of Medicine Program,1801922040,Participating,http://www2.kumc.edu/neurology/
55,KY,Lexington,,University of Kentucky College of Medicine Program,1802021041,Participating,https://neurology.med.uky.edu/neurology-adult-residency
56,KY,Louisville,,University of Louisville School of Medicine Program,1802021042,Participating,https://louisville.edu/medicine/departments/neurology/academics/neurology-residency/residency-program-information
57,LA,New Orleans,,Louisiana State University Program,1802121043,Participating,http://residents.lsuhsc.edu/no/neurology/
58,LA,New Orleans,,Ochsner Clinic Foundation Program,1802100154,Participating,https://education.ochsner.org/gme/training-programs/neurology-residency
59,LA,New Orleans,,Tulane University Program,1802121044,Participating,https://medicine.tulane.edu/departments/neurology
60,LA,Shreveport,,Louisiana State University (Shreveport) Program,1802131153,Participating,http://www.lsuhscshreveport.edu/departments/ClinicalDepartments/neurology/index
61,MA,Boston,,Beth Israel Deaconess Medical Center/Harvard Medical School Program,1802421049,Participating,http://www.bidmcneurology.org
62,MA,Boston,,Boston University Medical Center Program,1802421145,Participating,http://www.bumc.bu.edu/neurology/education/residencyprogram/
63,MA,Boston,,Brigham and Women's Hospital/Massachusetts General Hospital/Harvard Medical School Program,1802431050,Participating,https://www.mghbwhneurology.org/
64,MA,Boston,,Tufts Medical Center Program,1802421051,Participating,https://www.tuftsmedicalcenter.org/patient-care-services/Departments-and-Services/Neurology/Training-Education/Neurology-Residen
65,MA,Worcester,,University of Massachusetts Program,1802421121,Participating,http://www.umassmed.edu/neurology
66,MD,Baltimore,,Johns Hopkins University Program,1802321045,Participating,http://www.hopkinsmedicine.org/neurology_neurosurgery/education/residencies/neurology_residency/index.html
67,MD,Baltimore,,University of Maryland Program,1802331046,Participating,https://www.umms.org/ummc/healthcare-professionals/graduate-medical-education/residency-fellowship/neurology-residency
68,ME,Portland,,Maine Medical Center Program,1802200001,Participating,https://mainehealth.org/maine-medical-center/education-research/students-residents-fellows
69,MI,Ann Arbor,,University of Michigan Health System Program,1802531052,Participating,http://www.med.umich.edu/neuro/edu/rtp.htm
70,MI,Detroit,,Detroit Medical Center/Wayne State University Program,1802531054,Participating,https://neurology.med.wayne.edu/residency
71,MI,Detroit,,Henry Ford Hospital Program,1802521129,Participating,http://henryford.com/body_program.cfm?id=49863
72,MI,East Lansing,,Sparrow Hospital/Michigan State University Program,1802521149,Participating,http://www.neurology.msu.edu
73,MI,Farmington Hills,,Beaumont Health (Farmington Hills and Royal Oak) Program,1802500153,Participating,
74,MI,Garden City,,Garden City Hospital Program,1802500154,Participating,https://www.gch.org/medical-education/graduate-medical-education/programs/neurology/
75,MI,Grand Rapids,,Mercy Health Grand Rapids Program,1802500150,Participating,https://www.mercyhealth.com/medical-education/mercy-health-grand-rapids-medical-education/programs/neurology/
76,MI,Grand Rapids,,Spectrum Health/Michigan State University Program,1802500152,Participating,https://www.spectrumhealth.org/medicaleducation
77,MI,Madison Heights,,Ascension Macomb-Oakland Hospital Program,1802500151,Participating,http://medicaleducationsjp.com/en/medical-education-at-ascension-macomb-oakland-hospital
78,MN,Minneapolis,,University of Minnesota Program,1802621055,Participating,http://www.neurology.umn.edu
79,MN,Rochester,,Mayo Clinic College of Medicine and Science (Rochester) Program,1802621057,Participating,http://www.mayo.edu/msgme
80,MO,Columbia,,University of Missouri-Columbia Program,1802821059,Participating,http://neurology.muhealth.org/
81,MO,Kansas City,,University of Missouri-Kansas City School of Medicine Program,1802800062,Participating,http://med.umkc.edu/neurology/
82,MO,St Louis,,St Louis University School of Medicine Program,1802821060,Participating,https://www.slu.edu/medicine/neurology/index.php
83,MO,St Louis,,Washington University/B-JH/SLCH Consortium Program,1802821061,Participating,http://www.neuro.wustl.edu
84,MS,Jackson,,University of Mississippi Medical Center Program,1802721058,Participating,https://www.umc.edu/som/Departments%20and%20Offices/SOM%20Departments/Neurology/Department-of-Neurology.html
85,NC,Chapel Hill,,University of North Carolina Hospitals Program,1803611084,Participating,http://www.med.unc.edu/neurology
86,NC,Durham,,Duke University Hospital Program,1803621085,Participating,http://neurology.duke.edu/
87,NC,Winston-Salem,,Wake Forest University School of Medicine Program,1803621086,Participating,https://school.wakehealth.edu/Education-and-Training/Residencies-and-Fellowships/Neurology-Residency
88,ND,Fargo,,Univ of North Dakota School of Medicine and Health Sciences Program,1803700001,Participating,https://med.und.edu/residency-programs/neurology/
89,NE,Omaha,,Creighton University School of Medicine (Omaha) Program,1803000063,Participating,http://medschool.creighton.edu/neurology/neurologyresidencyprogram/
90,NE,Omaha,,University of Nebraska Medical Center College of Medicine Program,1803021062,Participating,http://unmc.edu/neurologicalsciences/
91,NH,Lebanon,,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,1803221063,Participating,https://gme.dartmouth-hitchcock.org/neurology.html
92,NJ,Camden,,Cooper Medical School of Rowan University/Cooper University Hospital Program,1803313158,Participating,http://www.cooperhealth.edu/residencies/neurology
93,NJ,Edison,,JFK Medical Center Program,1803321142,Participating,http://jfkmc.org/jfknsieducation/
94,NJ,New Brunswick,,Rutgers Health/Robert Wood Johnson Medical School Program,1803321157,Participating,http://rwjms.rutgers.edu/neurology/
95,NJ,Newark,,Rutgers Health/New Jersey Medical School Program,1803321064,Participating,http://njms.rutgers.edu/departments/neurology/adult_neurology/index.cfm
96,NM,Albuquerque,,University of New Mexico School of Medicine Program,1803421065,Participating,https://hsc.unm.edu/medicine/departments/neurology/education/adult-residency/
97,NV,Las Vegas,,HCA Healthcare Sunrise Health Graduate Medical Education Program,1803100154,Not Participating,
98,NV,Las Vegas,,OPTI West/Valley Hospital Medical Center Program,1803100153,Participating,https://www.valleyhospital.net/graduate-medical-education
99,NY,Albany,,Albany Medical Center Program,1803521066,Participating,http://www.amc.edu
100,NY,Bronx,,Montefiore Medical Center/Albert Einstein College of Medicine Program,1803521070,Participating,http://www.aecom.yu.edu
101,NY,Brooklyn,,SUNY Downstate Health Sciences University Program,1803521079,Participating,http://www.sunydownstate.edu/neurology
102,NY,Buffalo,,University at Buffalo Program,1803521067,Participating,http://medicine.buffalo.edu/departments/neurology.html
103,NY,Manhasset,,Zucker School of Medicine at Hofstra/Northwell Program,1803521074,Participating,https://professionals.northwell.edu/graduate-medical-education/residency-neurology-nsuh-lij
104,NY,New York,,Icahn School of Medicine at Mount Sinai (Beth Israel/West) Program,1803513155,Participating,http://icahn.mssm.edu/education/residencies-fellowships/list/msbi-neurology-residency
105,NY,New York,,Icahn School of Medicine at Mount Sinai (Mount Sinai Hospital) Program,1803521075,Participating,http://icahn.mssm.edu/education/residencies-fellowships/list/msh-neurology-residency/director-message
106,NY,New York,,NYU Grossman School of Medicine Program,1803521077,Participating,http://www.neurology.med.nyu.edu/training-education/
107,NY,New York,,New York Presbyterian Hospital (Columbia Campus) Program,1803531071,Not Participating,
108,NY,New York,,New York Presbyterian Hospital (Cornell Campus) Program,1803521072,Participating,http://cornellneurology.org/education/residency
109,NY,Poughkeepsie,,Nuvance Health Program,1803500001,Participating,https://learning.nuvancehealth.org/
110,NY,Rochester,,University of Rochester Program,1803531082,Participating,https://www.urmc.rochester.edu/education/graduate-medical-education/prospective-residents/neurology.aspx
111,NY,Staten Island,,Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,1803500156,Participating,https://www.statenlenoxneuro.org/
112,NY,Stony Brook,,Stony Brook Medicine/University Hospital Program,1803521081,Participating,http://www.renaissance.stonybrookmedicine.edu/neurology
113,NY,Syracuse,,SUNY Upstate Medical University Program,1803521083,Participating,http://www.upstate.edu/neurology/education/residency/
114,NY,Valhalla,,Westchester Medical Center Program,1803521076,Participating,https://www.westchestermedicalcenter.com/neurology1
115,OH,Cincinnati,,University of Cincinnati Medical Center/College of Medicine Program,1803821088,Participating,http://med.uc.edu/neuro
116,OH,Cleveland,,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,1803821089,Participating,https://www.uhhospitals.org/NeurologyResidency
117,OH,Cleveland,,Cleveland Clinic Foundation Program,1803811090,Participating,https://my.clevelandclinic.org/departments/neurological/medical-professionals/residencies/neurology
118,OH,Columbus,,Ohio State University Hospital Program,1803821092,Participating,http://neurology.osu.edu
119,OH,Dayton,,"Kettering Health Network Program
					
					 Osteopathic Recognized!",1803800145,Participating,
120,OH,Dayton,,Wright State University Boonshoft School of Medicine Program,1803800144,Participating,http://medicine.wright.edu/neurology/residency-program
121,OH,Toledo,,Mercy St Vincent Medical Center Program,1803800146,Participating,http://www.mercymedicalresidency.org
122,OH,Toledo,,University of Toledo Program,1803821143,Participating,https://www.utoledo.edu/med/depts/neurology/residency/
123,OK,Oklahoma City,,University of Oklahoma Health Sciences Center Program,1803921141,Participating,http://www.oumedicine.com/neurology
124,OR,Portland,,Oregon Health & Science University Program,1804031095,Participating,http://www.ohsu.edu/neurology/residency
125,PA,Allentown,,Lehigh Valley Health Network Program,1804100167,Not Participating,
126,PA,Danville,,Geisinger Health System Program,1804100166,Participating,https://www.geisinger.edu/education/residencies-fellowships/residencies/neurology-residency
127,PA,Easton,,St Luke’s Hospital – Anderson Campus Program,1804100169,Participating,https://www.slhn.org/gme/residencies/neurology-residency
128,PA,Erie,,UPMC Medical Education (Erie) Program,1804100168,Participating,http://www.upmchamot.com
129,PA,Hershey,,Penn State Milton S Hershey Medical Center Program,1804111096,Participating,http://www.pennstatehershey.org/web/neurology/education/residency
130,PA,Philadelphia,,Albert Einstein Healthcare Network Program,1804133162,Participating,http://www.einstein.edu/education/neurology/
131,PA,Philadelphia,,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,1804121101,Participating,http://www.jefferson.edu
132,PA,Philadelphia,,Temple University Hospital Program,1804121100,Participating,https://medicine.temple.edu/departments-centers/clinical-departments/department-neurology/residency-program
