,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,2000121007,Participating,http://www.rad.uab.edu/fellowship/Nucs_fellow.htm
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,2000421009,Not Participating,
2,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,2000511013,Participating,
3,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center/VA Greater Los Angeles Healthcare System Program,2000531014,Participating,
4,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,2000521105,Not Participating,
5,CA,Sacramento,,University of California Davis Health Program,2000521010,Not Participating,
6,CA,San Francisco,,University of California (San Francisco) Program,2000521016,Not Participating,
7,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,2000521018,Not Participating,
8,FL,Miami,,University of Miami/Jackson Health System Program,2001121087,Participating,http://radiology.med.miami.edu/education
9,GA,Atlanta,,Emory University School of Medicine Program,2001221083,Participating,https://med.emory.edu/departments/radiology/education/nuclear-medicine-residency.html
10,IL,Chicago,,Rush University Medical Center Program,2001611027,Not Participating,
11,IN,Indianapolis,,Indiana University School of Medicine Program,2001721093,Not Participating,
12,MA,Boston,,Brigham and Women's Hospital/Harvard Medical School Program,2002421038,Not Participating,
13,MD,Baltimore,,Johns Hopkins University Program,2002311035,Not Participating,
14,MD,Baltimore,,University of Maryland Program,2002321115,Participating,http://umm.edu/programs/diagnosticrad/professionals/residency/nuclear
15,MI,Ann Arbor,,University of Michigan Health System Program,2002511039,Not Participating,
16,MO,Columbia,,University of Missouri-Columbia Program,2002821094,Not Participating,
17,MO,St Louis,,St Louis University School of Medicine Program,2002821042,Not Participating,
18,MO,St Louis,,Washington University/B-JH/SLCH Consortium Program,2002811043,Not Participating,
19,NC,Durham,,Duke University Hospital Program,2003621060,Not Participating,
20,NY,Bronx,,Montefiore Medical Center/Albert Einstein College of Medicine Program,2003521047,Participating,http://www.montefiore.org/prof/departments/nuclear/residency/
21,NY,Buffalo,,University at Buffalo Program,2003521046,Participating,http://www.nucmed.buffalo.edu
22,NY,New York,,Icahn School of Medicine at Mount Sinai Program,2003521051,Not Participating,
23,NY,New York,,Memorial Sloan Kettering Cancer Center Program,2003511050,Not Participating,
24,NY,New York,,New York Presbyterian Hospital (Cornell Campus) Program,2003511052,Not Participating,
25,OK,Oklahoma City,,University of Oklahoma Health Sciences Center Program,2003921064,Not Participating,
26,OR,Portland,,Oregon Health & Science University Program,2004021065,Not Participating,
27,PR,San Juan,,University of Puerto Rico Program,2004221069,Not Participating,
28,SC,Charleston,,Medical University of South Carolina Program,2004521070,Not Participating,
29,TN,Nashville,,Vanderbilt University Medical Center Program,2004721072,Not Participating,
30,TX,Dallas,,University of Texas Southwestern Medical Center Program,2004821073,Participating,https://www.utsouthwestern.edu/education/medical-school/departments/radiology/
31,WA,Seattle,,University of Washington Program,2005421078,Not Participating,
32,WI,Madison,,University of Wisconsin Hospitals and Clinics Program,2005621079,Participating,https://www.radiology.wisc.edu/education/residency/nuclear-medicine-residency/
