,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,2200111018,Participating,http://www.uab.edu/medicine/obgynresidency/
1,AL,Mobile,,USA Health Program,2200121020,Participating,http://www.usahealthsystem.com/obgynresidencyprogram
2,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,2200411026,Participating,http://obgyn.uams.edu/obgynresidencyprogram
3,AZ,Phoenix,,Creighton University School of Medicine (Phoenix) Program,2200321328,Participating,https://alliance.creighton.edu/residencies-fellowships/residency-programs/obstetrics-and-gynecology
4,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,2200321024,Participating,http://phoenixmed.arizona.edu/obgyn-residency
5,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,2200321025,Participating,http://www.obgyn.arizona.edu
6,CA,Bakersfield,,Kern Medical Center Program,2200531027,Participating,http://www.kernmedical.com/
7,CA,Colton,,Arrowhead Regional Medical Center Program,2200500335,Participating,https://www.obgyndo.com/aboutresidency
8,CA,Fresno,,University of California (San Francisco)/Fresno Program,2200531029,Participating,https://www.fresno.ucsf.edu/obstetricsgynecology/
9,CA,La Jolla,,University of California (San Diego) Medical Center Program,2200521044,Participating,http://obgynresidency.ucsd.edu
10,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,2200521329,Participating,https://www.lluh.org/obgyn-residency
11,CA,Los Angeles,,Adventist Health White Memorial Program,2200521039,Participating,https://www.adventisthealth.org/white-memorial/pages/medical-education/graduate-medical-education/ob-gyn-education.aspx
12,CA,Los Angeles,,Cedars-Sinai Medical Center Program,2200531034,Participating,http://www.cedars-sinai.edu
13,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,2200512035,Participating,https://residency-scal-kaiserpermanente.org/residency/obgyn/
14,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,2200531038,Participating,http://obgyn.ucla.edu
15,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,2200511036,Not Participating,
16,CA,Oakland,,Kaiser Permanente Northern California (Oakland) Program,2200512040,Participating,https://residency-ncal.kaiserpermanente.org/programs/obgyn/oakland/
17,CA,Orange,,University of California (Irvine) Program,2200521031,Participating,https://www.obgyn.uci.edu/obgyn-residency.asp
