,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,2600121044,Not Participating,
1,AL,Mobile,,USA Health Program,2600111182,Participating,https://www.southalabama.edu/colleges/com/departments/orthopaedics/residency.html
2,AL,Phenix City,,Jack Hughston Memorial Hospital Program,2600100183,Participating,https://www.hughston.com/graduate-medical-education/
3,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,2600421094,Participating,http://ortho.uams.edu/
4,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,2600300207,Participating,https://mayoclinic.org
5,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,2600331206,Participating,http://phoenixmed.arizona.edu/orthopaedic-residency
6,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,2600331054,Participating,http://www.ortho.arizona.edu
7,CA,Fresno,,University of California (San Francisco)/Fresno Program,2600513217,Participating,https://www.fresno.ucsf.edu/orthopaedic-surgery/
8,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,2600521063,Participating,http://medical-center.lomalindahealth.org/health-professionals/residency-programs/orthopedic-surgery-residency
9,CA,Los Angeles,,Cedars-Sinai Medical Center Program,2600512219,Participating,http://www.csorthoresidency.org
10,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,2600521078,Participating,http://www.ortho.ucla.edu
11,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,2600521193,Participating,http://keck.usc.edu/orthopaedic-surgery/training-education/residency-program/
12,CA,Modesto,,Valley Consortium for Medical Education Program,2600500222,Participating,http://valleyorthoresidency.com
13,CA,Moreno Valley,,"Riverside University Health System Program
 Osteopathic Recognized!",2600500220,Participating,http://www.ruhealth.org
14,CA,Orange,,University of California (Irvine) Program,2600521064,Participating,http://www.orthopaedicsurgery.uci.edu/
15,CA,Redwood City,,Stanford Health Care-Sponsored Stanford University Program,2600521098,Participating,https://ortho.stanford.edu/education/ResidencyProgram.html
16,CA,Sacramento,,University of California Davis Health Program,2600521133,Participating,http://www.ucdmc.ucdavis.edu/orthopaedics
17,CA,San Diego,,University of California (San Diego) Medical Center Program,2600521109,Participating,http://ortho.ucsd.edu/
18,CA,San Francisco,,St Mary's Hospital and Medical Center Program,2600522108,Participating,http://www.stmarysmedicalcenter.org
19,CA,San Francisco,,University of California (San Francisco) Program,2600521002,Participating,http://orthosurg.ucsf.edu
20,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,2600531122,Participating,http://www.harbor-ucla.org/orthopaedic-surgery/
21,CA,Ventura,,Community Memorial Health System Program,2600500221,Not Participating,
22,CO,Aurora,,University of Colorado Program,2600721004,Participating,http://apply.cuortho.org
23,CT,Farmington,,University of Connecticut Program,2600821172,Participating,https://health.uconn.edu/musculoskeletal-institute/orthopedic-residency/overview/
24,CT,New Haven,,Yale-New Haven Medical Center Program,2600821005,Participating,http://www.orthopaedics.yale.edu
