,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,2800121010,Participating,https://www.uab.edu/medicine/otolaryngology/education/virtual-medical-student-experience
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,2800421012,Not Participating,
2,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,2800331134,Participating,http://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education/residencies-fellowships/otolaryngology/otolaryngology-resid
3,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,2800300142,Participating,http://otolaryngology.medicine.arizona.edu/
4,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,2800521117,Participating,https://lluh.org/health-professionals/gme/resident-fellow/otolaryngology-residency
5,CA,Los Angeles,,Cedars-Sinai Medical Center Program,2800500118,Participating,https://www.cedars-sinai.org/education/graduate-medical/residency/otolaryngology.html
6,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,2800521017,Participating,https://www.uclahealth.org/head-neck-surgery/
7,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,2800521015,Participating,https://keck.usc.edu/otolaryngology/training-education/residency-program/
8,CA,Oakland,,Kaiser Permanente Northern California Program,2800522020,Not Participating,
9,CA,Orange,,University of California (Irvine) Program,2800521014,Participating,http://www.ent.uci.edu
10,CA,Sacramento,,University of California Davis Health Program,2800521013,Participating,https://health.ucdavis.edu/otolaryngology/
11,CA,San Diego,,University of California (San Diego) Medical Center Program,2800521021,Participating,https://medschool.ucsd.edu/som/surgery/divisions/Otolaryngology/education/residency/Pages/default.aspx
12,CA,San Francisco,,University of California (San Francisco) Program,2800521022,Participating,http://ohns.ucsf.edu/residency-program
13,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,2800521023,Participating,http://med.stanford.edu/ohns/education/
14,CO,Aurora,,University of Colorado Program,2800721024,Participating,http://medschool.ucdenver.edu/otolaryngology
15,CT,Farmington,,University of Connecticut Program,2800821025,Participating,https://health.uconn.edu/graduate-medical-education/?p=2647
16,CT,New Haven,,Yale-New Haven Medical Center Program,2800821026,Participating,http://www.yalesurgery.org/otolaryngology/education/index.aspx
17,DC,Washington,,George Washington University Program,2801021130,Participating,https://smhs.gwu.edu/oto/
18,DC,Washington,,MedStar Health/Georgetown University Hospital Program,2801032027,Participating,http://ent.georgetown.edu/
19,FL,Gainesville,,University of Florida Program,2801121028,Participating,http://www.ent.ufl.edu
20,FL,Miami,,University of Miami/Jackson Health System Program,2801121029,Participating,https://med.miami.edu/departments/otolaryngology/education-and-training
21,FL,Tampa,,University of South Florida Morsani Program,2801131030,Participating,
22,GA,Atlanta,,Emory University School of Medicine Program,2801221031,Participating,http://www.otolaryngology.emory.edu
23,GA,Augusta,,Medical College of Georgia Program,2801221032,Participating,http://www.augusta.edu/mcg/otolaryngology/
24,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,2801821039,Participating,https://medicine.uiowa.edu/oto/
25,IL,Chicago,,McGaw Medical Center of Northwestern University Program,2801621033,Participating,http://www.oto-hns.northwestern.edu
26,IL,Chicago,,Rush University Medical Center Program,2801621034,Participating,http://www.rushu.rush.edu/otolaryngology-residency
