,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,Brookwood Baptist Health Program,3000121017,Participating,http://www.brookwoodbaptisthealth.com/residency
1,AL,Birmingham,,University of Alabama Medical Center Program,3000131018,Participating,https://www.uab.edu/medicine/pathology/education
2,AL,Mobile,,USA Health Program,3000111019,Not Participating,
3,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,3000421024,Participating,http://pathology.uams.edu/
4,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,3000321023,Participating,http://www.pathology.arizona.edu/
5,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,3000521028,Participating,http://www.llupathology.com
6,CA,Los Angeles,,Cedars-Sinai Medical Center Program,3000512030,Participating,https://www.cedars-sinai.org/education/graduate-medical/residency/pathology.html
7,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,3000511034,Participating,https://www.uclahealth.org/pathology/prospective-residents
8,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,3000521033,Participating,http://keck.usc.edu/pathology/training-education/residency-program/
9,CA,Orange,,University of California (Irvine) Program,3000521407,Participating,http://www.pathology.uci.edu
10,CA,Sacramento,,University of California Davis Health Program,3000511025,Participating,Http://www.ucdmc.ucdavis.edu/pathology
11,CA,San Diego,,University of California (San Diego) Medical Center Program,3000521040,Participating,http://pathology.ucsd.edu/
12,CA,San Francisco,,University of California (San Francisco) Program,3000521044,Participating,http://pathology.ucsf.edu/
13,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,3000521046,Participating,http://pathology.stanford.edu/
14,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,3000511047,Participating,https://www.harbor-ucla.org/pathology/
15,CO,Aurora,,University of Colorado Program,3000721055,Participating,http://pathology.ucdenver.edu
16,CO,Colorado Springs,,Penrose-St Francis Health Services Program,3000712048,Participating,http://www.penrosestfrancis.org/pathology
17,CT,Danbury,,Danbury Hospital Program,3000811057,Participating,https://learning.nuvancehealth.org/
18,CT,Hartford,,Hartford Hospital Program,3000811059,Participating,http://www.harthosp.org/edu
19,CT,New Haven,,Yale-New Haven Medical Center Program,3000821062,Participating,http://www.yale.edu/pathresprog
20,DC,Washington,,George Washington University Program,3001031069,Participating,https://smhs.gwu.edu/pathology/
21,DC,Washington,,Howard University Program,3001021070,Participating,https://medicine.howard.edu/education/graduate-medical-education-gme/residency-and-fellowship/pathology
22,DC,Washington,,MedStar Health/Georgetown University Hospital Program,3001011068,Participating,http://MedStarGeorgetown.org/PathologyResidency
23,FL,Brandon,,HCA Healthcare/USF Morsani College of Medicine GME: Brandon Regional Hospital Program,3001100080,Participating,https://brandonhospital.com/physicians/graduate-medical-education/pathology/
24,FL,Gainesville,,University of Florida Program,3001121073,Participating,http://www.pathology.ufl.edu
25,FL,Jacksonville,,University of Florida College of Medicine Jacksonville Program,3001131074,Participating,http://www.hscj.ufl.edu
26,FL,Miami,,University of Miami/Jackson Health System Program,3001121075,Participating,https://med.miami.edu/departments/pathology
27,FL,Miami Beach,,Mount Sinai Medical Center of Florida Program,3001131076,Participating,http://www.msmc.com/education/pathology
28,FL,Orlando,,Orlando Health Program,3001112077,Participating,http://www.orlandohealth.com
29,FL,Plantation,,HCA Healthcare: East Florida Division GME Program,3001100001,Participating,https://westsideregional.com/physicians/graduate-medical-education/
