,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,3200121017,Participating,https://www.uab.edu/medicine/peds/residency-program
1,AL,Mobile,,USA Health Program,3200121019,Participating,http://www.usahealthsystem.com/pedsres
2,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,3200421022,Participating,http://www.arpediatrics.org/residency
3,AZ,Phoenix,,Phoenix Children's Hospital Program,3200332020,Participating,http://www.phoenixchildrens.org/graduate-medical-education/residency-programs
4,AZ,Tucson,,Tucson Hospitals Medical Education Program,3200300372,Participating,https://www.tmcaz.com/thmep/
5,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,3200321021,Participating,http://peds.arizona.edu/residency
6,CA,Fresno,,University of California (San Francisco)/Fresno Program,3200511024,Participating,http://www.fresno.ucsf.edu/pediatrics
7,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,3200511026,Participating,https://lluh.org/health-professionals/gme/resident-fellow/pediatrics-residency
8,CA,Los Angeles,,Children's Hospital Los Angeles Program,3200511028,Participating,https://www.chla.org/pediatric-residency
9,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,3200512029,Participating,https://residency-scal-kaiserpermanente.org/residency/pediatrics/
10,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,3200521032,Participating,https://www.uclahealth.org/mattel/pediatric-residency-program
11,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,3200511030,Participating,http://www.uscpediatrics.com
12,CA,Madera,,Valley Children's Healthcare Program,3200500426,Participating,http://www.valleychildrens.org/pediatricresidency
13,CA,Oakland,,Children's Hospital-Oakland Program,3200531034,Participating,http://www.childrenshospitaloakland.org/main/home.aspx
14,CA,Oakland,,Kaiser Permanente Northern California Program,3200512035,Participating,https://residency-ncal.kaiserpermanente.org/programs/peds/
15,CA,Orange,,University of California (Irvine)/Children's Hospital of Orange County Program,3200512425,Participating,http://www.pediatrics.uci.edu
16,CA,Palo Alto,,Stanford Health Care-Sponsored Stanford University Program,3200521041,Participating,http://med.stanford.edu/peds.html
17,CA,Sacramento,,University of California Davis Health Program,3200511023,Participating,https://www.ucdmc.ucdavis.edu/pediatrics/education/residency.html
18,CA,San Diego,,University of California (San Diego) Medical Center Program,3200531036,Participating,http://pedsresidency.ucsd.edu
19,CA,San Francisco,,University of California (San Francisco) Program,3200521040,Participating,https://pediatrics.ucsf.edu/medical-education/ucsf-pediatrics-residency-program
20,CA,Santa Barbara,,Santa Barbara Cottage Hospital Program,3200500001,Participating,https://www.cottagehealth.org/pedsresidency
21,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,3200511042,Participating,https://www.harbor-ucla.org/pediatrics/
22,CO,Aurora,,University of Colorado Program,3200721043,Participating,https://medschool.cuanschutz.edu/pediatrics/education/pediatric-residency-program
23,CT,Hartford,,University of Connecticut Program,3200821045,Participating,https://health.uconn.edu/graduate-medical-education/pediatric-residency-program
24,CT,New Haven,,Yale-New Haven Medical Center Program,3200821046,Participating,https://medicine.yale.edu/pediatrics/education/residency/
25,DC,Washington,,Children's National Medical Center Program,3201021051,Not Participating,
26,DC,Washington,,MedStar Health/Georgetown University Hospital Program,3201021050,Participating,http://pediatrics.georgetown.edu/
27,DE,Wilmington,,Sidney Kimmel Medical College at Thomas Jefferson University/duPont Hospital for Children Program,3204121210,Participating,https://www.nemours.org/education/gme/pediatric-residency.html
28,FL,Fort Lauderdale,,Broward Health Program,3201100431,Participating,http://www.browardhealth.org/gme
29,FL,Gainesville,,University of Florida Program,3201131053,Participating,http://pediatrics.med.ufl.edu/
30,FL,Hollywood,,"Memorial Healthcare System (Hollywood, Florida) Program",3201100432,Participating,https://www.mhs.net/medical-professionals/education/residency-programs/pediatrics
31,FL,Jacksonville,,University of Florida College of Medicine Jacksonville Program,3201121055,Participating,http://www.hscj.ufl.edu/pediatrics/residency/
32,FL,Loxahatchee,,HCA Healthcare: East Florida Division GME: Palms West Hospital Program,3201100434,Participating,https://palmswesthospital.com/physicians/graduate-medical-education/pediatrics/
33,FL,Miami,,Nicklaus Children's Hospital Program,3201112057,Participating,https://www.nicklauschildrens.org/pedsresidency
34,FL,Miami,,University of Miami/Jackson Health System Program,3201111056,Participating,https://www.umpediatricresidency.com/
35,FL,Orlando,,AdventHealth Florida Program,3201100429,Participating,https://www.adventhealth.com/adventhealth-graduate-medical-education/general-pediatrics-residency
36,FL,Orlando,,Nemours Children's Hospital Program,3201100433,Participating,https://www.nemours.org/education/orlando-pediatric-residency-program.html
37,FL,Orlando,,University of Florida (Orlando) Program,3201131058,Participating,https://www.orlandohealth.com/pediatric-residency
38,FL,Pensacola,,University of Florida (Pensacola) Program,3201121059,Participating,https://ufpensacolagme.org/pediatrics-residency/pediatrics-team/
39,FL,St. Petersburg,,Johns Hopkins All Children's Hospital Program,3201100428,Participating,https://www.hopkinsallchildrens.org/Academics/Education/Office-of-Medical-Education
40,FL,Tampa,,University of South Florida Morsani Program,3201121060,Participating,https://health.usf.edu/medicine/pediatrics/residency
41,GA,Atlanta,,Emory University School of Medicine Program,3201221061,Participating,http://www.pediatrics.emory.edu/education/residency/index.html
42,GA,Atlanta,,Morehouse School of Medicine Program,3201221414,Participating,https://www.msm.edu/Education/GME/PedsResidencyProgram/index.php
43,GA,Augusta,,Medical College of Georgia Program,3201221062,Participating,http://www.augusta.edu
44,GA,Macon,,The Medical Center Navicent Health/Mercer University School of Medicine Program,3201221398,Participating,http://www.navicenthealth.org/service-center/pediatrics-residency-program
45,GA,Savannah,,HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,3201221400,Participating,http://memorialhealth.com/gme/pediatrics/
46,HI,Honolulu,,University of Hawaii Program,3201421063,Participating,http://www.hawaiiresidency.org/pediatric-residency/pediatric-residency-home
47,IA,Des Moines,,Central Iowa Health System (Iowa Methodist Medical Center) Program,3201831082,Participating,http://www.unitypoint.org/desmoines/blank-childrens-hospital-pediatric-residency-program.aspx
48,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,3201811083,Participating,https://gme.medicine.uiowa.edu/pediatrics-residency
49,IL,Chicago,,Cook County Health and Hospitals System Program,3201611065,Not Participating,
50,IL,Chicago,,McGaw Medical Center of Northwestern University Program,3201621070,Participating,http://pediatrics.northwestern.edu
51,IL,Chicago,,Rush University Medical Center Program,3201631069,Participating,http://www.rush.edu/pedsresidency
52,IL,Chicago,,University of Chicago Program,3201611073,Participating,http://pediatrics.uchicago.edu/education/residency
53,IL,Chicago,,University of Illinois College of Medicine at Chicago Program,3201611074,Participating,http://go.uic.edu/pediatric_residency
54,IL,Maywood,,Loyola University Medical Center Program,3201621075,Participating,https://www.loyolamedicine.org/gme/pediatric-residency
55,IL,Oak Lawn,,Advocate Health Care (Advocate Children’s Hospital/Oak Lawn) Program,3201621382,Participating,https://www.advocatechildrenshospital.com/pediatric-residency-programs-and-fellowships/
56,IL,Park Ridge,,Advocate Health Care (Advocate Children's Hospital/Park Ridge) Program,3201612077,Participating,https://www.advocatechildrenshospital.com/healthcare-professionals/pediatric-residency-programs-and-fellowships/
57,IL,Peoria,,University of Illinois College of Medicine at Peoria Program,3201621078,Participating,https://peoria.medicine.uic.edu/departments/pediatrics/residency
58,IL,Springfield,,Southern Illinois University Program,3201621079,Participating,http://www.siumed.edu/peds/residency-program.html
59,IN,Indianapolis,,Ascension St Vincent Hospital Indianapolis Program,3201712420,Participating,http://www.stvincent.org/medical-education/pediatrics-residency
60,IN,Indianapolis,,Indiana University School of Medicine Program,3201721080,Participating,http://pediatrics.iu.edu/residency/
61,KS,Wichita,,University of Kansas (Wichita) Program,3201921086,Participating,http://wichita.kumc.edu/pediatrics
62,KY,Lexington,,University of Kentucky College of Medicine Program,3202021087,Participating,https://pediatrics.med.uky.edu/pediatric-residency
63,KY,Louisville,,University of Louisville School of Medicine Program,3202021088,Participating,http://louisville.edu/medschool/pediatrics/residency
64,LA,Baton Rouge,,Our Lady of The Lake Program,3202146422,Participating,https://ololchildrens.org/for-providers/pediatric-residency/prospective-applicants/
65,LA,Metairie,,Tulane University Program,3202121092,Participating,https://medicine.tulane.edu/departments/pediatrics/academic-programs/residencies
66,LA,New Orleans,,Louisiana State University Program,3202121090,Participating,http://www.medschool.lsuhsc.edu/pediatrics_residency/default.aspx
67,LA,Shreveport,,Louisiana State University (Shreveport) Program,3202111093,Participating,https://www.lsuhs.edu/departments/school-of-medicine/pediatrics/pediatric-residency/apply
68,MA,Boston,,Children's Hospital/Boston Medical Center Program,3202421403,Participating,http://www.childrenshospital.org/bcrp/
69,MA,Boston,,Massachusetts General Hospital Program,3202431103,Participating,https://www.massgeneral.org/children/education/residency.aspx?id=73
70,MA,Boston,,Tufts Medical Center Program,3202421104,Participating,https://www.tuftschildrenshospital.org/Training-and-Education/Pediatric-Residency-Program
71,MA,Springfield,,UMMS-Baystate Program,3202412106,Participating,http://www.baystatehealth.com/pedsresidency
72,MA,Worcester,,University of Massachusetts Program,3202421107,Participating,https://www.umassmed.edu/pediatrics/residency/
73,MD,Baltimore,,Johns Hopkins University Program,3202321096,Participating,http://www.hopkinschildrens.org/pediatric-residency.aspx
74,MD,Baltimore,,Sinai Hospital of Baltimore Program,3202311099,Participating,http://www.lifebridgehealth.org
75,MD,Baltimore,,University of Maryland Program,3202321100,Participating,https://www.umms.org/ummc/pros/gme/residency/pediatric
76,ME,Portland,,Maine Medical Center Program,3202211094,Participating,http://www.mmc.org/pediatricresidency
77,MI,Ann Arbor,,University of Michigan Health System Program,3202521109,Participating,https://medicine.umich.edu/dept/pediatrics/education/pediatric-residency-program
78,MI,Detroit,,Ascension St John Hospital Program,3202511113,Participating,https://medicaleducationsjp.com/medical-education/residency-programs/pediatric-residency
79,MI,Detroit,,Children's Hospital of Michigan Program,3202521110,Participating,https://www.childrensdmc.org/health-professionals/just-for-doctors/residency-program/pediatric-residency
80,MI,Detroit,,Detroit Wayne County Health Authority (Authority Health) GME Consortium Program,3202500393,Participating,http://www.authorityhealth.org/authority-health-gme/medical-residency-programs/pediatrics
81,MI,Flint,,Hurley Medical Center/Michigan State University Program,3202531115,Participating,http://education.hurleymc.com/gme/residencies-and-fellowships/pediatrics/
82,MI,Grand Rapids,,Spectrum Health/Michigan State University/Helen DeVos Children's Hospital Program,3202521116,Participating,https://www.spectrumhealth.org/medicaleducation/residencies/pediatrics
83,MI,Kalamazoo,,Western Michigan University Homer Stryker MD School of Medicine Program,3202521391,Participating,http://med.wmich.edu/
84,MI,Lansing,,Sparrow Hospital Program,3202521114,Participating,http://www.phd.msu.edu/index.php/education/residency
85,MI,Royal Oak,,Beaumont Health (Royal Oak) Program,3202512119,Participating,http://www.beaumont.edu
86,MN,Minneapolis,,University of Minnesota Program,3202621120,Participating,http://www.pedsres.umn.edu
87,MN,Rochester,,Mayo Clinic College of Medicine and Science (Rochester) Program,3202621121,Participating,http://www.mayo.edu/msgme
88,MO,Columbia,,University of Missouri-Columbia Program,3202811123,Participating,http://www.ch.missouri.edu
