,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,3400121002,Participating,http://www.uab.edu/rehab
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,3400421083,Participating,http://pmr.uams.edu
2,AZ,Scottsdale,,HonorHealth Program,3400300001,Participating,https://www.honorhealth.com/academic-affairs
3,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,3400521077,Participating,http://Www.lluh.org/pmr
4,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center/VA Greater Los Angeles Healthcare System Program,3400521007,Participating,http://www.losangeles.va.gov/trainee/index.asp
5,CA,Orange,,University of California (Irvine) Program,3400521005,Participating,http://www.pmr.uci.edu
6,CA,Pomona,,OPTI West Program,3400500078,Participating,https://www.casacolina.org/
7,CA,Redwood City,,Stanford Health Care-Sponsored Stanford University Program,3400521008,Participating,https://pmr.stanford.edu
8,CA,Sacramento,,University of California Davis Health Program,3400521004,Participating,http://www.ucdmc.ucdavis.edu/pmr/
9,CO,Aurora,,University of Colorado Program,3400721009,Participating,https://medschool.cuanschutz.edu/physical-medicine-and-rehabilitation
10,DC,Washington,,MedStar Health/Georgetown-National Rehabilitation Hospital Program,3401021087,Participating,https://rehabmedicine.georgetown.edu/Physical-Medicine-and-Rehabilitation-Residency-at-MedStarNRH
11,FL,Gainesville,,University of Florida College of Medicine Program,3401100112,Participating,https://pmr.med.ufl.edu/
12,FL,Hialeah,,Larkin Community Hospital Palm Springs Campus Program,3401100111,Participating,
13,FL,Hollywood,,"Memorial Healthcare System (Hollywood, Florida) Program",3401100108,Participating,https://www.mhs.net/medical-professionals/education/residency-programs/physical-medicine
14,FL,Miami,,University of Miami/Jackson Health System Program,3401121107,Participating,http://www.jhsmiami.org/residency
15,FL,Pensacola,,University of Central Florida/HCA Healthcare GME (Pensacola) Program,3401100110,Participating,https://med.ucf.edu/academics/graduate-medical-program/
16,FL,South Miami,,Larkin Community Hospital Program,3401100109,Participating,http://www.graduatemedicaleducation.com
