,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Hospital Program,3620100001,Participating,https://www.uab.edu/medicine/surgery/plastic/education
1,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,3622600162,Participating,http://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education/residencies-fellowships/surgery-specialties
2,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,3620521133,Participating,
3,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,3620500157,Participating,http://plasticsurgery.ucla.edu/body.cfm?id=339
4,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,3620521118,Participating,http://www.uscplasticsurgery.com
5,CA,Orange,,University of California (Irvine) Program,3620521008,Not Participating,
6,CA,Palo Alto,,Stanford Health Care-Sponsored Stanford University Program,3620531013,Participating,http://plasticsurgery.stanford.edu
7,CA,Sacramento,,University of California Davis Health Program,3620500158,Participating,http://www.ucdmc.ucdavis.edu/surgery/education/plastic.html
8,CA,San Diego,,University of California (San Diego) Medical Center Program,3620500159,Participating,http://surgery.ucsd.edu/divisions/plastic-surgery/Pages/default.aspx
9,CA,San Francisco,,University of California (San Francisco) Program,3620500156,Participating,http://plastic.surgery.ucsf.edu
10,CO,Aurora,,University of Colorado School of Medicine Program,3620700001,Participating,https://medschool.cuanschutz.edu/surgery/specialties/plastic-and-reconstructive/residency-programs/overview
11,CT,New Haven,,Yale-New Haven Medical Center Program,3620821015,Participating,http://www.yalesurgery.org/plastics/education/index.html
12,DC,Washington,,MedStar Health/Georgetown University Hospital Program,3621021017,Participating,http://www.medstargeorgetown.org/hoyaplastics
13,FL,Gainesville,,University of Florida Program,3621100158,Participating,https://plasticandreconstructive.surgery.med.ufl.edu/education/integrated-residency/
14,FL,Hialeah,,Larkin Community Hospital Palm Springs Campus Program,3621100001,Participating,
15,FL,Miami,,University of Miami/Jackson Health System Program,3621100159,Participating,https://graduate.jacksonhealth.org/program/plastic-surgery-integrated/
16,FL,Tampa,,University of South Florida Morsani Program,3621112140,Participating,http://health.usf.edu/medicine/surgery/plastic/residency
17,GA,Atlanta,,Emory University School of Medicine Program,3621200001,Participating,
18,IL,Chicago,,McGaw Medical Center of Northwestern University Program,3621621025,Participating,http://www.surgery.northwestern.edu/education/residency/plastic/index.html
19,IL,Chicago,,Rush University Medical Center Program,3621600148,Participating,https://tinyurl.com/y4svzafr
20,IL,Chicago,,University of Chicago Program,3621600146,Participating,http://surgery.uchicago.edu/specialties/plastic
21,IL,Maywood,,Loyola University Medical Center Program,3621600147,Participating,https://www.loyolamedicine.org/gme/integrated-plastic-reconstructive-surgery-program
22,IL,Springfield,,Southern Illinois University Program,3621621030,Participating,https://www.siumed.edu/surgery/plastics
23,IN,Indianapolis,,Indiana University School of Medicine Program,3621700141,Participating,http://surgery.medicine.iu.edu/sections/plastic-surgery/
24,KS,Kansas City,,University of Kansas School of Medicine Program,3621911032,Not Participating,
25,KY,Lexington,,University of Kentucky College of Medicine Program,3622021033,Participating,http://surgery.med.uky.edu/surgery/sections/plastic
26,KY,Louisville,,University of Louisville School of Medicine Program,3622000034,Participating,
27,LA,New Orleans,,Louisiana State University School of Medicine Program,3622100001,Participating,http://www.medschool.lsuhsc.edu/plastic_surgery/
28,MA,Boston,,Beth Israel Deaconess Medical Center Program,3622400137,Participating,https://bidmcplasticsurgeryresidency.hms.harvard.edu/
29,MA,Boston,,Brigham and Women's Hospital/Harvard Medical School Program,3622421135,Participating,
30,MA,Burlington,,Lahey Clinic Program,3622400136,Participating,https://www.lahey.org/lhmc/research-residencies/residencies/
