,State,City,Blank,Program name,ID,Status,ERAS link
0,CA,Sacramento,,University of California Davis Health Program,3600521113,Not Participating,
1,CA,San Francisco,,University of California (San Francisco) Program,3600522012,Not Participating,
2,GA,Atlanta,,Emory University School of Medicine Program,3601221024,Not Participating,
3,MI,Detroit,,Detroit Medical Center/Wayne State University Program,3602521043,Not Participating,
4,NH,Lebanon,,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,3603221129,Not Participating,
5,NJ,Camden,,Cooper Medical School of Rowan University/Cooper University Hospital Program,3603321132,Not Participating,
6,NY,New York,,NYU Grossman School of Medicine Program,3603521066,Not Participating,
7,OH,Columbus,,Ohio State University Hospital Program,3603821081,Not Participating,
8,PA,Philadelphia,,"Philadelphia College of Osteopathic Medicine Program
					
					 Osteopathic Recognized!",3604100144,Not Participating,
9,VA,Charlottesville,,University of Virginia Medical Center Program,3605111104,Not Participating,
