,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,4000111009,Participating,https://www.uab.edu/medicine/psychiatry/education/psychiatry-residency
1,AL,Mobile,,USA Health Program,4000122232,Participating,https://www.southalabama.edu/colleges/com/departments/psychiatry/
2,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4000422014,Participating,
3,AR,Searcy,,Unity Health-White County Medical Center Program,4002800116,Participating,http://wcmc.org/node/737
4,AZ,Mesa,,Creighton University School of Medicine (Phoenix) Program,4000322011,Participating,https://alliance.creighton.edu/
5,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,4000312010,Participating,http://phoenixmed.arizona.edu/psychiatry-residency
6,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4000321012,Participating,http://www.psychiatry.arizona.edu
7,CA,Bakersfield,,UCLA-Kern Medical Center Program,4000522298,Participating,http://www.kernmedical.com
8,CA,Colton,,Arrowhead Regional Medical Center Program,4000500316,Participating,http://www.arrowheadmedcenter.org
9,CA,Fontana,,Kaiser Permanente Southern California Program,4000500314,Participating,https://residency-scal-kaiserpermanente.org/residency/psychiatry/
10,CA,Fresno,,University of California (San Francisco)/Fresno Program,4000521018,Participating,http://www.fresno.ucsf.edu/psych
11,CA,Los Angeles,,"Charles R Drew University of Medicine and Science, College of Medicine Program",4000500317,Participating,https://www.cdrewu.edu/com/GME/Psychiatry
12,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4000521025,Participating,http://residency.semel.ucla.edu/
13,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center/VA Greater Los Angeles Healthcare System Program,4000531032,Participating,https://www.semel.ucla.edu/va-prtp
14,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4000511023,Participating,http://www.usc.edu/schools/medicine/departments/psychiatry-behavioralsciences/education/residency/index.html
15,CA,Oakland,,Kaiser Permanente Northern California (Oakland) Program,4000500318,Participating,https://residency-ncal.kaiserpermanente.org/programs/psychiatry/psychiatry-at-oakland/
16,CA,Orange,,University of California (Irvine) Program,4000521020,Participating,http://www.psychiatry.uci.edu/psychiatryresidency/
17,CA,Redlands,,Loma Linda University Health Education Consortium Program,4000521021,Participating,http://www.llupsychresidency.com/
18,CA,Riverside,,Riverside University Health System Program,4000500322,Participating,http://www.ruhealth.org/en-us/medical-center/health-professionals/medical-education/psychiatry-residency/Pages/default.aspx
