,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,4300121002,Participating,http://www.uabradonc.com/
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4300400001,Not Participating,
2,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,4300300148,Participating,http://www.mayo.edu/msgme/residencies-fellowships/radiation-oncology/radiation-oncology-residency-arizona
3,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4300311003,Not Participating,
4,CA,Duarte,,City of Hope National Medical Center Program,4300513139,Participating,http://www.cityofhope.org/
5,CA,La Jolla,,University of California (San Diego) Medical Center Program,4300513143,Participating,http://radonc.ucsd.edu
6,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,4300521006,Participating,https://lluh.org/health-professionals/gme/resident-fellow/radiation-oncology-residency
7,CA,Los Angeles,,Cedars-Sinai Medical Center Program,4300500147,Participating,http://www.cedars-sinai.edu/Patients/Programs-and-Services/Radiation-Oncology-Program/
8,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,4300521115,Participating,https://residency-scal-kaiserpermanente.org/residency/radiationoncology/
9,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4300521008,Participating,https://www.uclahealth.org/radonc/
10,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4300511007,Participating,http://keck.usc.edu/radiation-oncology/training-education/residency-program/
11,CA,Orange,,University of California (Irvine) Program,4300521005,Participating,http://radonc.uci.edu
12,CA,Sacramento,,University of California Davis Health Program,4300522132,Participating,http://www.ucdmc.ucdavis.edu/radonc/
13,CA,San Francisco,,University of California (San Francisco) Program,4300521013,Participating,https://radonc.ucsf.edu/education/
14,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,4300511014,Participating,http://radonc.stanford.edu
15,CO,Aurora,,University of Colorado Program,4300713130,Not Participating,
16,CT,New Haven,,Yale-New Haven Medical Center Program,4300811017,Participating,http://radonc.yale.edu
17,DC,Washington,,MedStar Health/Georgetown University Hospital Program,4301021112,Participating,http://georgetownuniversityhospital.org/body.cfm?id=558079
18,FL,Gainesville,,University of Florida Program,4301112022,Participating,http://www.med.ufl.edu/radonc
19,FL,Jacksonville,,Mayo Clinic College of Medicine and Science (Jacksonville) Program,4301131133,Participating,http://www.mayo.edu/msgme/residencies-fellowships/radiation-oncology/radiation-oncology-residency-florida
20,FL,Miami,,University of Miami/Jackson Health System Program,4301121023,Participating,http://www.radonc.med.miami.edu
21,FL,Tampa,,University of South Florida Morsani Program,4301131136,Participating,https://moffitt.org/education/medical-education/residency-and-fellowship-programs/usf-residency-and-fellowship-programs-based-at
22,GA,Atlanta,,Emory University School of Medicine Program,4301221125,Participating,http://radiationoncology.emory.edu
23,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,4301811033,Participating,https://gme.medicine.uiowa.edu/radiation-oncology-residency
24,IL,Chicago,,McGaw Medical Center of Northwestern University Program,4301621027,Participating,
25,IL,Chicago,,Rush University Medical Center Program,4301611028,Not Participating,
26,IL,Chicago,,University of Chicago/University of Illinois College of Medicine at Chicago Program,4301611116,Participating,http://www.radonc.uchicago.edu
27,IL,Maywood,,Loyola University Medical Center Program,4301622031,Participating,https://www.loyolamedicine.org/gme/radiation-oncology-residency
28,IN,Indianapolis,,Indiana University School of Medicine Program,4301711032,Participating,http://radonc.medicine.iu.edu/
29,KS,Kansas City,,University of Kansas School of Medicine Program,4301921034,Participating,http://www.kumc.edu/school-of-medicine/radiation-oncology.html
30,KY,Lexington,,University of Kentucky College of Medicine Program,4302011035,Participating,http://radiationmedicine.med.uky.edu/
31,KY,Louisville,,University of Louisville School of Medicine Program,4302011036,Participating,
32,MA,Boston,,Brigham and Women's Hospital/Massachusetts General Hospital/Harvard Medical School Program,4302411131,Participating,http://www.harvardradiationoncologyprogram.org
33,MA,Boston,,Tufts Medical Center Program,4302421044,Participating,https://www.tuftsmedicalcenter.org/patient-care-services/departments-and-services/radiation-oncology/training-education
34,MD,Baltimore,,Johns Hopkins University Program,4302311039,Participating,http://www.radonc.jhmi.edu
35,MD,Baltimore,,University of Maryland Program,4302321040,Participating,http://www.medschool.umaryland.edu/radonc/Education/Residency/Interview-Information/
36,MI,Ann Arbor,,University of Michigan Health System Program,4302511045,Participating,https://medicine.umich.edu/dept/radonc/education-training/medical-residency
37,MI,Detroit,,Detroit Medical Center/Wayne State University Program,4302521048,Participating,http://www.radiationoncology.med.wayne.edu
38,MI,Detroit,,Henry Ford Hospital Program,4302512046,Participating,http://henryford.com/body_program.cfm?id=49966
39,MI,Royal Oak,,Beaumont Health (Royal Oak) Program,4302512049,Participating,https://www.beaumont.org
40,MN,Minneapolis,,University of Minnesota Program,4302621050,Participating,
41,MN,Rochester,,Mayo Clinic College of Medicine and Science (Rochester) Program,4302621051,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/radiation-oncology-residency-minnesota/
42,MO,St Louis,,Washington University/B-JH/SLCH Consortium Program,4302811054,Participating,https://radonc.wustl.edu
43,MS,Jackson,,University of Mississippi Medical Center Program,4302731140,Not Participating,
44,NC,Chapel Hill,,University of North Carolina Hospitals Program,4303611073,Participating,http://www.med.unc.edu/radonc/
45,NC,Durham,,Duke University Hospital Program,4303621074,Participating,http://radonc.duke.edu/
46,NC,Winston-Salem,,Wake Forest University School of Medicine Program,4303611075,Participating,http://www.wakehealth.edu/Radiation-Oncology/Residents.htm
47,NE,Omaha,,University of Nebraska Medical Center College of Medicine Program,4303021142,Participating,http://www.unmc.edu/radonc
48,NH,Lebanon,,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,4303200002,Participating,https://gme.dartmouth-hitchcock.org/radiation-oncology-residency.html
49,NJ,New Brunswick,,Rutgers Health/Robert Wood Johnson Medical School Program,4303313135,Participating,http://rwjms.rutgers.edu/radiation_oncology/
50,NY,Bronx,,Montefiore Medical Center/Albert Einstein College of Medicine Program,4303521061,Participating,http://www.montefiore.org/radiation-oncology-residency
51,NY,Brooklyn,,New York-Presbyterian Brooklyn Methodist Hospital Program,4303522064,Not Participating,
52,NY,Brooklyn,,SUNY Downstate Health Sciences University Program,4303521070,Participating,http://www.downstate.edu
53,NY,Buffalo,,University at Buffalo Program,4303521122,Participating,https://www.roswellpark.org/education/residency-programs/radiation-oncology
54,NY,New Hyde Park,,Zucker School of Medicine at Hofstra/Northwell Program,4303512145,Participating,https://professionals.northwell.edu/graduate-medical-education/residency-radiation-oncology
55,NY,New York,,Icahn School of Medicine at Mount Sinai Program,4303521119,Participating,http://icahn.mssm.edu/radonc
56,NY,New York,,Memorial Sloan Kettering Cancer Center Program,4303521063,Participating,http://www.mskcc.org/education/radiation-oncology-residency
57,NY,New York,,NYU Grossman School of Medicine Program,4303521067,Participating,http://www.med.nyu.edu/radonc
58,NY,New York,,New York Presbyterian Hospital (Columbia Campus) Program,4303511068,Participating,https://cancer.columbia.edu/radiation-oncology
59,NY,Rochester,,University of Rochester Program,4303511071,Participating,http://radonc-residency.urmc.edu
60,NY,Stony Brook,,Stony Brook Medicine Program,4303500146,Participating,
61,NY,Syracuse,,SUNY Upstate Medical University Program,4303511072,Participating,http://www.upstate.edu/radonc/education/residency-program.php
62,OH,Cincinnati,,University of Cincinnati Medical Center/College of Medicine Program,4303821076,Participating,http://med.uc.edu/radonc
63,OH,Cleveland,,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,4303811077,Participating,https://www.uhhospitals.org/medical-education/radiation-oncology-medical-education/radiation-oncology-physician-residency-progra
64,OH,Cleveland,,Cleveland Clinic Foundation Program,4303812078,Participating,https://my.clevelandclinic.org/departments/cancer/medical-professionals/radiation-oncology-education
65,OH,Columbus,,Ohio State University Hospital Program,4303811079,Participating,https://cancer.osu.edu/for-healthcare-professionals/find-a-department-or-division/department-of-radiation-oncology
66,OK,Oklahoma City,,University of Oklahoma Health Sciences Center Program,4303912137,Participating,https://www.oumedicine.com/radonc
67,OR,Portland,,Oregon Health & Science University Program,4304021081,Participating,https://www.ohsu.edu/school-of-medicine/radiation-medicine/radiation-oncology-residency-program
68,PA,Philadelphia,,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,4304111086,Participating,http://www.jefferson.edu/university/jmc/departments/radiation_oncology/education/residency.html
69,PA,Philadelphia,,Temple University Hospital/Fox Chase Cancer Center Program,4304121123,Participating,http://www.fccc.edu/healthProfessionals/residency/radonc/index.html
70,PA,Philadelphia,,University of Pennsylvania Health System Program,4304121087,Participating,https://www.med.upenn.edu/radiationoncologymedicalresidency/
71,PA,Pittsburgh,,Allegheny Health Network Medical Education Consortium (AGH) Program,4304131127,Participating,https://www.ahn.org/specialties/cancer-institute/radiation-oncology
72,PA,Pittsburgh,,UPMC Medical Education Program,4304121129,Participating,https://hillmanresearch.upmc.edu/training/medical-students-and-residents/rad-onc-residency/
73,SC,Charleston,,Medical University of South Carolina Program,4304521092,Participating,http://radonc.musc.edu
74,TN,Germantown,,University of Tennessee College of Medicine Program,4304700129,Participating,https://www.uthsc.edu/radiation-oncology/residency/index.php
75,TN,Nashville,,Vanderbilt University Medical Center Program,4304712128,Participating,https://www.vumc.org/radiation-oncology/information-residency-applicants
76,TX,Dallas,,University of Texas Southwestern Medical Center Program,4304812134,Participating,http://www.utsouthwestern.edu/education/medical-school/departments/radiation-oncology/education-training/
77,TX,Galveston,,University of Texas Medical Branch Hospitals Program,4304811097,Participating,http://www.utmb.edu/radoncology
78,TX,Houston,,Baylor College of Medicine Program,4304821098,Participating,https://www.bcm.edu/departments/radiation-oncology
79,TX,Houston,,University of Texas M D Anderson Cancer Center Program,4304822099,Participating,https://www.mdanderson.org/education-training/clinical-research-training/graduate-medical-education.html
80,TX,San Antonio,,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,4304821100,Participating,http://www.uthscsa.edu/radiationoncology
81,TX,Temple,,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,4304831144,Not Participating,
82,UT,Salt Lake City,,University of Utah Health Program,4304912102,Participating,https://medicine.utah.edu/radiation-oncology/residency/
83,VA,Charlottesville,,University of Virginia Medical Center Program,4305111104,Participating,https://med.virginia.edu/radiation-oncology/education-programs/medical-residency-program/
84,VA,Richmond,,Virginia Commonwealth University Health System Program,4305111106,Participating,https://radonc.vcu.edu/education/radiation-oncology-residency/
85,WA,Seattle,,University of Washington Program,4305421107,Participating,http://www.radonc.washington.edu/residents/
86,WI,Madison,,University of Wisconsin Hospitals and Clinics Program,4305621108,Participating,http://www.humonc.wisc.edu
87,WI,Milwaukee,,Medical College of Wisconsin Affiliated Hospitals Program,4305621109,Participating,http://www.mcw.edu
88,WV,Morgantown,,West Virginia University School of Medicine Program,4305500001,Participating,http://medicine.hsc.wvu.edu/radiation-oncology/radiation-oncology-residency-program/
