,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,Brookwood Baptist Health Program,4200121006,Participating,http://www.brookwoodbaptisthealth.com/residency
1,AL,Birmingham,,University of Alabama Medical Center Program,4200111007,Participating,https://www.uab.edu/medicine/radiology/education/residency/diag-residents
2,AL,Mobile,,USA Health Program,4200111008,Participating,https://www.southalabama.edu/colleges/com/departments/radiology/
3,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4200421012,Participating,http://www.uams.edu/radiology
4,AZ,Phoenix,,Creighton University School of Medicine (Phoenix) Program,4200312010,Participating,https://www.dignityhealth.org/arizona/locations/stjosephs/about-us/research-and-education/residency-programs/radiology
5,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,4200300935,Participating,http://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education
6,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4200321011,Participating,http://www.radiology.arizona.edu
7,CA,Hemet,,KPC Health Program,4200500915,Participating,
8,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,4200521015,Participating,http://www.lomalindaradiology.com
9,CA,Los Angeles,,Cedars-Sinai Medical Center Program,4200521018,Participating,http://www.cedars-sinai.edu/Education/Graduate-Medical-Education/Residency-Programs/Imaging-Residency-Program/index.aspx
10,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,4200512020,Participating,https://residency-scal-kaiserpermanente.org/residency/diagnosticimaging/
11,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4200511023,Participating,https://www.uclahealth.org/radiology/
12,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4200511021,Participating,
13,CA,Moreno Valley,,Riverside University Health System Program,4200500917,Participating,https://www.ruhealth.org/medical-center/medical-training/radiology-residency
14,CA,Orange,,University of California (Irvine) Program,4200521014,Participating,http://www.radiology.uci.edu/residency.asp
15,CA,RIVERSIDE,,Riverside Community Hospital/University of California Riverside School of Medicine Program,4200500916,Participating,http://gme.riversidecommunityhospital.com
16,CA,Sacramento,,University of California Davis Health Program,4200511013,Participating,https://health.ucdavis.edu/radiology/education/drrp.html
17,CA,San Diego,,University of California (San Diego) Medical Center Program,4200521027,Participating,https://medschool.ucsd.edu/som/radiology/education/residency/about/Pages/Four---Year-Diagnostic-Radiology-Residency.aspx
18,CA,San Francisco,,University of California (San Francisco) Program,4200521031,Participating,https://radiology.ucsf.edu/education/residency-programs
19,CA,San Jose,,Santa Clara Valley Medical Center Program,4200531032,Participating,https://www.scvmc.org
20,CA,Santa Barbara,,Santa Barbara Cottage Hospital Program,4200522033,Participating,http://www.cottagehealth.org
21,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,4200521034,Participating,http://xray.stanford.edu
22,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,4200511035,Participating,http://www.harbor-ucla.org/radiology
23,CO,Aurora,,University of Colorado Program,4200721038,Participating,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/Radiology/Pages/Radiology.aspx
24,CT,Bridgeport,,Bridgeport Hospital/Yale University Program,4200812039,Participating,https://www.bridgeporthospital.org/medical-professionals/gme/our-programs/residency-programs/diagnostic-radiology.aspx
25,CT,Bridgeport,,Quinnipiac University Frank H. Netter MD School of Medicine/St VIncent's Medical Center Program,4200811040,Participating,http://www.stvincents.org
26,CT,Farmington,,University of Connecticut Program,4200821225,Participating,http://gme.uchc.edu/programs/radiology/
