,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,Brookwood Baptist Health Program,4400121020,Participating,http://www.brookwoodbaptisthealth.com/residency
1,AL,Birmingham,,University of Alabama Medical Center Program,4400121022,Participating,http://www.uab.edu/surgery
2,AL,Mobile,,USA Health Program,4400111024,Participating,http://www.usahealthsystem.com/departmentofsurgery
3,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4400421029,Participating,http://surgery.uams.edu
4,AZ,Glendale,,Abrazo Health Network Program,4400300430,Participating,
5,AZ,Mesa,,Midwestern University GME Consortium / Mountain Vista Program,4400300428,Participating,https://www.mvmedicalcenter.org/
6,AZ,Phoenix,,Creighton University School of Medicine (Phoenix) Program,4400300431,Participating,http://alliance.creighton.edu/surgery-valleywise-health
7,AZ,Phoenix,,HonorHealth Program,4400300429,Participating,https://www.honorhealth.com
8,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,4400321402,Participating,https://college.mayo.edu/academics/residencies-and-fellowships/general-surgery-residency-arizona/
9,AZ,Phoenix,,University of Arizona College of Medicine-Phoenix Program,4400322026,Participating,http://phoenixmed.arizona.edu/surgery-residency
10,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4400321027,Participating,http://www.surgery.arizona.edu
11,CA,Colton,,Arrowhead Regional Medical Center/Kaiser Permanente (Fontana) Program,4400531425,Participating,http://armc-kaisergeneralsurgery.com/
12,CA,French Camp,,San Joaquin General Hospital Program,4400512055,Participating,https://www.gme.sanjoaquingeneral.org/surgery-home.html
13,CA,Fresno,,University of California (San Francisco)/Fresno Program,4400521032,Participating,http://www.fresno.ucsf.edu
14,CA,La Jolla,,University of California (San Diego) Medical Center Program,4400521048,Participating,
15,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,4400521034,Participating,https://www.llusurgery.org
16,CA,Los Angeles,,Cedars-Sinai Medical Center Program,4400511037,Participating,https://www.cedars-sinai.edu/Education/Graduate-Medical-Education/
17,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,4400512038,Participating,https://residency-scal-kaiserpermanente.org/residency/surgery/
18,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4400521042,Participating,http://www.surgery.ucla.edu
19,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4400511039,Participating,http://www.surgery.usc.edu/education/
20,CA,Moreno Valley,,Riverside University Health System/University of California Riverside Program,4400521427,Participating,http://www.ruhs-gensurgery.org/
21,CA,Oakland,,University of California San Francisco (East Bay) Program,4400521389,Participating,http://eastbayresidency.ucsf.edu
22,CA,Orange,,University of California (Irvine) Program,4400521033,Participating,http://www.surgery.uci.edu/
23,CA,Pasadena,,Huntington Memorial Hospital Program,4400511047,Participating,http://huntingtonhospital.org
24,CA,Riverside,,Riverside Community Hospital/University of California Riverside School of Medicine Program,4400500430,Participating,http://gme.riversidecommunityhospital.com/Residency-Programs/General-Surgery.aspx
25,CA,Roseville,,Sutter Health/Sutter Roseville Medical Center Program,4400500003,Participating,
26,CA,Sacramento,,University of California Davis Health Program,4400521031,Participating,http://www.ucdmc.ucdavis.edu/surgery
27,CA,San Francisco,,University of California (San Francisco) Program,4400521052,Participating,http://www.surgery.ucsf.edu/
28,CA,Santa Barbara,,Santa Barbara Cottage Hospital Program,4400512053,Participating,http://www.cottagehealthsystem.org/
29,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,4400521054,Participating,http://med.stanford.edu/gensurg/education/
30,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,4400521056,Participating,http://harboruclasurgery.com/
31,CA,Ventura,,Community Memorial Health System Program,4400500429,Participating,http://www.gme.cmhshealth.org
32,CA,Visalia,,Kaweah Delta Health Care District (KDHCD) Program,4400500428,Participating,https://www.kaweahdelta.org/GME-Residency-Programs/Surgery.aspx
33,CO,Aurora,,University of Colorado Program,4400721058,Participating,http://residency.cusurgery.com
34,CO,Denver,,Saint Joseph Hospital Program,4400722057,Participating,http://www.saintjosephdenver.org
35,CO,Englewood,,HCA HealthONE/Swedish Medical Center Program,4400700060,Participating,http://swedishhospital.com/for-professionals/general-surgery-residency
36,CO,Lakewood,,Kansas City University GME Consortium (KCU-GME Consortium)/St Anthony Program,4400700059,Participating,https://www.centura.org/Education-and-Training/Residencies-and-Internships/General-Surgery-Residency
37,CO,Lone Tree,,HCA HealthONE/Sky Ridge Medical Center Program,4400700061,Participating,https://skyridgemedcenter.com/for-professionals/gme/general-surgery-residency/
38,CT,Danbury,,Danbury Hospital Program,4400813428,Participating,https://learning.nuvancehealth.org/
39,CT,Farmington,,University of Connecticut Program,4400821390,Participating,https://health.uconn.edu/graduate-medical-education/general-surgery-residency-program/
40,CT,New Haven,,Yale-New Haven Medical Center Program,4400821064,Participating,
41,CT,Stamford,,Stamford Hospital/Columbia University College of Physicians and Surgeons Program,4400821364,Participating,http://www.stamfordhealth.org/Professionals/Residency/Surgery/default.aspx
42,CT,Waterbury,,Quinnipiac University Frank H Netter MD School of Medicine (Waterbury Hospital) Program,4400811066,Not Participating,
43,CT,Waterbury,,St Mary's Hospital (Waterbury) Program,4400831065,Participating,http://www.stmh.org
44,DC,Washington,,George Washington University Program,4401021069,Participating,http://www.gwsurgery.com
