,State,City,Blank,Program name,ID,Status,ERAS link
0,CA,Los Angeles,,Cedars-Sinai Medical Center Program,4610500106,Participating,https://www.cedars-sinai.org/education/graduate-medical/fellowship/cardiovascular-thoracic-surgery.html
1,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4610512074,Participating,https://keck.usc.edu/surgery/integrated-cardiothoracic-residency-program
2,CA,Sacramento,,University of California Davis Health Program,4610546105,Participating,http://www.ucdmc.ucdavis.edu/surgery/education/cardio.html
3,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,4610521016,Participating,http://ctsurgery.stanford.edu/
4,CT,New Haven,,Yale-New Haven Medical Center Program,4610800001,Not Participating,
5,FL,Gainesville,,University of Florida College of Medicine Program,4611100001,Participating,
6,GA,Atlanta,,Emory University School of Medicine Program,4611246103,Participating,http://www.surgery.emory.edu/specialties-and-programs/cardiothoracic-surgery/cardio-residency-fellowship.html
7,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,4611800001,Participating,https://gme.medicine.uiowa.edu/
8,IL,Chicago,,McGaw Medical Center of Northwestern University Program,4611621045,Participating,https://www.surgery.northwestern.edu/divisions/cardiac/index.html
9,IN,Indianapolis,,Indiana University School of Medicine Program,4611700111,Participating,http://www.surgery.medicine.iu.edu
10,KY,Lexington,,University of Kentucky College of Medicine Program,4612000109,Participating,http://surgery.med.uky.edu/surgery/sections/cardiothoracic
11,MA,Boston,,Brigham and Women's Hospital Program,4612400001,Participating,https://www.brighamandwomens.org/surgery/for-medical-professionals/cardiothoracic-surgery-residency
12,MD,Baltimore,,University of Maryland Program,4612311038,Participating,
13,MI,Ann Arbor,,University of Michigan Health System Program,4612500110,Participating,http://med.umich.edu/cardiac-surgery/
14,NC,Chapel Hill,,University of North Carolina Hospitals Program,4613611069,Participating,http://www.med.unc.edu/ct
15,NC,Durham,,Duke University Hospital Program,4613600107,Not Participating,
16,NY,Bronx,,Montefiore Medical Center/Albert Einstein College of Medicine Program,4613500105,Participating,
17,NY,New Hyde Park,,Zucker School of Medicine at Hofstra/Northwell Program,4613500103,Participating,https://professionals.northwell.edu/graduate-medical-education/residency-integrated-thoracic-surgery-nsuh-lij
18,NY,New York,,Icahn School of Medicine at Mount Sinai Program,4613511064,Not Participating,
19,NY,New York,,NYU Grossman School of Medicine Program,4613500104,Participating,https://med.nyu.edu/departments-institutes/cardiothoracic-surgery/education/residency-program
20,NY,New York,,New York Presbyterian Hospital (Columbia Campus) Program,4613521071,Participating,http://www.columbiasurgery.org
21,NY,Rochester,,University of Rochester Program,4613521075,Participating,https://www.urmc.rochester.edu/education/graduate-medical-education/prospective-residents.aspx
22,OH,Cincinnati,,University of Cincinnati Medical Center/College of Medicine Program,4613800107,Participating,http://surgery.uc.edu/
23,OH,Cleveland,,Cleveland Clinic Foundation Program,4613800108,Participating,http://my.clevelandclinic.org/services/heart/medical-professionals/fellowship-residency-special/thoracic-cardiovascular-surgery
24,OH,Columbus,,Ohio State University Hospital Program,4613800109,Participating,https://medicine.osu.edu/departments/surgery/cardiac/education
25,PA,Philadelphia,,University of Pennsylvania Health System Program,4614121082,Participating,http://www.uphs.upenn.edu/surgery/clin/ct/cardiothoracic_program.html
26,PA,Pittsburgh,,UPMC Medical Education Program,4614146104,Participating,http://www.ctsurgery.pitt.edu
27,SC,Charleston,,Medical University of South Carolina Program,4614521087,Participating,http://academicdepartments.musc.edu/surgery/
28,TX,Houston,,Baylor College of Medicine Program,4614800095,Participating,https://www.bcm.edu/departments/surgery/education/training-programs/thoracic-surgery-residency
29,TX,San Antonio,,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,4614821094,Participating,http://www.utcardiothoracicsurgery.com/education
30,UT,Salt Lake City,,University of Utah Health Program,4614900001,Participating,
31,VA,Charlottesville,,University of Virginia Medical Center Program,4615113076,Participating,http://thoracic.surgery.virginia.edu/
32,WA,Seattle,,University of Washington Program,4615413072,Participating,https://uwsurgery.org/introduction-to-surgical-education3/cardiothoracic-surgery-integrated/
