,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,Brookwood Baptist Health Program,9990100001,Participating,http://www.brookwoodbaptisthealth.com/residency
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,9990400008,Participating,https://transitionalyear.uams.edu/
2,AR,North Little Rock,,Baptist Health - UAMS Program,9990400001,Participating,http://baptisthealth-uams-gme.org/
3,AR,Searcy,,Unity Health-White County Medical Center Program,9990400009,Participating,https://www.unity-health.org/
4,AZ,Goodyear,,Abrazo Health Network Program,9990300227,Participating,
5,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,9990300226,Not Participating,
6,AZ,Tucson,,Tucson Hospitals Medical Education Program,9990300006,Participating,http://www.thmep.com
7,CA,Fresno,,St. Agnes Medical Center (Fresno) Program,9990500252,Participating,https://www.samc.com/graduate-medical-education/programs/transitional-year/
8,CA,Hemet,,KPC Health Program,9990500246,Participating,http://kpcgme.com
9,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,9990500245,Participating,http://llutransitionalyear.com/
10,CA,Riverside,,Riverside Community Hospital/University of California Riverside School of Medicine Program,9990500248,Participating,http://gme.riversidecommunityhospital.com/Residency-Programs/Transitional-Year.aspx
11,CA,San Diego,,Scripps Mercy Hospital Program,9990500010,Participating,http://www.scripps.org/MercyTY
12,CA,San Jose,,Santa Clara Valley Medical Center Program,9990500013,Participating,https://www.scvmc.org/education-and-training/programs/Pages/Programs.aspx
13,CA,Stockton,,St Joseph's Medical Center Program,9990500250,Participating,https://www.dignityhealth.org/central-california/locations/stjosephs-stockton/for-physicians/residency-programs/transitional-yea
14,CA,Temecula,,UHS Southern California Medical Education Consortium Program,9990500251,Participating,
15,CA,Visalia,,Kaweah Delta Health Care District (KDHCD) Program,9990500244,Participating,http://www.kaweahdelta.org/gme/default.aspx
16,CO,Lone Tree,,HCA HealthONE Program/Sky Ridge Medical Center,9990700018,Participating,https://skyridgemedcenter.secure.ehc.com/for-professionals/gme/transitional-year-residency/
17,CT,Manchester,,Eastern Connecticut Health Network Program,9990800238,Participating,
18,DE,Newark,,Christiana Care Health Services Program,9990900021,Not Participating,
19,FL,Aventura,,HCA Healthcare: East Florida Division GME: Aventura Hospital and Medical Center Program,9991100229,Participating,
20,FL,Bradenton,,HCA Healthcare/USF Morsani College of Medicine GME: Blake Medical Center Program,9991100234,Participating,http://blakemedicalcenter.com/professionals/graduate-medical-education/
21,FL,Brandon,,HCA Healthcare/USF Morsani College of Medicine GME: Brandon Regional Hospital Program,9991100237,Participating,https://brandonhospital.com/gme/residencies/transitional-year/
22,FL,Brooksville,,HCA Healthcare/USF Morsani College of Medicine GME: Oak Hill Hospital Program,9991100231,Participating,http://oakhillhospital.com/graduate-medical-education/transitional-year/
23,FL,Fort Lauderdale,,Broward Health Program,9991100232,Participating,
24,FL,Fort Lauderdale,,University of Miami Hospital and Clinics/Holy Cross Hospital Program,9991100241,Participating,http://gme.med.miami.edu/holycross
25,FL,Gainesville,,University of Central Florida/HCA Healthcare GME (Gainesville) Program,9991100242,Participating,https://northfloridagme.com/transitional-year/index.dot
26,FL,Hudson,,HCA Healthcare/USF Morsani College of Medicine GME: Regional Medical Center Bayonet Point Program,9991100238,Participating,https://bayonetpointhospital.com/gme/residencies/transitional-year/
27,FL,Largo,,HCA Healthcare/USF Morsani College of Medicine GME: Largo Medical Center Program,9991100245,Participating,https://largomedical.com/gme/internships/
28,FL,Miami,,HCA Healthcare: East Florida Division GME: Kendall Regional Medical Center Program,9991100235,Participating,https://kendallmed.com/gme/residencies/transitional-year/
29,FL,Naples,,NCH Healthcare System Program,9991100244,Participating,https://www.nchmd.org/transitional-year-program/home
30,FL,Ocala,,University of Central Florida/HCA Healthcare GME (Ocala) Program,9991100239,Participating,https://ocalahealthsystem.com/gme/transitional-year/
31,FL,Orange Park,,HCA Healthcare/Mercer University School of Medicine/Orange Park Medical Center Program,9991100230,Not Participating,
32,FL,Orlando,,University of Central Florida/HCA Healthcare GME (Greater Orlando) Program,9991100233,Participating,https://osceolaregional.com/gme/transitional-year/
33,FL,St. Petersburg,,HCA Healthcare/USF Morsani College of Medicine GME: St. Petersburg General Hospital Program,9991100243,Participating,https://stpetegeneral.com/gme/transitional-year-internship/
34,FL,Trinity,,HCA Healthcare/USF Morsani College of Medicine GME Programs Program,9991100001,Participating,https://www.medicalcentertrinity.com/GME
35,GA,Athens,,Piedmont Athens Regional Program,9991200237,Participating,https://gme.athenshealth.org/
36,GA,Atlanta,,Emory University School of Medicine Program,9991200026,Participating,http://medicine.emory.edu/education/transitional-year-program/index.html
