,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,4800111014,Participating,http://www.uab.edu/medicine/urology/
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4800421016,Participating,http://urology.uams.edu/
2,AZ,Phoenix,,Mayo Clinic College of Medicine and Science (Arizona) Program,4800312182,Participating,http://www.mayo.edu/msgme/urology-sct.html
3,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4800321015,Participating,http://www.Urology.arizona.edu
4,CA,Loma Linda,,Loma Linda University Health Education Consortium Program,4800521019,Participating,http://lomalindahealth.org/medical-center/our-services/urology/residency/welcome/index.page
5,CA,Los Angeles,,Cedars-Sinai Medical Center Program,4800531189,Participating,https://www.cedars-sinai.edu/Education/Graduate-Medical-Education/Residency-Programs/Urology/
6,CA,Los Angeles,,Kaiser Permanente Southern California (Los Angeles) Program,4800512020,Participating,https://residency-scal-kaiserpermanente.org/residency/urology/
7,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4800521022,Participating,https://www.uclahealth.org/urology/residency-programs
8,CA,Los Angeles,,University of Southern California/LAC+USC Medical Center Program,4800521021,Participating,https://keck.usc.edu/urology/training-education/residency-program/
9,CA,Orange,,University of California (Irvine) Program,4800521018,Participating,http://www.ucihs.uci.edu/urology
10,CA,Palo Alto,,Stanford Health Care-Sponsored Stanford University Program,4800531026,Participating,http://urology.stanford.edu
11,CA,Sacramento,,University of California Davis Health Program,4800521017,Participating,http://urology.ucdmc.ucdavis.edu
12,CA,San Diego,,University of California (San Diego) Medical Center Program,4800521024,Participating,https://urology.ucsd.edu
13,CA,San Francisco,,University of California (San Francisco) Program,4800521025,Participating,http://urology.ucsf.edu/
14,CO,Aurora,,University of Colorado Program,4800721027,Participating,http://www.urology.cusurgery.com
15,CT,Farmington,,University of Connecticut Program,4800821028,Participating,http://gme.uchc.edu/programs/urology/
16,CT,New Haven,,Yale-New Haven Medical Center Program,4800811029,Participating,http://urology.med.yale.edu
