,State,City,Blank,Program name,ID,Status,ERAS link
0,AL,Birmingham,,University of Alabama Medical Center Program,4510121003,Participating,http://www.uab.edu/medicine/surgery/vascular-endovascular
1,AR,Little Rock,,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4510421055,Participating,http://www.vascular.uams.edu
2,AZ,Tucson,,University of Arizona College of Medicine-Tucson Program,4510321032,Participating,http://surgery.arizona.edu/education/residency-programs/vascular-surgery/message
3,CA,La Jolla,,University of California (San Diego) Medical Center Program,4510500119,Participating,
4,CA,Los Angeles,,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4510500116,Not Participating,
5,CA,Los Angeles,,USC/LAC+USC Medical Center Program,4510512011,Participating,http://www.uscvascular.org
6,CA,Sacramento,,University of California Davis Health Program,4510500115,Participating,https://health.ucdavis.edu/surgery/education/vascular_surgery_residency.html
7,CA,San Francisco,,University of California (San Francisco) School of Medicine Program,4510500117,Not Participating,
8,CA,Stanford,,Stanford Health Care-Sponsored Stanford University Program,4510521021,Participating,http://vascular.stanford.edu/
9,CA,Torrance,,Los Angeles County-Harbor-UCLA Medical Center Program,4510500118,Not Participating,
10,CO,Aurora,,University of Colorado School of Medicine Program,4510700001,Not Participating,
11,CT,New Haven,,Yale-New Haven Medical Center Program,4510821084,Not Participating,
12,DC,Washington,,MedStar Health/Georgetown-Washington Hospital Center Program,4511021008,Participating,https://www.medstarhealth.org/VascularGME
13,FL,Miami,,University of Miami/Jackson Health System Program,4511100032,Participating,https://graduate.jacksonhealth.org/program/surgery-vascular-surgery-integrated/
14,FL,Tampa,,University of South Florida Morsani Program,4511121031,Participating,https://health.usf.edu/medicine/surgery/vascular/education
15,GA,Atlanta,,Emory University School of Medicine Program,4511200002,Participating,http://www.surgery.emory.edu/training/vascular-surgery-residency-fellowship/index.html
16,IA,Iowa City,,University of Iowa Hospitals and Clinics Program,4511800001,Participating,http://www.uihealthcare.org/GME/ResProgHome.aspx?Pageid=241427&taxid=227678
17,IL,Chicago,,McGaw Medical Center of Northwestern University Program,4511621001,Participating,https://www.surgery.northwestern.edu/divisions/vascular/
18,IL,Maywood,,Loyola University Medical Center Program,4511600001,Participating,https://loyolamedicine.org/gme/vascular-surgery-endovascular-fellowship
19,IL,Springfield,,Southern Illinois University Program,4511621034,Participating,http://www.siumed.edu/vascular
20,IL,Urbana,,Carle Foundation Hospital Program,4511600568,Participating,https://carle.org/for-providers/residencies/vascular-surgery-residency
21,IN,Indianapolis,,Indiana University School of Medicine Program,4511731095,Participating,https://medicine.iu.edu/departments/surgery/education-programs/residency/vascular-surgery/
22,LA,New Orleans,,Louisiana State University School of Medicine Program,4512100117,Participating,
23,MA,Boston,,Beth Israel Deaconess Medical Center Program,4512400015,Participating,https://www.bidmc.org/medical-education/medical-education-by-department/surgery/surgery-training-programs/vascular-and-endovascu
24,MA,Boston,,Massachusetts General Hospital Program,4512400014,Participating,http://www.massgeneral.org/vascularsurgery/
25,MA,Worcester,,University of Massachusetts Program,4512421013,Participating,https://www.umassmed.edu/surgery/divisions-and-programs/vascular-surgery/residency/
26,ME,Portland,,Maine Medical Center Program,4512200002,Participating,http://www.mmc.org/vascularresidency
27,MI,Ann Arbor,,University of Michigan Health System Program,4512521035,Participating,http://surgery.med.umich.edu/portal/education/
28,MI,Grand Rapids,,Spectrum Health/Michigan State University Program,4512531015,Participating,https://www.spectrumhealth.org/medicaleducation/residencies/vascular-surgery
29,MN,Minneapolis,,University of Minnesota Medical School Program,4512600062,Participating,https://www.surgery.umn.edu/education-training/residencies/integrated-vascular-surgery-residency-program
30,MN,Rochester,,Mayo Clinic College of Medicine and Science (Rochester) Program,4512612061,Participating,http://www.mayo.edu/msgme/residencies-fellowships/surgery-specialties/vascular-surgery-integrated-residency-minnesota
31,MO,St. Louis,,St Louis University School of Medicine Program,4512800113,Participating,https://www.slu.edu/medicine/surgery/vascular-surgery/index.php
32,MO,St. Louis,,Washington University/B-JH/SLCH Consortium Program,4512800112,Participating,http://www.vascularsurg.wustl.edu/Index.asp
33,NC,Chapel Hill,,University of North Carolina Hospitals Program,4513621007,Participating,https://www.med.unc.edu/surgery/vasc
34,NC,Durham,,Duke University Hospital Program,4513600008,Not Participating,
35,NH,Lebanon,,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,4513221059,Participating,https://gme.dartmouth-hitchcock.org/vascular_residency/program-introduction.html
36,NJ,Camden,,Cooper Hospital-University Medical Center Program,4513300126,Participating,http://www.cooperhealth.edu/residencies/vascular-and-endovascular-surgery
37,NJ,New Brunswick,,Rutgers Health/Robert Wood Johnson Medical School Program,4513300125,Participating,http://rwjsurgery.rwjms.rutgers.edu
38,NY,Albany,,Albany Medical Center Program,4513500122,Participating,https://www.amc.edu/academic/GMENew/Vascular_Surgery_Residency/index.cfm
39,NY,Bronx,,Montefiore Medical Center/Albert Einstein College of Medicine Program,4513500114,Participating,https://www.montefiore.org/vascular-and-endovascular-surgery-residency-fellowship
40,NY,Buffalo,,University at Buffalo Program,4513513004,Participating,http://medicine.buffalo.edu/departments/surgery/education/vascular-surgery.html
41,NY,New Hyde Park,,Zucker School of Medicine at Hofstra/Northwell Program,4513500123,Participating,https://professionals.northwell.edu/graduate-medical-education
42,NY,New York,,Icahn School of Medicine at Mount Sinai Program,4513521038,Participating,http://icahn.mssm.edu/education/residencies-fellowships/list/msh-vascular-surgery-residency
43,NY,New York,,NYU Grossman School of Medicine Program,4513500121,Participating,http://www.med.nyu.edu/fgpvascular
44,NY,New York,,Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,4513512002,Participating,https://tinyurl.com/yyzdwres
45,NY,Rochester,,University of Rochester Program,4513521006,Participating,https://www.urmc.rochester.edu/education/graduate-medical-education/prospective-residents/vascular-surgery.aspx
46,NY,Stony Brook,,Stony Brook Medicine/University Hospital Program,4513521051,Participating,https://medicine.stonybrookmedicine.edu/surgery/education/postgraduate/residency/vascular-surgery
47,OH,Cincinnati,,TriHealth (Good Samaritan Hospital) Program,4513831043,Participating,http://www.trihealth.com/discover-trihealth/education/good-samaritan-hospital-department-of-surgery/general-surgery-residency
48,OH,Cincinnati,,University of Cincinnati Medical Center/College of Medicine Program,4513831078,Participating,http://surgery.uc.edu/content/Education/fellowship%20vascular%20.html
49,OH,Cleveland,,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,4513800122,Participating,https://www.uhhospitals.org/medical-education/vascular-surgery-medical-education/vascular-surgery-integrated-residency-program
50,OH,Cleveland,,Cleveland Clinic Foundation Program,4513822046,Participating,http://www.clevelandclinic.org
51,OH,Columbus,,Ohio State University Hospital Program,4513800123,Participating,https://wexnermedical.osu.edu/departments/surgery/vascular
