"","Facility ID","Facility Name","longitude","latitude"
"1","010001","SOUTHEAST HEALTH MEDICAL CENTER",-85.359969,31.218982
"2","010005","MARSHALL MEDICAL CENTERS",-86.160903,34.22144
"3","010006","NORTH ALABAMA MEDICAL CENTER",-87.650739,34.805127
"4","010007","MIZELL MEMORIAL HOSPITAL",-86.254385,31.29199
"5","010008","CRENSHAW COMMUNITY HOSPITAL",-86.265094,31.693353
"6","010011","ST. VINCENT'S EAST",-86.66764,33.595747
"7","010012","DEKALB REGIONAL MEDICAL CENTER",-85.75,34.44
"8","010016","SHELBY BAPTIST MEDICAL CENTER",-86.813487,33.25215
"9","010018","CALLAHAN EYE HOSPITAL",-86.802718,33.503752
"10","010019","HELEN KELLER HOSPITAL",-87.703827,34.752168
"11","010021","DALE MEDICAL CENTER",-85.632075,31.451328
"12","010022","CHEROKEE MEDICAL CENTER",-85.64793,34.16276
"13","010023","BAPTIST MEDICAL CENTER SOUTH",-86.277413,32.32776
"14","010024","JACKSON HOSPITAL & CLINIC INC",-86.285024,32.367008
"15","010029","EAST ALABAMA MEDICAL CENTER AND SNF",-85.403409,32.640368
"16","010033","UNIVERSITY OF ALABAMA HOSPITAL",-86.9292,33.54462
"17","010034","COMMUNITY HOSPITAL INC",-85.912341,32.534153
"18","010035","CULLMAN REGIONAL MEDICAL CENTER",-86.805222,34.201164
"19","010036","ANDALUSIA HEALTH",-86.492799,31.295354
"20","010038","STRINGFELLOW MEMORIAL HOSPITAL",-85.82468,33.66774
"21","010039","HUNTSVILLE HOSPITAL",-86.581804,34.721053
"22","010040","GADSDEN REGIONAL MEDICAL CENTER",-85.96587,34.00779
"23","010044","MARION REGIONAL MEDICAL CENTER",-87.990917,34.125995
"24","010045","FAYETTE MEDICAL CENTER",-87.82444,33.70681
"25","010046","RIVERVIEW REGIONAL MEDICAL CENTER",-86.004519,34.003112
"26","010049","MEDICAL CENTER ENTERPRISE",-85.854681,31.318
"27","010051","GREENE COUNTY HOSPITAL",-87.88951,32.84338
"28","010052","LAKE MARTIN COMMUNITY HOSPITAL",-85.74135,32.81595
"29","010055","FLOWERS HOSPITAL",-85.503882,31.239973
"30","010056","ST VINCENT'S BIRMINGHAM",-86.789041,33.507651
"31","010058","BIBB MEDICAL CENTER",-87.1469,32.95136
"32","010059","LAWRENCE MEDICAL CENTER",-87.28591,34.48365
"33","010061","HIGHLANDS MEDICAL CENTER",-86.047411,34.662195
"34","010062","WIREGRASS MEDICAL CENTER",-85.891281,31.049025
"35","010065","RUSSELL MEDICAL CENTER",-85.96023,32.92318
"36","010069","MEDICAL CENTER BARBOUR",-85.156179,31.88871
"37","010073","CLAY COUNTY HOSPITAL",-85.84706,33.24373
"38","010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER",-85.823594,33.656135
"39","010079","ATHENS LIMESTONE HOSPITAL",-86.978996,34.804291
"40","010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER",-87.683861,30.427003
"41","010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS",-86.971894,34.590639
"42","010086","NORTHWEST MEDICAL CENTER",-87.82474,33.93095
"43","010087","USA HEALTH UNIVERSITY HOSPITAL",-88.098787,30.706587
"44","010089","WALKER BAPTIST MEDICAL CENTER",-87.236138,33.844378
"45","010090","PROVIDENCE HOSPITAL",-88.19919,30.6821
"46","010091","GROVE HILL MEMORIAL HOSPITAL",-87.77728,31.695
"47","010092","DCH REGIONAL MEDICAL CENTER",-87.529049,33.204814
"48","010095","HALE COUNTY HOSPITAL",-87.58589,32.69612
"49","010097","ELMORE COMMUNITY HOSPITAL",-86.186569,32.552215
"50","010099","D W MCMILLAN MEMORIAL HOSPITAL",-87.07246,31.1271
"51","010100","THOMAS HOSPITAL",-87.88839,30.51989
"52","010101","CITIZENS BAPTIST MEDICAL CENTER",-86.08993,33.43986
"53","010102","J PAUL JONES HOSPITAL",-87.29952,31.99742
"54","010103","PRINCETON BAPTIST MEDICAL CENTER",-86.84633,33.49854
"55","010104","GRANDVIEW MEDICAL CENTER",-86.718215,33.433283
"56","010108","PRATTVILLE BAPTIST HOSPITAL",-86.451782,32.464171
"57","010110","BULLOCK COUNTY HOSPITAL",-85.72045,32.14627
"58","010112","WHITFIELD REGIONAL HOSPITAL",-87.83746,32.50379
"59","010113","MOBILE INFIRMARY MEDICAL CENTER",-88.080267,30.696725
"60","010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",-86.99567,33.36932
"61","010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",-87.055881,32.429507
"62","010120","MONROE COUNTY HOSPITAL",-87.31925,31.49892
"63","010125","LAKELAND COMMUNITY HOSPITAL",-87.59073,34.24179
"64","010126","TROY REGIONAL MEDICAL CENTER",-85.945569,31.781504
"65","010128","JACKSON MEDICAL CENTER",-87.895717,31.531713
"66","010129","NORTH BALDWIN INFIRMARY",-87.785389,30.905562
"67","010130","ST VINCENT'S ST CLAIR",-86.301422,33.604528
"68","010131","CRESTWOOD MEDICAL CENTER",-86.6,34.74
"69","010138","HILL HOSPITAL OF SUMTER COUNTY",-88.2974,32.49247
"70","010139","BROOKWOOD BAPTIST MEDICAL CENTER",-86.77719,33.46362
"71","010144","SPRINGHILL MEDICAL CENTER",-88.131458,30.684432
"72","010148","EVERGREEN MEDICAL CENTER",-86.94489,31.42851
"73","010149","BAPTIST MEDICAL CENTER EAST",-86.174664,32.376213
"74","010150","THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL",-86.646697,31.829391
"75","010157","SHOALS HOSPITAL",-87.676066,34.747037
"76","010158","RUSSELLVILLE HOSPITAL",-87.7232,34.51032
"77","010164","COOSA VALLEY MEDICAL CENTER",-86.253802,33.165474
"78","010168","JACK HUGHSTON MEMORIAL HOSPITAL",-85.00867,32.50808
"79","010169","ATMORE COMMUNITY HOSPITAL",-87.478301,31.01692
"80","010173","ST VINCENT'S CHILTON",-86.62176,32.86993
"81","010174","THOMASVILLE REGIONAL MEDICAL CENTER",-87.73701,31.86996
"82","011300","WASHINGTON COUNTY HOSPITAL",-88.23473,31.45998
"83","011302","RED BAY HOSPITAL",-88.14759,34.45749
"84","011304","CHOCTAW GENERAL HOSPITAL",-88.22677,32.09404
"85","011305","ST VINCENTS BLOUNT",-86.494157,33.929957
"86","011306","TANNER MEDICAL CENTER-EAST ALABAMA",-85.48745,33.31679
"87","013300","THE CHILDREN'S HOSPITAL OF ALABAMA",-86.805242,33.504075
"88","013301","USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL",-88.07708,30.699038
"89","014000","HILL CREST BEHAVIORAL HEALTH SERVICES",-86.730098,33.548757
"90","014006","MOUNTAIN VIEW HOSPITAL",-85.99315,34.091969
"91","014007","BRYCE HOSPITAL",-87.53386,33.20743
"92","014012","MARY S HARPER GERIATRIC PSYCHIATRY CENTER",-87.537352,33.208057
"93","014013","LAUREL OAKS BEHAVIORAL HEALTH CENTER",-85.38462,31.203702
"94","014014","BAYPOINTE BEHAVIORAL HEALTH",-88.177874,30.624781
"95","014015","BEACON CHILDREN'S HOSPITAL",-86.266114,31.692607
"96","014016","SANCTUARY AT THE WOODLANDS, THE",-86.84556,34.14794
"97","014017","EASTPOINTE HOSPITAL",-87.89817,30.6354
"98","014018","UNITY PSYCHIATRIC CARE - HUNTSVILLE",-86.665243,34.753349
"99","020001","PROVIDENCE ALASKA MEDICAL CENTER",-149.819119,61.187643
"100","020006","MAT-SU REGIONAL MEDICAL CENTER",-149.26047,61.562843
"101","020008","BARTLETT REGIONAL HOSPITAL",-134.47019,58.32994
"102","020012","FAIRBANKS MEMORIAL HOSPITAL",-147.738536,64.83144
"103","020017","ALASKA REGIONAL HOSPITAL",-149.828647,61.210734
"104","020018","YUKON KUSKOKWIM DELTA REG HOSPITAL",-161.80185,60.7848416
"105","020024","CENTRAL PENINSULA GENERAL HOSPITAL",-151.07679,60.493309
"106","020026","ALASKA NATIVE MEDICAL CENTER",-149.800205,61.182008
"107","02013F","673rd Medical Group (Joint Base Elmendorf-Richardson)",-149.7486481,61.2373577
"108","02014F","Bassett ACH (FT Wainwright)",-147.6430812,64.8277595
"109","021301","PROVIDENCE VALDEZ MEDICAL CENTER",-146.35,61.13
"110","021302","PROVIDENCE SEWARD HOSPITAL",-149.446376,60.105337
"111","021304","PETERSBURG MEDICAL CENTER",-132.934169,56.80383
"112","021305","SEARHC WRANGELL MEDICAL CENTER-CAH",-132.38707,56.47183
"113","021306","PROVIDENCE KODIAK ISLAND MEDICAL CTR",-152.374434,57.801333
"114","021307","CORDOVA COMMUNITY MEDICAL CENTER",-145.751588,60.541585
"115","021308","NORTON SOUND REGIONAL HOSPITAL",-165.41115,64.49805
"116","021309","BRISTOL BAY AREA HEALTH CORPORATION",-70.4943556,41.7678848
"117","021310","MANIILAQ HEALTH CENTER",-162.6020273,66.8962666
"118","021311","PEACEHEALTH KETCHIKAN MEDICAL CENTER",-131.6879,55.35366
"119","021312","SAMUEL SIMMONDS MEMORIAL HOSPITAL",-156.730004,71.297577
"120","021313","SOUTH PENINSULA HOSPITAL",-151.55009,59.65264
"121","021314","MT EDGECUMBE HOSPITAL",-135.355763,57.050588
"122","024001","NORTH STAR HOSPITAL",-149.83355,61.207923
"123","024002","ALASKA PSYCHIATRIC INSTITUTE",-149.829511,61.185528
"124","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",-112.058803,33.464312
"125","030006","TUCSON MEDICAL CENTER",-110.878178,32.252812
"126","030007","VERDE VALLEY MEDICAL CENTER",-112.029556,34.735167
"127","030010","ST. MARY'S HOSPITAL",-111.000081,32.228203
"128","030011","ST JOSEPH'S HOSPITAL",-110.85566,32.227214
"129","030012","YAVAPAI REGIONAL MEDICAL CENTER",-112.4819,34.558994
"130","030013","YUMA REGIONAL MEDICAL CENTER",-114.635383,32.68215
"131","030014","JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL",-112.070614,33.569424
"132","030016","BANNER CASA GRANDE MEDICAL CENTER",-111.709596,32.881365
"133","030022","VALLEYWISE HEALTH MEDICAL CENTER",-112.026249,33.457564
"134","030023","FLAGSTAFF MEDICAL CENTER",-111.645099,35.20859
"135","030024","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",-112.080558,33.482124
"136","030030","ABRAZO CENTRAL CAMPUS",-112.101927,33.525118
"137","030036","CHANDLER REGIONAL MEDICAL CENTER",-111.874613,33.297497
"138","030037","ST LUKE'S MEDICAL CENTER",-112.098386,33.451659
"139","030038","HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",-111.922927,33.488487
"140","030043","CANYON VISTA MEDICAL CENTER",-110.21619,31.55341
"141","030055","KINGMAN REGIONAL MEDICAL CENTER",-114.038007,35.220003
"142","030061","BANNER BOSWELL MEDICAL CENTER",-112.28357,33.603943
"143","030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",-110.01916,34.202
"144","030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",-110.947242,32.241835
"145","030065","BANNER DESERT MEDICAL CENTER",-111.877224,33.390845
"146","030068","MT. GRAHAM REGIONAL MEDICAL CENTER",-109.735049,32.822634
"147","030069","HAVASU REGIONAL MEDICAL CENTER",-114.339053,34.480221
"148","030071","FORT DEFIANCE INDIAN HOSPITAL",-84.3593252,41.28772715
"149","030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION",-111.22,36.13
"150","030074","SELLS HOSPITAL",-111.88,31.92
"151","030077","SAN CARLOS APACHE HEALTHCARE CORP",-110.45537,33.30155
"152","030078","PHOENIX INDIAN MEDICAL CENTER",-112.047727,33.408051
"153","030083","ABRAZO SCOTTSDALE CAMPUS",-111.998137,33.639203
"154","030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY",-109.58,36.16
"155","030085","NORTHWEST MEDICAL CENTER",-111.00987,32.320168
"156","030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER",-111.88528,33.58102
"157","030088","BANNER BAYWOOD MEDICAL CENTER",-111.690966,33.411543
"158","030089","BANNER THUNDERBIRD MEDICAL CENTER",-112.179633,33.609244
"159","030092","HONORHEALTH DEER VALLEY MEDICAL CENTER",-112.115954,33.665902
"160","030093","BANNER DEL E. WEBB MEDICAL CENTER",-112.373003,33.659782
"161","030094","ABRAZO ARROWHEAD HOSPITAL",-112.201726,33.655141
"162","030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER",-114.55524,35.110924
"163","030103","MAYO CLINIC HOSPITAL",-111.95775,33.661492
"164","030105","BANNER HEART HOSPITAL",-111.68917,33.411283
"165","030107","ARIZONA SPINE AND JOINT HOSPITAL",-111.734702,33.380015
"166","030108","CORE INSTITUTE SPECIALTY HOSPITAL, THE",-112.098978,33.532201
"167","030110","ABRAZO WEST CAMPUS",-112.35294,33.462082
"168","030111","BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS",-110.930713,32.175942
"169","030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL",-111.891199,33.333929
"170","030113","WHITERIVER PHS INDIAN HOSPITAL",-109.99373,33.80207
"171","030114","ORO VALLEY HOSPITAL",-110.94935,32.428472
"172","030115","BANNER ESTRELLA MEDICAL CENTER",-112.257447,33.47818
"173","030117","VALLEY VIEW MEDICAL CENTER",-114.595885,35.002657
"174","030119","MERCY GILBERT MEDICAL CENTER",-111.751389,33.287856
"175","030121","MOUNTAIN VISTA MEDICAL CENTER, LP",-111.61199,33.391789
"176","030122","BANNER GATEWAY MEDICAL CENTER",-111.72129,33.38217
"177","030123","SCOTTSDALE THOMPSON PEAK MEDICAL CENTER",-111.922606,33.670471
"178","030130","BANNER IRONWOOD MEDICAL CENTER",-111.565531,33.214593
"179","030131","O.A.S.I.S. HOSPITAL",-111.998993,33.456898
"180","030134","BANNER GOLDFIELD MEDICAL CENTER",-111.567164,33.394229
"181","030136","DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL",-112.166999,33.380767
"182","030137","SANTA CRUZ VALLEY REGIONAL HOSPITAL",-111.009835,31.806769
"183","030138","WESTERN REGIONAL MEDICAL CENTER",-112.364475,33.453989
"184","030139","DIGNITY HEALTH ARIZONA GENERAL HOSPITAL",-111.637184,33.350448
"185","030140","SKI AMBULATORY SURGICAL CENTER LLC",-111.937898,33.421986
"186","031300","WICKENBURG COMMUNITY HOSPITAL",-112.740255,33.977481
"187","031301","BENSON HOSPITAL",-110.308495,31.964944
"188","031302","NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",-109.838346,32.265152
"189","031304","PAGE HOSPITAL",-111.463342,36.917668
"190","031305","HOPI HEALTH CARE CENTER",-110.3450088,35.8406185
"191","031307","PARKER INDIAN HEALTH CENTER",-114.297334,34.146722
"192","031308","HUHU KAM MEMORIAL HOSPITAL",-111.73401,33.07673
"193","031309","SAGE MEMORIAL HOSPITAL",-109.63,35.75
"194","031311","LITTLE COLORADO MEDICAL CENTER",-110.69181,35.03501
"195","031312","COPPER QUEEN COMMUNITY HOSPITAL",-109.883073,31.417809
"196","031313","HOLY CROSS HOSPITAL",-110.960867,31.340532
"197","031314","COBRE VALLEY REGIONAL MEDICAL CENTER",-110.82681,33.406063
"198","031315","WHITE MOUNTAIN REGIONAL MEDICAL CENTER",-109.285354,34.131304
"199","031317","LA PAZ REGIONAL HOSPITAL",-114.284794,34.135637
"200","031318","BANNER PAYSON MEDICAL CENTER",-111.321705,34.230446
"201","033302","PHOENIX CHILDREN'S HOSPITAL",-112.040432,33.478894
"202","034004","BANNER BEHAVIORAL HEALTH HOSPITAL",-111.918122,33.483255
"203","034013","ST. LUKE'S BEHAVIORAL HOSPITAL, LP",-112.098386,33.451659
"204","034020","HAVEN BEHAVIORAL HOSPITAL OF PHOENIX",-112.081503,33.435299
"205","034021","ARIZONA STATE HOSPITAL",-112.025897,33.452592
"206","034022","SONORA BEHAVIORAL HEALTH HOSPITAL",-111.007288,32.31649
"207","034023","GUIDANCE CENTER, THE",-111.60753,35.205813
"208","034024","AURORA BEHAVIORAL HEALTH SYSTEM",-112.189321,33.581112
"209","034025","WINDHAVEN PSYCHIATRIC HOSPITAL",-112.326105,34.591207
"210","034026","VALLEY HOSPITAL",-112.005551,33.482906
"211","034027","CHANGEPOINT PSYCHIATRIC HOSPITAL",-109.975465,34.165079
"212","034028","AURORA BEHAVIORAL HEALTHCARE-TEMPE",-111.939247,33.364492
"213","034029","OASIS BEHAVIORAL HEALTH HOSPITAL",-111.847456,33.339983
"214","034030","PALO VERDE BEHAVIORAL HEALTH",-110.876391,32.256014
"215","034031","QUAIL RUN BEHAVIORAL HEALTH",-112.113824,33.677528
"216","034032","COPPER SPRINGS HOSPITAL, LLC",-112.287717,33.465399
"217","034033","CORNERSTONE BEHAVIORAL HEALTH EL DORADO",-110.855282,32.239993
"218","034034","DESTINY SPRINGS HEALTHCARE",-112.34354,33.641289
"219","034035","AVENIR BEHAVIORAL HEALTH CENTER",-112.381094,33.634445
"220","040001","SILOAM SPRINGS REGIONAL HOSPITAL",-94.507593,36.189996
"221","040002","JOHNSON REGIONAL MEDICAL CENTER",-93.44415,35.46428
"222","040004","WASHINGTON REGIONAL MEDICAL CENTER",-94.16074,36.10958
"223","040007","CHI-ST VINCENT INFIRMARY",-92.3382277,34.74957565
"224","040010","MERCY HOSPITAL NORTHWEST ARKANSAS",-94.183019,36.309167
"225","040011","CHAMBERS MEMORIAL HOSPITAL",-93.39188,35.05288
"226","040014","WHITE COUNTY MEDICAL CENTER",-91.697911,35.251295
"227","040015","MENA REGIONAL HEALTH SYSTEM",-94.221646,34.589059
"228","040016","UAMS MEDICAL CENTER",-92.320103,34.749012
"229","040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER",-93.109182,36.23649
