"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCoPsy Measure Desc","MedCoPsy %","MedCoPsy Denominator","MedCoPsy Footnote","MedCoPsy Measure Start Date","MedCoPsy Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,Hours of physical-restraint use,0.00,0,3185,,Hours of seclusion use,0.00,0,3185,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,220,,Alcohol use brief intervention provided or offered,100,24,,100,24,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,24,,92,24,,Tobacco use treatment provided or offered,100,59,,100,59,,Tobacco use treatment provided or offered at discharge,100,59,,100,59,,Transition record with specified elements received by discharged patients (TR1),100,220,,Timely transmission of transition record (TR2),100,220,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,48.8,41,,24.4,41,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,291,17.2,13.6,21.3,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,115,,10/01/2019,03/31/2020
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Crenshaw,Hours of physical-restraint use,0.05,7.05,5456,,Hours of seclusion use,0.20,26.47,5456,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,199,,Screening for metabolic disorders (SMD),100,534,,Alcohol use brief intervention provided or offered,11,142,,0,142,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,576,,0,576,,Tobacco use treatment provided or offered,99,458,,45,458,,Tobacco use treatment provided or offered at discharge,76,543,,76,543,,Transition record with specified elements received by discharged patients (TR1),100,667,,Timely transmission of transition record (TR2),100,667,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43.8,48,,14.6,48,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,86.2,138,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,181,20.8,16.7,25.7,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),72,346,,10/01/2019,03/31/2020
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,Hours of physical-restraint use,1.98,1601,33643,,Hours of seclusion use,0.04,30.2,33643,,Patients discharged on multiple antipsychotic medications with appropriate justification,0.00,30,,Screening for metabolic disorders (SMD),17,249,,Alcohol use brief intervention provided or offered,17,36,,17,36,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,44,,0,44,,Tobacco use treatment provided or offered,20,87,,11,87,,Tobacco use treatment provided or offered at discharge,1,72,,0,72,,Transition record with specified elements received by discharged patients (TR1),72,383,,Timely transmission of transition record (TR2),70,383,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.9,198,,17.2,198,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,74.9,211,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,487,21.8,18.9,25.2,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),85,148,,10/01/2019,03/31/2020
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,Hours of physical-restraint use,0.00,0,5708,,Hours of seclusion use,0.00,0,5708,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),99,237,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,95,42,,90,42,,Tobacco use treatment provided or offered at discharge,62,16,,0,16,,Transition record with specified elements received by discharged patients (TR1),100,292,,Timely transmission of transition record (TR2),100,292,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,272,22.4,18.2,27.3,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),98,140,,10/01/2019,03/31/2020
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,Hours of physical-restraint use,0.00,0,17537,,Hours of seclusion use,0.00,0.49,17537,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,25,,Screening for metabolic disorders (SMD),100,436,,Alcohol use brief intervention provided or offered,97,34,,97,34,,Alcohol and other drug use disorder treatment provided or offered at discharge,98,230,,98,230,,Tobacco use treatment provided or offered,99,314,,98,314,,Tobacco use treatment provided or offered at discharge,97,269,,96,269,,Transition record with specified elements received by discharged patients (TR1),67,592,,Timely transmission of transition record (TR2),66,592,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47.8,67,,13.4,67,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,77.7,139,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,312,16.9,13.7,20.7,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,287,,10/01/2019,03/31/2020
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,Hours of physical-restraint use,0.00,0,2036,,Hours of seclusion use,0.00,0,2036,,Patients discharged on multiple antipsychotic medications with appropriate justification,93.00,14,,Screening for metabolic disorders (SMD),75,130,,Alcohol use brief intervention provided or offered,16,19,,16,19,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,19,,0,19,,Tobacco use treatment provided or offered,96,49,,96,49,,Tobacco use treatment provided or offered at discharge,92,49,,92,49,,Transition record with specified elements received by discharged patients (TR1),100,144,,Timely transmission of transition record (TR2),100,144,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39.4,33,,18.2,33,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,129,19.1,14.5,24.8,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),97,67,,10/01/2019,03/31/2020
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,Hours of physical-restraint use,0.07,18.97,11178,,Hours of seclusion use,0.08,21.57,11178,,Patients discharged on multiple antipsychotic medications with appropriate justification,84.00,32,,Screening for metabolic disorders (SMD),71,339,,Alcohol use brief intervention provided or offered,78,74,,69,74,,Alcohol and other drug use disorder treatment provided or offered at discharge,43,223,,30,223,,Tobacco use treatment provided or offered,77,300,,67,300,,Tobacco use treatment provided or offered at discharge,19,291,,8,291,,Transition record with specified elements received by discharged patients (TR1),0,648,,Timely transmission of transition record (TR2),0,648,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,23.9,155,,9,155,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,68.9,302,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,436,20.3,17.3,23.5,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),90,312,,10/01/2019,03/31/2020
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35249,Jefferson,Hours of physical-restraint use,0.09,100.06,47170,,Hours of seclusion use,1.02,1156.69,47170,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,20,,Screening for metabolic disorders (SMD),83,275,,Alcohol use brief intervention provided or offered,100,246,,100,246,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,229,,95,229,,Tobacco use treatment provided or offered,81,245,,3,245,,Tobacco use treatment provided or offered at discharge,77,215,,0,215,,Transition record with specified elements received by discharged patients (TR1),96,632,,Timely transmission of transition record (TR2),75,632,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46.7,105,,22.9,105,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,60.7,150,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,361,17,13.9,20.6,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),77,342,,10/01/2019,03/31/2020
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,Elmore,Hours of physical-restraint use,0.00,0,1750,,Hours of seclusion use,0.00,0,1750,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),1,109,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,47,15,,47,15,,Tobacco use treatment provided or offered at discharge,0,15,,0,15,,Transition record with specified elements received by discharged patients (TR1),0,140,,Timely transmission of transition record (TR2),0,140,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,131,19.6,14.9,25.5,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),71,70,,10/01/2019,03/31/2020
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,Hours of physical-restraint use,0.00,0,8677,,Hours of seclusion use,0.00,0,8677,,Patients discharged on multiple antipsychotic medications with appropriate justification,10.00,31,,Screening for metabolic disorders (SMD),86,270,,Alcohol use brief intervention provided or offered,100,97,,99,97,,Alcohol and other drug use disorder treatment provided or offered at discharge,13,204,,11,204,,Tobacco use treatment provided or offered,89,282,,68,282,,Tobacco use treatment provided or offered at discharge,36,261,,18,261,,Transition record with specified elements received by discharged patients (TR1),56,604,,Timely transmission of transition record (TR2),55,604,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,36.9,130,,18.5,130,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,67,203,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,493,20.4,17.3,24.0,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),86,324,,10/01/2019,03/31/2020
