Name of program,Type of program,Program code,Quota,Matched
Baptist Outreach Services-AL,Family Medicine,3082120C0,8,4
Brookwood Baptist Health-AL,Internal Medicine,1903140C0,10,10
Brookwood Baptist Health-AL,Med-Prelim/UAB PM&R,1903140P1,4,3
Brookwood Baptist Health-AL,Pathology,1903300C0,2,2
Brookwood Baptist Health-AL,Radiology-Diagnostic,1903420C0,4,2
Brookwood Baptist Health-AL,General Surgery,1903440C0,5,5
Brookwood Baptist Health-AL,Surgery-Preliminary,1903440P0,4,2
Brookwood Baptist Health-AL,Transitional,1903999P0,15,12
Cahaba Medical Care-AL,Family Medicine/Rural,1590120C0,5,4
Cahaba Medical Care-AL,Family Medicine/Urban,1590120C1,7,7
Jack Hughston Memorial Hosp-AL,Orthopaedic Surgery,2233260C0,3,3
North Alabama Med Ctr,Internal Medicine,2239140C0,12,12
South Baldwin Reg Med Ctr-AL,Family Medicine,2143120C0,8,7
Southeast Health-AL,Internal Medicine,2132140C0,13,13
St Vincents East-AL,Family Medicine,3060120C0,8,8
St Vincents East-AL,Family Medicine,2955120C0,16,16
U Alabama Med Ctr-Birmingham,Anesthesiology,1007040C0,20,20
U Alabama Med Ctr-Birmingham,Anesthesiology/Research,1007040C1,1,1
U Alabama Med Ctr-Birmingham,Dermatology,1007080A0,6,6
U Alabama Med Ctr-Birmingham,Emergency Medicine,1007110C0,10,10
U Alabama Med Ctr-Birmingham,Internal Medicine,1007140C0,38,38
U Alabama Med Ctr-Birmingham,Int Med/ABIM Research Pathway,1007140C2,1,1
U Alabama Med Ctr-Birmingham,Neurological Surgery,1007160C0,3,3
U Alabama Med Ctr-Birmingham,Neurology,1007180C0,9,9
U Alabama Med Ctr-Birmingham,Child Neurology,1007185C0,2,2
U Alabama Med Ctr-Birmingham,Obstetrics-Gynecology,1007220C0,8,8
U Alabama Med Ctr-Birmingham,Orthopaedic Surgery,1007260C0,6,6
U Alabama Med Ctr-Birmingham,Otolaryngology,1007280C0,4,4
U Alabama Med Ctr-Birmingham,Pathology,1007300C0,6,6
U Alabama Med Ctr-Birmingham,Pediatrics,1007320C0,24,24
U Alabama Med Ctr-Birmingham,Phys Medicine & Rehab,1007340A0,4,4
U Alabama Med Ctr-Birmingham,Psychiatry,1007400C0,8,8
U Alabama Med Ctr-Birmingham,Interventional Radiology (Integ),1007416A0,2,2
U Alabama Med Ctr-Birmingham,Radiology-Diagnostic,1007420A0,7,7
U Alabama Med Ctr-Birmingham,Radiology-Diagnostic/SACM,1007420A1,1,0
U Alabama Med Ctr-Birmingham,Radiation Oncology,1007430A0,3,3
U Alabama Med Ctr-Birmingham,General Surgery,1007440C0,8,8
U Alabama Med Ctr-Birmingham,Surg-Prelim/Radiology SACM,1007440P0,1,0
U Alabama Med Ctr-Birmingham,Vascular Surgery,1007451C0,1,1
U Alabama Med Ctr-Birmingham,Medicine-Pediatrics,1007700C0,4,4
U Alabama Med Ctr-Birmingham,Pediatrics-Medical Genetics,1007765C0,1,1
U Alabama Med Ctr-Birmingham,Medicine-Medical Genetics,1007766C0,1,0
U Alabama SOM-Huntsville,Family Medicine,2947120C0,12,12
