ACGME residency program code,0800121010,0800300146,0800300147,0800300148,0800321127,0800321145,0800421013,0800500145,0800511015,0800512137,0800512144,0800521014,0800521017,0800521018,0800521019,0800521020,0800521101,0800521111,0800531006,0800721022,0800821023,0800831138,0801000127,0801021025,0801021106,0801021123,0801100137,0801100138,0801100139,0801100140,0801100141,0801100143,0801100144,0801121026,0801121096,0801121115,0801131125,0801200030,0801211029,0801221028,0801611032,0801611033,0801612030,0801612135,0801621031,0801621034,0801621118,0801721035,0801821036,0801911037,0802021038,0802121108,0802121109,0802321040,0802321041,0802421044,0802421114,0802421141,0802431043,0802500142,0802500143,0802500145,0802512046,0802513139,0802531045,0802600050,0802621049,0802631048,0802700001,0802800117,0802821050,0802821051,0802821116,0803000001,0803221053,0803300129,0803321117,0803331128,0803400055,0803500126,0803500127,0803500128,0803500129,0803521062,0803521063,0803521064,0803521065,0803521102,0803521104,0803521113,0803531058,0803600133,0803611066,0803621067,0803621110,0803800144,0803800145,0803811072,0803812070,0803821068,0803821073,0803821120,0803831143,0803921074,0804000076,0804021075,0804100104,0804100105,0804100107,0804111079,0804111081,0804112076,0804121080,0804121103,0804221082,0804321122,0804521099,0804721084,0804721098,0804800144,0804800145,0804811086,0804812140,0804813142,0804821085,0804821087,0804821100,0804821105,0804821121,0804821133,0804822088,0804921112,0805013129,0805100131,0805100132,0805111089,0805121090,0805121130,0805431091,0805511092,0805621093,0805621095,0805622131
Residency program name,University of Alabama Medical Center Program,Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium) Phoenix Program,Midwestern University GME Consortium / Advanced Desert Program,HonorHealth Program,Mayo Clinic College of Medicine and Science (Arizona) Program,University of Arizona College of Medicine-Tucson Program,University of Arkansas for Medical Sciences Program,Prime West Consortium/Newport Beach Program,University of Southern California/LAC+USC Medical Center Program,Los Angeles County-Harbor-UCLA Medical Center Program,Kaiser Permanente Southern California (Los Angeles) Program,University of California (Irvine) Program,UCLA David Geffen School of Medicine/UCLA Medical Center Program,University of California (San Diego) Medical Center Program,University of California (San Francisco) Program,Stanford Health Care-Sponsored Stanford University Program,University of California Davis Health Program,Loma Linda University Health Education Consortium Program,Naval Medical Center (San Diego) Program,University of Colorado Program,Yale-New Haven Medical Center Program,University of Connecticut Program,George Washington University School of Medicine Program,Howard University Program,MedStar Heath/Washington Hospital Center Program,National Capital Consortium Program,Florida State University College of Medicine Program,Broward Health Program,HCA Healthcare/USF Morsani College of Medicine GME: Largo Medical Center Program,HCA Healthcare/Mercer University School of Medicine/Orange Park Medical Center Program,Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,Larkin Community Hospital Program,Larkin Community Hospital Palm Springs Campus Program,University of Miami/Jackson Health System Program,University of South Florida Morsani Program,University of Florida Program,Mayo Clinic College of Medicine and Science (Jacksonville) Program,Philadelphia College of Osteopathic Medicine Program,Medical College of Georgia Program,Emory University School of Medicine Program,Rush University Medical Center Program,University of Chicago Program,Cook County Health and Hospitals System Program,Loyola University Medical Center Program,McGaw Medical Center of Northwestern University Program,University of Illinois College of Medicine at Chicago Program,Southern Illinois University Program,Indiana University School of Medicine Program,University of Iowa Hospitals and Clinics Program,University of Kansas School of Medicine Program,University of Louisville School of Medicine Program,Tulane University Program,Louisiana State University Program,Johns Hopkins University Program,University of Maryland Program,Boston University Medical Center Program,University of Massachusetts Program,Tufts Medical Center Program,Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women''s Hosp Program,Beaumont Health (Farmington Hills) Program,St Joseph Mercy Livingston Program,Beaumont Health (Trenton) Program,Henry Ford Hospital/Wayne State University Program,Wayne State University School of Medicine Program,University of Michigan Health System Program,HealthPartners Institute Program,Mayo Clinic College of Medicine and Science (Rochester) Program,University of Minnesota Program,University of Mississippi School of Medicine Program,Still OPTI Program,University of Missouri-Columbia Program,Washington University/B-JH/SLCH Consortium Program,St Louis University School of Medicine Program,University of Nebraska Medical Center College of Medicine Program,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Hackensack University Medical Center (Palisades) Program,Cooper Medical School of Rowan University/Cooper University Hospital Program,Rutgers Robert Wood Johnson Medical School Program,University of New Mexico School of Medicine Program,Zucker School of Medicine at Hofstra/Northwell Program,Icahn School of Medicine at Mount Sinai Program,St John''s Episcopal Hospital-South Shore Program,St Barnabas Hospital Program,New York Presbyterian Hospital (Cornell Campus) Program,New York Medical College (Metropolitan) Program,NYU Grossman School of Medicine Program,SUNY Health Science Center at Brooklyn Program,University of Rochester Program,New York Presbyterian Hospital (Columbia Campus) Program,Stony Brook Medicine/University Hospital Program,Montefiore Medical Center/Albert Einstein College of Medicine Program,Campbell University Program,University of North Carolina Hospitals Program,Duke University Hospital Program,Wake Forest University School of Medicine Program,OhioHealth/Riverside Methodist Hospital Program,Kansas City University of Medicine & Biosciences-Graduate Medical Education Consortium (KCU-GME Consortium)/TCD-Apex Program,Ohio State University Hospital Program,Cleveland Clinic Foundation Program,University of Cincinnati Medical Center/College of Medicine Program,Wright State University Program,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,MetroHealth Medical Center/Case Western Reserve University Program,University of Oklahoma Health Sciences Center Program,Samaritan Health Services - Corvallis Program,Oregon Health & Science University Program,Temple University Hospital Program,Lehigh Valley Health Network Program,St Luke’s Hospital – Anderson Campus Program,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,UPMC Medical Education Program,Geisinger Health System Program,University of Pennsylvania Health System Program,Penn State Milton S Hershey Medical Center Program,University of Puerto Rico Program,Brown University Program,Medical University of South Carolina Program,University of Tennessee Program,Vanderbilt University Medical Center Program,HCA Medical City Program,HCA Healthcare Corpus Christi Medical Center - Bay Area Program,University of Texas Medical Branch Hospitals Program,University of Texas at Austin Dell Medical School Program,Baylor University Medical Center Program,University of Texas Southwestern Medical Center Program,Baylor College of Medicine Program,University of Texas Health Science Center at Houston Program,Texas Tech University Health Sciences Center at Lubbock Program,San Antonio Uniformed Services Health Education Consortium Program,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,University of Utah Health Program,University of Vermont Medical Center Program,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,University of Virginia Medical Center Program,Virginia Commonwealth University Health System Program,Eastern Virginia Medical School Program,University of Washington Program,West Virginia University Program,University of Wisconsin Hospitals and Clinics Program,Medical College of Wisconsin Affiliated Hospitals Program,Marshfield Clinic Program
City,Birmingham,Mesa,Peoria,Scottsdale,Scottsdale,Tucson,Little Rock,Newport Beach,Los Angeles,Torrance,Los Angeles,Irvine,Los Angeles,La Jolla,San Francisco,Redwood City,Sacramento,Loma Linda,San Diego,Aurora,New Haven,Farmington,Washington,Washington,Washington,Bethesda,Tallahassee,Fort Lauderdale,Largo,Orange Park,Maitland,South Miami,Hialeah,Miami,Tampa,Gainesville,Jacksonville,Roswell,Augusta,Atlanta,Chicago,Chicago,Chicago,Maywood,Chicago,Chicago,Springfield,Indianapolis,Iowa City,Kansas City,Louisville,New Orleans,New Orleans,Baltimore,Baltimore,Boston,Worcester,Boston,Boston,Commerce Twp,Ann Arbor,Trenton,Detroit,Detroit,Ann Arbor,St. Louis Park,Rochester,Minneapolis,Jackson,Kirksville,Columbia,St Louis,St Louis,Omaha,Lebanon,North Bergen,Camden,Somerset,Albuquerque,Lake Success,New York,Far Rockaway,Bronx,New York,New York City,New York,Brooklyn,Rochester,New York,Stony Brook,Bronx,Clinton,Chapel Hill,Durham,Winston-Salem,Columbus,Cuyahoga Falls,Gahanna,Cleveland,Cincinnati,Dayton,Cleveland,Cleveland,Oklahoma City,Salem,Portland,Philadelphia,Allentown,Easton,Philadelphia,Pittsburgh,Danville,Philadelphia,Hershey,San Juan,Providence,Charleston,Memphis,Nashville,Weatherford,McAllen,Galveston,Austin,Dallas,Dallas,Houston,Houston,Lubbock,JBSA-Lackland,Temple,San Antonio,Salt Lake City,Burlington,Roanoke,Blacksburg,Charlottesville,Richmond,Norfolk,Seattle,Morgantown,Madison,Milwaukee,Marshfield
State,AL,AZ,AZ,AZ,AZ,AZ,AR,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CO,CT,CT,DC,DC,DC,MD,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,GA,GA,GA,IL,IL,IL,IL,IL,IL,IL,IN,IA,KS,KY,LA,LA,MD,MD,MA,MA,MA,MA,MI,MI,MI,MI,MI,MI,MN,MN,MN,MS,MO,MO,MO,MO,NE,NH,NJ,NJ,NJ,NM,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NC,NC,NC,NC,OH,OH,OH,OH,OH,OH,OH,OH,OK,OR,OR,PA,PA,PA,PA,PA,PA,PA,PA,PR,RI,SC,TN,TN,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,UT,VT,VA,VA,VA,VA,VA,WA,WV,WI,WI,WI
Zip,	35294-0009,	85206,	85381,	85255,	85259,	85718,	72205,	92660,	90033,	90509,	90027,	92697-2400,	90095,	92093-0975,	94115,	94063,	95816,	92354,	92134-2300,	80045,	06520-8059,	06030-6231,	20037,	20060,	20010,	20889-5630,	32308,	33316,	33770,	32073,	32751,	33143,	33012,	33136,	33612,	32610-0279,	32224,	30076,	30904,	30322,	60612,	60637,	60612,	60153,	60611,	60612-7307,	62794-9644,	46202,	52242,	66160,	40241,	70112,	70112,	21231,	21201,	02118,	01605,	02111,	02114,	48382,	48106,	48183,	48202,	48201,	48109,	55416,	55905,	55455,	39216,	63501,	65212,	63110,	63104,	68198-5645,	03756,	07047,	08103,	08873,	87102,	11042,	10029,	11691,	10457,	10021,	10029,	10016,	11203,	14642,	10032,	11790,	10467,	28328,	27516,	27710,	27104,	43214,	44221,	43230,	44195,	45267-0592,	45401,	44106-5028,	44109,	73104,	97302,	97239,	19140,	18103,	18045,	19107,	15213,	17822-5206,	19104,	17033-0850,	00936-5067,	02903,	29425-5780,	38163,	37204,	76086,	78504,	77555,	78712,	75246,	75390,	77030,	77030,	79430,	78236,	76508,	78229-4427,	84132,	05401,	24016,	24060,	22908,	23298,	23507,	981956524,	26506,	53715,	53226,	54449-5777
Program setting,University Hospital,Community Hospital,Affiliated Hospital,Community Hospital,Affiliated Hospital,Affiliated Hospital,University Hospital,Affiliated Hospital,Affiliated Hospital,Affiliated Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Not Available,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,Not Available,Community Hospital,Affiliated Hospital,Community Hospital,Affiliated Hospital,Community Hospital,Community Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,Other,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,Community Hospital,Not Available,Community Hospital,Affiliated Hospital,Affiliated Hospital,University Hospital,Community Hospital,Other,University Hospital,University Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Community Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,Community Hospital,Community Hospital,University Hospital,Affiliated Hospital,University Hospital,Affiliated Hospital,University Hospital,Affiliated Hospital,University Hospital,Community Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,Community Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,Community Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Not Available,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital
Participates in ERAS,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Participates in the NRMP Main Match,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of current residents  who were graduates of a joint MD-PhD program,,,,,,,1,,,,,1,,2,3,1,,,,1,5,,,,,,,,,,,,,2,,1,,,,,,,,,3,,,,,,1,,,2,,,1,,4,,,,,,3,,1,,,,,3,,,,,,,,,,,,1,,2,1,,,,1,,,1,,,,1,,2,,,,,,,,,,,6,,2,,,,,,1,,,,,,2,,1,1,,,,1,,,,,,,,,1,,
Program accreditation status,Continued Accreditation,Continued Accreditation,Initial Accreditation,Initial Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Initial Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Continued Accreditation,Continued Accreditation,Probationary Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Probationary Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Initial Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Continued Accreditation without Outcomes,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation without Outcomes,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation without Outcomes,Continued Accreditation without Outcomes,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation
Osteopathic Recognition,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
