ACGME residency program code,4300121002,4300300148,4300311003,4300400001,4300500147,4300511007,4300511014,4300513139,4300513143,4300521005,4300521006,4300521008,4300521013,4300521115,4300522132,4300713130,4300811017,4301021112,4301021113,4301112022,4301121023,4301131133,4301131136,4301221125,4301611028,4301611116,4301621027,4301622031,4301711032,4301811033,4301921034,4302011035,4302011036,4302311039,4302321040,4302411131,4302421044,4302511045,4302512046,4302512049,4302521048,4302621050,4302621051,4302731140,4302811054,4303021142,4303200002,4303313135,4303500146,4303511068,4303511071,4303511072,4303512145,4303521061,4303521063,4303521067,4303521070,4303521119,4303521122,4303522064,4303522126,4303611073,4303611075,4303621074,4303811077,4303811079,4303812078,4303821076,4303912137,4304021081,4304111086,4304121087,4304121123,4304121129,4304131127,4304521092,4304700129,4304712128,4304811097,4304812134,4304821098,4304821100,4304822099,4304831144,4304912102,4305111104,4305111106,4305421107,4305500001,4305621108,4305621109
Residency program name,University of Alabama Medical Center Program,Mayo Clinic College of Medicine and Science (Arizona) Program,University of Arizona College of Medicine-Tucson Program,University of Arkansas College of Medicine Program,Cedars-Sinai Medical Center Program,University of Southern California/LAC+USC Medical Center Program,Stanford Health Care-Sponsored Stanford University Program,City of Hope National Medical Center Program,University of California (San Diego) Medical Center Program,University of California (Irvine) Program,Loma Linda University Health Education Consortium Program,UCLA David Geffen School of Medicine/UCLA Medical Center Program,University of California (San Francisco) Program,Kaiser Permanente Southern California (Los Angeles) Program,University of California Davis Health Program,University of Colorado Program,Yale-New Haven Medical Center Program,MedStar Health/Georgetown University Hospital Program,National Capital Consortium Program,University of Florida Program,University of Miami/Jackson Health System Program,Mayo Clinic College of Medicine and Science (Jacksonville) Program,University of South Florida Morsani Program,Emory University School of Medicine Program,Rush University Medical Center Program,University of Chicago/University of Illinois College of Medicine at Chicago Program,McGaw Medical Center of Northwestern University Program,Loyola University Medical Center Program,Indiana University School of Medicine Program,University of Iowa Hospitals and Clinics Program,University of Kansas School of Medicine Program,University of Kentucky College of Medicine Program,University of Louisville School of Medicine Program,Johns Hopkins University Program,University of Maryland Program,Massachusetts General Hospital/Brigham and Women’s Hospital/Harvard Medical School Program,Tufts Medical Center Program,University of Michigan Health System Program,Henry Ford Hospital/Wayne State University Program,Beaumont Health (Royal Oak) Program,Detroit Medical Center/Wayne State University Program,University of Minnesota Program,Mayo Clinic College of Medicine and Science (Rochester) Program,University of Mississippi Medical Center Program,Washington University/B-JH/SLCH Consortium Program,University of Nebraska Medical Center College of Medicine Program,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Rutgers Robert Wood Johnson Medical School Program,Stony Brook Medicine Program,New York Presbyterian Hospital (Columbia Campus) Program,University of Rochester Program,SUNY Upstate Medical University Program,Zucker School of Medicine at Hofstra/Northwell Program,Montefiore Medical Center/Albert Einstein College of Medicine Program,Memorial Sloan Kettering Cancer Center Program,NYU Grossman School of Medicine Program,SUNY Health Science Center at Brooklyn Program,Icahn School of Medicine at Mount Sinai Program,University at Buffalo Program,New York-Presbyterian Brooklyn Methodist Hospital Program,New York-Presbyterian Hospital (Cornell Campus) Program,University of North Carolina Hospitals Program,Wake Forest University School of Medicine Program,Duke University Hospital Program,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,Ohio State University Hospital Program,Cleveland Clinic Foundation Program,University of Cincinnati Medical Center/College of Medicine Program,University of Oklahoma Health Sciences Center Program,Oregon Health & Science University Program,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,University of Pennsylvania Health System Program,Temple University Hospital/Fox Chase Cancer Center Program,UPMC Medical Education Program,Allegheny Health Network Medical Education Consortium (AGH) Program,Medical University of South Carolina Program,University of Tennessee College of Medicine Program,Vanderbilt University Medical Center Program,University of Texas Medical Branch Hospitals Program,University of Texas Southwestern Medical Center Program,Baylor College of Medicine Program,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,University of Texas M D Anderson Cancer Center Program,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,University of Utah Health Program,University of Virginia Medical Center Program,Virginia Commonwealth University Health System Program,University of Washington Program,West Virginia University School of Medicine Program,University of Wisconsin Hospitals and Clinics Program,Medical College of Wisconsin Affiliated Hospitals Program
City,Birmingham,Phoenix,Tucson,Little Rock,Los Angeles,Los Angeles,Stanford,Duarte,San Diego,Orange,Loma Linda,Los Angeles,San Francisco,Los Angeles,Sacramento,Aurora,New Haven,Washington,Bethesda,Gainesville,Miami,Jacksonville,Tampa,Atlanta,Chicago,Chicago,Chicago,Maywood,Indianapolis,Iowa City,Kansas City,Lexington,Louisville,Baltimore,Baltimore,Boston,Boston,Ann Arbor,Detroit,Royal Oak,Detroit,Minneapolis,Rochester,Jackson,St Louis,Omaha,Lebanon,New Brunswick,Stony Brook,New York,Rochester,Syracuse,New Hyde Park,Bronx,New York,New York,Brooklyn,New York,Buffalo,Brooklyn,New York,Chapel Hill,Winston-Salem,Durham,Cleveland,Columbus,Cleveland,Cincinnati,Oklahoma City,Portland,Philadelphia,Philadelphia,Philadelphia,Pittsburgh,Pittsburgh,Charleston,Memphis,Nashville,Galveston,Dallas,Houston,San Antonio,Houston,Temple,Salt Lake City,Charlottesville,Richmond,Seattle,Morgantown,Madison,Milwaukee
State,AL,AZ,AZ,AR,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CO,CT,DC,MD,FL,FL,FL,FL,GA,IL,IL,IL,IL,IN,IA,KS,KY,KY,MD,MD,MA,MA,MI,MI,MI,MI,MN,MN,MS,MO,NE,NH,NJ,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NC,NC,NC,OH,OH,OH,OH,OK,OR,PA,PA,PA,PA,PA,SC,TN,TN,TX,TX,TX,TX,TX,TX,UT,VA,VA,WA,WV,WI,WI
Zip,	35249,	85054,	85719,	72205,	90048,	90033,	94305-5847,	91010,	92093-0843,	92868,	92354,	90095-6951,	94115,	90027,	95817,	80045,	06510,	20007,	20889-5630,	32610,	33136,	32224,	33612,	30322,	60612,	60637,	60611,	60153,	46202,	52242,	66160-7321,	40536-0293,	40202,	21231,	21201,	02114,	02111,	48109,	48202,	48073,	48201,	55455,	55905,	39216-4505,	63110,	681986861,	03756,	08901,	11794-7028,	10032,	14642-8647,	13210,	11040,	10467,	10065,	10016,	11203,	10029,	14263,	11215,	10065,	27514,	27157,	27710,	44106,	43210,	44195,	45267-0757,	73104,	97239-3098,	19107,	19104,	19111,	15232,	15212,	29425,	38163,	37232-5671,	77555-0711,	75390,	77030,	78229,	77030,	76508,	84112,	22908,	23298,	98195-6043,	26506-9234,	53792,	53226
Program setting,University Hospital,Other,University Hospital,University Hospital,Community Hospital,University Hospital,University Hospital,Other,University Hospital,University Hospital,University Hospital,University Hospital,Not Available,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Not Available,University Hospital,University Hospital,Other,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Not Available,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,Affiliated Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,Affiliated Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital,University Hospital
Participates in ERAS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Participates in the NRMP Main Match,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of current residents  who were graduates of a joint MD-PhD program,1,,,,1,1,5,1,1,,,3,,,,2,5,,,1,1,,,4,,2,3,,,1,1,,1,5,,5,,2,,2,1,1,,,5,,,1,,2,2,,,2,10,,,1,2,,2,3,1,3,,1,,,,2,1,3,,2,,1,,3,,2,,,5,,,,2,2,,1,
Program accreditation status,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation,Continued Accreditation,Initial Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Probationary Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Probationary Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Initial Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation with Warning,Continued Accreditation,Continued Accreditation,Continued Accreditation,Continued Accreditation,Initial Accreditation with Warning,Continued Accreditation,Continued Accreditation
Osteopathic Recognition,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
