Program,Total residents per year,Pass %,,,,,,,,,,,
"Cahaba Medical Care/University of Alabama Medical Center Program Centreville, Alabama
1200100727                                                                                                                                                                                                                          2/5/2021",5,84.00%,,,,,,,,,,,
"Foley Hospital Corporation/South Baldwin Regional Medical Center Program Foley, Alabama
1200100728                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Alabama Medical Center (Huntsville) Program Huntsville, Alabama
1200111023                                                                                                                                                                                                                          2/5/2021",12,98.33%,,,,,,,,,,,
"University of South Alabama Program Mobile, Alabama
1200111024                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of Alabama Medical Center (Selma Dallas County) Program Selma, Alabama
1200121026                                                                                                                                                                                                                          2/5/2021",5,96.15%,,,,,,,,,,,
"Tuscaloosa College of Community Health Science Program Tuscaloosa, Alabama
1200121027                                                                                                                                                                                                                          2/5/2021",15,98.67%,,,,,,,,,,,
"Baptist Outreach Services (Montgomery) Program Montgomery, Alabama
1200121624                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"St. Vincent's East Program Birmingham, Alabama
1200131020                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Providence Hospital/Alaska Family Medicine Program Anchorage, Alaska
1200221596                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"Yuma Regional Medical Center Program Yuma, Arizona
1200300718                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Midwestern University Osteopathic Postdoctoral Training Institute Program Sierra Vista, Arizona
1200300719                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Midwestern University OPTI/Mountain Vista Program Mesa, Arizona
1200300720                                                                                                                                                                                                                          2/5/2021",3,,,,,,,,,,,,
"North Country Healthcare Program Flagstaff, Arizona
1200300721                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Midwestern University Osteopathic Postdoctoral Training Institute (Kingman) Program Kingman, Arizona
1200300722                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Banner Good Samaritan Medical Center Program Phoenix, Arizona
1200312028                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Creighton University School of Medicine/St. Joseph's Medical Center (Phoenix) Program Phoenix, Arizona
1200312030                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Arizona Program Tucson, Arizona
1200312032                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Abrazo Central Program Phoenix, Arizona
1200321029                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"University of Arizona/UPHK Graduate Medical Education Consortium Program Tucson, Arizona
1200331692                                                                                                                                                                                                                          2/5/2021",8,97.37%,,,,,,,,,,,
"HonorHealth Scottsdale Osborn Medical Center Program Scottsdale, Arizona
1200332031                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Arkansas for Medical Sciences/Area Health Education Center - Magnolia Rural Program Magnolia, Arkansas
1200400725                                                                                                                                                                                                                          2/5/2021",2,75.00%,,,,,,,,,,,
"Unity Health-White County Medical Center Program Searcy, Arkansas
1200400726                                                                                                                                                                                                                          2/5/2021",3,75.00%,,,,,,,,,,,
"UAMS Regional Centers Program Batesville, Arkansas
1200400727                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Baptist Health Program North Little Rock, Arkansas
1200400728                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,SS
"Conway Regional Health System Program Conway, Arkansas
1200400729                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Arkansas for Medical Sciences AHEC (Pine Bluff) Program Pine Bluff, Arkansas
1200411037                                                                                                                                                                                                                          2/5/2021",9,85.71%,,,,,,,,,,,
"University of Arkansas for Medical Sciences AHEC (Northwest) Program Fayetteville, Arkansas
1200421033                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"University of Arkansas for Medical Sciences AHEC (Fort Smith) Program Fort Smith, Arkansas
1200421034                                                                                                                                                                                                                          2/5/2021",9,95.56%,,,,,,,,,,,
"University of Arkansas for Medical Sciences Program Little Rock, Arkansas
1200421035                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of Arkansas for Medical Sciences AHEC (Northeast) Program Jonesboro, Arkansas
1200421406                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Arkansas for Medical Sciences AHEC (Southwest) Program Texarkana, Arkansas
1200421527                                                                                                                                                                                                                          2/5/2021",8,97.44%,,,,,,,,,,,
"Adventist Health Tulare Program Tulare, California
1200500001                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Kaweah Delta Health Care District (KDHCD) Program Visalia, California
1200500714                                                                                                                                                                                                                          2/5/2021",6,96.77%,,,,,,,,,,,
"Sierra Vista Program San Joaquin, California
1200500726                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Kaiser Permanente Medical Group (Northern California)/Napa-Solano Program Vallejo, California
1200500731                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Shasta Community Health Center Program Redding, California
1200500733                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Loma Linda-Inland Empire Consortium for Healthcare Education Program Redlands, California
1200500734                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Marian Regional Medical Center Program Santa Maria, California
1200500735                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Family Health Centers of San Diego Program San Diego, California
1200500736                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"University of California, Riverside, School of Medicine Program San Bernardino, California
1200500737                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Clinica Sierra Vista - Bakersfield Program Bakersfield, California
1200500738                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"John Muir Health Program Walnut Creek, California
1200500739                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"OPTI West/Community Memorial Hospital Program Ventura, California
1200500740                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"OPTI West/Downey Regional Medical Center Program Downey, California
1200500742                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Emanate Health Program West Covina, California
1200500743                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"OPTI West/Chino Valley Medical Center Program Chino, California
1200500744                                                                                                                                                                                                                          2/5/2021",3,80.00%,,,,,,,,,,,
