Program Name City and State,Number of Examinees,Percent Passing
"Brookwood Baptist Health Program Birmingham, AL",25,84%
"University of Alabama Hospital Program Huntsville, AL",24,96%
"University of Alabama Medical Center (Montgomery) Program Montgomery, AL",23,83%
"University of Alabama Medical Center Program Birmingham, AL",118,98%
"University of Alabama Medical Center Program Birmingham, AL
(Combined Internal Medicine-Pediatrics)",11,100%
"USA Health Program Mobile, AL",42,93%
"Creighton University School of Medicine (Phoenix) Program Phoenix, AZ",27,93%
"Creighton University School of Medicine/Maricopa Medical Center (Phoenix) Program
Phoenix, AZ",53,94%
"HonorHealth Program Scottsdale, AZ",11,100%
"Mayo Clinic College of Medicine and Science (Arizona) Program Scottsdale, AZ",33,97%
"University of Arizona College of Medicine-Phoenix Program Phoenix, AZ",67,97%
"University of Arizona College of Medicine-Phoenix Program Phoenix, AZ
(Combined Internal Medicine-Pediatrics)",13,100%
"University of Arizona College of Medicine-Tucson (South Campus) Program
Tucson, AZ",26,65%
"University of Arizona College of Medicine-Tucson Program Tucson, AZ",83,96%
"University of Arkansas for Medical Sciences (UAMS) College of Medicine (Northwest) Program
Fayetteville, AR",11,55%
"University of Arkansas for Medical Sciences (UAMS) College of Medicine Program
Little Rock, AR",57,96%
"University of Arkansas for Medical Sciences (UAMS) College of Medicine Program
Little Rock, AR
(Combined Internal Medicine-Pediatrics)",12,83%
"Adventist Health White Memorial Program Los Angeles, CA",15,73%
"Alameda Health System-Highland Hospital Program Oakland, CA",51,82%
"Arrowhead Regional Medical Center Program Colton, CA",38,92%
"California Pacific Medical Center Program San Francisco, CA",44,93%
"Cedars-Sinai Medical Center Program Los Angeles, CA",97,98%
"Community Memorial Health System Program Ventura, CA",13,69%
"Desert Regional Medical Center Program Palm Springs, CA",11,55%
"Eisenhower Medical Center Program Rancho Mirage, CA",33,100%
"Huntington Memorial Hospital Program Pasadena, CA",21,95%
"Kaiser Permanente Northern California (Oakland) Program Oakland, CA",35,100%
