Program,Total #CE*,CE Success
"Brookwood Baptist Health
AL",8,88%
"University of Alabama Medical Center
AL",18,89%
"University of South Alabama Medical Center
AL",15,67%
"University of Arkansas for Medical Sciences Affiliated Hospitals
AR",13,92%
"Creighton Univ.  Sch.  of Med.  Maricopa Medical Center
AZ",12,75%
"Creighton Univ.  Sch.  of Med.  St.  Joseph’s Med Ctr.
AZ",8,75%
"Mayo Clinic Arizona
AZ",7,71%
"Univ.  of Arizona, Phoneix
AZ",15,60%
"University of Arizona-Tucson Hospitals Program
AZ",16,81%
"Arrowhead Regional Medical Center Kaiser Permanente (Fontana) Program
CA",7,86%
"Cedars - Sinai Medical Center
CA",12,83%
"David Geffen School of Medicine at UCLA
CA",18,94%
"Huntington Memorial Hospital
CA",5,80%
"Kaiser Permanente Southern California (Los Angeles)
CA",11,91%
"Loma Linda University Affil.  Hosps.
CA",13,92%
"Los Angeles County - Harbor UCLA Medical Center
CA",15,87%
"Naval Medical Center (San Diego)
CA",14,93%
"Riverside Univ.  Health System / UC - Riverside
CA",10,60%
"San Joaquin General Hospital Prog.
CA",9,100%
"Santa Barbara Cottage Hospital
CA",5,100%
"Stanford University Affil.  Hosp
CA",13,85%
"Univ.  of California - San Francisco - Fresno
CA",15,80%
"Univ.  of California, SF - East Bay
CA",14,71%
"University of California (Davis) Affiliated Hospitals
CA",23,100%
"University of California (Irvine) Affiliated Hospitals
CA",16,88%
"University of California Hospitals San Francisco
CA",20,85%
"University of California- San Diego Program
CA",15,93%
"University of Southern California Program
CA",19,58%
"Exempla St.  Joseph Hospital
CO",11,91%
"University of Colorado Health Sciences Center
CO",30,90%
"Danbury Hospital Program
CT",10,50%
"Quinnipiac Univ.  - Waterbury Hospital
CT",6,67%
"St.  Marys Hospital
CT",4,75%
"Stamford Hospital/Columbia Univ.  Program
CT",10,60%
"University of Connecticut School of Medicine
CT",11,73%
"Yale-New Haven Medical Center Prog.
CT",19,84%
"George Washington University Prog.
DC",14,93%
