Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,"Raleigh, NC, United States",199.23,124.39,65.55,75.62,71.18,3.18,32.27,22.61,83.88
2,"Madison, WI, United States",192.32,113.23,67.15,78.89,68.69,3.59,23.59,19.59,51.64
3,"Columbus, OH, United States",191.12,122.05,56.57,74.19,73.13,2.45,25.56,25.32,71.29
4,"Austin, TX, United States",188.46,129.63,64.2,70.69,63.04,3.59,34.12,36.27,82.08
5,"Victoria, Canada",187.37,87.61,64.68,69.89,72.64,7.27,28.47,15.05,92.52
6,"Charlotte, NC, United States",186.65,120,55.81,73.88,72.66,3.01,35.19,28.44,84.05
7,"Richmond, VA, United States",183.89,106.27,54.98,73.86,68.31,3.84,21.96,31.63,81.27
8,"San Diego, CA, United States",183.74,112.72,63.49,70.15,80.22,5.24,33.8,35.04,97.08
9,"Buffalo, NY, United States",181.27,94.89,55.01,76.84,72.95,2.01,22.17,25.02,66.43
10,"Dallas, TX, United States",180.73,141.09,50.29,65.61,64.8,2.35,35.22,41.92,81.85
11,"Seattle, WA, United States",179.84,121.2,50.89,73.49,89.48,5.23,41.57,28.63,91.73
12,"Quebec City, Canada",179.25,92.31,85.24,71.23,67.37,4.56,27.91,29.29,47.98
13,"Kansas City, MO, United States",178.85,113.55,40.59,79.4,68.86,2.28,26.29,32.03,75.08
14,"Calgary, Canada",177.49,113.16,65.51,76.43,73.65,3.71,30.1,24,33.09
15,"Portland, OR, United States",175.74,100.7,51.24,73.84,78.68,4.34,33.08,31.2,89.56
16,"San Jose, CA, United States",175.7,131.28,53.47,73.23,78.55,6.75,38.11,46.54,95.53
17,"Vancouver, Canada",175.57,92.47,63.55,75.46,76.22,11.41,37.23,24.17,91.15
18,"Reno, NV, United States",174.86,116.18,54.4,62.24,67.38,3.61,25.1,32.36,62.28
19,"Ottawa, Canada",174.23,87.41,74.15,74.97,72.15,5.67,31.19,21.21,44.46
20,"Tampa, FL, United States",173.52,104.1,50.77,68.64,79.53,3.35,35.84,29.94,84.67
21,"Saint Louis, MO, United States",172.79,120.26,29.66,81.38,68.23,1.89,27.16,38,74.75
22,"Cincinnati, OH, United States",171.67,111.12,51.63,68.77,63.64,2.49,24.89,43.82,73.24
23,"Nashville, TN, United States",170.85,112.53,52.22,63.95,72.15,3.06,38.88,35.71,83.02
24,"Indianapolis, IN, United States",170.68,120.19,42.44,73.01,65.62,2.18,29.07,41.78,69.92
25,"Jacksonville, FL, United States",169.14,110.9,41.96,69.48,69.47,2.98,35.23,38.58,87.81
26,"San Antonio, TX, United States",168.84,104.38,51.32,72.06,64.61,2.57,30.5,44.96,80.58
27,"Tucson, AZ, United States",168.62,94.9,49.48,59.05,67.18,3.15,29.24,26.15,72.66
28,"Minneapolis, MN, United States",168.6,111.91,47.75,78.45,82.47,3.7,36.56,26.52,49.46
29,"Kelowna, Canada",168.53,86.36,49.69,75.26,66.83,5.35,28.9,21.55,59.65
30,"Spokane, WA, United States",168.34,88.99,45.53,63.66,73.5,5.48,23.73,19.75,67.12
31,"Boston, MA, United States",168.02,99.43,64.48,75.12,89.29,8.3,45.42,27.03,71.73
32,"Sacramento, CA, United States",167.05,101.99,50.94,69.5,76.73,5.8,26.99,45.4,90.64
33,"Albuquerque, NM, United States",166.6,104.06,29.99,66.56,65.48,3.14,25.12,25.13,67.06
34,"Halifax, Canada",166.47,80.54,59.64,70.03,76.15,5.85,29.45,22.57,58.99
