Rank,City,Traffic Index,"Time Index
(in minutes)",Time Exp. Index,Inefficiency Index,CO2 Emission Index
1,"Los Angeles, CA, United States",340.93,60.63,16590.42,792.47,15212.88
2,"San Jose, Costa Rica",331.12,64.02,21222.46,361.89,10485.52
3,"San Francisco, CA, United States",256.58,51.3,7292.35,578.28,9185.26
4,"Mexico City, Mexico",255.43,51.61,7529.9,350.32,9667.85
5,"Guatemala City, Guatemala",248.62,48.19,5193.99,268.82,12536.32
6,"Sao Paulo, Brazil",235.16,50.76,6893.61,279.82,7165.55
7,"Detroit, MI, United States",234.4,46.21,4079.71,352.89,11136.94
8,"Rio de Janeiro, Brazil",234.13,52.07,7886.72,242.38,6033.9
9,"Lima, Peru",225.27,50.14,6458.13,271.83,6127.96
10,"Bogota, Colombia",218.74,51.13,7165.47,228.66,4601.74
11,"Miami, FL, United States",215.48,43.4,2786.56,238.82,10781.44
12,"Boston, MA, United States",213.08,45.42,3683.34,246.64,8329.19
13,"Houston, TX, United States",205.01,41.63,2125.05,240.8,10355.03
14,"Atlanta, GA, United States",204.53,42.18,2318.45,240.57,9739.89
15,"Honolulu, HI, United States",202.12,41.19,1978.1,218.08,10340.9
16,"Toronto, Canada",201.86,44.98,3474.74,252.38,6731.22
17,"Quito, Ecuador",200.54,43.48,2820.4,217.71,7955.64
18,"Recife, Brazil",198.59,45.97,3959.8,219.41,5606.22
19,"Buenos Aires, Argentina",197.48,47.9,5018.13,204.98,4150.96
20,"Chicago, IL, United States",191.2,42.07,2278.63,215.27,7520.72
21,"Washington, DC, United States",189.94,40.77,1842.8,237.51,8250.03
22,"Belo Horizonte, Brazil",189.7,43.74,2925.29,219.47,5938.1
23,"Seattle, WA, United States",189.29,41.57,2105.62,225.67,7535.89
24,"Nashville, TN, United States",186.1,38.88,1313.2,210.65,9306.66
25,"Guadalajara, Mexico",184.28,40.54,1771.72,206.17,7620.27
26,"San Jose, CA, United States",182.72,38.11,1128.69,210.6,9313.12
27,"Orlando, FL, United States",179.49,36.88,871.15,214.26,9694.22
28,"Philadelphia, PA, United States",179.41,39.2,1394.13,269.32,7475.45
29,"San Juan, Puerto Rico",178.2,37.46,988.23,189.61,9125.92
30,"Pittsburgh, PA, United States",175.26,38.06,1117.85,209.5,7974.06
31,"Tampa, FL, United States",173.19,35.84,686.12,203.57,9387.38
32,"Denver, CO, United States",172.95,36.56,811.25,227.44,8616.93
33,"Jacksonville, FL, United States",171.3,35.23,590.55,235.82,9296.7
34,"Mississauga, Canada",169.25,38.79,1290.32,197.56,6478.25
35,"Dallas, TX, United States",167.36,35.22,589.34,201.84,8772.67
36,"Charlotte, NC, United States",167.24,35.19,585.17,210.81,8712.75
37,"Minneapolis, MN, United States",166.97,36.56,811.95,211.42,7633.41
38,"Oakland, CA, United States",164.98,37.69,1036.51,226.8,6406.41
39,"New York, NY, United States",163.91,43.13,2677.94,190.4,3050.43
40,"Montreal, Canada",162.02,39.53,1482.03,172.71,5020.85
41,"Austin, TX, United States",160.71,34.12,441.29,217.32,8251.12
42,"Caracas, Venezuela",159.68,35.94,702.85,219.35,6792.69
43,"Panama City, Panama",159.04,35,557.74,178.51,7579.88
44,"Salt Lake City, UT, United States",158.73,35.41,618.75,188.02,7179.56
45,"Medellin, Colombia",158.68,39.11,1372.59,168.63,4834.65
46,"San Diego, CA, United States",156.23,33.8,403.09,204.88,7750.72
