,Link,Average spots filled per cycle,Alumni Publication Percentile,Alumni Clinical Trial Percentile,Founding Year,"Year 0, site 0: institution name","Year 0, site 0: institution months","Year 0, site 1: institution name","Year 0, site 1: institution months","Year 1, site 0: institution name","Year 1, site 0: institution months","Year 1, site 1: institution name","Year 1, site 1: institution months","Year 2, site 0: institution name","Year 2, site 0: institution months","Year 2, site 1: institution name","Year 2, site 1: institution months","Year 2, site 2: institution name","Year 2, site 2: institution months","Year 3, site 0: institution name","Year 3, site 0: institution months","Year 3, site 1: institution name","Year 3, site 1: institution months","Year 4, site 0: institution name","Year 4, site 0: institution months","Year 4, site 1: institution name","Year 4, site 1: institution months",Accredited Fellowship Programs,Urologic Oncology,Minimally Invasive Urologic Surgery,Female Pelvic Medicine & Reconstructive Surgery,Pediatric Urology,Male Infertility/Andrology,Rating count,Review count,Overall Satisfaction,Work Hours,Schedule Flexibility,Career Guidance,Culture,Clinical Diversity,"Year 0, site 2: institution name","Year 0, site 2: institution months","Year 2, site 3: institution name","Year 2, site 3: institution months","Year 3, site 2: institution name","Year 3, site 2: institution months",Palliative Care,Allergy and Immunology,Cardiology,Infectious Disease,Rheumatology,"Year 1, site 2: institution name","Year 1, site 2: institution months","Year 1, site 3: institution name","Year 1, site 3: institution months",Hospice & Palliative Medicine,Bariatric Surgery,Colon & Rectal Surgery,Plastic Surgery,Surgical Critical Care,Vascular Surgery,Surgical Volume,Sports Medicine,Geriatric Medicine,Addiction Medicine,Urgent Care,"Year 0, site 3: institution name","Year 0, site 3: institution months","Year 4, site 2: institution name","Year 4, site 2: institution months","Year 1, site 4: institution name","Year 1, site 4: institution months",Pediatric Anesthesiology,Adult Cardiothoracic Anesthesiology,Pain Medicine,Critical Care Medicine,Obstetric Anesthesiology,Thoracic Surgery,Breast Surgery,Neonatal-Perinatal Medicine,Developmental-Behavioral Pediatrics,Pediatric Critical Care Medicine,Pediatric Cardiology,Pediatric Hematology/Oncology,Maternal & Fetal Medicine/High Risk Obstetrics,Gynecologic Oncology,"Year 0, site 4: institution name","Year 0, site 4: institution months","Year 1, site 5: institution name","Year 1, site 5: institution months",Pediatric Emergency Medicine,"Year 2, site 4: institution name","Year 2, site 4: institution months","Year 3, site 3: institution name","Year 3, site 3: institution months",Cataract Surgery,Cornea Surgery,Retinal Surgery,Glaucoma,Refractive Surgery,Vascular & Interventional Radiology,Endovascular Surgical Neuroradiology,Neuroradiology,Musculoskeletal Radiology,Abdominal Radiology,Epilepsy,Neurocritical Care,Neuromuscular Medicine,Cytopathology,Blood Banking/Transfusion Medicine,Forensic Pathology,Pediatric Pathology,Pediatric Dermatology,Procedural Dermatology,Dermatopathology,Cosmetic Dermatology,"Year 2, site 5: institution name","Year 2, site 5: institution months",Preventive Medicine,Addiction Psychiatry,Child & Adolescent Psychiatry,Geriatric Psychiatry,Psychopharmacology,"Year 5, site 0: institution name","Year 5, site 0: institution months","Year 6, site 0: institution name","Year 6, site 0: institution months","Year 5, site 1: institution name","Year 5, site 1: institution months",Neurosurgical Spine Surgery,Brain & Spinal Tumors,Cerebrovascular Surgery,Pediatric Neurosurgery
0,https://www.doximity.com/residency/programs/00085b66-c2a5-46df-81cf-8a7e403bf5e4-vanderbilt-university-medical-center-urology,4,78th percentile,83rd percentile,1954,Vanderbilt University Medical Center,8.5,Veterans Affairs Medical Center (Nashville),3.5,Vanderbilt University Medical Center,9.0,Veterans Affairs Medical Center (Nashville),3.0,Cool Springs Surgery Center,1.0,Vanderbilt University Medical Center,9.0,Veterans Affairs Medical Center (Nashville),3.0,Vanderbilt University Medical Center,9.0,Saint Thomas Midtown Hospital,3.0,Vanderbilt University Medical Center,9.0,Veterans Affairs Medical Center (Nashville),3.0,"['Pediatric urology', 'Female pelvic medicine and reconstructive surgery (Urology)']",0.09799804003919924,0.08400391992160157,0.042001959960800785,0.042001959960800785,0.01399412011759765,25,9,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/001d2862-74e0-40ee-a508-023908f0a2d7-university-of-alabama-medical-center-medicine-pediatrics,4,28th percentile,51st percentile,2006,Veterans Affairs Medical Center (Birmingham),1.0,University of Alabama Hospital,8.0,University of Alabama Hospital,8.0,Children's Hospital of Alabama,4.0,Department of Health (Jefferson County),1.0,Veterans Affairs Medical Center (Birmingham),2.0,University of Alabama Hospital,4.0,Veterans Affairs Medical Center (Birmingham),1.0,University of Alabama Hospital,5.0,,,,,[],,,,,,8,3,5.0,4.5,4.5,4.5,5.0,5.0,Children's Hospital of Alabama,3.0,Children's Hospital of Alabama,5.0,Children's Hospital of Alabama,6.0,0.09,0.06,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/001f8b08-fc9a-48ce-b876-6ebc3ff310ba-montana-family-medicine-residency-family-medicine,8,85th percentile,73rd percentile,1995,Billings Clinic,6.0,Montana Family Medicine Residency,12.0,Primary Children's Hospital,1.0,Billings Clinic,3.0,Billings Clinic,3.0,Montana Family Medicine Residency,10.0,St Vincent Healthcare,8.0,,,,,,,,,['Sports medicine (Family medicine)'],,,,,,8,1,4.0,3.5,4.0,3.5,4.5,3.5,St Vincent Healthcare,6.0,,,,,,,,,,Montana Family Medicine Residency,10.0,St Vincent Healthcare,7.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/002881fd-e21a-44a8-86cd-43182bc08d2f-brooklyn-hospital-center-surgery,5,81st percentile,64th percentile,1964,Brooklyn Hospital Center,12.0,,,Brooklyn Hospital Center,12.0,,,SUNY Downstate Medical Center,1.0,Brooklyn Hospital Center,11.0,,,New York Presbyterian Hospital (Columbia Campus),1.0,Brooklyn Hospital Center,11.0,Brooklyn Hospital Center,12.0,,,[],,,,,,10,3,3.5,4.0,3.5,2.5,3.5,,,,,,,,,,,,,,,,,,0.09599999999999999,0.09599999999999999,0.09599999999999999,0.09599999999999999,0.09599999999999999,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/002ae921-25b1-4367-ac01-96023ab9d4ab-hca-healthcare-mercer-university-school-of-medicine-memorial-health-university-medical-center-family-medicine,7,31st percentile,73rd percentile,1976,HCA Healthcare/Mercer University School of Medicine,12.0,,,HCA Healthcare/Mercer University School of Medicine,12.0,,,HCA Healthcare/Mercer University School of Medicine,12.0,,,,,,,,,,,,,['Sports medicine (Family medicine)'],,,,,,3,1,5.0,5.0,4.5,5.0,4.5,5.0,,,,,,,,,,,,,,,,,,,,,,,0.032,0.016,0.016,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00346f33-2716-4995-8b5e-ff1766baf648-university-of-illinois-college-of-medicine-at-chicago-surgery,7,,,,University of Illinois Hospital and Clinics,6.0,Advocate Christ Medical Center,4.0,John H. Stroger Jr. Hospital of Cook County,2.5,University of Illinois Hospital and Clinics,5.0,University of Illinois Hospital and Clinics,6.0,Advocate Christ Medical Center,3.0,Jesse Brown Veterans Affairs Medical Center,3.0,University of Illinois Hospital and Clinics,4.0,Advocate Christ Medical Center,6.0,University of Illinois Hospital and Clinics,4.5,Advocate Christ Medical Center,5.5,[],,,,,,23,5,4.0,4.0,4.0,4.0,4.0,,Jesse Brown Veterans Affairs Medical Center,1.0,Louis A Weiss Memorial Hospital,2.0,,,,,,,,Advocate Christ Medical Center,4.5,,,,,,,,,4.5,0.032,0.016,0.016,0.016,Louis A Weiss Memorial Hospital,1.0,Jesse Brown Veterans Affairs Medical Center,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/003d246b-5e5e-41cf-997c-1227fa377176-brown-university-rhode-island-hospital-lifespan-anesthesiology,8,,,2017,Brown University/Rhode Island Hospital-Lifespan,8.0,Miriam Hospital-Lifespan,4.0,Women and Infants Hospital of Rhode Island,1.0,Veterans Affairs Medical Center (Providence),1.0,Women and Infants Hospital of Rhode Island,1.0,Brown University/Rhode Island Hospital-Lifespan,9.0,Miriam Hospital-Lifespan,2.0,,,,,,,,,[],,,,,,2,2,5.0,5.0,5.0,4.5,4.5,3.0,,,Brigham and Women's Hospital,1.0,,,,,,,,Brown University/Rhode Island Hospital-Lifespan,8.0,Miriam Hospital-Lifespan,2.0,,,,,,,,0.032,0.016,0.016,0.016,,,,,Brigham and Women's Hospital,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/0055c4b3-fc75-4a88-a2b6-d9714c0657fd-university-of-california-davis-health-anesthesiology,14,76th percentile,50th percentile,1968,VA Northern California Health Care System,5.0,University of California (Davis) Medical Center,8.0,VA Northern California Health Care System,1.0,University of California (Davis) Medical Center,12.0,University of California (Davis) Medical Center,13.0,,,,,University of California (Davis) Medical Center,12.0,,,,,,,"['Pain medicine (multidisciplinary)', 'Regional anesthesiology and acute pain medicine', 'Pediatric anesthesiology', 'Adult cardiothoracic anesthesiology']",,,,,,18,7,4.0,4.5,4.0,3.5,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11763598720120456,0.07352249200075285,0.04411349520045171,0.007364012798795406,0.007364012798795406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/0077d683-fa34-43dd-8f36-f4d61fe952c8-santa-barbara-cottage-hospital-surgery,3,70th percentile,93rd percentile,,Santa Barbara Cottage Hospital,12.0,,,Cedars-Sinai Medical Center,1.0,Santa Barbara Cottage Hospital,11.0,LAC+USC Medical Center,2.0,Santa Barbara Cottage Hospital,10.0,,,Community Memorial Hospital,2.0,Santa Barbara Cottage Hospital,10.0,Santa Barbara Cottage Hospital,12.0,,,[],,,,,,9,6,4.0,4.0,4.5,3.5,4.0,,,,,,,,,,,,,,,,,,0.07600911927045836,0.11399088072954164,,0.07600911927045836,,4.5,,,,,,,,,,,,,,,,0.07600911927045836,0.037981761459083274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/0087fab3-9078-4b21-8d2e-54c99a7e2a8d-albany-medical-center-pediatrics,10,77th percentile,36th percentile,1939,Albany Medical Center,13.0,,,Albany Medical Center,13.0,,,Albany Medical Center,13.0,,,,,,,,,,,,,"['Internal medicine/Pediatrics', 'Neonatal-perinatal medicine']",,,,,,10,6,4.5,4.0,4.5,4.0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11331714285714287,0.09714285714285717,0.048571428571428585,0.048571428571428585,0.03239714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
