,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Intro,Year 1,Year 2,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 1,Participant 2,Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,,Year 4,Year 5,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Night float system (Residents participate during first year),Participant 8,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Participant 9,Specialty Details,1,15,2,3,Yes
0,https://freida.ama-assn.org/program/2753400001,Community-based,MountainView Regional Medical Center,3,3,No,Yes,July,Yes,No,https://www.mountainviewregional.com/graduate-medical-education,Not Available,"Francisco  Laboy
DO
MountainView Regional Med Ctr
Med Office Bldg Ste 300
4351 E Lohman Ave
Las Cruces, NM 88011
Tel: (575) 556-7762
Fax: (575) 556-7169
E-mail: renae.trapp@mountainviewregional.com","Renae L Trapp
BFA
MountainView Regional Med Ctr
Med Office Bldg Ste 300
4351 E Lohman Ave
Las Cruces, NM 88011
Tel: (575) 556-7762
Fax: (575) 556-7169
E-mail: renae.trapp@mountainviewregional.com",2753400001,"MountainView Regional Med Ctr, Med Office Bldg Ste 300, 4351 E Lohman Ave, Las Cruces, NM 88011","4311 E Lohman Ave, Las Cruces, NM 88011","3501 Arrowhead Dr, Las Cruces, NM 88001",,2,2,"Yes  , 1 year(s)",Yes,No,"Yes , Codes: 2182275A0",12/31/2020,10/1/2020 - 12/31/2020_-,,,Yes,10,No,No,3,Yes,Yes,220_220_450_450,Yes,No Answer,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,2,0,12,0,14,0,50,2.0 to 1,45,12,2,Yes,No,N/A,0,N/A,Not Available,N/A,Not Available,5,80%,5%,"$55,000.00",21,12,"$56,320.00",21,12,No,21,0,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2753500002,,,3,3,No,Yes,July,Yes,No,http://www.sbhny.org/ONMMResidency/,Not Available,"Hugh  Ettlinger
DO
St Barnabas Hosp
Braker Bldg 4th Fl
4422 Third Ave
Bronx, NY 10457
Tel: (718) 960-6649
Fax: (718) 960-3635
E-mail: hettlinger@sbhny.org","Hugh  Ettlinger
DO
St Barnabas Hosp
Braker Bldg 4th Fl
4422 Third Ave
Bronx, NY 10457
Tel: (718) 960-6649
Fax: (718) 960-3635
E-mail: hettlinger@sbhny.org",2753500002,"St Barnabas Hosp, Braker Bldg 4th Fl, 4422 Third Ave, Bronx, NY 10457","183rd St & Third Ave, Bronx, NY 10457","101 Northern Blvd, Glen Head, NY 11545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260 E 188th St, Bronx, NY 10458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2753500001,Community-based university affiliated,Stony Brook Southampton Hospital,3,3,Yes,Yes,July,No,No,https://southampton.stonybrookmedicine.edu/rpsom/for-fellows/nmm-plus-one,Not Available,"Lawrence  Barnard
DO
Stony Brook Southampton Hosp
Osteopathic Neuromusculoskeletal Medicin
240 Meeting House Ln
Southampton, NY 11968
Tel: (631) 726-0409
Fax: (631) 726-0396
E-mail: lawrence.barnard@stonybrookmedicine.edu","Lawrence  Barnard
DO
Stony Brook Southampton Hosp
Osteopathic Neuromusculoskeletal Medicin
240 Meeting House Ln
Southampton, NY 11968
Tel: (631) 726-0409
Fax: (631) 726-0396
E-mail: lawrence.barnard@stonybrookmedicine.edu",2753500001,"Stony Brook Southampton Hosp, Osteopathic Neuromusculoskeletal Medicin, 240 Meeting House Ln, Southampton, NY 11968","101 Nichols Rd, Stony Brook, NY 11794","240 Meeting House Ln, Southampton, NY 11968","The Osteopathic Neuromusculoskeletal Medicine program has ACGME Initial Accreditation as the ONMM 3 (former NMM+1) program. Our objective is to provide comprehensive and longitudinal experience that will expose trainees to the various required disciplines in inpatient & outpatient settings, strong didactics, 100% NMM board certified faculty with emphasis on hands over hands training.",0,0,"Yes  , 3 year(s)",No,No,No,3/13/2021,7/1/2020 - 3/13/2021_7/1/2021 - 3/13/2022,7/1/2021,3/13/2022,Yes,4,No,No,3,Yes,No,__400_400,No,210-225,Yes,Yes,Below 450,"Desired, with some exceptions",Yes,No,No,1,0,2,0,3,0,0,1.0 to 1,40,12,2,Yes,No,N/A,0,N/A,0,N/A,Not Available,7,75%,10%,,,,,,,Yes,NGO,NGO,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Optional,Yes,Yes,No,"200 Belle Terre Rd, Port Jefferson, NY 11777","201 Manor Pl, Greenport, NY 11944",2,"$77,600.00",20,NGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2753800002,Community-based university affiliated,OhioHealth O'Bleness Hospital,3,3,Yes,Yes,July,No,No,https://www.ohiohealth.com/medical-education/residencies/,Not Available,"Mathew  Kunar
DO
OhioHealth O'Bleness Hosp
Osteopathic Neuromusculoskeletal Medicine Pgm
55 Hospital Dr
Athens, OH 45701
Tel:
Fax:
E-mail: obh-medicaleducation@ohiohealth.com","Lizzie  Kasler
OhioHealth O'Bleness Hosp
Osteopathic Neuromusculoskeletal Medicine Pgm
55 Hospital Dr
Athens, OH 45732
Tel:
Fax:
E-mail: lizzie.kasler@ohiohealth.com",2753800002,"OhioHealth O'Bleness Hosp, Osteopathic Neuromusculoskeletal Medicine Pgm, 55 Hospital Dr, Athens, OH 45701","155 E Broad St, Columbus, OH 43215","55 Hospital Dr, Athens, OH 45701",The osteopathic neuromusculoskeletal medicine (ONMM3) is a one-year accredited program that integrates specialty clinical and hospital practices with teaching and research opportunities through OhioHealth and Ohio University Heritage College of Osteopathic Medicine.  The program is designed for entry at the ONMM3 level.,0,0,"Yes  , 3 year(s)",No,No,No,3/1/2021,1/31/2021 -_1/31/2022 -,10/1/2021,3/1/2022,Yes,0,No,No,3,Yes,No,__400_400,No,No Answer,Yes,Yes,450-500,"Desired, with some exceptions",No,No,No,0,0,0,0,0,0,,0.0 to 1,50,24,1,Yes,No,N/A,Not Available,N/A,Not Available,N/A,Not Available,4,75%,15%,,,,,,,Yes,20,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"2036 Schorrway Dr NW, Lancaster, OH 43130",,3,"$61,672.00",20,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2753800001,Community-based,Cleveland Clinic Foundation,3,3,No,Yes,July,Yes,No,https://spgme.southpointehospital.org,Not Available,"Katrina C Rakowsky
DO
Cleveland Clinic-South Pointe Hosp
Osteopathic Neuromusculoskeletal Medicine
20000 Harvard Rd
Warrensville Heights, OH 44122
Tel: (216) 491-7362
Fax:
E-mail: krakowsk@ccf.org","Dana  Trzaska
Cleveland Clinic-South Pointe Hosp
Osteopathic Neuromusculoskeletal Medicine
20000 Harvard Rd
Warrensville Heights, OH 44122
Tel: (216) 491-7461
Fax: (216) 491-2652
E-mail: dtrzaska@ccf.org",2753800001,"Cleveland Clinic-South Pointe Hosp, Osteopathic Neuromusculoskeletal Medicine, 20000 Harvard Rd, Warrensville Heights, OH 44122","9500 Euclid Ave, Cleveland, OH 44195-5242","5900 Byron Center Ave SW, Wyoming, MI 49519",,0,0,"Yes  , 2 year(s)",No,Yes,No,12/31/2020,1/15/2021 - 3/1/2021_1/15/2022 - 3/1/2022,12/31/2021,12/31/2021,No,5,No,No,2,Yes,Yes,___,Yes,No Answer,Yes,Yes,No Answer,Required,No,No,No,0,0,0,0,0,0,,0.0 to 1,70,Not Available,Not Available,No,No,N/A,Not Available,N/A,Not Available,N/A,Not Available,6,NGO,N/A,,,,"$62,577.00",Not Available,Not Available,Yes,20,Not Available,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Not available,Yes,Yes,No,"4200 Warrensville Center Rd, Warrensville Heights, OH 44122","12000 McCracken Rd, Garfield Heights, OH 44125",4,,,,"6909 E Royalton Rd, Brecksville, OH 44141","2801 Martin Luther King Jr Dr, Cleveland, OH 44104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2753900001,,,3,3,No,Yes,June,No,No,https://health.okstate.edu/academics/osteopathic-manipulative-medicine/,Not Available,"Mark  Thai
DO
OSU Ctr for Health Sciences
Osteopathic Neuromusculoskeletal Medicine Pgm
1111 W 17th St
Tulsa, OK 74107
Tel: (918) 561-1814
Fax: (918) 561-1213
E-mail: mark.thai@okstate.edu","Rebecca L Allison
BA
OSU Ctr for Health Sciences
Osteopathic Neuromusculoskeletal Medicine Pgm
1111 W 17th St
Tulsa, OK 74107
Tel: (918) 561-1816
Fax: (918) 561-1213
E-mail: rebecca.allison@okstate.edu",2753900001,"OSU Ctr for Health Sciences, Osteopathic Neuromusculoskeletal Medicine Pgm, 1111 W 17th St, Tulsa, OK 74107","1111 W 17th St, Tulsa, OK 74107","744 W 9th St, Tulsa, OK 74127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9709 E 79th St, Tulsa, OK 74133","4444 E 41st St, Tulsa, OK 74135",,,,,"6802 S Olympia Ave, Tulsa, OK 74132","6510 S Western Ave, Oklahoma City, OK 73139","2424 E 21st St, Tulsa, OK 74114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2754100001,,,3,3,No,Yes,July,No,No,https://www.pcom.edu,Not Available,"Lauren Noto Bell
DO
Philadelphia Coll of Osteopathic Med
Osteopathic Neuromusculoskeletal Medicine Pgm
4190 City Ave
Philadelphia, PA 19131-1693
Tel: (215) 871-6482
Fax: (215) 871-6610
E-mail: laurenno@pcom.edu","Mary  Wilson
Philadelphia Coll of Osteopathic Med
Osteopathic Neuromusculoskeletal Medicine Pgm
4190 City Ave
Philadelphia, PA 19131-1693
Tel: (215) 871-6482
Fax: (215) 871-6610
E-mail: marymc@pcom.edu",2754100001,"Philadelphia Coll of Osteopathic Med, Osteopathic Neuromusculoskeletal Medicine Pgm, 4190 City Ave, Philadelphia, PA 19131-1693","4170 City Ave, Philadelphia, PA 19131","111 S 11th St, Philadelphia, PA 19107-5096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500 S Lansdowne Ave, Darby, PA 19023","190 W Sproul Rd, Springfield, PA 19064",,,,,"5800 Ridge Ave, Philadelphia, PA 19128","600 Haverford Rd, Haverford, PA 19041","2600 Belmont Ave, Philadelphia, PA 19131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2754800001,,,3,3,No,No,July,No,No,https://unthsc.edu/gmeprograms,Not Available,"David C Mason
DO, MBA
Med City Fort Worth
Osteopathic Neuromusculoskeletal Medicine Pgm
900 8th Ave
Fort Worth, TX 76104
Tel:
Fax:
E-mail: linda.matthews@unthsc.edu","Linda  Matthews
Med City Fort Worth
Osteopathic Neuromusculoskeletal Medicine Pgm
900 8th Ave
Fort Worth, TX 76104
Tel:
Fax:
E-mail: linda.matthews@unthsc.edu",2754800001,"Med City Fort Worth, Osteopathic Neuromusculoskeletal Medicine Pgm, 900 8th Ave, Fort Worth, TX 76104","13155 Noel Rd, Dallas, TX 75240","3500 Camp Bowie Blvd, Fort Worth, TX 76107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5207 Heritage Ave, Colleyville, TX 76034","3712 W 7th St, Fort Worth, TX 76107",,,,,"230 Miron Dr, Southlake, TX 76092","801 Seventh Ave, Fort Worth, TX 76104","900 Eighth Ave, Fort Worth, TX 76104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2755100002,,,3,3,Yes,Yes,July,No,No,https://www.vcom.edu/graduate-programs/onmm3-residency,Not Available,"Albert J Kozar
DO
VCOM Sports & Osteopathic Med
Ste 2100
1691 Innovation Dr
Blacksburg, VA 24060
Tel: (540) 231-9673
Fax:
E-mail: akozar@vcom.edu","Melissa D Simpkins
MBA
VCOM Sports & Osteopathic Med
Ste 1300
1691 Innovation Dr
Blacksburg, VA 24060
Tel: (540) 231-3617
Fax:
E-mail: msimpkins@vcom.edu",2755100002,"VCOM Sports & Osteopathic Med, Ste 2100, 1691 Innovation Dr, Blacksburg, VA 24060","2265 Kraft Dr, Blacksburg, VA 24060","1691 Innovation Dr, Blacksburg, VA 24060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250 S Main St, Blacksburg, VA 24060","3800 Electric Rd, Roanoke, VA 24018",,,,,"125 Akers Farm Rd NW, Christiansburg, VA 24073","2331 Franklin Rd SW, Roanoke, VA 24014","3708 S Main St, Blacksburg, VA 24060","125 Akers Farm Rd NW, Christiansburg, VA 24073","3700 S Main St, Blacksburg, VA 24060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2755100001,,,3,3,No,Yes,July,Yes,No,,Not Available,"Joy L Palmer
DO
Liberty Univ Coll of Osteopathic Med
Osteopathic Neuromusculoskeletal Medicine Pgm
306 Liberty View Lane
Lynchburg, VA 24502
Tel: (434) 592-7663
Fax:
E-mail: jjessee4@liberty.edu","Jennifer  Jessee
BS
Liberty Univ Coll of Osteopathic Med
Osteopathic Neuromusculoskeletal Medicine Pgm
306 Liberty View Lane
Lynchburg, VA 24502
Tel: (434) 592-7663
Fax:
E-mail: jjessee4@liberty.edu",2755100001,"Liberty Univ Coll of Osteopathic Med, Osteopathic Neuromusculoskeletal Medicine Pgm, 306 Liberty View Lane, Lynchburg, VA 24502","306 Liberty View Ln, Lynchburg, VA 24502","401 W Greenlawn Ave, Lansing, MI 48910-2819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"965 Wilson Rd, East Lansing, MI 48824","1970 Roanoke Blvd, Salem, VA 24153-6483",,,,,"1920 Atherholt Rd, Lynchburg, VA 24501","142 S Main St, Danville, VA 24541","2321 Wards Rd, Lynchburg, VA 24502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
