,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Program best described as,Primary teaching site,Participant 3,Participant 4,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Night float system,Participant 5,,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Yes
0,https://freida.ama-assn.org/program/7303844008,5,5,No,Yes,"June,July",Yes,No,http://www.cincinnatichildrens.org/TBRP,Not Available,"Courtney M Cinko
MD
Cincinnati Children's Hosp Med Ctr
MLC 3014
3333 Burnet Ave
Cincinnati, OH 45229
Tel: (513) 636-7331
Fax: (513) 803-0571
E-mail: courtney.cinko@cchmc.org","Hope  Dennis
Cincinnati Children's Hosp Med Ctr
ML 6015 College Hill
5642 Hamilton Ave
Cincinnati, OH 45224
Tel: (513) 636-7331
Fax: (513) 803-0571
E-mail: hope.dennis@cchmc.org",7303844008,"Cincinnati Children's Hosp Med Ctr, MLC 3014, 3333 Burnet Ave, Cincinnati, OH 45229","3333 Burnet Ave, Cincinnati, OH 45229-3039","3200 Vine St, Cincinnati, OH 45220-2213","375 Dixmyth Ave, Cincinnati, OH 45220-2489","234 Goodman St, Cincinnati, OH 45219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7304144011,5,5,No,Yes,"June,Negotiable",No,No,http://psychiatry.pitt.edu/education/residency_training,Not Available,"Sansea L Jacobson
MD
Western Psychiatric Inst and Clinic
E503
3811 O'Hara St
Pittsburgh, PA 15213
Tel: (412) 246-5320
Fax:
E-mail: jacobsonsl@upmc.edu","Sansea L Jacobson
MD
Western Psychiatric Inst and Clinic
E503
3811 O'Hara St
Pittsburgh, PA 15213
Tel: (412) 246-5320
Fax:
E-mail: jacobsonsl@upmc.edu",7304144011,"Western Psychiatric Inst and Clinic, E503, 3811 O'Hara St, Pittsburgh, PA 15213","3600 Forbes Ave, Pittsburgh, PA 15213","3811 O'Hara St, Pittsburgh, PA 15213","45th & Penn Ave, Pittsburgh, PA 15201","300 Halket St, Pittsburgh, PA 15213-3180","A collaboration between Western Psychiatric and Children's Hospital of Pittsburgh, the program provides unrivaled integrated pediatric child psychiatry and adult psychiatry training. Opportunities abound for practicing combined care.",University-based,UPMC Western Psychiatric Institute and Clinic,"University Dr C, Pittsburgh, PA 15240-1001","5230 Centre Ave, Pittsburgh, PA 15232",2,2,2,2,2,No,No,"Yes , Codes: 1652730C0",No,12/13/2020,11/2/2020 - 1/25/2021_11/1/2021 - 1/24/2022,9/15/2021,12/17/2021,No,18,No,No,3,No,Yes,188___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",541-600,"Desired, with some exceptions",Yes,Yes,Yes,206,102,11,4,217,106,27.6,21.1 to 1,70,24,1,Yes,Yes,100,0,0,92.5,7.4,Every fourth night for 5 month(s),0,Every seventh night for 2 month(s),3,Every seventh night for 3 month(s),0,N/A,7,N/A,Not Available,7,10%,N/A,"$59,727.00",17,NGO,"$61,823.00",17,NGO,"$63,672.00",17,NGO,"$65,900.00",17,NGO,"$68,207.00",17,NGO,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Optional,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7304344005,5,5,No,Yes,June,Yes,No,http://bms.brown.edu/DPHB/training/psychiatry_child/,Not Available,"Jeffrey I Hunt
MD, MA, MS
Rhode Island Hosp
POB 122
593 Eddy St
Providence, RI 02903
Tel: (401) 444-3762
Fax: (401) 444-7018
E-mail: jhunt@lifespan.org","Barbara  ORourke
BA
Rhode Island Hosp
POB 122
593 Eddy St
Providence, RI 02903
Tel: (401) 444-3762
Fax: (401) 444-7018
E-mail: borourke1@lifespan.org",7304344005,"Rhode Island Hosp, POB 122, 593 Eddy St, Providence, RI 02903","593 Eddy St, Providence, RI 02903",,,,,University-based,Brown University/Rhode Island Hospital-Lifespan,,,3,3,3,3,3,No,No,"Yes , Codes: 1677730C0",No,12/31/2020,11/1/2020 - 1/12/2021_11/3/2021 - 1/12/2022,9/1/2021,12/31/2021,Yes,41,No,No,3,No,Yes,200___,No,210-225,"No, require USMLE scores for all applicants",No Answer,No Answer,Required,No,No,No,55,21,0,0,55,21,50.9,3.6 to 1,50,28,2,Yes,,100,0,0,68.8,31.1,N/A,0,N/A,0,N/A,0,N/A,NGO,N/A,NGO,8,26%,N/A,"$61,270.00",15,NGO,"$63,640.00",15,NGO,"$66,290.00",15,NGO,"$69,410.00",20,NGO,"$74,420.00",20,NGO,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Optional,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7304944006,5,5,No,Yes,June,Yes,No,https://medicine.utah.edu/psychiatry/triple-board-program/,Not Available,"Kristi K Kleinschmit
MD
Univ of Utah Neuropsychiatry Inst
Rm 1878
501 Chipeta Way
Salt Lake City, UT 84108
Tel: (801) 587-3543
Fax: (801) 581-5604
E-mail: kristi.kleinschmit@hsc.utah.edu","Jessie  Skriner
Univ of Utah Sch of Med
Rm 1882
501 Chipeta Way
Salt Lake City, UT 84108
Tel: (801) 587-3543
Fax: (801) 581-5604
E-mail: jessie.skriner@hsc.utah.edu",7304944006,"Univ of Utah Neuropsychiatry Inst, Rm 1878, 501 Chipeta Way, Salt Lake City, UT 84108","50 N Medical Dr, Salt Lake City, UT 84132","501 Chipeta Way, Salt Lake City, UT 84108","100 N Mario Capecchi Dr, Salt Lake City, UT 84113","500 Foothill Dr, Salt Lake City, UT 84148-0001","We are training our triple board residents to be experts in the field of mental health integration, within primary and subspecialty care. Our catchment area for all disciplines spans the Intermountain West. Our training sites include the highly rated Primary Children's Hospital, the University of Utah Health System, which has been top 10 in the nation for quality for 10 years running. Residents participate at all levels of administration.",University-based,University of Utah Neuropsychiatric Institute,"7905 S Redwood Rd, West Jordan, UT 84088",,3,3,2,2,2,No,No,"Yes , Codes: 1732730C0",No,12/30/2020,11/9/2020 - 2/5/2021_11/1/2021 - 1/31/2022,9/15/2021,12/30/2021,Yes,22,No,No,3,No,Yes,220_220__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,353,56,31,4,384,60,45.8,30.7 to 1,55,16,1,Yes,Yes,100,0,0,66.1,33.8,N/A,0,Once per week for 2 week(s),2,Once per week for 2 week(s),6,Once per week for 2 week(s),0,N/A,1,8,25%,10%,"$61,061.00",21,NGO,"$63,315.00",21,NGO,"$65,697.00",21,NGO,"$68,627.00",21,NGO,"$71,087.00",21,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3400121002,3,3,No,No,July,Yes,No,http://www.uab.edu/rehab,Not Available,"Keneshia M Kirksey
MD
Univ of Alabama Med Ctr
Spain Rehab Ctr SRC-195
619 19th St S
Birmingham, AL 35249
Tel:
Fax:
E-mail: kirksey@uab.edu","Lauren E Hanhauser
MA
Univ of Alabama Med Ctr
Spain Rehab Ctr SRC-157
619 19th St S
Birmingham, AL 35249-7330
Tel: (205) 996-6685
Fax: (205) 975-5952
E-mail: lhanhauser@uabmc.edu",3400121002,"Univ of Alabama Med Ctr, Spain Rehab Ctr SRC-195, 619 19th St S, Birmingham, AL 35249","619 19th St S, Birmingham, AL 35249-6505","1600 7th Ave S, Birmingham, AL 35233","700 S 19th St, Birmingham, AL 35233","1201 11th Ave S, Birmingham, AL 35205-0605",The University of Alabama at Birmingham provides a world-class residency program for physical medicine and rehabilitation. The program offers protected educational experiences on a regular basis.,University-based,University of Alabama Hospital,,,4,4,4,,,"Yes  , 1 year(s)",Yes,No,"Yes , Codes: 1007340A0",,-_10/21/2020 - 2/28/2021,10/21/2020,2/1/2021,Yes,0,No,No,3,No,Yes,201__451_,No,No Answer,Yes,No,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,21,9,0,0,21,9,47.6,1.7 to 1,65,24,1.5,Yes,,69.4,0,30.5,52.7,47.2,Three times per week for 12 month(s),NGO,Two times per week for 12 month(s),NGO,Once per week for 12 month(s),NGO,,,,,5,5%,N/A,,,,"$55,992.00",15,15,"$57,506.00",15,15,"$59,941.00",15,15,,,,Yes,30,90,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3400421083,4,4,No,No,July,Yes,No,https://pmr.uams.edu/,Not Available,"Rani H Lindberg
MD
Univ of Arkansas for Med Sciences
Dept of PM&R #602
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 526-7732
Fax: (501) 225-0527
E-mail: haleyranil@uams.edu","Leigh B Austin
BA
Univ of Arkansas for Med Sciences
Dept of PM&R #602
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 526-7732
Fax: (501) 225-0627
E-mail: lbaustin@uams.edu",3400421083,"Univ of Arkansas for Med Sciences, Dept of PM&R #602, 4301 W Markham St, Little Rock, AR 72205","4301 W Markham St, Little Rock, AR 72205-7249","4301 W Markham St, Little Rock, AR 72205","800 Marshall St, Little Rock, AR 72202-3591","4300 W 7th St, Little Rock, AR 72205-5484",,,,"9601 I-630 Exit 7, Little Rock, AR 72205-7299","9601 I-630 Exit 7, Little Rock, AR 72205-7249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3400300001,3,3,No,Yes,July,Yes,No,https://www.honorhealth.com/academic-affairs,Not Available,"Nandita  Keole
MD
HonorHealth Rehabilitation Hosp
PM&R Pgm
8850 E Pima Center Pkwy
Scottsdale, AZ 85258
Tel: (602) 277-5551
Fax:
E-mail: nandita.keole@va.gov","Shauntoi  Jackson
HonorHealth Rehabilitation Hosp
PM&R Pgm
8850 E Pima Center Pkwy
Scottsdale, AZ 85258
Tel: (480) 324-7231
Fax:
E-mail: pmrresidency@honorhealth.com",3400300001,"HonorHealth Rehabilitation Hosp, PM&R Pgm, 8850 E Pima Center Pkwy, Scottsdale, AZ 85258","8125 N Hayden Rd, Scottsdale, AZ 85258","8850 E Pima Center Pkwy, Scottsdale, AZ 85258","7th St and Indian School Rd, Phoenix, AZ 85012","7400 E Osborn Rd, Scottsdale, AZ 85251-5672","This is the only PM&R residency program in Arizona. HonorHealth Rehabilitation Hospital and HonorHealth Osborn Hospital provides comprehensive inpatient PM&R services. The VA provides outpatient musculoskeletal services including interventional fluoroscopic guided procedures,electrodiagnostic studies and diagnostic ultrasound clinics. Pediatric rehabilitation experience is at Phoenix Children's hospital. Dedicated research time is included. We offer a joined AP track for prelim PGY-1 position.",Community-based university affiliated,HonorHealth Rehabilitation Hospital,"1919 E Thomas Rd, Phoenix, AZ 85016","9097 E Desert Cove Ave, Scottsdale, AZ 85260",2,2,2,,,"Yes  , 1 year(s)",Yes,"Yes , Codes: 1929140P1","Yes , Codes: 1929340A0",11/20/2020,12/1/2020 - 1/29/2021_10/18/2021 - 12/21/2021,9/1/2021,11/19/2021,Yes,48,No,No,3,No,Yes,210_210_450_450,Yes,236-245,Yes,Yes,Greater than 600,"Desired, with some exceptions",No,No,No,0,0,2,0,2,0,,0.1 to 1,80,28,2,Yes,,,,,,,N/A,28,N/A,16,N/A,16,,,,,5,25%,0%,,,,"$60,335.00",15,6,"$63,087.00",15,6,"$65,932.00",15,6,,,,Yes,6,NGO,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Optional,No,No,Yes,No,"5090 N 40th St, Phoenix, AZ 85018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3400521077,4,4,No,Yes,July,Yes,No,http://www.lluh.org/pmr,Not Available,"Samuel J Lee
MD
Loma Linda Univ Med Ctr
Ste 516
11406 Loma Linda Dr
Loma Linda, CA 92354
Tel: (909) 558-6202
Fax: (909) 558-6110
E-mail: samulee@llu.edu","Lizbeth  Tapia
Loma Linda Univ Med Ctr
Ste 516
11406 Loma Linda Dr
Loma Linda, CA 92354
Tel: (909) 558-6202
Fax: (909) 558-6110
E-mail: lztapia@llu.edu",3400521077,"Loma Linda Univ Med Ctr, Ste 516, 11406 Loma Linda Dr, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","26520 Cactus Ave, Moreno Valley, CA 92555","9961 Sierra Ave, Fontana, CA 92335-1084","This residency program will educate, equip and foster compassionate, growth-minded, life-long learners who will contribute significantly to their patients, the field of PM&R and society by providing and promoting excellent whole person care.",University-based,Loma Linda University Health Education Consortium,"11201 Benton St, Loma Linda, CA 92357-1111",,4,5,5,5,,No,Yes,"Yes , Codes: 1024340C0","Yes , Codes: 1024340A0",11/18/2020,11/4/2020 - 1/27/2021_11/1/2021 - 1/31/2022,9/15/2021,10/15/2021,Yes,47,No,No,3,No,Yes,213___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",450-500,"Desired, with some exceptions",Yes,No,Yes,13,4,4,0,17,4,23,0.7 to 1,60,16,1,Yes,Yes,70.1,1.7,28,43.8,56.1,Once per week for 2 month(s),0,N/A,4,N/A,4,N/A,4,,,3,20%,N/A,"$58,378.00",15,10,"$60,313.00",20,10,"$62,682.00",20,10,"$65,157.00",20,10,,,,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Not available,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3400521007,3,3,No,No,July,Yes,Yes,http://www.losangeles.va.gov/trainee/index.asp,Not Available,"Dixie Lynne R Aragaki
MD
VA Greater Los Angeles Healthcare System
Dept of PM&R W-117
11301 Wilshire Blvd
Los Angeles, CA 90073
Tel: (310) 268-3342
Fax: (310) 268-4224
E-mail: dixie.aragaki@va.gov","Arthur  Velling
VA Greater Los Angeles Healthcare System
Dept of PM&R W-117
11301 Wilshire Blvd
Los Angeles, CA 90073
Tel: (310) 268-3342
Fax: (310) 268-4224
E-mail: arthur.velling@va.gov",3400521007,"VA Greater Los Angeles Healthcare System, Dept of PM&R W-117, 11301 Wilshire Blvd, Los Angeles, CA 90073","11301 Wilshire Blvd, Los Angeles, CA 90073-2128","5901 E 7th St, Long Beach, CA 90822-5201","4650 Sunset Blvd, Los Angeles, CA 90027-5693","7601 E Imperial Hwy, Downey, CA 90242","Residents directly participate in the teaching of UCLA medical students. Residents also participate in comprehensive pain management and perform ultrasound-guided injections and spinal procedures (epidurals, medial branch blocks, etc). Research and scholarly activity are required and supported.",Community-based university affiliated,VA Greater Los Angeles Healthcare System,"8700 Beverly Blvd, Los Angeles, CA 90048-1869","757 Westwood Plaza, Los Angeles, CA 90095",8,9,8,,,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1039340A0",,-_9/15/2020 - 2/2/2021,9/1/2020,1/29/2021,Yes,50,No,No,3,No,No,___,No,226-235,No,No,Greater than 600,"Desired, with some exceptions",No,No,No,34,4,12,1,46,5,41.1,1.6 to 1,45,14,1.8,Yes,,65.3,0,34.6,30.6,69.3,N/A,6,N/A,2,N/A,4,,,,,8,75%,5%,,,,"$63,955.00",20,10,"$66,468.00",20,10,"$69,092.00",20,10,,,,Yes,NGO,NGO,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,No,"2070 Century Park E, Los Angeles, CA 90067",NGO (wks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3400521005,3,3,No,No,July,Yes,No,http://www.pmr.uci.edu/,Not Available,"Jay J Han
MD
UC Irvine Med Ctr
Bldg 53 Ste 310C
101 The City Dr S
Orange, CA 92868
Tel: (714) 456-6444
Fax: (714) 456-6557
E-mail: jayjhan@uci.edu","Susan  Downing
UC Irvine Med Ctr
Bldg 53 Ste 310C
101 The City Dr S
Orange, CA 92868
Tel: (714) 456-6444
Fax: (714) 456-6557
E-mail: sdowning@hs.uci.edu",3400521005,"UC Irvine Med Ctr, Bldg 53 Ste 310C, 101 The City Dr S, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","5901 E 7th St, Long Beach, CA 90822-5201","2801 Atlantic Ave, Long Beach, CA 90801-1428","101 E Valencia Mesa Dr, Fullerton, CA 92835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
