,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Night float system (Residents participate during first year),Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Specialty Details,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,
0,https://freida.ama-assn.org/program/4003500317,4,4,No,Yes,"June,July",Yes,No,http://www.arnothealthresidency.com/psychiatry.html,Not Available,"Mihai  Dascalu
MD
Arnot Ogden Med Ctr
Psychiatry Pgm
1001 Hoffman St
Elmira, NY 14901
Tel:
Fax:
E-mail: mdascalu@arnothealth.org","Alison  Brennan
Arnot Ogden Med Ctr
Psychiatry Pgm
1001 Hoffman St
Elmira, NY 14905
Tel: (607) 737-4101
Fax: (607) 873-7359
E-mail: abrennan@arnothealth.org",4003500317,"Arnot Ogden Med Ctr, Psychiatry Pgm, 1001 Hoffman St, Elmira, NY 14901","600 Roe Ave, Elmira, NY 14905","100 Washington St, Elmira, NY 14901","103 Washington Dt, Elmira, NY 14901","425 Robinson St, Binghamton, NY 13901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003512304,4,4,No,Yes,July,Yes,No,http://ehs.org,Not Available,"Madhu G Rajanna
MD
St John's Episcopal Hosp-South Shore
Psychiatry Pgm
327 Beach 19th St
Far Rockaway, NY 11691
Tel: (718) 869-7248
Fax: (718) 869-8532
E-mail: mrajanna@ehs.org","Judith  Brown
St John's Episcopal Hosp-South Shore
Psychiatry Pgm
327 Beach 19th St
Far Rockaway, NY 11691
Tel: (718) 869-7248
Fax: (718) 869-8532
E-mail: jbrown@ehs.org",4003512304,"St John's Episcopal Hosp-South Shore, Psychiatry Pgm, 327 Beach 19th St, Far Rockaway, NY 11691","327 Beach 19th St, Far Rockaway, NY 11691","2201 Hempstead Trnpk, East Meadow, NY 11554-1854","1000 N Village Ave, Rockville Centre, NY 11570","445 Lenox Rd, Brooklyn, NY 11203-2098",,Community-based,St John's Episcopal Hospital-South Shore,4,4,4,4,No,No,No,No,1/31/2021,10/1/2020 - 2/28/2021_10/1/2021 - 2/28/2022,10/1/2021,2/28/2022,Yes,40,No,No,2,No,Yes,200_220_505_450,Yes,226-235,Yes,Yes,450-500,Required,No,Yes,No,6,1,5,0,11,1,0,0.5 to 1,55,16,1.5,No,No,0,87.5,12.5,39.5,60.4,N/A,NGO,N/A,NGO,N/A,NGO,N/A,NGO,7,NGO,N/A,"$72,943.00",20,12,"$78,218.00",20,12,"$84,354.00",20,12,"$87,728.00",20,12,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Not Available,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Not available,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003521142,4,4,No,Yes,July,Yes,No,https://www.northwell.edu,Not Available,"John  Young
MD, PhD, MPP
Zucker Hillside Hosp
Psychiatry Pgm K218
75-59 263rd St
Glen Oaks, NY 11004
Tel: (718) 470-8005
Fax: (718) 413-1973
E-mail: jyoung9@northwell.edu","Sueanna  Torres
Zucker Hillside Hosp
Psychiatry Pgm K219
75-59 263rd St
Glen Oaks, NY 11004
Tel: (718) 470-8005
Fax: (718) 962-7717
E-mail: storres1@northwell.edu",4003521142,"Zucker Hillside Hosp, Psychiatry Pgm K218, 75-59 263rd St, Glen Oaks, NY 11004","125 Community Dr, Great Neck, NY 11021","75-59 263rd St, Glen Oaks, NY 11004","270-05 76th Ave, New Hyde Park, NY 11040","300 Community Dr, Manhasset, NY 11030","Patients from diverse ethnic, racial, socioeconomic backgrounds. All treatment modalities on inpatient, outpatient, day hospital, ER, and community mental health clinical settings. Extensive research opportunities in our NIMH Clinical Research Center. Pathways to Discovery Program allows for resident-designed tracks, including medical education, perinatal psychiatry, health policy and systems, and medical humanities.",University-based,Zucker Hillside Hospital-Northwell Health,13,13,13,13,No,No,"Yes , Codes: 1860400C0",No,12/31/2020,11/13/2020 - 2/12/2021_11/5/2021 - 1/7/2022,9/1/2021,12/31/2021,Yes,124,No,No,3,No,Yes,___,No,226-235,Yes,No,Greater than 600,"Desired, with some exceptions",Yes,Yes,Yes,91,10,0,0,91,10,47.2,1.7 to 1,43,16,1.5,Yes,,93.9,2.2,3.8,66.9,33,N/A,0,Every eleventh night or more for 12 month(s),0,N/A,0,N/A,Not Available,8,NGO,N/A,"$73,000.00",20,NGO,"$75,000.00",20,NGO,"$77,000.00",20,NGO,"$78,500.00",20,NGO,Yes,90,NGO,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Optional,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003500318,4,4,No,Yes,July,Yes,No,https://renaissance.stonybrookmedicine.edu/gme,Not Available,"Eduardo  Constantino
MD
Stony Brook Eastern Long Island Hosp
Med Staff Affairs GME
201 Manor Pl
Greenport, NY 11944
Tel: (631) 444-2990
Fax:
E-mail: eduardo.constantino@stonybrookmedicine.edu","Courtney  Meringer
Stony Brook Eastern Long Island Hosp
Med Staff Affairs GME
201 Manor Pl
Greenport, NY 11944
Tel: (631) 477-5273
Fax:
E-mail: courtney.meringer@stonybrookmedicine.edu",4003500318,"Stony Brook Eastern Long Island Hosp, Med Staff Affairs GME, 201 Manor Pl, Greenport, NY 11944","101 Nichols Rd, Stony Brook, NY 11794","201 Manor Pl, Greenport, NY 11944","240 Meeting House Ln, Southampton, NY 11968",,,Community-based university affiliated,Eastern Long Island Hospital,5,5,5,5,No,No,"Yes , Codes: 2919400C3",No,10/21/2020,10/21/2020 - 1/31/2021_10/1/2021 - 1/31/2022,7/1/2021,10/1/2021,Yes,41,No,No,3,No,No,___,No,210-225,No,No,501-540,"Desired, with some exceptions",Yes,No,No,20,0,0,0,20,0,50,1.0 to 1,40,12,2,No,,,,,,,Every eleventh night or more for 4 month(s),0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),0,N/A,Not Available,8,NGO,N/A,"$66,611.00",16,15,"$70,898.00",16,15,"$74,817.00",17,16,"$78,739.00",19,18,No,NGO,NGO,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Fully Paid by Institution,Not Available,Not Available,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Not Available,Not Available,,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003513294,4,4,No,Yes,July,Yes,No,http://www.jamaicahospital.org,Not Available,"Adam R Chester
DO
Jamaica Hosp Med Ctr
Dept of Psychiatry
8900 Van Wyck Expwy
Jamaica, NY 11418
Tel: (718) 206-7708
Fax: (718) 291-2066
E-mail: achester.flushing@jhmc.org","Anne  Incantalupo
BFA
Jamaica Hosp Med Ctr
Dept of Psychiatry
8900 Van Wyck Expwy
Jamaica, NY 11418
Tel: (718) 206-7708
Fax: (718) 291-2066
E-mail: psychedu@jhmc.org",4003513294,"Jamaica Hosp Med Ctr, Dept of Psychiatry, 8900 Van Wyck Expwy, Jamaica, NY 11418","8900 Ave & Van Wyck Expwy, Jamaica, NY 11418-2897","79-01 Broadway, Elmhurst, NY 11373","45th Ave at Parsons Blvd, Flushing, NY 11355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003500316,4,4,No,Yes,July,Yes,No,https://www.ormc.org/about-us/graduate-medical-education,Not Available,"Ulrick  Vieux
DO, MS
Garnet Health Med Ctr
Psychiatry Pgm
707 E Main St
Middletown, NY 10940
Tel: (845) 333-1763
Fax: (845) 333-7342
E-mail: uvieux@ghvhs.org","Keylen  Cerda
Garnet Health Med Ctr
Psychiatry Pgm
707 E Main St
Middletown, NY 10940
Tel: (845) 333-6333
Fax:
E-mail: kcerda@ghvhs.org",4003500316,"Garnet Health Med Ctr, Psychiatry Pgm, 707 E Main St, Middletown, NY 10940","707 E Main St, Middletown, NY 10940","140 Old Orangeburg Rd, Orangeburg, NY 10962","2834 NY-17M, New Hampton, NY 10958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003521138,4,4,No,Yes,July,Yes,No,http://columbiapsychiatry.org/residency/home,Not Available,"Melissa R Arbuckle
MD, PhD
New York State Psychiatric Inst
Dept of Psychiatry Box 103
1051 Riverside Dr
New York, NY 10032
Tel: (646) 774-6327
Fax: (646) 774-6398
E-mail: melissa.arbuckle@nyspi.columbia.edu","Alexandra  Perez
New York State Psychiatric Inst
Dept of Psychiatry Box 103
1051 Riverside Dr
New York, NY 10032
Tel: (646) 774-6300
Fax: (646) 774-6398
E-mail: alexandra.perez@nyspi.columbia.edu",4003521138,"New York State Psychiatric Inst, Dept of Psychiatry Box 103, 1051 Riverside Dr, New York, NY 10032","525 E 68th St, New York, NY 10021","622 W 168th St, New York, NY 10032","1051 Riverside Dr, New York, NY 10032",,"Many opportunities for clinical or basic research and advanced clinical training with excellent mentors, available for all residents. Psychotherapy track for PGY3's with additional psychotherapy supervision in DBT and IPT. Outstanding availability of expert psychotherapy supervision. Public psychiatry track for PGY3's. Outpatient experience for PGY2's. Many integrated care opportunities.",University-based,NewYork-Presbyterian/Columbia University Medical Center,12,12,12,12,No,No,"Yes , Codes: 1495400C0,1495400C3",No,10/15/2020,11/2/2020 - 1/22/2021_11/1/2021 - 1/21/2022,9/1/2021,10/1/2021,Yes,100,No,No,3,No,Yes,192___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,No,No,80,7,10,1,90,8,50,1.7 to 1,60,24,1.5,Yes,,97.8,2.1,0,56.4,43.5,N/A,0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),0,N/A,Not Available,3,25%,4%,"$73,489.00",20,20,"$79,359.00",20,20,"$82,201.00",20,10,"$89,487.00",20,10,Yes,20,NGO,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",When resident/fellow starts program,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003521149,4,4,No,Yes,July,Yes,No,http://www.med.nyu.edu/psych/education,Not Available,"D Harshad Bhatt
MD, PhD
NYU Sch of Med
Dept of Psychiatry 8th Fl
One Park Ave
New York, NY 10016-9196
Tel: (646) 754-5499
Fax:
E-mail: psyched@nyumc.org","Tyra  Bailey
MA
NYU Sch of Med
Dept of Psychiatry 8th Fl
One Park Ave
New York, NY 10016-9196
Tel: (646) 754-4839
Fax: (646) 754-5431
E-mail: psyched@nyumc.org",4003521149,"NYU Sch of Med, Dept of Psychiatry 8th Fl, One Park Ave, New York, NY 10016-9196","550 First Ave, New York, NY 10016-1111","462 First Ave, New York, NY 10016","Ward's Island Complex, New York, NY 10035","140 Old Orangeburg Rd, Orangeburg, NY 10962",,University-based,NYC Health + Hospitals/Bellevue,14,14,14,14,No,No,"Yes , Codes: 2978400C0,2978400C1,2978400C2",No,12/4/2020,11/6/2020 - 12/18/2020_11/5/2021 - 12/16/2022,10/21/2021,12/3/2021,No,133,No,No,3,No,No,___,No,No Answer,No,No,No Answer,Not known,Yes,Yes,Yes,59,17,17,0,76,17,44,1.2 to 1,65,24,1,Yes,,95,4.3,0,70.5,29.4,Every eleventh night or more for 52 week(s),0,Every eleventh night or more for 52 week(s),0,N/A,0,N/A,Not Available,4,13%,N/A,"$70,000.00",28,90,"$73,000.00",28,90,"$76,000.00",28,90,"$79,000.00",28,90,Yes,NGO,NGO,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,No,No,Yes,Yes,"423 E 23rd St, New York, NY 10010","550 First Ave, New York, NY 10016","Wards Island, New York, NY 10035","1 Park Ave, New York, NY 10016","726 Broadway, New York, NY 10003",NGO (wks),,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003521270,4,4,No,Yes,July,Yes,No,http://bit.ly/msm-msw-psych-residency,Not Available,"Paul J Rosenfield
MD
Mount Sinai St Luke's-Roosevelt
Ste 16F
1090 Amsterdam Ave
New York, NY 10025
Tel: (212) 636-1430
Fax: (212) 636-1430
E-mail: paul.rosenfield@mountsinai.org","Jacqueline  Rivas
Mount Sinai St Luke's-Roosevelt
Ste 16A
1090 Amsterdam Ave
New York, NY 10025
Tel: (212) 523-5089
Fax: (212) 523-1685
E-mail: jacqueline.rivas@mountsinai.org",4003521270,"Mount Sinai St Luke's-Roosevelt, Ste 16F, 1090 Amsterdam Ave, New York, NY 10025","One Gustave L Levy Pl, New York, NY 10029-6574","1111 Amsterdam Ave, New York, NY 10025","1000 Tenth Ave, New York, NY 10019","130 W Kingsbridge Rd, Bronx, NY 10468","The residency program at Mount Sinai Morningside and West features a wide range of clinical experiences, outstanding supervision and mentorship, opportunities for scholarly work, and an extensive didactic curriculum. Our residents work with a recovery-oriented and holistic biopsychosocial approach, and develop a high level of competence through their training. The program has a friendly, collaborative and supportive environment for residents to learn and maintain their wellbeing.",University-based,Mount Sinai Morningside,11,11,11,11,No,No,"Yes , Codes: 2070400C0",No,10/20/2020,11/6/2020 - 2/15/2021_11/5/2021 - 2/15/2022,9/1/2021,10/15/2021,Yes,130,No,No,3,No,Yes,195_210_450_450,Yes,226-235,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,No,38,20,3,5,41,25,36.8,0.8 to 1,52,13,1.5,Yes,,55.6,26.5,17.8,57.9,42,Once per week for 12 month(s),0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),Not Available,5,8%,N/A,"$63,936.00",20,12,"$68,124.00",20,12,"$72,297.00",20,12,"$74,889.00",20,12,Yes,12,NGO,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,Yes,"281 First St, New York, NY 10003",,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003511134,4,4,No,Yes,July,Yes,No,http://icahn.mssm.edu/MSBIPsychResidency,Not Available,"Daniel  Safin
MD
Mount Sinai Beth Israel
Psychiatry Pgm Box 320
First Ave at 16th St
New York, NY 10003
Tel: (212) 420-2435
Fax: (212) 420-3442
E-mail: daniel.safin@mountsinai.org","Kenisha  Felix
Mount Sinai Beth Israel
Psychiatry Pgm Box 320
First Ave at 16th St
New York, NY 10003
Tel: (212) 420-2390
Fax:
E-mail: kenisha.felix@mountsinai.org",4003511134,"Mount Sinai Beth Israel, Psychiatry Pgm Box 320, First Ave at 16th St, New York, NY 10003","One Gustave L Levy Pl, New York, NY 10029-6574","281 First St, New York, NY 10003",,,,Community-based university affiliated,Mount Sinai Beth Israel,13,13,13,13,No,No,"Yes , Codes: 1470400C0",No,11/2/2020,10/28/2020 - 1/29/2021_10/4/2021 - 1/31/2022,9/15/2021,11/1/2021,Yes,180,No,No,3,No,Yes,200_200_450_450,Yes,226-235,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,No,24,16,5,3,29,19,45.8,0.5 to 1,45,24,1.8,Yes,,94.8,1.4,3.6,43.7,56.2,Every seventh night for 12 month(s),0,Every eleventh night or more for 12 month(s),0,Other for 12 month(s),0,Other for 12 month(s),1,7,NGO,N/A,"$70,876.00",20,12,"$73,711.00",20,12,"$76,660.00",20,12,"$79,726.00",20,12,Yes,12,NGO,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Required,Yes,Yes,No,Yes,,,,,,NGO (wks),,,,,,,,,,,,,,,,,,,,,
