,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Intro,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Night float system,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Participant 5,Participant 6,Participant 7,Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Participant 8,Participant 9,Participant 10,Participant 11,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7
0,https://freida.ama-assn.org/program/4402431409,University-based,Beth Israel Deaconess Medical Center,5,7,No,Yes,June,Yes,No,http://www.bidmc.org/Centers-and-Departments/Departments/Surgery/,Not Available,"Tara S Kent
MD, MS
Beth Israel Deaconess Med Ctr
LMOB 9B
330 Brookline Ave
Boston, MA 02215
Tel: (617) 632-9236
Fax: (617) 632-7424
E-mail: surgedu@bidmc.harvard.edu","Rachel  Sampson
MBA
Beth Israel Deaconess Med Ctr
Ste 9B
110 Francis St
Boston, MA 02215
Tel: (617) 632-9236
Fax: (617) 632-7424
E-mail: rsampson@bidmc.harvard.edu",4402431409,"Beth Israel Deaconess Med Ctr, LMOB 9B, 330 Brookline Ave, Boston, MA 02215","330 Brookline Ave, Boston, MA 02215","300 Longwood Ave, Boston, MA 02115-5737","123 Summer St, Worcester, MA 01608","1493 Cambridge St, Cambridge, MA 02139","330 Mount Auburn St, Cambridge, MA 02238",,16,13,9,9,9,No,Yes,"Yes , Codes: 1256440C0,1256440P0",No,11/1/2020,11/16/2020 - 1/22/2021_11/15/2021 - 1/15/2022,9/15/2021,11/1/2021,No,85,No,No,3,No,Yes,210_210__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,No,81,27,51,0,132,27,22.2,1.9 to 1,80,16,1,No,Yes,85.5,14.4,0,55.4,44.5,Negotiable for 8 week(s),NGO,Negotiable for 36 week(s),NGO,Negotiable for 12 week(s),NGO,Negotiable for 12 week(s),NGO,Negotiable for week(s),NGO,5,5%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",Not Available,20,NGO,Not Available,20,NGO,Not Available,20,NGO,Not Available,20,NGO,Not Available,20,NGO,No answer,Not Available,60,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Required,NGO (wks),No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402421131,,,5,5,No,Yes,June,Yes,No,http://www.bumc.bu.edu/surgery/,Not Available,"Donald T Hess
MD
Boston Univ Med Ctr
Surgery Pgm Rm C515
72 E Concord St
Boston, MA 02118
Tel: (617) 638-8442
Fax:
E-mail: donald.hess@bmc.org","Lana  Ketlere
Boston Univ Med Ctr
Surgery Pgm Rm C515
72 E Concord St
Boston, MA 02118-2393
Tel: (617) 638-8442
Fax: (617) 638-8409
E-mail: lana.ketlere@bmc.org",4402421131,"Boston Univ Med Ctr, Surgery Pgm Rm C515, 72 E Concord St, Boston, MA 02118","One Boston Medical Center Pl, Boston, MA 02118-2393","300 Longwood Ave, Boston, MA 02115-5737","1400 VFW Pkwy, Boston, MA 02132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402421134,University-based,Tufts Medical Center,5,5,No,Yes,June,Yes,No,https://www.tuftsmedicalcenter.org/patient-care-services/,Not Available,"Jeffrey T Cooper
MD
Tufts Med Ctr
Box 437
800 Washington St
Boston, MA 02111
Tel: (617) 636-5891
Fax: (617) 636-5498
E-mail: acerulli@tuftsmedicalcenter.org","Annette  Cerulli
Tufts Med Ctr
Box 437
800 Washington St
Boston, MA 02111
Tel: (617) 636-5891
Fax:
E-mail: acerulli@tuftsmedicalcenter.org",4402421134,"Tufts Med Ctr, Box 437, 800 Washington St, Boston, MA 02111","800 Washington St, Boston, MA 02111","115 Lincoln St, Framingham, MA 01702","41 Highland Ave, Winchester, MA 01890",,,,8,4,4,3,3,No,Yes,"Yes , Codes: 1263440C0,1263440P0",No,11/1/2020,11/16/2020 - 1/15/2021_11/15/2021 - 1/7/2022,9/15/2021,10/15/2021,Yes,75,No,No,3,No,Yes,230_230__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,23,0,1,0,24,0,13,1.0 to 1,75,24,2,No,Yes,83.1,16.8,0,49.3,50.6,Every eleventh night or more for 11 month(s),4,Every fifth night for 12 month(s),0,Every fifth night for 12 month(s),0,Every fifth night for 12 month(s),16,Every fifth night for 12 month(s),Not Available,6,20%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$62,603.00",15,NGO,"$64,964.00",15,NGO,"$68,014.00",15,NGO,"$71,216.00",15,NGO,"$74,914.00",15,NGO,Yes,NGO,NGO,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Optional,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402421136,,,5,5,No,Yes,"June,July",Yes,No,https://www.semc.org/about-us/residencies-fellowships/surgery-residency,Not Available,"Scott G Prushik
MD
St Elizabeth's Med Ctr
CMP2
736 Cambridge St
Brighton, MA 02135
Tel: (617) 789-3309
Fax: (617) 789-3419
E-mail: scott.prushik@steward.org","Kerrie  DeVasto
St Elizabeth's Med Ctr
CMP2
736 Cambridge St
Boston, MA 02135
Tel: (617) 789-2990
Fax: (617) 789-3419
E-mail: kerrie.devasto@steward.org",4402421136,"St Elizabeth's Med Ctr, CMP2, 736 Cambridge St, Brighton, MA 02135","736 Cambridge St, Boston, MA 02135-1111","300 Longwood Ave, Boston, MA 02115-5737","123 Summer St, Worcester, MA 01608","55 Fruit St, Boston, MA 02114","235 N Pearl St, Brockton, MA 02301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70 East St, Methuen, MA 01844",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402421401,Community-based university affiliated,Lahey Hospital and Medical Center,5,5,No,Yes,"June,July",Yes,No,https://www.lahey.org/lhmc/research-residencies/residencies/,Not Available,"Dmitry  Nepomnayshy
MD
Lahey Hopsital & Med Ctr
Dept of General Surgery
41 Mall Rd
Burlington, MA 01805
Tel: (781) 744-8585
Fax:
E-mail: dmitry.nepomnayshy@lahey.org","Susan  Downer
Lahey Hopsital & Med Ctr
Dept of General Surgery
41 Mall Rd
Burlington, MA 01805
Tel:
Fax:
E-mail: susan.m.downer@lahey.org",4402421401,"Lahey Hopsital & Med Ctr, Dept of General Surgery, 41 Mall Rd, Burlington, MA 01805","41 Mall Rd, Burlington, MA 01805","22 S Greene St, Baltimore, MD 21201-1595","300 Longwood Ave, Boston, MA 02115-5737",,,,5,5,5,4,2,No,No,"Yes , Codes: 3130440C0",No,10/27/2020,11/5/2020 - 1/10/2021_-,,,Yes,55,No,No,3,No,No,___,No,No Answer,No,No Answer,No Answer,Not known,Yes,No,No,34,0,0,0,34,0,29.4,1.6 to 1,80,24,1,No,Yes,93.9,4,1.9,49.4,50.5,Every fourth night for 3 month(s),0,Every fourth night for 8 month(s),0,Every fourth night for 8 month(s),0,Every fourth night for 8 month(s),8,Every fourth night for 8 month(s),8,6,12%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$64,088.00",17,NGO,"$65,148.00",17,NGO,"$67,196.00",17,NGO,"$70,437.00",17,NGO,"$73,833.00",17,NGO,Yes,NGO,84,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Optional,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402400410,,,5,5,No,Yes,July,Yes,No,https://www.berkshirehealthsystems.org,Not Available,"Michael R DiSiena
DO
Berkshire Med Ctr
Dept of Surgery Warriner 3
725 North St
Pittsfield, MA 01201
Tel: (413) 395-7916
Fax: (413) 447-2766
E-mail: snaylor@bhs1.org","Paula E Downer
MBA
Berkshire Med Ctr
Dept of Surgery
725 North St
Pittsfield, MA 01201
Tel: (413) 447-2741
Fax: (413) 447-2766
E-mail: pdowner@bhs1.org",4402400410,"Berkshire Med Ctr, Dept of Surgery Warriner 3, 725 North St, Pittsfield, MA 01201","725 North St, Pittsfield, MA 01201","759 Chestnut St, Springfield, MA 01199","55 Lake Ave N, Worcester, MA 01655","825 Chalkstone Ave, Providence, RI 02908-4735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402411138,University-based,UMMS-Baystate,5,5,No,Yes,"June,July",Yes,No,https://www.baystatehealth.org/education-research/education/residencies/,Not Available,"Neal E Seymour
MD
Baystate Med Ctr
Surgery Pgm
759 Chestnut St
Springfield, MA 01199
Tel: (413) 794-5161
Fax: (413) 794-5940
E-mail: neal.seymour@baystatehealth.org","Joy  Isotti
Baystate Med Ctr
Dept of Surgical Educ S3653
759 Chestnut St
Springfield, MA 01199
Tel: (413) 794-5165
Fax: (413) 794-1835
E-mail: joy.isotti@baystatehealth.org",4402411138,"Baystate Med Ctr, Surgery Pgm, 759 Chestnut St, Springfield, MA 01199","759 Chestnut St, Springfield, MA 01199","164 High St, Greenfield, MA 01301",,,,"The Baystate simulation center and the Goldberg surgical skills lab, is a 4000+ square foot facility, where the most advanced, innovative teaching techniques and simulation technology are applied to the teaching of medical knowledge skills and behaviors.",10,10,7,7,7,No,Yes,"Yes , Codes: 1286440C0,1286440P0",No,11/29/2020,9/27/2020 - 1/7/2021_10/3/2021 - 1/7/2022,10/3/2021,11/29/2021,Yes,80,No,No,3,No,Yes,210_210__,Yes,226-235,No,"No, require USMLE scores for all applicants",501-540,"Desired, with some exceptions",Yes,No,No,42,0,2,0,44,0,19,1.0 to 1,71,16,1,No,Yes,93.8,5.3,0.8,70.3,29.6,Once per week for 3 week(s),0,Once per week for 3 week(s),0,Once per week for 3 week(s),0,Once per week for 3 week(s),0,N/A,48,4,25%,6%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$63,900.00",20,5,"$66,100.00",20,5,"$69,000.00",20,5,"$72,200.00",20,5,"$75,100.00",20,5,Yes,NGO,NGO,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Optional,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402421139,University-based,UMass Memorial Health Care (University Campus),5,5,No,Yes,July,Yes,No,http://www.umassmed.edu/surgery/fellow_residency/surgery_residency/,Not Available,"Jennifer  LaFemina
MD
Univ of Massachusetts Med Sch
Dept of Surgery
55 Lake Ave N
Worcester, MA 01655
Tel: (508) 856-3744
Fax:
E-mail: jennifer.lafemina@umassmemorial.org","Mary  Cawley
Univ of Massachusetts Med Sch
Dept of Surgery
55 Lake Ave N
Worcester, MA 01655
Tel: (508) 856-3772
Fax: (508) 856-5693
E-mail: mary.cawley@umassmed.edu",4402421139,"Univ of Massachusetts Med Sch, Dept of Surgery, 55 Lake Ave N, Worcester, MA 01655","55 Lake Ave N, Worcester, MA 01655","55 Lake Ave N, Worcester, MA 01655","119 Belmont St, Worcester, MA 01605-2982","60 Hospital Rd, Leominster, MA 01420","14 Prospect St, Milford, MA 01757",The University of Massachusetts general surgery residency is committed to the training and development of safe and competent surgeons and offers significant opportunities for professional and personal growth.,11,9,7,7,7,No,Yes,"Yes , Codes: 3050440P0,3050440C0",No,11/30/2020,11/15/2020 - 1/15/2021_11/1/2021 - 1/14/2022,9/15/2021,11/30/2021,Yes,86,No,No,3,No,Yes,225_230__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,63,3,0,0,63,3,23.8,1.5 to 1,80,24,1,No,Yes,88,11.9,0,43.2,56.7,Once per week for 11 month(s),NGO,Every fourth night for 11 month(s),NGO,Every fourth night for 11 month(s),NGO,Every fourth night for 11 month(s),NGO,N/A,48,5,10%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$61,525.00",15,15,"$63,833.00",15,15,"$66,961.00",15,15,"$69,714.00",15,15,"$72,412.00",15,15,Yes,60,60,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Not Available,More than 30 days of starting program,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Optional,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402300418,Community-based university affiliated,Anne Arundel Medical Center,5,5,No,Yes,July,Yes,No,http://www.aahs.org/gme/?page_id=582,Not Available,"Alejandro  Gandsas
MD, MBA
Anne Arundel Med Ctr
Surgery Pgm
2001 Medical Pkwy
Annapolis, MD 21401
Tel: (443) 481-4142
Fax: (443) 924-2727
E-mail: mkeener@aahs.org","Melissa  Keener
Anne Arundel Med Ctr
Surgery Pgm
2001 Medical Pkwy
Annapolis, MD 21401
Tel: (443) 481-4142
Fax: (443) 924-2727
E-mail: mkeener@aahs.org",4402300418,"Anne Arundel Med Ctr, Surgery Pgm, 2001 Medical Pkwy, Annapolis, MD 21401","2001 Medical Pkwy, Annapolis, MD 21401","600 N Wolfe St, Baltimore, MD 21287-1629",,,,"The Surgery Residency Program has many unique features to offer that includes weekly, protected, educational time for conferences including M&M, basic science, and simulation (FLS/FES training, cadaver labs, robotic simulation). We provide a weekly GME inter-professional 1st year series that rotates curricula in Research, Bioethics/Medical Humanities, Well-being and Systems of Care. Other elective opportunities are available in the 3rd and 4th years, including a Global Health elective in year 4.",3,3,3,3,3,No,No,"Yes , Codes: 1942440C0",No,1/31/2021,11/6/2020 - 1/29/2021_10/8/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,57,No,No,3,No,Yes,220_220_550_550,Yes,226-235,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,No,Yes,0,0,0,0,0,0,,0.0 to 1,72,24,1,No,Yes,51.8,48.1,0,9.2,90.7,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Not Available,8,20%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$56,237.00",20,Not Available,"$58,988.00",20,Not Available,"$61,705.00",20,Not Available,"$64,242.00",20,Not Available,"$66,748.00",20,Not Available,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not available,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4402321127,Community-based university affiliated,MedStar Franklin Square Medical Center,5,5,No,No,"June,July",Yes,No,http://medstarunionmemorial.org/SurgeryResidency,Not Available,"Margaret W Arnold
MD
MedStar Franklin Square Med Ctr
Ste 2312 Dept of Surgery
9000 Franklin Square Dr
Baltimore, MD 21237
Tel: (443) 777-1900
Fax:
E-mail: margaret.arnold@medstar.net","Sheryl  Matthews
Medstar Franklin Square Med Ctr
Dept of Surgery
9000 Franklin Square Dr
Baltimore, MD 21237
Tel: (443) 777-7635
Fax: (443) 777-7635
E-mail: sheryl.r.matthews@medstar.net",4402321127,"MedStar Franklin Square Med Ctr, Ste 2312 Dept of Surgery, 9000 Franklin Square Dr, Baltimore, MD 21237","10980 Grantchester Way, Columbia, MD 21044","9000 Franklin Square Dr, Baltimore, MD 21237-3998","600 N Wolfe St, Baltimore, MD 21287-1629","201 E University Pkwy, Baltimore, MD 21218-2895","655 W Baltimore St, Baltimore, MD 21201-1559","We are the oldest community general surgery program in the US and offer a strong, varied experience resulting in well-qualified general surgeons. Our graduates enter practice able to treat any general surgical patient.",9,3,3,3,3,No,Yes,"Yes , Codes: 1251440P0,1251440C0",No,11/30/2020,11/2/2020 - 1/29/2021_-,,,Yes,50,No,No,3,No,Yes,215_215_650_,Yes,236-245,Yes,"No, require USMLE scores for all applicants",541-600,"Desired, with some exceptions",Yes,No,No,11,0,0,0,11,0,9,0.5 to 1,75,16,1,No,Yes,72.4,27.5,0,52.8,47.1,Every sixth night for 48 week(s),0,Every third night for 48 week(s),0,Every third night for 48 week(s),0,Every third night for 48 week(s),20,Every third night for 48 week(s),20,5,15%,10%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$62,250.00",28,Not Available,"$63,200.00",28,Not Available,"$65,500.00",28,Not Available,"$69,000.00",28,Not Available,"$71,000.00",28,Not Available,Yes,28,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Not available,,Yes,Yes,Yes,"5601 Loch Raven Blvd, Baltimore, MD 21239",,,,,,,,,,,,,,,,,,,,,
